Short Window,Long Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
39,48,0,1824,1825 days 00:00:00,1000.0,5971.767186787325,497.1767186787325,1038.250346822019,100.0,88.34584791081198,42.82361774423208,403 days 00:00:00,12,12,0,0.0,66.66666666666666,97.91217412303415,-13.527024384808092,35.14704909366739,-9.355696899649049,146 days 06:00:00,19 days 06:00:00,3.6319555630729092,414.3139322322771,0.9136639159031277,1.003231127509459,1.1562913419254193,1.3828472368113773
40,47,0,1824,1825 days 00:00:00,1000.0,5971.767186787325,497.1767186787325,1038.250346822019,100.0,88.34584791081198,42.82361774423208,403 days 00:00:00,12,12,0,0.0,66.66666666666666,97.91217412303415,-13.527024384808092,35.14704909366739,-9.355696899649049,146 days 06:00:00,19 days 06:00:00,3.6319555630729092,414.3139322322771,0.9136639159031277,1.003231127509459,1.1562913419254193,1.3828472368113773
41,46,0,1824,1825 days 00:00:00,1000.0,5971.767186787325,497.1767186787325,1038.250346822019,100.0,88.34584791081198,42.82361774423208,403 days 00:00:00,12,12,0,0.0,66.66666666666666,97.91217412303415,-13.527024384808092,35.14704909366739,-9.355696899649049,146 days 06:00:00,19 days 06:00:00,3.6319555630729092,414.3139322322771,0.9136639159031277,1.003231127509459,1.1562913419254193,1.3828472368113773
42,45,0,1824,1825 days 00:00:00,1000.0,5971.767186787325,497.1767186787325,1038.250346822019,100.0,88.34584791081198,42.82361774423208,403 days 00:00:00,12,12,0,0.0,66.66666666666666,97.91217412303415,-13.527024384808092,35.14704909366739,-9.355696899649049,146 days 06:00:00,19 days 06:00:00,3.6319555630729092,414.3139322322771,0.9136639159031277,1.003231127509459,1.1562913419254193,1.3828472368113773
43,44,0,1824,1825 days 00:00:00,1000.0,5971.767186787325,497.1767186787325,1038.250346822019,100.0,88.34584791081198,42.82361774423208,403 days 00:00:00,12,12,0,0.0,66.66666666666666,97.91217412303415,-13.527024384808092,35.14704909366739,-9.355696899649049,146 days 06:00:00,19 days 06:00:00,3.6319555630729092,414.3139322322771,0.9136639159031277,1.003231127509459,1.1562913419254193,1.3828472368113773
43,50,0,1824,1825 days 00:00:00,1000.0,5913.376423501379,491.33764235013786,1038.250346822019,100.0,66.81207053476233,40.27798716367248,403 days 00:00:00,10,10,0,0.0,80.0,106.79347941852511,-14.045093442938086,33.58217453003897,-12.429122054566955,149 days 06:00:00,37 days 12:00:00,5.400639844339701,491.337642350138,0.9077272591226659,1.0596685335122753,1.153672677571759,1.3712372290447783
45,48,0,1824,1825 days 00:00:00,1000.0,5913.376423501379,491.33764235013786,1038.250346822019,100.0,66.81207053476233,40.27798716367248,403 days 00:00:00,10,10,0,0.0,80.0,106.79347941852511,-14.045093442938086,33.58217453003897,-12.429122054566955,149 days 06:00:00,37 days 12:00:00,5.400639844339701,491.337642350138,0.9077272591226659,1.0596685335122753,1.153672677571759,1.3712372290447783
46,47,0,1824,1825 days 00:00:00,1000.0,5913.376423501379,491.33764235013786,1038.250346822019,100.0,66.81207053476233,40.27798716367248,403 days 00:00:00,10,10,0,0.0,80.0,106.79347941852511,-14.045093442938086,33.58217453003897,-12.429122054566955,149 days 06:00:00,37 days 12:00:00,5.400639844339701,491.337642350138,0.9077272591226659,1.0596685335122753,1.153672677571759,1.3712372290447783
45,47,0,1824,1825 days 00:00:00,1000.0,5806.935655183193,480.6935655183193,1038.250346822019,100.0,65.32167704594134,43.039422601207235,403 days 00:00:00,10,10,0,0.0,80.0,97.22710751095167,-14.0450934429381,32.77025603964124,-12.42912205456697,148 days 21:00:00,37 days 12:00:00,5.378764610525326,480.69356551831936,0.9017007047268197,0.979658220076277,1.15278409990541,1.3617495860311994
38,50,0,1824,1825 days 00:00:00,1000.0,5724.136191661599,472.4136191661599,1038.250346822019,100.0,82.85456289325029,42.823617744232095,404 days 00:00:00,11,11,0,0.0,72.72727272727273,97.91217412303416,-13.52702438480807,33.45286864513623,-10.724037587149056,147 days 15:00:00,23 days 16:00:00,3.7158574257853743,429.4669265146908,0.8978092877620916,0.9750735455909595,1.1529022448678918,1.3574088030695242
