Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
DOV,false,21,89,70,47.82608695652174,3.276161719265235,6.0927152317880795,410.9872713851662,297.8168633225842,0.12980132450331125,1,53.346692179796406,0.8533231436136619,0,0,11325,11326 days 00:00:00,1000.0,30514.300683072746,2951.4300683072747,30616.959318474794,100.0,938.9047519786274,47.34982185378155,2802 days 00:00:00,69,1,1156.1789574962786,56.25389247810014,-14.480591555519457,19.26536416811028,-5.780945448576803,191 days 02:10:54.545454546,37 days 16:00:00,0.5798752389660813,0.24594316617864376,1.1074085803459215,-0.9036014635677314,111 days 01:02:36.521739130,0
DOV,false,21,88,72,46.478873239436616,3.2297029584548285,6.269315673289183,403.7713696535729,284.34603496730483,0.13350993377483444,1,53.90748882262272,0.8549319264096717,0,0,11325,11326 days 00:00:00,1000.0,30836.140635420306,2983.6140635420306,30616.959318474794,100.0,958.2626310930418,47.54946108566093,2802 days 00:00:00,71,1,1168.3733900166444,56.253892478100155,-13.723639766868345,19.558702630202614,-5.663171042595563,190 days 21:05:27.272727272,35 days 20:12:37.894736842,0.5809483253513374,0.24570459682329404,1.107611527453724,-0.9025502816100465,107 days 21:38:01.690140844,0
DOV,false,22,86,72,47.88732394366197,3.1899482212939785,6.269315673289183,382.29797784204106,277.382228908011,0.13350993377483444,1,51.04057770394403,0.8441113470066604,0,0,11325,11326 days 00:00:00,1000.0,29192.63547376084,2819.2635473760843,30616.959318474794,100.0,956.9899155732564,48.98851103096738,2802 days 00:00:00,71,1,1049.479046975921,56.25389247810014,-17.123971727098112,18.62377160728552,-5.721761508947066,184 days 13:24:42.352941176,37 days 03:14:35.675675676,0.5743479092559598,0.23446649484446566,1.1063286449509795,-0.907918238449143,107 days 17:34:38.873239435,0
DOV,false,22,87,70,47.82608695652174,3.082325877858379,6.0927152317880795,377.17521796499705,273.3153753369544,0.12980132450331125,1,48.95784286168173,0.8347869634684697,0,0,11325,11326 days 00:00:00,1000.0,28089.38974922831,2708.938974922831,30616.959318474794,100.0,908.0823606557265,47.78723656215369,2802 days 00:00:00,69,1,1064.299709643521,56.253892478100134,-17.123971727098137,19.20048298346224,-5.9414912661553565,189 days 03:38:10.909090910,39 days 06:40:00,0.5682817845574233,0.23746587604930433,1.1052565935946084,-0.9115216195460595,110 days 22:57:23.478260870,0
DOV,false,19,86,78,46.75324675324675,2.9769821533735725,6.799116997792495,364.0067403521657,257.85601441711856,0.14463576158940397,1,52.648392114511914,0.8509379428862843,0,0,11325,11326 days 00:00:00,1000.0,30111.01387729831,2911.101387729831,30616.959318474794,100.0,1019.1680606097073,47.543884807712956,2758 days 00:00:00,77,1,1082.4948701815447,54.6271025707931,-13.77023630418632,18.477369449834775,-5.690432027973319,175 days 01:19:59.999999998,32 days 21:04:23.414634146,0.5789732220176687,0.24393266380691764,1.1071160058789007,-0.9049186642785515,99 days 08:24:56.103896102,0
DOV,false,22,89,69,47.05882352941176,3.0988501981574856,6.004415011037527,353.24382055937247,251.86725173573794,0.12794701986754967,1,45.19649412719918,0.8189803529330121,0,0,11325,11326 days 00:00:00,1000.0,26005.938062344998,2500.5938062345,30616.959318474794,100.0,821.6218469978656,49.71932971247019,2802 days 00:00:00,68,1,985.3582643076661,56.25389247810012,-17.123971727098134,19.496006161805475,-5.8929371778432635,194 days 21:00:00,39 days 20:40:00,0.5577312172370218,0.22268272036546893,1.1030831082930264,-0.9183265137395404,112 days 19:24:42.352941176,0
DOV,false,19,85,79,46.15384615384615,3.016738091704678,6.887417218543046,357.16425537768794,249.7652135508307,0.14649006622516555,1,52.32101542353945,0.8503257794184595,0,0,11325,11326 days 00:00:00,1000.0,29934.978287254384,2893.4978287254385,30616.959318474794,100.0,1013.6025682787505,44.978805328407994,2608 days 00:00:00,78,1,1076.1663677947217,54.34197161622214,-13.770236304186318,18.403528644819236,-5.52541091644459,174 days 19:19:59.999999998,31 days 23:25:42.857142857,0.5783808665296254,0.257375028018396,1.1070874231262766,-0.9054936253261618,97 days 21:32:18.461538460,0
DOV,false,21,80,77,47.368421052631575,2.859461662162826,6.710816777041942,346.9224339859455,248.9873928128795,0.1427814569536424,1,49.534090574417114,0.8399405287537667,0,0,11325,11326 days 00:00:00,1000.0,28386.60720881567,2738.6607208815667,30616.959318474794,100.0,1007.7377105444717,47.573703855986885,2762 days 00:00:00,76,1,1020.5022258838144,54.34197161622215,-16.435547706315003,18.38897682854373,-5.889446732745142,174 days 04:40:00.000000002,33 days 04:48:00,0.5715839799207408,0.23932578481331537,1.106027718996905,-0.9105508586795223,99 days 23:41:03.157894738,0
DOV,false,20,82,78,46.75324675324675,2.902623586809089,6.799116997792495,349.78545233965946,247.78190248382015,0.14463576158940397,1,50.59148529204081,0.844186303723706,0,0,11325,11326 days 00:00:00,1000.0,28975.13988229244,2797.5139882292438,30616.959318474794,100.0,999.7095137647811,47.06468757267804,2763 days 00:00:00,77,1,1041.66005213865,54.34197161622213,-16.435547706315003,18.37606805077641,-5.703196805292535,174 days 08:40:00,32 days 15:13:10.243902439,0.5742911190929543,0.2434797759386735,1.1064267307586635,-0.9086286146468773,98 days 21:30:23.376623376,0
DOV,false,22,82,74,47.94520547945205,2.895740887571855,6.445916114790287,338.79611208264976,246.11589711275926,0.1372185430463576,1,46.48910888975168,0.8252672820246847,0,0,11325,11326 days 00:00:00,1000.0,26691.685761147615,2569.1685761147614,30616.959318474794,100.0,886.5990868054699,45.27896209518224,2608 days 00:00:00,73,1,959.5695791141661,53.72104563760395,-13.72363976686835,18.212049067243903,-5.910001052484333,180 days 00:00:00,34 days 19:34:44.210526316,0.5621326489396608,0.24657894055326693,1.1041607767975183,-0.9160867495236706,104 days 10:11:30.410958903,0
