Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
VET-USD,false,5,30,41,45.0,1.3691029543736637,0.016515276630883566,5.398387667324639,2.299904805014047,0.5078447563996696,1.0033030553261768,2.741542869863462,1.0933963969353135,0,0,2422,2423 days 00:00:00,1000.0,5144.701819424941,414.47018194249415,66.99552670681814,100.0,285.7035061167705,50.77897190241403,557 days 00:00:00,40,1,1625.1445377586308,67.52554719485569,-27.7051412845108,23.655958192935085,-9.53962458090209,63 days 01:20:00,9 days 10:54:32.727272727,62.98893204165768,0.7316327149384356,0.5511140568310007,1.1724127608172188,0.3064083639075903,23.32711296493336,1.1642935588724979,0.42445620223398006,-0.033649491807937276,None,None,0.0010617742668998,0.2675671152587496,4.144701819424927,0.18572454596432197,0.44013487435082765,5.186535166090626,33 days 13:47:59.999999999,false
VET-USD,false,5,31,40,43.58974358974359,1.3093341793514615,0.01610239471511148,5.523391720194734,2.222429804575396,0.495458298926507,0.9785301403798513,2.7366102659924363,1.0885050673647876,0,0,2422,2423 days 00:00:00,1000.0,5012.561490248785,401.25614902487854,66.99552670681814,100.0,304.50893924858264,56.63000768015338,557 days 00:00:00,39,1,1583.4031226648665,68.77998440872162,-27.705141284510777,25.15612083609736,-9.647353505730026,65 days 05:38:49.411764706,10 days 10:54:32.727272727,62.28611198933112,0.7265310808279655,0.48533146376760633,1.1715778230183211,0.35572417968477815,24.179678288924837,1.1618146744931679,0.4227833235466823,-0.03338136648652599,None,None,0.001041119247782921,0.26236205044129607,4.012561490248767,0.18252007311092044,0.4346032605006616,4.989297625509118,34 days 07:59:59.999999999,false
VET-USD,false,5,29,43,45.23809523809524,1.3420543847140929,0.017341040462427744,4.932001447748792,2.2179414794609955,0.532617671345995,1.0528488852188274,2.626871126175038,1.05477773647044,0,0,2422,2423 days 00:00:00,1000.0,4798.367653133545,379.8367653133545,66.99552670681814,100.0,280.2611728747896,53.237428056077576,557 days 00:00:00,42,1,1515.742069288542,67.5255471948557,-27.70514128451079,22.591134622965175,-9.655978131777783,58 days 18:56:50.526315790,9 days 17:44:20.869565217,54.34822818678583,0.7117371238271314,0.5005577134654915,1.164447497694938,0.09863031047439566,20.408964502746542,1.1660670352438864,0.42194835680751175,-0.03460657222298216,None,None,0.001037920042782714,0.2615558507812439,3.7983676531335338,0.17716129726571928,0.44227356506177284,4.6695839854438885,31 days 22:17:08.571428570,false
VET-USD,false,5,32,39,44.73684210526316,1.2264725265825533,0.01568951279933939,5.46234624915387,2.1978671298370602,0.48307184145334436,0.953757225433526,2.6387056612345288,1.0305415767506223,0,0,2422,2423 days 00:00:00,1000.0,4444.070197815071,344.4070197815071,66.99552670681814,100.0,303.1369874905057,64.5949597935423,557 days 00:00:00,38,1,1403.8241011609036,68.77998440872162,-27.705141284510777,25.723687710026695,-10.93969207631461,66 days 14:07:03.529411765,9 days 20:34:17.142857142,53.69068675405691,0.6929392575863499,0.3900215424994509,1.1634586711655652,0.2967074344508788,24.506845021378222,1.1457328465356174,0.42445620223398006,-0.03275540767539216,None,None,0.0009883661001833216,0.24906825724619702,3.4440701978150807,0.16780775104696044,0.43258292947658433,4.140746505191021,35 days 05:41:03.157894735,false
VET-USD,false,5,27,42,41.46341463414634,1.3840683123496174,0.016928158546655657,5.175491840501464,2.0824464210301743,0.5202312138728323,1.028075970272502,2.6924524025730157,1.0748468063040386,0,0,2422,2423 days 00:00:00,1000.0,5080.531377449129,408.0531377449129,66.99552670681814,100.0,278.32946494164105,53.680713953269446,598 days 00:00:00,41,1,1604.8739279307108,66.94782602701453,-27.70514128451079,25.113815407621935,-8.947487352875532,62 days 01:24:42.352941177,11 days 17:00:00,60.38188901264428,0.7252755719772369,0.5168195904331276,1.1673817370677235,0.12500563466030362,19.884131926946008,1.1625040974978007,0.4211143695014663,-0.035118002390136405,None,None,0.0010717793771506132,0.27008840304195453,4.080531377449115,0.18417770733352246,0.44817646689937624,5.090751992004046,32 days 14:02:55.609756097,false
VET-USD,false,5,28,43,42.857142857142854,1.314795171978246,0.017341040462427744,4.802960880654671,2.0462318544800966,0.532617671345995,1.0528488852188274,2.5581418398202,1.0218665568703809,0,0,2422,2423 days 00:00:00,1000.0,4501.6593479374715,350.1659347937471,66.99552670681814,100.0,270.6068456089698,54.90290870740541,598 days 00:00:00,42,1,1422.015766303132,66.94782602701453,-27.70514128451079,23.92572700507024,-9.539113712657004,60 days 02:40:00,10 days 10:00:00,49.5153233722462,0.6923758877924315,0.46329931590209544,1.1595822586001807,0.07231535188705823,19.801123090497967,1.1563432020119104,0.4194493263034564,-0.03511800239013636,None,None,0.0010188153501476615,0.25674146823721067,3.501659347937471,0.16937259195765186,0.4462726248864223,4.226706199745583,31 days 17:08:34.285714285,false
VET-USD,false,8,23,38,45.94594594594595,1.2001556940139606,0.0152766308835673,5.006732109754701,2.014543097416093,0.47068538398018167,0.9289843104872006,2.3565956255657965,0.8355516903600188,0,0,2422,2423 days 00:00:00,1000.0,3051.549741229889,205.1549741229889,66.99552670681814,100.0,180.24046642729314,60.82508434258268,598 days 00:00:00,37,1,962.9299430385356,66.09392630194921,-53.43869911583406,25.246491646547298,-12.197063496519007,61 days 14:07:03.529411765,14 days 03:36:00,29.42215670787445,0.5887588924422056,0.30087737023254935,1.1382491790560736,-0.8348174879554147,28.131468398890444,1.1255135239057956,0.4186182669789227,-0.03494577343911757,None,None,0.0009008742166543366,0.22702030259689282,2.0515497412298846,0.12303095414073617,0.4640591929488106,2.0622189899450447,35 days 22:42:09.729729730,false
VET-USD,false,6,28,38,43.24324324324324,1.2341651462903462,0.0152766308835673,5.289503207248197,2.0031254749342287,0.47068538398018167,0.9289843104872006,2.48969184816802,0.9687953089693893,0,0,2422,2423 days 00:00:00,1000.0,3945.1689363826217,294.5168936382622,66.99552670681814,100.0,254.46082494163295,62.254626474550065,557 days 00:00:00,37,1,1246.227667323567,67.52554719485569,-27.705141284510777,26.70597124743467,-11.02780577575102,67 days 16:30:00,12 days 06:51:25.714285714,45.91733159619079,0.6557081717840042,0.3689320515122672,1.154051797463446,0.20492530196512712,23.011111965955763,1.1444346991512508,0.4227833235466823,-0.03413113287506447,None,None,0.0009587185049339838,0.24159706324336394,2.945168936382615,0.15343411124877449,0.44343219001021583,3.3960680379021366,36 days 05:50:16.216216215,false
VET-USD,false,6,24,41,45.0,1.201680244609684,0.016515276630883566,4.690207963823023,1.9981951088476784,0.5078447563996696,1.0033030553261768,2.381897520851494,0.8572378094963062,0,0,2422,2423 days 00:00:00,1000.0,3216.6004447318865,221.66004447318866,66.99552670681814,100.0,204.01385881454092,66.8993955144491,598 days 00:00:00,40,1,1016.0823360395102,66.09392630194922,-53.438699115834076,23.938348039863516,-11.058270280210108,57 days 06:40:00,13 days 20:43:38.181818181,30.012952717309446,0.6017830790814768,0.2876460250506302,1.139883305194957,-0.7162858349304584,26.103490095767196,1.1335329803749288,0.4211143695014663,-0.03590432156611736,None,None,0.0009410093372767327,0.23713435299373664,2.216600444731885,0.12920027568724346,0.47424270958327114,2.308579771948122,33 days 09:35:59.999999999,false
VET-USD,false,6,26,41,42.5,1.2503351066966175,0.016515276630883566,4.9064767662186615,1.9742036692477456,0.5078447563996696,1.0033030553261768,2.491728498120955,0.9829085353178483,0,0,2422,2423 days 00:00:00,1000.0,4141.32843723219,314.13284372321897,66.99552670681814,100.0,268.5135181026586,60.523695528649604,598 days 00:00:00,40,1,1308.191907919878,66.09392630194922,-27.70514128451077,25.120921091508603,-10.034634256821729,61 days 08:28:14.117647059,12 days 18:46:57.391304347,45.82841323280775,0.6672682362659345,0.3943890998042211,1.1529111142367068,0.059438338031310246,18.941834178740162,1.1513031489448828,0.42028135990621335,-0.03527636430455312,None,None,0.0009957133998033966,0.25091977675045596,3.1413284372322066,0.1592699107791089,0.452564623417773,3.6888629609243693,33 days 10:11:59.999999999,false
