Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Profit Factor Adjusted,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
STT,true,74,78,false,156,59.61538461538461,1.7634307288518463,0.013742071881606765,4.6016289627740115,4.4971783684109194,0.28858350951374206,0.5771670190274841,1.327954235557405,1.188318780666378,0,0,11352,11353 days 00:00:00,1000.0,322626.1724442561,32162.617244425608,47157.10125612846,100.0,34517.58323425424,48.43360447133473,1153 days 00:00:00,156,0,0.0,66.95654596100279,-37.57435125331153,11.365589024647335,-5.383264461896133,57 days 19:21:17.419354839,29 days 06:05:42.857142857,2061.7062336170256,0.7937784720408948,0.4213579421715464,1.1702306132165132,0.5230951014019729,21.854908415123806,1.1049561051762586,0.44165079365079357,-0.020815420884846836,None,None,0.0006198645283526217,0.15620586114486065,321.62617244425905,0.13680256135053503,0.23683406593895132,1.7634307288518463,-0.3179687387963481,16442.38095238095,1.8628835435962612,3.81509701962327,46 days 06:36:55.384615384
TPR,true,30,44,false,70,57.14285714285714,2.5867797111247617,0.011372867587327376,8.923869262463512,6.574963538377978,0.2388302193338749,0.4776604386677498,2.131289653260985,1.3347592107650612,0,0,6155,6156 days 00:00:00,1000.0,62706.03399768706,6170.6033997687055,2788.615534855757,100.0,1853.748720166909,57.1520850176745,1476 days 00:00:00,70,0,0.0,176.4863925820333,-24.635266926688086,22.422141241975243,-9.073826710218793,68 days 22:48:00,26 days 20:00:00,881.5147713955291,0.8761923806329777,0.48660042181483953,1.1856729628745462,0.3807709464920742,10.081303644716927,1.1558365535243131,0.4223659889094269,-0.026432318492497265,None,None,0.0008393884703135247,0.21152589451900822,61.70603399768694,0.18460637719647233,0.2905428751571458,2.5867797111247617,1.2127838429645286,8914.980158730159,0.9188619429670576,2.971972272184787,50 days 21:36:00
TGT,true,85,86,false,373,50.0,1.2931129615898618,0.028314811995737554,1.6727188212948023,1.3710810010613135,0.5962094687166997,1.1908205206271885,0.9972907997565982,0.8400869967447767,0,0,13138,13139 days 00:00:00,1000.0,65064.360312676676,6406.436031267667,24335.53223129868,100.0,25771.1054544939,54.16653965003564,2044 days 00:00:00,372,1,-1406.8462844941896,205.92288904313483,-26.103510976080123,6.638406677174589,-3.2929690345849845,25 days 17:48:23.225806451,16 days 10:03:52.258064516,175.99786719669646,0.5637433631485864,0.22705225417250982,1.1142101530157298,0.2929145357510057,12.604373323587811,1.1967005926890317,0.40418937693705254,-0.021214963969581776,None,None,0.0004179919862378595,0.1053339805319406,64.06436031267654,0.08337570218504275,0.2248708782758517,1.2931129615898618,-0.7367455960947443,19029.24603174603,3.098890713263906,2.759352330277189,21 days 01:56:07.741935483
SYF,true,20,28,false,54,61.111111111111114,2.8549793011818405,0.020134228187919462,4.306656224257269,2.6130273720212647,0.4228187919463087,0.8456375838926175,1.8209351820685098,1.6344069631243978,0,0,2682,2683 days 00:00:00,1000.0,7235.107748321099,623.51077483211,130.1739070726468,100.0,338.1403846243385,30.35625581897795,649 days 00:00:00,54,0,0.0,38.3949016572253,-17.883666009104015,9.802162555008689,-4.329139438352109,34 days 06:32:43.636363636,16 days 13:42:51.428571428,115.4649583022426,1.0422283890392139,1.0177209749147693,1.2351966641424672,1.0087659835862461,16.279968405432808,1.1415028590242016,0.41807610993657507,-0.022947005998314052,None,None,0.0008612955493952059,0.21704647844759187,6.23510774832105,0.2042679370695868,0.25063170413848335,2.8549793011818405,3.789829151276409,3884.642857142857,0.5327377627027428,2.4903878871566256,27 days 09:19:59.999999999
TDY,true,66,75,false,77,67.10526315789474,2.1274621872271933,0.01192156862745098,4.999924783145489,4.269598691225362,0.25364705882352945,0.504,1.2682162155837267,1.0674445790848046,0,0,6375,6376 days 00:00:00,1000.0,26621.279121775126,2562.1279121775124,5798.785083911976,100.0,1565.950352418562,55.76923076923076,822 days 00:00:00,76,1,4134.050895441909,70.58628571428571,-31.838474406338126,10.224934550888474,-5.6590951430502,62 days 20:14:07.058823529,33 days 19:12:00,282.72668718859495,0.6905608453166814,0.3705808306730303,1.1558134107924887,1.7696467156800622,57.75520804375015,1.1015598590663787,0.5170116583392814,-0.024403134594166175,None,None,0.0006995666516775483,0.17629079622274216,25.621279121775107,0.138491060289901,0.3072372370010564,2.1274621872271933,-0.5581612570388538,9233.630952380952,0.9807824205085452,2.4502286160159796,53 days 06:56:50.526315788
SYY,true,38,41,false,325,50.92592592592593,1.296355285355037,0.024761176920137563,1.4678672596451134,1.2254508087504743,0.5215896064195644,1.0415743217424531,0.7656243062344593,0.7719937331025147,0,0,13085,13086 days 00:00:00,1000.0,34836.99810624377,3383.6998106243777,46881.63105030209,100.0,13232.125538071145,51.96117377857874,3433 days 00:00:00,324,1,1029.3492137912617,87.21244884547163,-23.88667182958711,6.34583654074118,-3.594176333945145,30 days 17:53:27.272727273,16 days 02:06:47.547169811,101.25817559398928,0.5167652217167157,0.2003556584359221,1.118511113188306,0.5244443459410684,14.085547436781908,1.1685988560580804,0.3287977254264825,-0.018306350061788452,None,None,0.0003592503063865024,0.09053107720939861,33.83699810624338,0.07076808865762296,0.21083881752929623,1.296355285355037,-0.9278246141437826,18952.48015873016,2.8867937729048108,2.4119187645831355,23 days 13:15:33.333333333
TFX,true,37,40,false,296,51.01351351351351,1.373359784889408,0.026074700493305146,1.3512422489223068,1.1300264709086638,0.547568710359408,1.095137420718816,0.7398979756255337,0.7533862821884126,0,0,11352,11353 days 00:00:00,1000.0,17933.422261701984,1693.3422261701985,8945.162306195245,100.0,4230.1650601771225,56.57875886965383,3733 days 00:00:00,296,0,0.0,60.89956245761473,-26.751361694608665,6.72868675460717,-4.248717201825378,28 days 04:17:29.006622516,16 days 05:17:47.586206896,57.20750764088518,0.513963271295805,0.17188338928312485,1.1056665880533643,0.09721526617559906,9.660378477996709,1.15617576260149,0.3918107147235504,-0.017966199838472443,None,None,0.0003291021470578025,0.08293374105856624,16.93342226170181,0.06617201982162246,0.19419825965870774,1.373359784889408,-0.8106974285980901,16442.38095238095,2.566074509670916,2.2203768882304735,22 days 07:42:09.729729728
LUV,true,17,22,false,326,50.153846153846146,1.3155208503589328,0.02849877236057524,1.570252128306636,1.291052191243287,0.6003156787092249,1.1987898982813048,0.9426469721490031,0.7603110997007883,0,0,11404,11405 days 00:00:00,1000.0,32647.44970706122,3164.744970706122,16386.97038036095,100.0,6552.651548330458,60.240745228164194,2887 days 00:00:00,325,1,3354.0940415622135,111.009439696888,-23.319718933435492,8.50545483237323,-5.407760468994936,26 days 03:32:01.472392638,11 days 14:31:06.666666666,87.05647897076608,0.5129603371580453,0.1959092665831154,1.105907130648592,0.21443273933065998,9.809370566073861,1.180004760842806,0.35451306413301664,-0.025739191772918123,None,None,0.0004394821907708824,0.11074951207426237,31.647449707061057,0.08006368873300707,0.2598389168876771,1.3155208503589328,-0.806874309451433,16517.698412698413,2.6991350833040553,2.2196683788953626,18 days 21:33:47.076923075
STT,false,32,79,false,56,50.0,2.074076346399557,0.004933051444679351,13.588135894491078,7.008064193143308,0.10359408033826639,0.20718816067653278,1.40765044150119,1.0246518180796464,0,0,11352,11353 days 00:00:00,1000.0,119367.05064260452,11836.705064260452,47157.10125612846,100.0,5891.133763175615,42.90598077371553,1362 days 00:00:00,56,0,0.0,230.02067669172934,-15.249038461538456,35.02453602523265,-7.848264236250493,219 days 17:08:34.285714288,53 days 09:25:42.857142857,2113.697332903651,0.6979085207989498,0.38735226699574543,1.1388788787641273,0.07759065384627879,10.62706005616556,1.0612636103020499,0.471739694062743,-0.02127676520995761,None,None,0.0005243263361004255,0.13213023669730722,118.36705064260622,0.11198809985629654,0.22785044134207824,2.074076346399557,-0.7489942182838862,16442.38095238095,1.116136782331103,1.9442792601006842,136 days 13:17:08.571428572
STE,true,62,63,false,294,50.85324232081911,1.2878436290529798,0.035446406968303895,1.3186434638679831,1.0992999279154563,0.746915073796274,1.4912896201306558,0.984914680125929,0.7668305288360334,0,0,8266,8267 days 00:00:00,1000.0,16185.286716219527,1518.5286716219528,10889.090613162916,100.0,5900.597829600743,63.886160513707466,1415 days 00:00:00,293,1,-116.97564837903519,68.41818181818184,-33.357612982122895,6.219849625353908,-3.7527434671139814,20 days 07:34:13.691275167,13 days 18:20:00,52.22615141501214,0.5287212204292753,0.2047335273534822,1.1142852560371006,-0.3095676320626061,20.221561022875914,1.1739554303984787,0.4387399930386356,-0.025309085212042802,None,None,0.0005035636736435451,0.12689804575817337,15.18528671621958,0.08857206189523525,0.28885131863342584,1.2878436290529798,-0.8605458687444175,11972.579365079364,2.1822704980705234,1.7966352776655314,17 days 02:17:36.655290101
