Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Total Return [%],FTNT,true,7,24,82,49.382716049382715,2.093350732644207,21.215295966474592,329.665295077306,246.66314633543286,0.45102147721320063,1,148.68612837169223,1.639473056597532,0,0,3818,3819 days 00:00:00,1000.0,27675.21368757422,2667.521368757422,5730.325208978481,100.0,1623.351961529585,48.81261271882604,772 days 00:00:00,81,1,-27.675213687572978,76.82466584639948,-20.102711690792578,16.47885327795182,-5.745970952531045,45 days 19:48:00,13 days 05:51:13.170731707,1.0545331115631,0.765163524986737,1.2301334175733116,-0.5344904047369157,29 days 07:59:59.999999999,1
Most Sharpe Ratio,FTNT,true,7,24,82,49.382716049382715,2.093350732644207,21.215295966474592,329.665295077306,246.66314633543286,0.45102147721320063,1,148.68612837169223,1.639473056597532,0,0,3818,3819 days 00:00:00,1000.0,27675.21368757422,2667.521368757422,5730.325208978481,100.0,1623.351961529585,48.81261271882604,772 days 00:00:00,81,1,-27.675213687572978,76.82466584639948,-20.102711690792578,16.47885327795182,-5.745970952531045,45 days 19:48:00,13 days 05:51:13.170731707,1.0545331115631,0.765163524986737,1.2301334175733116,-0.5344904047369157,29 days 07:59:59.999999999,1
Most Calmar Ratio,FTNT,true,7,24,82,49.382716049382715,2.093350732644207,21.215295966474592,329.665295077306,246.66314633543286,0.45102147721320063,1,148.68612837169223,1.639473056597532,0,0,3818,3819 days 00:00:00,1000.0,27675.21368757422,2667.521368757422,5730.325208978481,100.0,1623.351961529585,48.81261271882604,772 days 00:00:00,81,1,-27.675213687572978,76.82466584639948,-20.102711690792578,16.47885327795182,-5.745970952531045,45 days 19:48:00,13 days 05:51:13.170731707,1.0545331115631,0.765163524986737,1.2301334175733116,-0.5344904047369157,29 days 07:59:59.999999999,1
Most Omega Ratio,FTNT,true,7,24,82,49.382716049382715,2.093350732644207,21.215295966474592,329.665295077306,246.66314633543286,0.45102147721320063,1,148.68612837169223,1.639473056597532,0,0,3818,3819 days 00:00:00,1000.0,27675.21368757422,2667.521368757422,5730.325208978481,100.0,1623.351961529585,48.81261271882604,772 days 00:00:00,81,1,-27.675213687572978,76.82466584639948,-20.102711690792578,16.47885327795182,-5.745970952531045,45 days 19:48:00,13 days 05:51:13.170731707,1.0545331115631,0.765163524986737,1.2301334175733116,-0.5344904047369157,29 days 07:59:59.999999999,1
Most Sortino Ratio,FTNT,true,7,24,82,49.382716049382715,2.093350732644207,21.215295966474592,329.665295077306,246.66314633543286,0.45102147721320063,1,148.68612837169223,1.639473056597532,0,0,3818,3819 days 00:00:00,1000.0,27675.21368757422,2667.521368757422,5730.325208978481,100.0,1623.351961529585,48.81261271882604,772 days 00:00:00,81,1,-27.675213687572978,76.82466584639948,-20.102711690792578,16.47885327795182,-5.745970952531045,45 days 19:48:00,13 days 05:51:13.170731707,1.0545331115631,0.765163524986737,1.2301334175733116,-0.5344904047369157,29 days 07:59:59.999999999,1
Most Worst Trade [%],FTNT,true,22,49,36,45.714285714285715,2.8257324569755986,9.167103195390258,480.47448669768386,176.48282339676175,0.19800942902042956,1,95.13847876989236,1.3710422054641669,0,0,3818,3819 days 00:00:00,1000.0,17798.80822619275,1679.8808226192748,5730.325208978481,100.0,417.6564534115668,46.875087310836555,1017 days 00:00:00,35,1,-17.798808226190886,128.61961719331092,-15.369938444712064,35.91669018740894,-6.674821682555278,105 days 07:30:00,37 days 15:09:28.421052631,0.9332411632413017,0.6757481327880684,1.2004280592654568,-0.7068437197967095,68 days 13:42:51.428571428,1
Most Profit Factor,FTNT,true,22,49,36,45.714285714285715,2.8257324569755986,9.167103195390258,480.47448669768386,176.48282339676175,0.19800942902042956,1,95.13847876989236,1.3710422054641669,0,0,3818,3819 days 00:00:00,1000.0,17798.80822619275,1679.8808226192748,5730.325208978481,100.0,417.6564534115668,46.875087310836555,1017 days 00:00:00,35,1,-17.798808226190886,128.61961719331092,-15.369938444712064,35.91669018740894,-6.674821682555278,105 days 07:30:00,37 days 15:09:28.421052631,0.9332411632413017,0.6757481327880684,1.2004280592654568,-0.7068437197967095,68 days 13:42:51.428571428,1
Most Expectancy,FTNT,true,22,49,36,45.714285714285715,2.8257324569755986,9.167103195390258,480.47448669768386,176.48282339676175,0.19800942902042956,1,95.13847876989236,1.3710422054641669,0,0,3818,3819 days 00:00:00,1000.0,17798.80822619275,1679.8808226192748,5730.325208978481,100.0,417.6564534115668,46.875087310836555,1017 days 00:00:00,35,1,-17.798808226190886,128.61961719331092,-15.369938444712064,35.91669018740894,-6.674821682555278,105 days 07:30:00,37 days 15:09:28.421052631,0.9332411632413017,0.6757481327880684,1.2004280592654568,-0.7068437197967095,68 days 13:42:51.428571428,1
Median Worst Trade [%],FTNT,true,6,25,86,47.05882352941176,1.798066311392898,22.262964903090623,235.8896742219514,168.19228108517032,0.47302252488213725,1,111.58112929409225,1.5009389714961696,0,0,3818,3819 days 00:00:00,1000.0,21029.592716149717,2002.9592716149718,5730.325208978481,100.0,1512.987339589428,58.12571815959265,772 days 00:00:00,85,1,-21.029592716146,77.26670873497513,-17.7779512650421,15.924994121017106,-5.455690927007146,45 days 22:48:00,11 days 21:20:00,0.9804685255260099,0.5813557536344218,1.2129526661780736,-0.6504632462261195,27 days 22:01:24.705882352,1
Mean Max Drawdown [%],FTNT,true,6,27,82,45.67901234567901,1.7012476896652282,21.215295966474592,222.67858809157485,154.11724203868815,0.45102147721320063,1,100.43282574481192,1.4530322287294626,0,0,3818,3819 days 00:00:00,1000.0,19017.947687729855,1801.7947687729854,5730.325208978481,100.0,1369.3309153967903,59.196727114688066,772 days 00:00:00,81,1,-19.01794768772743,76.82466584639948,-17.777951265042088,17.591704145414514,-5.895479479924107,50 days 18:48:38.918918919,11 days 11:27:16.363636363,0.9526092180806658,0.5492223726153628,1.2061396120393792,-0.6855684968891699,29 days 10:22:13.333333332,1
