Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Total Return [%],RF,true,20,27,255,46.45669291338583,1.2576452177378796,22.46197382384153,16.988796839354606,11.958232086875709,0.47355854262469044,1,8.045189872191715,0.5029856751048384,0,0,11308,11309 days 00:00:00,1000.0,5309.8445526434,430.98445526433994,1437.7891507272373,100.0,1418.408766869676,84.92377170354764,5746 days 00:00:00,254,1,-5.309844552642971,43.59503490459472,-16.65684504334238,7.192707992041074,-4.37505064888297,36 days 11:11:11.186440678,14 days 16:14:07.058823529,0.3274476116640487,0.06519220911019079,1.0845931424793698,-0.7002450219864665,24 days 19:10:51.968503936,1
Mean Avg Winning Trade [%],RF,true,20,27,255,46.45669291338583,1.2576452177378796,22.46197382384153,16.988796839354606,11.958232086875709,0.47355854262469044,1,8.045189872191715,0.5029856751048384,0,0,11308,11309 days 00:00:00,1000.0,5309.8445526434,430.98445526433994,1437.7891507272373,100.0,1418.408766869676,84.92377170354764,5746 days 00:00:00,254,1,-5.309844552642971,43.59503490459472,-16.65684504334238,7.192707992041074,-4.37505064888297,36 days 11:11:11.186440678,14 days 16:14:07.058823529,0.3274476116640487,0.06519220911019079,1.0845931424793698,-0.7002450219864665,24 days 19:10:51.968503936,1
Most Profit Factor,RF,true,20,27,255,46.45669291338583,1.2576452177378796,22.46197382384153,16.988796839354606,11.958232086875709,0.47355854262469044,1,8.045189872191715,0.5029856751048384,0,0,11308,11309 days 00:00:00,1000.0,5309.8445526434,430.98445526433994,1437.7891507272373,100.0,1418.408766869676,84.92377170354764,5746 days 00:00:00,254,1,-5.309844552642971,43.59503490459472,-16.65684504334238,7.192707992041074,-4.37505064888297,36 days 11:11:11.186440678,14 days 16:14:07.058823529,0.3274476116640487,0.06519220911019079,1.0845931424793698,-0.7002450219864665,24 days 19:10:51.968503936,1
Most Expectancy,RF,true,20,27,255,46.45669291338583,1.2576452177378796,22.46197382384153,16.988796839354606,11.958232086875709,0.47355854262469044,1,8.045189872191715,0.5029856751048384,0,0,11308,11309 days 00:00:00,1000.0,5309.8445526434,430.98445526433994,1437.7891507272373,100.0,1418.408766869676,84.92377170354764,5746 days 00:00:00,254,1,-5.309844552642971,43.59503490459472,-16.65684504334238,7.192707992041074,-4.37505064888297,36 days 11:11:11.186440678,14 days 16:14:07.058823529,0.3274476116640487,0.06519220911019079,1.0845931424793698,-0.7002450219864665,24 days 19:10:51.968503936,1
Most Sharpe Ratio,RF,true,20,27,255,46.45669291338583,1.2576452177378796,22.46197382384153,16.988796839354606,11.958232086875709,0.47355854262469044,1,8.045189872191715,0.5029856751048384,0,0,11308,11309 days 00:00:00,1000.0,5309.8445526434,430.98445526433994,1437.7891507272373,100.0,1418.408766869676,84.92377170354764,5746 days 00:00:00,254,1,-5.309844552642971,43.59503490459472,-16.65684504334238,7.192707992041074,-4.37505064888297,36 days 11:11:11.186440678,14 days 16:14:07.058823529,0.3274476116640487,0.06519220911019079,1.0845931424793698,-0.7002450219864665,24 days 19:10:51.968503936,1
Most Omega Ratio,RF,true,20,27,255,46.45669291338583,1.2576452177378796,22.46197382384153,16.988796839354606,11.958232086875709,0.47355854262469044,1,8.045189872191715,0.5029856751048384,0,0,11308,11309 days 00:00:00,1000.0,5309.8445526434,430.98445526433994,1437.7891507272373,100.0,1418.408766869676,84.92377170354764,5746 days 00:00:00,254,1,-5.309844552642971,43.59503490459472,-16.65684504334238,7.192707992041074,-4.37505064888297,36 days 11:11:11.186440678,14 days 16:14:07.058823529,0.3274476116640487,0.06519220911019079,1.0845931424793698,-0.7002450219864665,24 days 19:10:51.968503936,1
Most Sortino Ratio,RF,true,20,27,255,46.45669291338583,1.2576452177378796,22.46197382384153,16.988796839354606,11.958232086875709,0.47355854262469044,1,8.045189872191715,0.5029856751048384,0,0,11308,11309 days 00:00:00,1000.0,5309.8445526434,430.98445526433994,1437.7891507272373,100.0,1418.408766869676,84.92377170354764,5746 days 00:00:00,254,1,-5.309844552642971,43.59503490459472,-16.65684504334238,7.192707992041074,-4.37505064888297,36 days 11:11:11.186440678,14 days 16:14:07.058823529,0.3274476116640487,0.06519220911019079,1.0845931424793698,-0.7002450219864665,24 days 19:10:51.968503936,1
Median Avg Winning Trade [%],RF,true,17,27,233,44.827586206896555,1.2177528077405042,20.516448532012735,14.541876424614827,9.876927561128149,0.4327025114962858,1,6.292306450799464,0.4701415714484621,0,0,11308,11309 days 00:00:00,1000.0,4369.3459845261095,336.93459845261094,1437.7891507272373,100.0,1131.7341907968244,84.05337660304343,5055 days 00:00:00,232,1,-4.369345984525353,59.94921446381941,-30.46546676753809,8.362199240941179,-4.823929839936306,40 days 13:36:55.384615384,16 days 01:41:15,0.3075178585906771,0.05799191085667278,1.0799725015834218,-0.7656578516521781,27 days 01:14:28.965517241,1
Median Avg Losing Trade [%],RF,true,9,33,196,41.02564102564102,1.2074184852194367,17.244428723027944,13.03458404365199,8.10230554383962,0.3639900955076052,1,4.744459490950795,0.4306769178567325,0,0,11308,11309 days 00:00:00,1000.0,3538.205682829308,253.8205682829308,1437.7891507272373,100.0,912.1520556116922,66.26460164345693,4758 days 00:00:00,195,1,-3.5382056828289024,40.895225082847766,-15.956969813347325,9.07417464481421,-4.493922221140248,55 days 00:54:00,16 days 23:22:26.086956521,0.2856711277558242,0.06281879493094962,1.0720592524012726,-0.823464679675356,32 days 14:09:13.846153845,1
Median Win Rate [%],RF,true,10,32,198,42.13197969543147,1.1968766666359945,17.421294658648744,12.298802811134415,7.851104701770161,0.36770428015564205,1,4.522322434444367,0.42485391376255294,0,0,11308,11309 days 00:00:00,1000.0,3419.444709084405,241.94447090844048,1437.7891507272373,100.0,916.6691785497314,68.89664140144582,5056 days 00:00:00,197,1,-3.4194447090840185,40.89522508284775,-17.788297166849638,8.823950474368765,-4.6237813790741145,53 days 08:40:28.915662651,16 days 20:37:53.684210526,0.2821388315775016,0.058753897530421706,1.0711651542552845,-0.8317246511520382,32 days 05:43:33.197969542,1
