Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Least Max Drawdown [%],SJM,true,48,51,183,43.956043956043956,0.9787879904363441,23.90961639516553,-0.5021050424449136,-0.3344022926706051,0.5048607461902259,2,-0.25349312639461413,0.12104059210957456,0,0,7612,7613 days 00:00:00,1000.0,907.7091731019235,-9.22908268980765,345.85262900904866,100.0,425.83976683358725,55.52574655681484,6872 days 00:00:00,182,1,-0.9077091731018072,35.20759493670888,-19.04388026069192,4.7707176991400555,-3.4897685471529507,31 days 00:54:00,15 days 13:38:49.411764705,0.0850934397409321,-0.00834162052762311,1.0178781059796824,-1.026685015280211,22 days 08:50:06.593406592,1
Most Profit Factor,SJM,true,48,51,183,43.956043956043956,0.9787879904363441,23.90961639516553,-0.5021050424449136,-0.3344022926706051,0.5048607461902259,2,-0.25349312639461413,0.12104059210957456,0,0,7612,7613 days 00:00:00,1000.0,907.7091731019235,-9.22908268980765,345.85262900904866,100.0,425.83976683358725,55.52574655681484,6872 days 00:00:00,182,1,-0.9077091731018072,35.20759493670888,-19.04388026069192,4.7707176991400555,-3.4897685471529507,31 days 00:54:00,15 days 13:38:49.411764705,0.0850934397409321,-0.00834162052762311,1.0178781059796824,-1.026685015280211,22 days 08:50:06.593406592,1
Most Expectancy,SJM,true,48,51,183,43.956043956043956,0.9787879904363441,23.90961639516553,-0.5021050424449136,-0.3344022926706051,0.5048607461902259,2,-0.25349312639461413,0.12104059210957456,0,0,7612,7613 days 00:00:00,1000.0,907.7091731019235,-9.22908268980765,345.85262900904866,100.0,425.83976683358725,55.52574655681484,6872 days 00:00:00,182,1,-0.9077091731018072,35.20759493670888,-19.04388026069192,4.7707176991400555,-3.4897685471529507,31 days 00:54:00,15 days 13:38:49.411764705,0.0850934397409321,-0.00834162052762311,1.0178781059796824,-1.026685015280211,22 days 08:50:06.593406592,1
Most Total Return [%],SJM,true,47,52,141,43.57142857142857,0.9787660517179307,18.39201261166579,-0.5402001380680765,-0.35662563227437954,0.38899106673673145,1,-0.2101330279584307,0.12665814713531756,0,0,7612,7613 days 00:00:00,1000.0,923.4485321383306,-7.655146786166939,345.85262900904866,100.0,312.3234465456283,56.16639639681536,6872 days 00:00:00,140,1,-0.9234485321381953,46.33817869859964,-18.528753072250087,5.557144454179767,-3.9312208296937823,39 days 17:42:17.704918033,21 days 00:54:41.012658227,0.0886713182607633,-0.006785221259983682,1.018603235441223,-1.022134129233312,29 days 04:27:25.714285713,1
Least Total Fees Paid,SJM,true,47,52,141,43.57142857142857,0.9787660517179307,18.39201261166579,-0.5402001380680765,-0.35662563227437954,0.38899106673673145,1,-0.2101330279584307,0.12665814713531756,0,0,7612,7613 days 00:00:00,1000.0,923.4485321383306,-7.655146786166939,345.85262900904866,100.0,312.3234465456283,56.16639639681536,6872 days 00:00:00,140,1,-0.9234485321381953,46.33817869859964,-18.528753072250087,5.557144454179767,-3.9312208296937823,39 days 17:42:17.704918033,21 days 00:54:41.012658227,0.0886713182607633,-0.006785221259983682,1.018603235441223,-1.022134129233312,29 days 04:27:25.714285713,1
Least Total Trades,SJM,true,47,52,141,43.57142857142857,0.9787660517179307,18.39201261166579,-0.5402001380680765,-0.35662563227437954,0.38899106673673145,1,-0.2101330279584307,0.12665814713531756,0,0,7612,7613 days 00:00:00,1000.0,923.4485321383306,-7.655146786166939,345.85262900904866,100.0,312.3234465456283,56.16639639681536,6872 days 00:00:00,140,1,-0.9234485321381953,46.33817869859964,-18.528753072250087,5.557144454179767,-3.9312208296937823,39 days 17:42:17.704918033,21 days 00:54:41.012658227,0.0886713182607633,-0.006785221259983682,1.018603235441223,-1.022134129233312,29 days 04:27:25.714285713,1
Most Avg Winning Trade [%],SJM,true,47,52,141,43.57142857142857,0.9787660517179307,18.39201261166579,-0.5402001380680765,-0.35662563227437954,0.38899106673673145,1,-0.2101330279584307,0.12665814713531756,0,0,7612,7613 days 00:00:00,1000.0,923.4485321383306,-7.655146786166939,345.85262900904866,100.0,312.3234465456283,56.16639639681536,6872 days 00:00:00,140,1,-0.9234485321381953,46.33817869859964,-18.528753072250087,5.557144454179767,-3.9312208296937823,39 days 17:42:17.704918033,21 days 00:54:41.012658227,0.0886713182607633,-0.006785221259983682,1.018603235441223,-1.022134129233312,29 days 04:27:25.714285713,1
Least Avg Losing Trade [%],SJM,true,47,52,141,43.57142857142857,0.9787660517179307,18.39201261166579,-0.5402001380680765,-0.35662563227437954,0.38899106673673145,1,-0.2101330279584307,0.12665814713531756,0,0,7612,7613 days 00:00:00,1000.0,923.4485321383306,-7.655146786166939,345.85262900904866,100.0,312.3234465456283,56.16639639681536,6872 days 00:00:00,140,1,-0.9234485321381953,46.33817869859964,-18.528753072250087,5.557144454179767,-3.9312208296937823,39 days 17:42:17.704918033,21 days 00:54:41.012658227,0.0886713182607633,-0.006785221259983682,1.018603235441223,-1.022134129233312,29 days 04:27:25.714285713,1
Most Sharpe Ratio,SJM,true,47,52,141,43.57142857142857,0.9787660517179307,18.39201261166579,-0.5402001380680765,-0.35662563227437954,0.38899106673673145,1,-0.2101330279584307,0.12665814713531756,0,0,7612,7613 days 00:00:00,1000.0,923.4485321383306,-7.655146786166939,345.85262900904866,100.0,312.3234465456283,56.16639639681536,6872 days 00:00:00,140,1,-0.9234485321381953,46.33817869859964,-18.528753072250087,5.557144454179767,-3.9312208296937823,39 days 17:42:17.704918033,21 days 00:54:41.012658227,0.0886713182607633,-0.006785221259983682,1.018603235441223,-1.022134129233312,29 days 04:27:25.714285713,1
Most Calmar Ratio,SJM,true,47,52,141,43.57142857142857,0.9787660517179307,18.39201261166579,-0.5402001380680765,-0.35662563227437954,0.38899106673673145,1,-0.2101330279584307,0.12665814713531756,0,0,7612,7613 days 00:00:00,1000.0,923.4485321383306,-7.655146786166939,345.85262900904866,100.0,312.3234465456283,56.16639639681536,6872 days 00:00:00,140,1,-0.9234485321381953,46.33817869859964,-18.528753072250087,5.557144454179767,-3.9312208296937823,39 days 17:42:17.704918033,21 days 00:54:41.012658227,0.0886713182607633,-0.006785221259983682,1.018603235441223,-1.022134129233312,29 days 04:27:25.714285713,1
