Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Total Return [%],AAPL,false,7,13,320,37.93103448275862,2.717652787699351,28.6767349874146,6120.582557449561,3517.576182442276,0.6040992448759439,2,3697.4393011561533,1.358700658666852,0,0,11124,11125 days 00:00:00,1000.0,1951514.3215049054,195051.43215049055,183775.09977606655,100.0,117558.87319753264,54.57166289767906,1223 days 00:00:00,319,1,-1951.5143215046264,116.50448348765534,-18.244234559211307,15.89367783695076,-4.409995582501955,39 days 10:42:38.677685950,7 days 20:36:21.818181818,0.8746015113207743,0.5171073619433315,1.1901197212948635,0.06135941369730954,19 days 20:09:46.833855798,1
Most Win Rate [%],AAPL,false,7,13,320,37.93103448275862,2.717652787699351,28.6767349874146,6120.582557449561,3517.576182442276,0.6040992448759439,2,3697.4393011561533,1.358700658666852,0,0,11124,11125 days 00:00:00,1000.0,1951514.3215049054,195051.43215049055,183775.09977606655,100.0,117558.87319753264,54.57166289767906,1223 days 00:00:00,319,1,-1951.5143215046264,116.50448348765534,-18.244234559211307,15.89367783695076,-4.409995582501955,39 days 10:42:38.677685950,7 days 20:36:21.818181818,0.8746015113207743,0.5171073619433315,1.1901197212948635,0.06135941369730954,19 days 20:09:46.833855798,1
Most Expectancy,AAPL,false,7,13,320,37.93103448275862,2.717652787699351,28.6767349874146,6120.582557449561,3517.576182442276,0.6040992448759439,2,3697.4393011561533,1.358700658666852,0,0,11124,11125 days 00:00:00,1000.0,1951514.3215049054,195051.43215049055,183775.09977606655,100.0,117558.87319753264,54.57166289767906,1223 days 00:00:00,319,1,-1951.5143215046264,116.50448348765534,-18.244234559211307,15.89367783695076,-4.409995582501955,39 days 10:42:38.677685950,7 days 20:36:21.818181818,0.8746015113207743,0.5171073619433315,1.1901197212948635,0.06135941369730954,19 days 20:09:46.833855798,1
Most Sharpe Ratio,AAPL,false,7,13,320,37.93103448275862,2.717652787699351,28.6767349874146,6120.582557449561,3517.576182442276,0.6040992448759439,2,3697.4393011561533,1.358700658666852,0,0,11124,11125 days 00:00:00,1000.0,1951514.3215049054,195051.43215049055,183775.09977606655,100.0,117558.87319753264,54.57166289767906,1223 days 00:00:00,319,1,-1951.5143215046264,116.50448348765534,-18.244234559211307,15.89367783695076,-4.409995582501955,39 days 10:42:38.677685950,7 days 20:36:21.818181818,0.8746015113207743,0.5171073619433315,1.1901197212948635,0.06135941369730954,19 days 20:09:46.833855798,1
Most Calmar Ratio,AAPL,false,7,13,320,37.93103448275862,2.717652787699351,28.6767349874146,6120.582557449561,3517.576182442276,0.6040992448759439,2,3697.4393011561533,1.358700658666852,0,0,11124,11125 days 00:00:00,1000.0,1951514.3215049054,195051.43215049055,183775.09977606655,100.0,117558.87319753264,54.57166289767906,1223 days 00:00:00,319,1,-1951.5143215046264,116.50448348765534,-18.244234559211307,15.89367783695076,-4.409995582501955,39 days 10:42:38.677685950,7 days 20:36:21.818181818,0.8746015113207743,0.5171073619433315,1.1901197212948635,0.06135941369730954,19 days 20:09:46.833855798,1
Most Omega Ratio,AAPL,false,7,13,320,37.93103448275862,2.717652787699351,28.6767349874146,6120.582557449561,3517.576182442276,0.6040992448759439,2,3697.4393011561533,1.358700658666852,0,0,11124,11125 days 00:00:00,1000.0,1951514.3215049054,195051.43215049055,183775.09977606655,100.0,117558.87319753264,54.57166289767906,1223 days 00:00:00,319,1,-1951.5143215046264,116.50448348765534,-18.244234559211307,15.89367783695076,-4.409995582501955,39 days 10:42:38.677685950,7 days 20:36:21.818181818,0.8746015113207743,0.5171073619433315,1.1901197212948635,0.06135941369730954,19 days 20:09:46.833855798,1
Most Sortino Ratio,AAPL,false,7,13,320,37.93103448275862,2.717652787699351,28.6767349874146,6120.582557449561,3517.576182442276,0.6040992448759439,2,3697.4393011561533,1.358700658666852,0,0,11124,11125 days 00:00:00,1000.0,1951514.3215049054,195051.43215049055,183775.09977606655,100.0,117558.87319753264,54.57166289767906,1223 days 00:00:00,319,1,-1951.5143215046264,116.50448348765534,-18.244234559211307,15.89367783695076,-4.409995582501955,39 days 10:42:38.677685950,7 days 20:36:21.818181818,0.8746015113207743,0.5171073619433315,1.1901197212948635,0.06135941369730954,19 days 20:09:46.833855798,1
Most Total Fees Paid,AAPL,false,4,22,327,35.58282208588957,2.5662702028323308,29.306005034160375,5930.6696524013505,3197.4236832057845,0.6173139158576052,2,3661.08490678174,1.3451530441369992,0,0,11124,11125 days 00:00:00,1000.0,1932465.8408419988,193146.5840841999,183775.09977606655,100.0,131278.4804400548,59.51292860817291,1219 days 00:00:00,326,1,-1932.4658408418763,145.97590114339673,-18.244234559211314,16.82105783043399,-4.10228522568084,42 days 22:08:16.551724137,7 days 01:08:34.285714285,0.8676070413472112,0.4734795058126063,1.1862500478142128,0.05099430945515834,19 days 19:30:33.128834354,1
Most Avg Losing Trade [%],AAPL,false,4,22,327,35.58282208588957,2.5662702028323308,29.306005034160375,5930.6696524013505,3197.4236832057845,0.6173139158576052,2,3661.08490678174,1.3451530441369992,0,0,11124,11125 days 00:00:00,1000.0,1932465.8408419988,193146.5840841999,183775.09977606655,100.0,131278.4804400548,59.51292860817291,1219 days 00:00:00,326,1,-1932.4658408418763,145.97590114339673,-18.244234559211314,16.82105783043399,-4.10228522568084,42 days 22:08:16.551724137,7 days 01:08:34.285714285,0.8676070413472112,0.4734795058126063,1.1862500478142128,0.05099430945515834,19 days 19:30:33.128834354,1
Least Max Drawdown Duration,AAPL,false,4,22,327,35.58282208588957,2.5662702028323308,29.306005034160375,5930.6696524013505,3197.4236832057845,0.6173139158576052,2,3661.08490678174,1.3451530441369992,0,0,11124,11125 days 00:00:00,1000.0,1932465.8408419988,193146.5840841999,183775.09977606655,100.0,131278.4804400548,59.51292860817291,1219 days 00:00:00,326,1,-1932.4658408418763,145.97590114339673,-18.244234559211314,16.82105783043399,-4.10228522568084,42 days 22:08:16.551724137,7 days 01:08:34.285714285,0.8676070413472112,0.4734795058126063,1.1862500478142128,0.05099430945515834,19 days 19:30:33.128834354,1
