Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Total Return [%],SBAC,true,5,8,430,46.386946386946384,1.1972515933253496,66.5013176251744,610.0283586792198,428.7477692207555,1.3997829793830412,3,853.9073134201448,1.5736321508834146,0,0,6451,6452 days 00:00:00,1000.0,262439.7261472384,26143.97261472384,2209.859154929575,100.0,175505.18544003397,50.63355036434305,1887 days 00:00:00,429,1,-262.4397261472186,91.01303897580046,-17.829412794896896,7.566044417430194,-3.2962742483967453,11 days 19:10:33.165829145,5 days 03:39:07.826086956,0.8947331698389782,0.7315372333229373,1.2531652643584685,10.830605835853376,8 days 05:39:01.258741257,1
Most Expectancy,SBAC,true,5,8,430,46.386946386946384,1.1972515933253496,66.5013176251744,610.0283586792198,428.7477692207555,1.3997829793830412,3,853.9073134201448,1.5736321508834146,0,0,6451,6452 days 00:00:00,1000.0,262439.7261472384,26143.97261472384,2209.859154929575,100.0,175505.18544003397,50.63355036434305,1887 days 00:00:00,429,1,-262.4397261472186,91.01303897580046,-17.829412794896896,7.566044417430194,-3.2962742483967453,11 days 19:10:33.165829145,5 days 03:39:07.826086956,0.8947331698389782,0.7315372333229373,1.2531652643584685,10.830605835853376,8 days 05:39:01.258741257,1
Most Sharpe Ratio,SBAC,true,5,8,430,46.386946386946384,1.1972515933253496,66.5013176251744,610.0283586792198,428.7477692207555,1.3997829793830412,3,853.9073134201448,1.5736321508834146,0,0,6451,6452 days 00:00:00,1000.0,262439.7261472384,26143.97261472384,2209.859154929575,100.0,175505.18544003397,50.63355036434305,1887 days 00:00:00,429,1,-262.4397261472186,91.01303897580046,-17.829412794896896,7.566044417430194,-3.2962742483967453,11 days 19:10:33.165829145,5 days 03:39:07.826086956,0.8947331698389782,0.7315372333229373,1.2531652643584685,10.830605835853376,8 days 05:39:01.258741257,1
Most Calmar Ratio,SBAC,true,5,8,430,46.386946386946384,1.1972515933253496,66.5013176251744,610.0283586792198,428.7477692207555,1.3997829793830412,3,853.9073134201448,1.5736321508834146,0,0,6451,6452 days 00:00:00,1000.0,262439.7261472384,26143.97261472384,2209.859154929575,100.0,175505.18544003397,50.63355036434305,1887 days 00:00:00,429,1,-262.4397261472186,91.01303897580046,-17.829412794896896,7.566044417430194,-3.2962742483967453,11 days 19:10:33.165829145,5 days 03:39:07.826086956,0.8947331698389782,0.7315372333229373,1.2531652643584685,10.830605835853376,8 days 05:39:01.258741257,1
Most Omega Ratio,SBAC,true,5,8,430,46.386946386946384,1.1972515933253496,66.5013176251744,610.0283586792198,428.7477692207555,1.3997829793830412,3,853.9073134201448,1.5736321508834146,0,0,6451,6452 days 00:00:00,1000.0,262439.7261472384,26143.97261472384,2209.859154929575,100.0,175505.18544003397,50.63355036434305,1887 days 00:00:00,429,1,-262.4397261472186,91.01303897580046,-17.829412794896896,7.566044417430194,-3.2962742483967453,11 days 19:10:33.165829145,5 days 03:39:07.826086956,0.8947331698389782,0.7315372333229373,1.2531652643584685,10.830605835853376,8 days 05:39:01.258741257,1
Most Sortino Ratio,SBAC,true,5,8,430,46.386946386946384,1.1972515933253496,66.5013176251744,610.0283586792198,428.7477692207555,1.3997829793830412,3,853.9073134201448,1.5736321508834146,0,0,6451,6452 days 00:00:00,1000.0,262439.7261472384,26143.97261472384,2209.859154929575,100.0,175505.18544003397,50.63355036434305,1887 days 00:00:00,429,1,-262.4397261472186,91.01303897580046,-17.829412794896896,7.566044417430194,-3.2962742483967453,11 days 19:10:33.165829145,5 days 03:39:07.826086956,0.8947331698389782,0.7315372333229373,1.2531652643584685,10.830605835853376,8 days 05:39:01.258741257,1
Most Total Fees Paid,SBAC,true,5,7,524,46.845124282982795,1.1294419579198673,81.07270190668113,362.0518393065836,256.97520316968826,1.7057820492946831,4,617.5815284032934,1.5225283944662582,0,0,6451,6452 days 00:00:00,1000.0,190162.94900833428,18916.29490083343,2209.859154929575,100.0,190481.38205226138,55.87731036427264,2897 days 00:00:00,523,1,-190.16294900831417,94.24982115748158,-19.21490640794451,6.649655613939691,-3.236928379018739,9 days 09:41:52.653061224,4 days 08:12:05.179856115,0.8539467975309949,0.6185968034630644,1.2430803099255514,7.559954990179572,6 days 17:06:59.885277246,1
Most Avg Winning Trade Duration,SBAC,true,5,7,524,46.845124282982795,1.1294419579198673,81.07270190668113,362.0518393065836,256.97520316968826,1.7057820492946831,4,617.5815284032934,1.5225283944662582,0,0,6451,6452 days 00:00:00,1000.0,190162.94900833428,18916.29490083343,2209.859154929575,100.0,190481.38205226138,55.87731036427264,2897 days 00:00:00,523,1,-190.16294900831417,94.24982115748158,-19.21490640794451,6.649655613939691,-3.236928379018739,9 days 09:41:52.653061224,4 days 08:12:05.179856115,0.8539467975309949,0.6185968034630644,1.2430803099255514,7.559954990179572,6 days 17:06:59.885277246,1
Least Max Drawdown [%],SBAC,true,3,11,346,42.89855072463768,1.1625130534593584,53.480080607657726,327.7588229182936,213.03603773345387,1.1263370020151915,3,369.16688998981886,1.379634506726239,0,0,6451,6452 days 00:00:00,1000.0,113962.83107573575,11296.283107573576,2209.859154929575,100.0,76555.43920629068,48.852376188550764,1847 days 00:00:00,345,1,-113.96283107572526,126.53879748076974,-17.99827932353249,9.036581620265252,-3.494052049506127,16 days 19:47:01.621621621,5 days 12:10:57.868020304,0.8000548517136324,0.6289094310439114,1.2188006748290956,4.111766097117429,10 days 08:41:44.347826085,1
Median Win Rate [%],SBAC,true,3,10,363,41.43646408839779,1.1470325716794374,56.115330956440864,315.512920505063,198.08696666565982,1.1816772593396372,3,372.83444318866765,1.3709477547880786,0,0,6451,6452 days 00:00:00,1000.0,115100.57664618728,11410.057664618727,2209.859154929575,100.0,86669.20665664387,52.75816299070165,1845 days 00:00:00,362,1,-115.10057664617489,126.53879748076973,-17.998279323532497,9.275021247386302,-3.452433933996369,16 days 18:04:48,5 days 01:35:05.660377358,0.7997357371306881,0.5837429364612997,1.2174762703507997,4.163251078316956,9 days 21:48:43.756906076,1
Mean Win Rate [%],SBAC,true,4,10,345,41.56976744186046,1.2013549057075077,53.325065881258716,299.1450957211057,188.41503121968867,1.1230816927608123,3,335.9643804835546,1.3597232813830586,0,0,6451,6452 days 00:00:00,1000.0,103802.11081724324,10280.211081724325,2209.859154929575,100.0,60490.21820002811,49.686897780347394,913 days 00:00:00,344,1,-103.80211081722518,126.5387974807697,-17.708247422680408,9.149613436171485,-3.346423959158144,16 days 16:26:51.188811189,5 days 22:19:42.089552238,0.7898469784048919,0.6044838634393257,1.2153937266217323,3.6519756966375256,10 days 09:37:40.465116278,1
Most Max Drawdown Duration,SBAC,true,4,10,345,41.56976744186046,1.2013549057075077,53.325065881258716,299.1450957211057,188.41503121968867,1.1230816927608123,3,335.9643804835546,1.3597232813830586,0,0,6451,6452 days 00:00:00,1000.0,103802.11081724324,10280.211081724325,2209.859154929575,100.0,60490.21820002811,49.686897780347394,913 days 00:00:00,344,1,-103.80211081722518,126.5387974807697,-17.708247422680408,9.149613436171485,-3.346423959158144,16 days 16:26:51.188811189,5 days 22:19:42.089552238,0.7898469784048919,0.6044838634393257,1.2153937266217323,3.6519756966375256,10 days 09:37:40.465116278,1
Least Best Trade [%],SBAC,true,4,9,381,43.15789473684211,1.179945331949117,58.905596031623006,238.95735980837867,156.25600880611685,1.2402728259184623,3,296.3723199235526,1.3283773293928065,0,0,6451,6452 days 00:00:00,1000.0,91712.08464254114,9071.208464254114,2209.859154929575,100.0,61899.19458476327,52.68551780406837,1860 days 00:00:00,380,1,-91.71208464252413,60.55000565438651,-17.708247422680397,8.079396284006272,-3.32835007091329,14 days 08:55:36.585365853,5 days 13:06:40,0.7726317567766043,0.552849585881216,1.2109205639622398,3.104880821937812,9 days 08:31:34.736842104,1
Least Avg Winning Trade Duration,SBAC,true,6,8,480,41.962421711899786,1.1281246846199815,74.25205394512479,177.9710037098837,113.15294409339728,1.562548442102,4,278.088314586208,1.3253786664966114,0,0,6451,6452 days 00:00:00,1000.0,86161.94882820551,8516.194882820551,2209.859154929575,100.0,84624.50866771706,62.12400319139295,4718 days 00:00:00,479,1,-86.16194882820128,91.01303897580046,-17.708247422680408,7.546162894365444,-3.1332723379206238,10 days 20:46:34.029850746,4 days 19:09:55.683453237,0.7653688308819236,0.46152783917935614,1.2119867776517868,2.8537274485676214,7 days 08:16:02.004175364,1
