Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Total Return [%],QQQ,true,27,53,62,57.377049180327866,2.160129792048947,9.352959214964734,68.41127946342684,54.96774061570108,0.19963201471941122,1,13.657081548816581,0.7570973919695874,0,0,6522,6523 days 00:00:00,1000.0,5167.920127141898,416.79201271418975,934.0073248164,100.0,305.7714624277597,39.18789150695011,2034 days 00:00:00,61,1,-5.16792012714177,42.7429859719439,-16.071807052508202,9.75782819372903,-5.2879608173287105,96 days 15:46:17.142857143,30 days 22:09:13.846153846,0.5404330128765783,0.24564110889783217,1.1074337317337373,-0.553759374642892,68 days 15:20:39.344262294,1
Least Max Drawdown [%],QQQ,true,27,53,62,57.377049180327866,2.160129792048947,9.352959214964734,68.41127946342684,54.96774061570108,0.19963201471941122,1,13.657081548816581,0.7570973919695874,0,0,6522,6523 days 00:00:00,1000.0,5167.920127141898,416.79201271418975,934.0073248164,100.0,305.7714624277597,39.18789150695011,2034 days 00:00:00,61,1,-5.16792012714177,42.7429859719439,-16.071807052508202,9.75782819372903,-5.2879608173287105,96 days 15:46:17.142857143,30 days 22:09:13.846153846,0.5404330128765783,0.24564110889783217,1.1074337317337373,-0.553759374642892,68 days 15:20:39.344262294,1
Least Total Trades,QQQ,true,27,53,62,57.377049180327866,2.160129792048947,9.352959214964734,68.41127946342684,54.96774061570108,0.19963201471941122,1,13.657081548816581,0.7570973919695874,0,0,6522,6523 days 00:00:00,1000.0,5167.920127141898,416.79201271418975,934.0073248164,100.0,305.7714624277597,39.18789150695011,2034 days 00:00:00,61,1,-5.16792012714177,42.7429859719439,-16.071807052508202,9.75782819372903,-5.2879608173287105,96 days 15:46:17.142857143,30 days 22:09:13.846153846,0.5404330128765783,0.24564110889783217,1.1074337317337373,-0.553759374642892,68 days 15:20:39.344262294,1
Most Win Rate [%],QQQ,true,27,53,62,57.377049180327866,2.160129792048947,9.352959214964734,68.41127946342684,54.96774061570108,0.19963201471941122,1,13.657081548816581,0.7570973919695874,0,0,6522,6523 days 00:00:00,1000.0,5167.920127141898,416.79201271418975,934.0073248164,100.0,305.7714624277597,39.18789150695011,2034 days 00:00:00,61,1,-5.16792012714177,42.7429859719439,-16.071807052508202,9.75782819372903,-5.2879608173287105,96 days 15:46:17.142857143,30 days 22:09:13.846153846,0.5404330128765783,0.24564110889783217,1.1074337317337373,-0.553759374642892,68 days 15:20:39.344262294,1
Most Profit Factor,QQQ,true,27,53,62,57.377049180327866,2.160129792048947,9.352959214964734,68.41127946342684,54.96774061570108,0.19963201471941122,1,13.657081548816581,0.7570973919695874,0,0,6522,6523 days 00:00:00,1000.0,5167.920127141898,416.79201271418975,934.0073248164,100.0,305.7714624277597,39.18789150695011,2034 days 00:00:00,61,1,-5.16792012714177,42.7429859719439,-16.071807052508202,9.75782819372903,-5.2879608173287105,96 days 15:46:17.142857143,30 days 22:09:13.846153846,0.5404330128765783,0.24564110889783217,1.1074337317337373,-0.553759374642892,68 days 15:20:39.344262294,1
Most Expectancy,QQQ,true,27,53,62,57.377049180327866,2.160129792048947,9.352959214964734,68.41127946342684,54.96774061570108,0.19963201471941122,1,13.657081548816581,0.7570973919695874,0,0,6522,6523 days 00:00:00,1000.0,5167.920127141898,416.79201271418975,934.0073248164,100.0,305.7714624277597,39.18789150695011,2034 days 00:00:00,61,1,-5.16792012714177,42.7429859719439,-16.071807052508202,9.75782819372903,-5.2879608173287105,96 days 15:46:17.142857143,30 days 22:09:13.846153846,0.5404330128765783,0.24564110889783217,1.1074337317337373,-0.553759374642892,68 days 15:20:39.344262294,1
Most Sharpe Ratio,QQQ,true,27,53,62,57.377049180327866,2.160129792048947,9.352959214964734,68.41127946342684,54.96774061570108,0.19963201471941122,1,13.657081548816581,0.7570973919695874,0,0,6522,6523 days 00:00:00,1000.0,5167.920127141898,416.79201271418975,934.0073248164,100.0,305.7714624277597,39.18789150695011,2034 days 00:00:00,61,1,-5.16792012714177,42.7429859719439,-16.071807052508202,9.75782819372903,-5.2879608173287105,96 days 15:46:17.142857143,30 days 22:09:13.846153846,0.5404330128765783,0.24564110889783217,1.1074337317337373,-0.553759374642892,68 days 15:20:39.344262294,1
Most Calmar Ratio,QQQ,true,27,53,62,57.377049180327866,2.160129792048947,9.352959214964734,68.41127946342684,54.96774061570108,0.19963201471941122,1,13.657081548816581,0.7570973919695874,0,0,6522,6523 days 00:00:00,1000.0,5167.920127141898,416.79201271418975,934.0073248164,100.0,305.7714624277597,39.18789150695011,2034 days 00:00:00,61,1,-5.16792012714177,42.7429859719439,-16.071807052508202,9.75782819372903,-5.2879608173287105,96 days 15:46:17.142857143,30 days 22:09:13.846153846,0.5404330128765783,0.24564110889783217,1.1074337317337373,-0.553759374642892,68 days 15:20:39.344262294,1
Most Omega Ratio,QQQ,true,27,53,62,57.377049180327866,2.160129792048947,9.352959214964734,68.41127946342684,54.96774061570108,0.19963201471941122,1,13.657081548816581,0.7570973919695874,0,0,6522,6523 days 00:00:00,1000.0,5167.920127141898,416.79201271418975,934.0073248164,100.0,305.7714624277597,39.18789150695011,2034 days 00:00:00,61,1,-5.16792012714177,42.7429859719439,-16.071807052508202,9.75782819372903,-5.2879608173287105,96 days 15:46:17.142857143,30 days 22:09:13.846153846,0.5404330128765783,0.24564110889783217,1.1074337317337373,-0.553759374642892,68 days 15:20:39.344262294,1
Most Sortino Ratio,QQQ,true,27,53,62,57.377049180327866,2.160129792048947,9.352959214964734,68.41127946342684,54.96774061570108,0.19963201471941122,1,13.657081548816581,0.7570973919695874,0,0,6522,6523 days 00:00:00,1000.0,5167.920127141898,416.79201271418975,934.0073248164,100.0,305.7714624277597,39.18789150695011,2034 days 00:00:00,61,1,-5.16792012714177,42.7429859719439,-16.071807052508202,9.75782819372903,-5.2879608173287105,96 days 15:46:17.142857143,30 days 22:09:13.846153846,0.5404330128765783,0.24564110889783217,1.1074337317337373,-0.553759374642892,68 days 15:20:39.344262294,1
Most Avg Winning Trade [%],QQQ,true,26,52,63,54.83870967741935,2.0600035460950905,9.506286415210058,63.92675658513888,49.89691744478242,0.20285188592456302,1,12.9676631343359,0.7408110914830334,0,0,6522,6523 days 00:00:00,1000.0,4958.500407870742,395.85004078707414,934.0073248164,100.0,313.00989188657877,40.03844028389938,2032 days 00:00:00,62,1,-4.958500407869906,47.24749498997997,-14.698905930715107,10.120701461457033,-5.177957413048701,94 days 08:28:14.117647059,34 days 13:42:51.428571428,0.5312447162773417,0.23409244550640548,1.105411129611217,-0.5761810102882359,67 days 08:30:58.064516128,1
Least Max Drawdown Duration,QQQ,true,26,52,63,54.83870967741935,2.0600035460950905,9.506286415210058,63.92675658513888,49.89691744478242,0.20285188592456302,1,12.9676631343359,0.7408110914830334,0,0,6522,6523 days 00:00:00,1000.0,4958.500407870742,395.85004078707414,934.0073248164,100.0,313.00989188657877,40.03844028389938,2032 days 00:00:00,62,1,-4.958500407869906,47.24749498997997,-14.698905930715107,10.120701461457033,-5.177957413048701,94 days 08:28:14.117647059,34 days 13:42:51.428571428,0.5312447162773417,0.23409244550640548,1.105411129611217,-0.5761810102882359,67 days 08:30:58.064516128,1
Most Worst Trade [%],QQQ,true,21,48,68,50.74626865671642,1.901450808286378,10.272922416436675,35.63557023211524,27.399579102033428,0.21895124195032198,1,7.802452359929556,0.5962882767159956,0,0,6522,6523 days 00:00:00,1000.0,3384.1990065451755,238.41990065451756,934.0073248164,100.0,207.76081986764606,62.08996920154419,4322 days 00:00:00,67,1,-3.3841990065448044,34.117027278268175,-14.163290603768742,9.931884394405126,-5.476194752884847,97 days 09:10:35.294117646,26 days 02:54:32.727272727,0.43165992914431106,0.11370165840643658,1.0842673040320716,-0.7447344423113765,62 days 06:48:21.492537313,1
Least Avg Losing Trade [%],QQQ,true,21,48,68,50.74626865671642,1.901450808286378,10.272922416436675,35.63557023211524,27.399579102033428,0.21895124195032198,1,7.802452359929556,0.5962882767159956,0,0,6522,6523 days 00:00:00,1000.0,3384.1990065451755,238.41990065451756,934.0073248164,100.0,207.76081986764606,62.08996920154419,4322 days 00:00:00,67,1,-3.3841990065448044,34.117027278268175,-14.163290603768742,9.931884394405126,-5.476194752884847,97 days 09:10:35.294117646,26 days 02:54:32.727272727,0.43165992914431106,0.11370165840643658,1.0842673040320716,-0.7447344423113765,62 days 06:48:21.492537313,1
Most Avg Winning Trade Duration,QQQ,true,21,48,68,50.74626865671642,1.901450808286378,10.272922416436675,35.63557023211524,27.399579102033428,0.21895124195032198,1,7.802452359929556,0.5962882767159956,0,0,6522,6523 days 00:00:00,1000.0,3384.1990065451755,238.41990065451756,934.0073248164,100.0,207.76081986764606,62.08996920154419,4322 days 00:00:00,67,1,-3.3841990065448044,34.117027278268175,-14.163290603768742,9.931884394405126,-5.476194752884847,97 days 09:10:35.294117646,26 days 02:54:32.727272727,0.43165992914431106,0.11370165840643658,1.0842673040320716,-0.7447344423113765,62 days 06:48:21.492537313,1
Mean Max Drawdown [%],QQQ,true,21,47,69,50.0,1.887035931385814,10.426249616682,35.53127593157868,26.917633281499004,0.22217111315547378,1,7.8940231255531295,0.6000771870497776,0,0,6522,6523 days 00:00:00,1000.0,3412.7140492980534,241.27140492980536,934.0073248164,100.0,220.848038298006,60.89129889253486,3596 days 00:00:00,68,1,-3.412714049297847,35.0921260493195,-14.82250922509225,9.782523067655637,-5.140396506795404,94 days 18:21:10.588235294,27 days 14:49:24.705882353,0.43418114703274896,0.11676560515648553,1.0848891516300185,-0.7416814638180352,61 days 04:35:17.647058823,1
Mean Calmar Ratio,QQQ,true,21,47,69,50.0,1.887035931385814,10.426249616682,35.53127593157868,26.917633281499004,0.22217111315547378,1,7.8940231255531295,0.6000771870497776,0,0,6522,6523 days 00:00:00,1000.0,3412.7140492980534,241.27140492980536,934.0073248164,100.0,220.848038298006,60.89129889253486,3596 days 00:00:00,68,1,-3.412714049297847,35.0921260493195,-14.82250922509225,9.782523067655637,-5.140396506795404,94 days 18:21:10.588235294,27 days 14:49:24.705882353,0.43418114703274896,0.11676560515648553,1.0848891516300185,-0.7416814638180352,61 days 04:35:17.647058823,1
Mean Total Return [%],QQQ,true,23,32,111,51.81818181818182,1.7914593682465336,16.865992026985587,20.48554832240117,16.083694963868684,0.3574057037718491,1,7.3216518153200125,0.5921997696588677,0,0,6522,6523 days 00:00:00,1000.0,3250.1601553088176,225.01601553088176,934.0073248164,100.0,312.6957238082091,56.74707093091944,4322 days 00:00:00,110,1,-3.2501601553085493,48.420532319391654,-23.771910112359542,6.528692046176722,-4.1354459686281615,52 days 13:28:25.263157895,19 days 23:05:39.622641509,0.4253307897414692,0.12014553677536371,1.0841402922412624,-0.759085384501547,36 days 20:30:32.727272726,1
Median Total Fees Paid,QQQ,true,23,32,111,51.81818181818182,1.7914593682465336,16.865992026985587,20.48554832240117,16.083694963868684,0.3574057037718491,1,7.3216518153200125,0.5921997696588677,0,0,6522,6523 days 00:00:00,1000.0,3250.1601553088176,225.01601553088176,934.0073248164,100.0,312.6957238082091,56.74707093091944,4322 days 00:00:00,110,1,-3.2501601553085493,48.420532319391654,-23.771910112359542,6.528692046176722,-4.1354459686281615,52 days 13:28:25.263157895,19 days 23:05:39.622641509,0.4253307897414692,0.12014553677536371,1.0841402922412624,-0.759085384501547,36 days 20:30:32.727272726,1
Least Worst Trade [%],QQQ,true,23,32,111,51.81818181818182,1.7914593682465336,16.865992026985587,20.48554832240117,16.083694963868684,0.3574057037718491,1,7.3216518153200125,0.5921997696588677,0,0,6522,6523 days 00:00:00,1000.0,3250.1601553088176,225.01601553088176,934.0073248164,100.0,312.6957238082091,56.74707093091944,4322 days 00:00:00,110,1,-3.2501601553085493,48.420532319391654,-23.771910112359542,6.528692046176722,-4.1354459686281615,52 days 13:28:25.263157895,19 days 23:05:39.622641509,0.4253307897414692,0.12014553677536371,1.0841402922412624,-0.759085384501547,36 days 20:30:32.727272726,1
Mean Avg Winning Trade [%],QQQ,true,23,32,111,51.81818181818182,1.7914593682465336,16.865992026985587,20.48554832240117,16.083694963868684,0.3574057037718491,1,7.3216518153200125,0.5921997696588677,0,0,6522,6523 days 00:00:00,1000.0,3250.1601553088176,225.01601553088176,934.0073248164,100.0,312.6957238082091,56.74707093091944,4322 days 00:00:00,110,1,-3.2501601553085493,48.420532319391654,-23.771910112359542,6.528692046176722,-4.1354459686281615,52 days 13:28:25.263157895,19 days 23:05:39.622641509,0.4253307897414692,0.12014553677536371,1.0841402922412624,-0.759085384501547,36 days 20:30:32.727272726,1
