Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Expectancy,PG,true,66,80,150,51.67785234899329,1.520197724257735,9.379918161787849,68.8118127003992,53.879495402997144,0.19830028328611898,1,13.645401951920523,0.5496353916376184,0,0,15885,15886 days 00:00:00,1000.0,11241.718373985497,1024.1718373985498,11761.32950535171,100.0,1480.6031251040683,50.365450641739315,5325 days 00:00:00,149,1,-11.241718373983531,63.680570113447345,-23.933149171270703,8.811019991084473,-4.908900798052036,86 days 00:18:42.077922078,42 days 17:40:00,0.3805057668950317,0.11350705361896712,1.0775960268636924,-0.9129204026693984,65 days 02:24:57.986577180,1
Most Best Trade [%],PG,true,64,87,114,46.017699115044245,1.5701060675674483,7.113629209946491,62.21184618114491,43.37645483265668,0.15070821529745043,1,9.375836308319856,0.4908528479393654,0,0,15885,15886 days 00:00:00,1000.0,8021.916701767601,702.19167017676,11761.32950535171,100.0,835.7078896734832,59.37927279105008,5339 days 00:00:00,113,1,-8.021916701766713,69.83773440342654,-18.93125777731135,11.792545898598823,-5.239265363948264,123 days 22:09:13.846153846,55 days 17:18:41.311475410,0.34035726165322944,0.08252604108695805,1.068551337856767,-0.9402965736265407,87 days 02:32:55.221238937,1
Most Avg Winning Trade [%],PG,true,64,87,114,46.017699115044245,1.5701060675674483,7.113629209946491,62.21184618114491,43.37645483265668,0.15070821529745043,1,9.375836308319856,0.4908528479393654,0,0,15885,15886 days 00:00:00,1000.0,8021.916701767601,702.19167017676,11761.32950535171,100.0,835.7078896734832,59.37927279105008,5339 days 00:00:00,113,1,-8.021916701766713,69.83773440342654,-18.93125777731135,11.792545898598823,-5.239265363948264,123 days 22:09:13.846153846,55 days 17:18:41.311475410,0.34035726165322944,0.08252604108695805,1.068551337856767,-0.9402965736265407,87 days 02:32:55.221238937,1
Most Profit Factor,PG,true,64,87,114,46.017699115044245,1.5701060675674483,7.113629209946491,62.21184618114491,43.37645483265668,0.15070821529745043,1,9.375836308319856,0.4908528479393654,0,0,15885,15886 days 00:00:00,1000.0,8021.916701767601,702.19167017676,11761.32950535171,100.0,835.7078896734832,59.37927279105008,5339 days 00:00:00,113,1,-8.021916701766713,69.83773440342654,-18.93125777731135,11.792545898598823,-5.239265363948264,123 days 22:09:13.846153846,55 days 17:18:41.311475410,0.34035726165322944,0.08252604108695805,1.068551337856767,-0.9402965736265407,87 days 02:32:55.221238937,1
Least Total Trades,PG,true,64,88,109,48.148148148148145,1.5308792898512291,6.798866855524079,59.03919477941179,43.0701196482802,0.1440982058545798,1,8.507442042812313,0.47560612588753026,0,0,15885,15886 days 00:00:00,1000.0,7368.864172004465,636.8864172004465,11761.32950535171,100.0,804.6074857153504,58.86826425578495,5604 days 00:00:00,108,1,-7.3688641720036685,69.83773440342654,-19.186089161464132,11.472529519959412,-5.587268137783913,126 days 21:41:32.307692308,57 days 22:17:08.571428572,0.3303794059646097,0.07976922096264452,1.0665720636176634,-0.9458491136643483,91 days 03:20:00,1
Least Avg Losing Trade [%],PG,true,64,88,109,48.148148148148145,1.5308792898512291,6.798866855524079,59.03919477941179,43.0701196482802,0.1440982058545798,1,8.507442042812313,0.47560612588753026,0,0,15885,15886 days 00:00:00,1000.0,7368.864172004465,636.8864172004465,11761.32950535171,100.0,804.6074857153504,58.86826425578495,5604 days 00:00:00,108,1,-7.3688641720036685,69.83773440342654,-19.186089161464132,11.472529519959412,-5.587268137783913,126 days 21:41:32.307692308,57 days 22:17:08.571428572,0.3303794059646097,0.07976922096264452,1.0665720636176634,-0.9458491136643483,91 days 03:20:00,1
Mean Worst Trade [%],PG,true,64,86,117,43.96551724137931,1.4682543789698694,7.302486622599937,45.67549891546014,30.426468713276737,0.15467422096317282,1,7.064822211853042,0.4497183285713298,0,0,15885,15886 days 00:00:00,1000.0,6292.065808384994,529.2065808384993,11761.32950535171,100.0,752.2504862073396,62.05353498550894,5563 days 00:00:00,116,1,-6.292065808383995,67.6827269019338,-18.93125777731135,11.685955352399159,-5.060830095516574,129 days 01:24:42.352941176,49 days 22:53:32.307692307,0.3124523466131431,0.06956179708620681,1.0628286897293004,-0.9550045272859929,84 days 17:35:10.344827585,1
Most Total Return [%],PG,true,87,88,450,52.56124721603563,1.3835903303800403,28.265659427132515,33.63734385557409,26.788193122479193,0.594900849858357,2,20.010884446658807,0.6238332718290791,0,0,15885,15886 days 00:00:00,1000.0,16087.080310841919,1508.7080310841918,11761.32950535171,100.0,6705.264603427184,44.24650899315986,6306 days 00:00:00,449,1,-16.087080310840975,68.68080623810823,-15.648453608247406,3.6231401426238765,-2.3084724719094183,29 days 06:36:36.610169491,13 days 01:00:50.704225352,0.4279209287912775,0.14895941841205343,1.084525953831874,-0.8717230028801004,21 days 13:47:26.325167037,1
Most Total Fees Paid,PG,true,87,88,450,52.56124721603563,1.3835903303800403,28.265659427132515,33.63734385557409,26.788193122479193,0.594900849858357,2,20.010884446658807,0.6238332718290791,0,0,15885,15886 days 00:00:00,1000.0,16087.080310841919,1508.7080310841918,11761.32950535171,100.0,6705.264603427184,44.24650899315986,6306 days 00:00:00,449,1,-16.087080310840975,68.68080623810823,-15.648453608247406,3.6231401426238765,-2.3084724719094183,29 days 06:36:36.610169491,13 days 01:00:50.704225352,0.4279209287912775,0.14895941841205343,1.084525953831874,-0.8717230028801004,21 days 13:47:26.325167037,1
Most Win Rate [%],PG,true,87,88,450,52.56124721603563,1.3835903303800403,28.265659427132515,33.63734385557409,26.788193122479193,0.594900849858357,2,20.010884446658807,0.6238332718290791,0,0,15885,15886 days 00:00:00,1000.0,16087.080310841919,1508.7080310841918,11761.32950535171,100.0,6705.264603427184,44.24650899315986,6306 days 00:00:00,449,1,-16.087080310840975,68.68080623810823,-15.648453608247406,3.6231401426238765,-2.3084724719094183,29 days 06:36:36.610169491,13 days 01:00:50.704225352,0.4279209287912775,0.14895941841205343,1.084525953831874,-0.8717230028801004,21 days 13:47:26.325167037,1
Most Sharpe Ratio,PG,true,87,88,450,52.56124721603563,1.3835903303800403,28.265659427132515,33.63734385557409,26.788193122479193,0.594900849858357,2,20.010884446658807,0.6238332718290791,0,0,15885,15886 days 00:00:00,1000.0,16087.080310841919,1508.7080310841918,11761.32950535171,100.0,6705.264603427184,44.24650899315986,6306 days 00:00:00,449,1,-16.087080310840975,68.68080623810823,-15.648453608247406,3.6231401426238765,-2.3084724719094183,29 days 06:36:36.610169491,13 days 01:00:50.704225352,0.4279209287912775,0.14895941841205343,1.084525953831874,-0.8717230028801004,21 days 13:47:26.325167037,1
Most Calmar Ratio,PG,true,87,88,450,52.56124721603563,1.3835903303800403,28.265659427132515,33.63734385557409,26.788193122479193,0.594900849858357,2,20.010884446658807,0.6238332718290791,0,0,15885,15886 days 00:00:00,1000.0,16087.080310841919,1508.7080310841918,11761.32950535171,100.0,6705.264603427184,44.24650899315986,6306 days 00:00:00,449,1,-16.087080310840975,68.68080623810823,-15.648453608247406,3.6231401426238765,-2.3084724719094183,29 days 06:36:36.610169491,13 days 01:00:50.704225352,0.4279209287912775,0.14895941841205343,1.084525953831874,-0.8717230028801004,21 days 13:47:26.325167037,1
Most Omega Ratio,PG,true,87,88,450,52.56124721603563,1.3835903303800403,28.265659427132515,33.63734385557409,26.788193122479193,0.594900849858357,2,20.010884446658807,0.6238332718290791,0,0,15885,15886 days 00:00:00,1000.0,16087.080310841919,1508.7080310841918,11761.32950535171,100.0,6705.264603427184,44.24650899315986,6306 days 00:00:00,449,1,-16.087080310840975,68.68080623810823,-15.648453608247406,3.6231401426238765,-2.3084724719094183,29 days 06:36:36.610169491,13 days 01:00:50.704225352,0.4279209287912775,0.14895941841205343,1.084525953831874,-0.8717230028801004,21 days 13:47:26.325167037,1
Most Sortino Ratio,PG,true,87,88,450,52.56124721603563,1.3835903303800403,28.265659427132515,33.63734385557409,26.788193122479193,0.594900849858357,2,20.010884446658807,0.6238332718290791,0,0,15885,15886 days 00:00:00,1000.0,16087.080310841919,1508.7080310841918,11761.32950535171,100.0,6705.264603427184,44.24650899315986,6306 days 00:00:00,449,1,-16.087080310840975,68.68080623810823,-15.648453608247406,3.6231401426238765,-2.3084724719094183,29 days 06:36:36.610169491,13 days 01:00:50.704225352,0.4279209287912775,0.14895941841205343,1.084525953831874,-0.8717230028801004,21 days 13:47:26.325167037,1
Median Max Drawdown [%],PG,true,10,69,181,40.55555555555556,1.3899446117735026,11.3314447592068,31.437694297364985,19.317775115384205,0.2392823418319169,1,7.522485113269393,0.4792729188323055,0,0,15885,15886 days 00:00:00,1000.0,6652.132840685006,565.2132840685006,11761.32950535171,100.0,1307.8176846846682,51.04748822128444,4164 days 00:00:00,180,1,-6.652132840684317,60.379344328189035,-15.410338345864655,9.00971605914411,-3.746729149929541,95 days 06:14:47.671232877,25 days 08:44:51.588785046,0.33169976255708716,0.08717408289703123,1.0637717302119598,-0.9519430789001095,53 days 17:03:59.999999999,1
Most Avg Winning Trade Duration,PG,true,9,73,185,39.130434782608695,1.3723603815412597,11.583254642744729,29.526192017215763,17.505647441037013,0.24457034938621341,1,7.221231097694885,0.4734071701748649,0,0,15885,15886 days 00:00:00,1000.0,6426.392938229477,542.6392938229477,11761.32950535171,100.0,1298.8790852851812,47.849085740130384,4169 days 00:00:00,184,1,-6.426392938228673,60.63653846153846,-13.119212943515898,9.232090525597577,-3.666155188338638,98 days 03:39:59.999999999,23 days 05:08:34.285714285,0.3277460027972734,0.0912702409013233,1.0628890643679065,-0.9538624189062952,52 days 12:54:46.956521738,1
Mean Avg Winning Trade [%],PG,true,16,46,197,43.87755102040816,1.442593244991358,12.338684293358513,25.39945863434353,16.885849123017497,0.2604343720491029,1,6.614892059822423,0.4640985018762762,0,0,15885,15886 days 00:00:00,1000.0,5972.3215707605805,497.232157076058,11761.32950535171,100.0,1107.903733271495,49.96235470755357,4057 days 00:00:00,196,1,-5.972321570759959,28.263128491620126,-14.181730769230763,7.487411668430603,-3.744887816152551,75 days 03:04:11.162790698,26 days 02:37:05.454545454,0.3212311455024164,0.08389573181229107,1.0628357629055196,-0.9577231335241646,47 days 14:48:58.775510204,1
Median Total Trades,PG,true,13,49,202,43.78109452736319,1.4114469310712439,12.653446647780925,24.33503419197516,16.14264291341636,0.26704438149197357,1,6.498534154382035,0.461252514199924,0,0,15885,15886 days 00:00:00,1000.0,5885.456416170836,488.5456416170836,11761.32950535171,100.0,1135.6832538533472,48.72418645067926,3579 days 00:00:00,201,1,-5.8854564161702,30.12378052414283,-13.663611859838262,7.506243866286915,-3.771734720841443,75 days 13:54:32.727272727,24 days 04:14:52.035398230,0.31940107163117554,0.085307935177539,1.0623362825624652,-0.95846169930068,46 days 16:21:29.552238805,1
Mean Profit Factor,PG,true,70,75,232,45.887445887445885,1.307942848529663,14.542020774315393,22.45339432465211,15.611044197908457,0.30670443814919734,1,6.886555690884801,0.44792691633898735,0,0,15885,15886 days 00:00:00,1000.0,6180.55353545917,518.055353545917,11761.32950535171,100.0,1646.6932897009515,49.102408174057814,5700 days 00:00:00,231,1,-6.180553535458785,59.984403669724784,-22.845911047345748,6.682615005982171,-3.5660096072745713,57 days 13:35:05.660377359,27 days 20:44:09.600000,0.3114886056207011,0.08703657841174597,1.0633994396948845,-0.955952653710604,41 days 11:50:38.961038961,1
Median Total Fees Paid,PG,true,10,76,177,38.06818181818182,1.3613419798044852,11.079634875668871,26.606631822422514,15.346456027051554,0.2339943342776204,1,6.225801100657506,0.4500904324581352,0,0,15885,15886 days 00:00:00,1000.0,5677.090110635739,467.7090110635738,11761.32950535171,100.0,1119.5729788638723,49.991686644583375,4185 days 00:00:00,176,1,-5.677090110634708,60.63653846153846,-13.119212943515892,9.589949673913905,-3.6970379395849267,103 days 09:40:17.910447762,25 days 07:42:23.119266055,0.3117605956207973,0.08142022071098562,1.059670521200052,-0.9602333213391603,55 days 01:05:27.272727273,1
Least Max Drawdown [%],PG,true,8,79,190,35.978835978835974,1.3726871628969954,11.89801699716714,26.92522311422367,14.677851304851766,0.25118035882908407,1,6.76308720338385,0.4647439858235138,0,0,15885,15886 days 00:00:00,1000.0,6082.784384204066,508.2784384204066,11761.32950535171,100.0,1223.6121322003855,40.96828970077468,4126 days 00:00:00,189,1,-6.082784384203478,61.091288505095875,-12.560732229920324,9.712203238224468,-3.368486452586925,103 days 02:49:24.705882354,22 days 05:21:19.338842975,0.32082490231893,0.10338509816942809,1.0614465273361966,-0.9567839300659737,51 days 07:52:22.857142856,1
Median Total Return [%],PG,true,10,78,174,38.15028901734104,1.366128653421263,10.890777463015423,24.87106778313506,14.376339759037606,0.23002832861189804,1,5.721050152947782,0.43684772412000783,0,0,15885,15886 days 00:00:00,1000.0,5297.397329153213,429.7397329153213,11761.32950535171,100.0,1000.259342177004,51.353024781873714,4183 days 00:00:00,173,1,-5.297397329152773,60.63653846153847,-13.112252121511245,9.860366870678074,-3.850638631909098,104 days 23:16:21.818181818,25 days 23:06:10.093457944,0.3027799692295853,0.07604115548183911,1.0578824668134155,-0.963461636482527,56 days 02:29:49.595375722,1
Median Avg Winning Trade [%],PG,true,11,51,207,42.71844660194174,1.4414073734629878,12.968209002203336,21.606063316407393,13.984507000910934,0.27365439093484417,1,5.912594097351144,0.4465791450238533,0,0,15885,15886 days 00:00:00,1000.0,5445.403639540377,444.5403639540377,11761.32950535171,100.0,992.0693560468326,51.21682484538053,4183 days 00:00:00,206,1,-5.445403639540018,31.861578646573165,-11.816279069767438,7.55310548129252,-3.712133896931217,76 days 03:00:00,22 days 18:54:54.915254237,0.30888091519532396,0.07752824131692544,1.060087089015403,-0.962203221689201,45 days 13:44:51.262135921,1
Median Expectancy,PG,true,8,55,221,38.63636363636363,1.3917164551519727,13.849543594586088,22.876365131595065,13.391811543977827,0.29216241737488197,1,6.683614137597274,0.4663633198326355,0,0,15885,15886 days 00:00:00,1000.0,6026.773555395518,502.67735553955185,11761.32950535171,100.0,1285.8372905815477,48.124878715062096,3578 days 00:00:00,220,1,-6.026773555395266,32.96125846862794,-13.81298283261802,7.919429428514661,-3.2406576152773487,78 days 15:14:49.411764706,20 days 12:16:00,0.32208093069009286,0.08755051789620771,1.0624446879191758,-0.9572601587847003,42 days 23:14:10.909090909,1
Median Calmar Ratio,PG,true,10,77,175,37.93103448275862,1.339417549628749,10.953729933899906,23.146858412259135,13.302792190953525,0.23135033050047216,1,5.355033343723785,0.4269046820755551,0,0,15885,15886 days 00:00:00,1000.0,5022.530832900188,402.2530832900189,11761.32950535171,100.0,996.5152757638996,49.650818336207166,4185 days 00:00:00,174,1,-5.0225308328999745,60.63653846153847,-13.112252121511265,9.695579045689623,-3.8179128531485405,104 days 05:49:05.454545455,26 days 02:53:20,0.29597527390511097,0.0760877616274148,1.056541856944854,-0.9657986724113984,55 days 18:04:08.275862068,1
Median Profit Factor,PG,true,9,76,185,36.95652173913043,1.3428428872777725,11.583254642744729,22.770388046405998,12.750217285536953,0.24457034938621341,1,5.568961760169173,0.43274598748985416,0,0,15885,15886 days 00:00:00,1000.0,5184.566833705001,418.4566833705001,11761.32950535171,100.0,1037.3552202107824,49.74361341159313,4235 days 00:00:00,184,1,-5.184566833704594,60.63653846153846,-13.119212943515901,9.613654697884034,-3.630897850558444,102 days 00:00:00,23 days 18:12:24.827586206,0.3000802450014338,0.07746840084711357,1.0573883652804774,-0.9644209710152164,52 days 16:10:26.086956520,1
Mean Total Fees Paid,PG,true,8,62,212,36.492890995260666,1.3724336361483565,13.282971356625747,22.02044747320805,12.175602868282493,0.28026440037771483,1,6.17154750712762,0.4502873896836702,0,0,15885,15886 days 00:00:00,1000.0,5640.6737431038,464.06737431038005,11761.32950535171,100.0,1242.9995645358547,46.747177003163706,3372 days 00:00:00,211,1,-5.640673743103434,47.6846722510558,-11.644854368932029,8.778173153289552,-3.298502153604748,86 days 20:52:59.220779221,21 days 19:31:20.597014925,0.31149881550635006,0.08674208566205413,1.059991185988577,-0.9605429493239503,45 days 13:18:29.004739336,1
Most Worst Trade [%],PG,true,8,62,212,36.492890995260666,1.3724336361483565,13.282971356625747,22.02044747320805,12.175602868282493,0.28026440037771483,1,6.17154750712762,0.4502873896836702,0,0,15885,15886 days 00:00:00,1000.0,5640.6737431038,464.06737431038005,11761.32950535171,100.0,1242.9995645358547,46.747177003163706,3372 days 00:00:00,211,1,-5.640673743103434,47.6846722510558,-11.644854368932029,8.778173153289552,-3.298502153604748,86 days 20:52:59.220779221,21 days 19:31:20.597014925,0.31149881550635006,0.08674208566205413,1.059991185988577,-0.9605429493239503,45 days 13:18:29.004739336,1
Mean Expectancy,PG,true,8,62,212,36.492890995260666,1.3724336361483565,13.282971356625747,22.02044747320805,12.175602868282493,0.28026440037771483,1,6.17154750712762,0.4502873896836702,0,0,15885,15886 days 00:00:00,1000.0,5640.6737431038,464.06737431038005,11761.32950535171,100.0,1242.9995645358547,46.747177003163706,3372 days 00:00:00,211,1,-5.640673743103434,47.6846722510558,-11.644854368932029,8.778173153289552,-3.298502153604748,86 days 20:52:59.220779221,21 days 19:31:20.597014925,0.31149881550635006,0.08674208566205413,1.059991185988577,-0.9605429493239503,45 days 13:18:29.004739336,1
Mean Calmar Ratio,PG,true,18,44,201,43.5,1.3451322737611624,12.590494176896442,18.336253834450225,12.085258209069467,0.2657223796033994,1,4.872353001902071,0.416203694237082,0,0,15885,15886 days 00:00:00,1000.0,4662.588178711332,366.25881787113326,11761.32950535171,100.0,975.2106982214301,53.01684468065837,4379 days 00:00:00,200,1,-4.6625881787103935,28.265397913989148,-13.415789473684207,7.4372909291967035,-3.883281626673759,72 days 11:35:10.344827586,26 days 10:49:54.690265486,0.28910326622053756,0.06791535335866902,1.056381820653228,-0.9688590632798378,46 days 11:23:59.999999999,1
Mean Total Return [%],PG,true,10,50,216,40.93023255813954,1.3991221954047006,13.534781240163676,19.204569604046824,11.909810607160821,0.2855524079320113,1,5.483911093733484,0.4346090078168248,0,0,15885,15886 days 00:00:00,1000.0,5123.858606263806,412.3858606263806,11761.32950535171,100.0,1022.7726104467164,51.87290882336458,4379 days 00:00:00,215,1,-5.123858606263639,34.06323153913514,-13.3943396226415,7.729462495253996,-3.6163771060511607,75 days 06:32:43.636363636,21 days 16:49:08.031496063,0.3009547023713019,0.07374671409422998,1.0584829561157152,-0.9649371390845963,43 days 15:04:11.162790697,1
Median Sharpe Ratio,PG,true,10,50,216,40.93023255813954,1.3991221954047006,13.534781240163676,19.204569604046824,11.909810607160821,0.2855524079320113,1,5.483911093733484,0.4346090078168248,0,0,15885,15886 days 00:00:00,1000.0,5123.858606263806,412.3858606263806,11761.32950535171,100.0,1022.7726104467164,51.87290882336458,4379 days 00:00:00,215,1,-5.123858606263639,34.06323153913514,-13.3943396226415,7.729462495253996,-3.6163771060511607,75 days 06:32:43.636363636,21 days 16:49:08.031496063,0.3009547023713019,0.07374671409422998,1.0584829561157152,-0.9649371390845963,43 days 15:04:11.162790697,1
Median Omega Ratio,PG,true,10,50,216,40.93023255813954,1.3991221954047006,13.534781240163676,19.204569604046824,11.909810607160821,0.2855524079320113,1,5.483911093733484,0.4346090078168248,0,0,15885,15886 days 00:00:00,1000.0,5123.858606263806,412.3858606263806,11761.32950535171,100.0,1022.7726104467164,51.87290882336458,4379 days 00:00:00,215,1,-5.123858606263639,34.06323153913514,-13.3943396226415,7.729462495253996,-3.6163771060511607,75 days 06:32:43.636363636,21 days 16:49:08.031496063,0.3009547023713019,0.07374671409422998,1.0584829561157152,-0.9649371390845963,43 days 15:04:11.162790697,1
Median Sortino Ratio,PG,true,10,50,216,40.93023255813954,1.3991221954047006,13.534781240163676,19.204569604046824,11.909810607160821,0.2855524079320113,1,5.483911093733484,0.4346090078168248,0,0,15885,15886 days 00:00:00,1000.0,5123.858606263806,412.3858606263806,11761.32950535171,100.0,1022.7726104467164,51.87290882336458,4379 days 00:00:00,215,1,-5.123858606263639,34.06323153913514,-13.3943396226415,7.729462495253996,-3.6163771060511607,75 days 06:32:43.636363636,21 days 16:49:08.031496063,0.3009547023713019,0.07374671409422998,1.0584829561157152,-0.9649371390845963,43 days 15:04:11.162790697,1
Mean Avg Losing Trade [%],PG,true,10,52,216,40.93023255813954,1.3519870335664954,13.534781240163676,17.244042862313975,10.693980069652078,0.2855524079320113,1,4.924077961816568,0.41841071948515196,0,0,15885,15886 days 00:00:00,1000.0,4702.766448948555,370.2766448948555,11761.32950535171,100.0,1024.1466597863139,51.5493730057244,4193 days 00:00:00,215,1,-4.702766448947841,31.318515879646746,-13.812982832618022,7.63452265560724,-3.6262710139424468,74 days 12:16:21.818181819,22 days 09:26:55.748031496,0.2896579878057737,0.07024496182727016,1.0561783970402927,-0.9685174499425112,43 days 17:24:50.232558139,1
Median Worst Trade [%],PG,true,8,63,213,35.84905660377358,1.3237340060557408,13.34592382751023,18.23408486220638,9.904162732473447,0.28158640226628895,1,5.134470354966895,0.42226006577734365,0,0,15885,15886 days 00:00:00,1000.0,4860.765225562192,386.07652255621923,11761.32950535171,100.0,1169.1157831417245,47.97408536524234,3395 days 00:00:00,212,1,-4.860765225561408,48.59551760299825,-14.606831119544573,8.80436894304111,-3.3057517940981156,87 days 19:34:44.210526315,21 days 15:52:56.470588235,0.2924231833175696,0.07712054561377026,1.0561767442112693,-0.9671740748033167,45 days 09:03:23.773584905,1
