Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Total Return [%],ITW,false,54,88,49,56.25,3.791050129586021,3.666081112044604,279.30626709535227,173.12371927397868,0.0785916138394562,1,21.95113028649794,0.6140734377849894,0,0,13093,13094 days 00:00:00,1000.0,14392.308512064841,1339.2308512064842,23262.4748497624,100.0,417.32449413972984,59.41014668898489,3105 days 00:00:00,48,1,-14.392308512064119,76.77213114754102,-20.814285714285706,19.815159310948573,-7.952604601269682,268 days 13:20:00,67 days 11:25:42.857142858,0.42633340780017137,0.12988970057132015,1.0825194266718443,-0.9424295626387249,180 days 14:00:00,1
Least Total Trades,ITW,false,54,88,49,56.25,3.791050129586021,3.666081112044604,279.30626709535227,173.12371927397868,0.0785916138394562,1,21.95113028649794,0.6140734377849894,0,0,13093,13094 days 00:00:00,1000.0,14392.308512064841,1339.2308512064842,23262.4748497624,100.0,417.32449413972984,59.41014668898489,3105 days 00:00:00,48,1,-14.392308512064119,76.77213114754102,-20.814285714285706,19.815159310948573,-7.952604601269682,268 days 13:20:00,67 days 11:25:42.857142858,0.42633340780017137,0.12988970057132015,1.0825194266718443,-0.9424295626387249,180 days 14:00:00,1
Least Worst Trade [%],ITW,false,54,88,49,56.25,3.791050129586021,3.666081112044604,279.30626709535227,173.12371927397868,0.0785916138394562,1,21.95113028649794,0.6140734377849894,0,0,13093,13094 days 00:00:00,1000.0,14392.308512064841,1339.2308512064842,23262.4748497624,100.0,417.32449413972984,59.41014668898489,3105 days 00:00:00,48,1,-14.392308512064119,76.77213114754102,-20.814285714285706,19.815159310948573,-7.952604601269682,268 days 13:20:00,67 days 11:25:42.857142858,0.42633340780017137,0.12988970057132015,1.0825194266718443,-0.9424295626387249,180 days 14:00:00,1
Most Profit Factor,ITW,false,54,88,49,56.25,3.791050129586021,3.666081112044604,279.30626709535227,173.12371927397868,0.0785916138394562,1,21.95113028649794,0.6140734377849894,0,0,13093,13094 days 00:00:00,1000.0,14392.308512064841,1339.2308512064842,23262.4748497624,100.0,417.32449413972984,59.41014668898489,3105 days 00:00:00,48,1,-14.392308512064119,76.77213114754102,-20.814285714285706,19.815159310948573,-7.952604601269682,268 days 13:20:00,67 days 11:25:42.857142858,0.42633340780017137,0.12988970057132015,1.0825194266718443,-0.9424295626387249,180 days 14:00:00,1
Most Expectancy,ITW,false,54,88,49,56.25,3.791050129586021,3.666081112044604,279.30626709535227,173.12371927397868,0.0785916138394562,1,21.95113028649794,0.6140734377849894,0,0,13093,13094 days 00:00:00,1000.0,14392.308512064841,1339.2308512064842,23262.4748497624,100.0,417.32449413972984,59.41014668898489,3105 days 00:00:00,48,1,-14.392308512064119,76.77213114754102,-20.814285714285706,19.815159310948573,-7.952604601269682,268 days 13:20:00,67 days 11:25:42.857142858,0.42633340780017137,0.12988970057132015,1.0825194266718443,-0.9424295626387249,180 days 14:00:00,1
Most Best Trade [%],ITW,false,64,75,50,55.10204081632652,3.519119666279932,3.7424578018788663,273.3023615010768,169.40229018661785,0.08019552432597571,1,21.91762618010621,0.6141918089947269,0,0,13093,13094 days 00:00:00,1000.0,14377.438275277489,1337.7438275277489,23262.4748497624,100.0,428.927038108834,56.76109467295386,2841 days 00:00:00,49,1,-14.37743827527629,78.48220442661284,-20.54160698706356,20.159155148573216,-7.922085564286406,269 days 09:46:40,62 days 17:27:16.363636364,0.4264722529696883,0.1358969959330951,1.082616703972972,-0.942493486347975,176 days 14:41:37.959183672,1
Most Avg Winning Trade [%],ITW,false,64,75,50,55.10204081632652,3.519119666279932,3.7424578018788663,273.3023615010768,169.40229018661785,0.08019552432597571,1,21.91762618010621,0.6141918089947269,0,0,13093,13094 days 00:00:00,1000.0,14377.438275277489,1337.7438275277489,23262.4748497624,100.0,428.927038108834,56.76109467295386,2841 days 00:00:00,49,1,-14.37743827527629,78.48220442661284,-20.54160698706356,20.159155148573216,-7.922085564286406,269 days 09:46:40,62 days 17:27:16.363636364,0.4264722529696883,0.1358969959330951,1.082616703972972,-0.942493486347975,176 days 14:41:37.959183672,1
Most Sharpe Ratio,ITW,false,64,75,50,55.10204081632652,3.519119666279932,3.7424578018788663,273.3023615010768,169.40229018661785,0.08019552432597571,1,21.91762618010621,0.6141918089947269,0,0,13093,13094 days 00:00:00,1000.0,14377.438275277489,1337.7438275277489,23262.4748497624,100.0,428.927038108834,56.76109467295386,2841 days 00:00:00,49,1,-14.37743827527629,78.48220442661284,-20.54160698706356,20.159155148573216,-7.922085564286406,269 days 09:46:40,62 days 17:27:16.363636364,0.4264722529696883,0.1358969959330951,1.082616703972972,-0.942493486347975,176 days 14:41:37.959183672,1
Most Calmar Ratio,ITW,false,64,75,50,55.10204081632652,3.519119666279932,3.7424578018788663,273.3023615010768,169.40229018661785,0.08019552432597571,1,21.91762618010621,0.6141918089947269,0,0,13093,13094 days 00:00:00,1000.0,14377.438275277489,1337.7438275277489,23262.4748497624,100.0,428.927038108834,56.76109467295386,2841 days 00:00:00,49,1,-14.37743827527629,78.48220442661284,-20.54160698706356,20.159155148573216,-7.922085564286406,269 days 09:46:40,62 days 17:27:16.363636364,0.4264722529696883,0.1358969959330951,1.082616703972972,-0.942493486347975,176 days 14:41:37.959183672,1
Most Omega Ratio,ITW,false,64,75,50,55.10204081632652,3.519119666279932,3.7424578018788663,273.3023615010768,169.40229018661785,0.08019552432597571,1,21.91762618010621,0.6141918089947269,0,0,13093,13094 days 00:00:00,1000.0,14377.438275277489,1337.7438275277489,23262.4748497624,100.0,428.927038108834,56.76109467295386,2841 days 00:00:00,49,1,-14.37743827527629,78.48220442661284,-20.54160698706356,20.159155148573216,-7.922085564286406,269 days 09:46:40,62 days 17:27:16.363636364,0.4264722529696883,0.1358969959330951,1.082616703972972,-0.942493486347975,176 days 14:41:37.959183672,1
