Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
Most Win Rate [%],ADA-USD,false,8,30,41,57.49999999999999,1.3711958436768013,0.014875418371141688,5.283224375184705,2.876074807792857,0.4574191149126069,0.9036816660468575,2.4166478175816986,0.8547946044690683,0,0,2689,2690 days 00:00:00,1000.0,3468.890291923967,246.88902919239672,2123.041360681029,100.0,268.5279691251505,59.825351096468935,594 days 00:00:00,40,1,-222.76543775280828,61.052024165533616,-34.206466694167794,19.031657222336975,-13.317596535668363,56 days 17:44:20.869565217,13 days 11:17:38.823529411,67.2913932419194,0.586570010380857,0.30731371837743937,1.1333948332515715,-0.06671332858333852,30.58149914921811,1.162344892849313,0.41059255374934456,-0.03645684871876103,None,None,0.0008670885109273108,0.21850630475368232,2.468890291923955,0.12358313749310024,0.448322235749822,-0.8837097412397092,38 days 08:23:59.999999998,false
Mean Worst Trade [%],ADA-USD,false,8,30,41,57.49999999999999,1.3711958436768013,0.014875418371141688,5.283224375184705,2.876074807792857,0.4574191149126069,0.9036816660468575,2.4166478175816986,0.8547946044690683,0,0,2689,2690 days 00:00:00,1000.0,3468.890291923967,246.88902919239672,2123.041360681029,100.0,268.5279691251505,59.825351096468935,594 days 00:00:00,40,1,-222.76543775280828,61.052024165533616,-34.206466694167794,19.031657222336975,-13.317596535668363,56 days 17:44:20.869565217,13 days 11:17:38.823529411,67.2913932419194,0.586570010380857,0.30731371837743937,1.1333948332515715,-0.06671332858333852,30.58149914921811,1.162344892849313,0.41059255374934456,-0.03645684871876103,None,None,0.0008670885109273108,0.21850630475368232,2.468890291923955,0.12358313749310024,0.448322235749822,-0.8837097412397092,38 days 08:23:59.999999998,false
Median Worst Trade [%],ADA-USD,false,8,30,41,57.49999999999999,1.3711958436768013,0.014875418371141688,5.283224375184705,2.876074807792857,0.4574191149126069,0.9036816660468575,2.4166478175816986,0.8547946044690683,0,0,2689,2690 days 00:00:00,1000.0,3468.890291923967,246.88902919239672,2123.041360681029,100.0,268.5279691251505,59.825351096468935,594 days 00:00:00,40,1,-222.76543775280828,61.052024165533616,-34.206466694167794,19.031657222336975,-13.317596535668363,56 days 17:44:20.869565217,13 days 11:17:38.823529411,67.2913932419194,0.586570010380857,0.30731371837743937,1.1333948332515715,-0.06671332858333852,30.58149914921811,1.162344892849313,0.41059255374934456,-0.03645684871876103,None,None,0.0008670885109273108,0.21850630475368232,2.468890291923955,0.12358313749310024,0.448322235749822,-0.8837097412397092,38 days 08:23:59.999999998,false
Least Total Trades,ADA-USD,false,5,51,38,48.64864864864865,1.5177837865980761,0.013759761993306061,6.055296773474107,2.579771406450507,0.42394942357753806,0.8367422833767199,2.567139576705274,0.9552562647338186,0,0,2689,2690 days 00:00:00,1000.0,4277.296761781826,327.72967617818256,2123.041360681029,100.0,248.3378786578596,55.23309183452175,515 days 00:00:00,37,1,40.42135227817177,69.97236918966405,-34.206466694167794,23.498437424663095,-10.469783843441776,73 days 22:40:00,14 days 00:00:00,87.48311917577442,0.6431005540161414,0.39466377806051595,1.1505464692955865,0.24487040121175072,44.91619421906788,1.1660183655819563,0.436965811965812,-0.03426606123030661,None,None,0.0009141293511660882,0.23036059649385424,3.2772967617818205,0.14585096676884057,0.4310974684504515,-0.8456319870880643,43 days 03:53:30.810810810,false
Most Profit Factor,ADA-USD,false,5,51,38,48.64864864864865,1.5177837865980761,0.013759761993306061,6.055296773474107,2.579771406450507,0.42394942357753806,0.8367422833767199,2.567139576705274,0.9552562647338186,0,0,2689,2690 days 00:00:00,1000.0,4277.296761781826,327.72967617818256,2123.041360681029,100.0,248.3378786578596,55.23309183452175,515 days 00:00:00,37,1,40.42135227817177,69.97236918966405,-34.206466694167794,23.498437424663095,-10.469783843441776,73 days 22:40:00,14 days 00:00:00,87.48311917577442,0.6431005540161414,0.39466377806051595,1.1505464692955865,0.24487040121175072,44.91619421906788,1.1660183655819563,0.436965811965812,-0.03426606123030661,None,None,0.0009141293511660882,0.23036059649385424,3.2772967617818205,0.14585096676884057,0.4310974684504515,-0.8456319870880643,43 days 03:53:30.810810810,false
Most Expectancy,ADA-USD,false,5,51,38,48.64864864864865,1.5177837865980761,0.013759761993306061,6.055296773474107,2.579771406450507,0.42394942357753806,0.8367422833767199,2.567139576705274,0.9552562647338186,0,0,2689,2690 days 00:00:00,1000.0,4277.296761781826,327.72967617818256,2123.041360681029,100.0,248.3378786578596,55.23309183452175,515 days 00:00:00,37,1,40.42135227817177,69.97236918966405,-34.206466694167794,23.498437424663095,-10.469783843441776,73 days 22:40:00,14 days 00:00:00,87.48311917577442,0.6431005540161414,0.39466377806051595,1.1505464692955865,0.24487040121175072,44.91619421906788,1.1660183655819563,0.436965811965812,-0.03426606123030661,None,None,0.0009141293511660882,0.23036059649385424,3.2772967617818205,0.14585096676884057,0.4310974684504515,-0.8456319870880643,43 days 03:53:30.810810810,false
Least Max Drawdown [%],ADA-USD,false,4,53,43,45.23809523809524,1.4031687955278165,0.015619189289698772,5.07438719779946,2.281972941022243,0.4797322424693194,0.9483079211602825,2.434347149557941,0.9045184963417595,0,0,2689,2690 days 00:00:00,1000.0,3932.3160595670493,293.2316059567049,2123.041360681029,100.0,297.9513625453556,53.00385348887089,592 days 00:00:00,42,1,37.161212224764924,69.97236918966406,-34.206466694167794,22.097907366138273,-8.988520767349991,67 days 21:28:25.263157894,13 days 06:15:39.130434782,68.93225827005435,0.6309628886519707,0.38519156599347765,1.1425427494347073,-0.9202699035053491,33.64231102223021,1.156476197598546,0.4385026737967914,-0.03426629580057753,None,None,0.0008506146305689948,0.2143548869033867,2.932316059567066,0.13685961856038786,0.40886104549299446,-0.8618813503178091,37 days 23:25:42.857142856,false
Mean Total Trades,ADA-USD,false,9,10,64,46.03174603174603,1.1374714249293598,0.02342878393454816,3.291453379690978,2.2592224381310855,0.714020081814801,1.4168835998512457,2.3501638114565555,0.7197518558002864,0,0,2689,2690 days 00:00:00,1000.0,2577.7719645151305,157.77719645151305,2123.041360681029,100.0,425.8157333900083,76.25965410792027,1362 days 00:00:00,63,1,-165.53953909670662,65.98976513508762,-32.906577180699905,19.14524504618464,-10.230898335847732,38 days 08:16:33.103448276,10 days 06:21:10.588235294,27.671611168441785,0.514556474818242,0.17978797913997327,1.1126858742469914,-0.8698275021984399,18.016724081341117,1.154005774086402,0.3894628099173553,-0.0389616074490324,None,None,0.0007580558559115216,0.19103007568970343,1.577771964515125,0.09276180466082473,0.4468017466144307,-0.9256834090123891,23 days 04:34:17.142857142,false
Most Total Return [%],ADA-USD,false,3,18,82,40.74074074074074,1.2766535399865313,0.030122722201561918,3.5676600495871065,2.2361402020204086,0.9148382298252138,1.8185198958720712,3.263831804382403,1.1135645599600332,0,0,2689,2690 days 00:00:00,1000.0,6820.5072999243785,582.0507299924378,2123.041360681029,100.0,1002.6154559310288,68.69579410164908,627 days 00:00:00,81,1,64.45522572795322,65.98976513508762,-19.832765517659094,18.523251262134284,-6.714308909039078,35 days 05:05:27.272727272,6 days 16:00:00,71.06237128637548,0.7630896731913426,0.4332049757723704,1.1706370586781045,-0.47121096066810114,18.981939112136253,1.2537046029207046,0.39450492483151883,-0.036830464854947655,None,None,0.001098774479955486,0.27689116894878246,5.820507299924401,0.19704973372573642,0.4366964789599582,-0.725841078383076,18 days 07:06:39.999999999,false
Median Win Rate [%],ADA-USD,false,3,18,82,40.74074074074074,1.2766535399865313,0.030122722201561918,3.5676600495871065,2.2361402020204086,0.9148382298252138,1.8185198958720712,3.263831804382403,1.1135645599600332,0,0,2689,2690 days 00:00:00,1000.0,6820.5072999243785,582.0507299924378,2123.041360681029,100.0,1002.6154559310288,68.69579410164908,627 days 00:00:00,81,1,64.45522572795322,65.98976513508762,-19.832765517659094,18.523251262134284,-6.714308909039078,35 days 05:05:27.272727272,6 days 16:00:00,71.06237128637548,0.7630896731913426,0.4332049757723704,1.1706370586781045,-0.47121096066810114,18.981939112136253,1.2537046029207046,0.39450492483151883,-0.036830464854947655,None,None,0.001098774479955486,0.27689116894878246,5.820507299924401,0.19704973372573642,0.4366964789599582,-0.725841078383076,18 days 07:06:39.999999999,false
Most Sharpe Ratio,ADA-USD,false,3,18,82,40.74074074074074,1.2766535399865313,0.030122722201561918,3.5676600495871065,2.2361402020204086,0.9148382298252138,1.8185198958720712,3.263831804382403,1.1135645599600332,0,0,2689,2690 days 00:00:00,1000.0,6820.5072999243785,582.0507299924378,2123.041360681029,100.0,1002.6154559310288,68.69579410164908,627 days 00:00:00,81,1,64.45522572795322,65.98976513508762,-19.832765517659094,18.523251262134284,-6.714308909039078,35 days 05:05:27.272727272,6 days 16:00:00,71.06237128637548,0.7630896731913426,0.4332049757723704,1.1706370586781045,-0.47121096066810114,18.981939112136253,1.2537046029207046,0.39450492483151883,-0.036830464854947655,None,None,0.001098774479955486,0.27689116894878246,5.820507299924401,0.19704973372573642,0.4366964789599582,-0.725841078383076,18 days 07:06:39.999999999,false
