Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
Most Win Rate [%],AMAT,false,62,65,false,44,45.45454545454545,16.872889251959226,0.0038766519823788545,29.163328297357673,10.743535935663168,0.08140969162995594,0.16281938325991188,2.374177563591056,1.069190181117084,0,0,11350,11351 days 00:00:00,1000.0,704299.4974690285,70329.94974690284,154561.40837087532,100.0,3829.1014741611957,76.08829039356034,3506 days 00:00:00,44,0,0.0,323.8483870967742,-25.17476862498691,76.57169553933055,-10.343644404286383,270 days 10:48:00,62 days 18:00:00,15984.079487932464,0.7098524378342845,0.3084961099681494,1.1437776119694678,0.3602208576528873,9.286573027077182,1.1010892295322225,0.4233228840125392,-0.033561102085091804,None,None,0.0008213862149473632,0.20698932616673552,703.2994974690212,0.15670382224592472,0.35093447500557534,-0.544970827529316,157 days 03:49:05.454545453
Least Max Drawdown Duration,AMAT,false,56,72,false,44,43.18181818181818,17.534920925647675,0.0038766519823788545,29.322258451869164,10.26198030181459,0.08140969162995594,0.16281938325991188,2.387116018460538,1.072854025006582,0,0,11350,11351 days 00:00:00,1000.0,728350.27900489,72735.027900489,154561.40837087532,100.0,4032.8632606087276,75.71270040995464,3483 days 00:00:00,44,0,0.0,334.59032258064514,-25.17476862498691,80.75828992827778,-9.769125470201379,279 days 10:06:18.947368424,64 days 07:40:47.999999999,16530.68815920205,0.712263786234123,0.3117882732435387,1.1442795253726545,0.35941682867396374,9.26747216014877,1.1012462118629371,0.42350137948332084,-0.033637012679116514,None,None,0.0008245939772201863,0.20779768225948694,727.3502790048873,0.15756642418314426,0.3511122622606748,-0.5294101634609925,157 days 04:54:32.727272728
Mean Max Drawdown [%],AMAT,false,59,69,false,44,43.18181818181818,17.367403527702972,0.0038766519823788545,29.292334549061206,10.251507762611217,0.08140969162995594,0.16281938325991188,2.384679922760577,1.0657364611843885,0,0,11350,11351 days 00:00:00,1000.0,685785.6411189891,68478.56411189892,154561.40837087532,100.0,3807.301982400845,77.55021225008598,3487 days 00:00:00,44,0,0.0,334.59032258064514,-25.17476862498691,81.1342558259017,-10.10752562133757,279 days 12:37:53.684210528,64 days 09:36:00,15563.31002543157,0.7077048510092885,0.30131731782819643,1.1432465601588568,0.35919355150845816,9.269602813360624,1.1006032604016036,0.42367991972908564,-0.03363701267911645,None,None,0.0008192470895507986,0.20645026656680124,684.7856411189891,0.15601995572972926,0.35108270618675824,-0.5569491451088341,157 days 07:05:27.272727273
Most Total Return [%],AMAT,false,53,71,false,43,39.53488372093023,15.733462522821304,0.003788546255506608,30.397156794196682,9.518358178326462,0.07955947136563876,0.15911894273127752,2.4183817255647226,1.0789506652756342,0,0,11350,11351 days 00:00:00,1000.0,766042.1336937153,76504.21336937153,154561.40837087532,100.0,4150.40002444319,77.48566424181297,3582 days 00:00:00,43,0,0.0,319.33829787234043,-25.17476862498691,92.120512520782,-9.960421950109097,298 days 01:24:42.352941176,71 days 04:36:55.384615385,17791.677527760818,0.7157322770757674,0.3072444006816925,1.1450979082454553,0.3656477163544917,9.252021488280947,1.1020210615786432,0.4233228840125392,-0.0336857522514889,None,None,0.0008296002118716958,0.20905925339166734,765.0421336937097,0.15886378436541992,0.35153207206414283,-0.5050238337257054,160 days 21:12:33.488372093
Median Win Rate [%],AMAT,false,53,71,false,43,39.53488372093023,15.733462522821304,0.003788546255506608,30.397156794196682,9.518358178326462,0.07955947136563876,0.15911894273127752,2.4183817255647226,1.0789506652756342,0,0,11350,11351 days 00:00:00,1000.0,766042.1336937153,76504.21336937153,154561.40837087532,100.0,4150.40002444319,77.48566424181297,3582 days 00:00:00,43,0,0.0,319.33829787234043,-25.17476862498691,92.120512520782,-9.960421950109097,298 days 01:24:42.352941176,71 days 04:36:55.384615385,17791.677527760818,0.7157322770757674,0.3072444006816925,1.1450979082454553,0.3656477163544917,9.252021488280947,1.1020210615786432,0.4233228840125392,-0.0336857522514889,None,None,0.0008296002118716958,0.20905925339166734,765.0421336937097,0.15886378436541992,0.35153207206414283,-0.5050238337257054,160 days 21:12:33.488372093
Most Expectancy,AMAT,false,53,71,false,43,39.53488372093023,15.733462522821304,0.003788546255506608,30.397156794196682,9.518358178326462,0.07955947136563876,0.15911894273127752,2.4183817255647226,1.0789506652756342,0,0,11350,11351 days 00:00:00,1000.0,766042.1336937153,76504.21336937153,154561.40837087532,100.0,4150.40002444319,77.48566424181297,3582 days 00:00:00,43,0,0.0,319.33829787234043,-25.17476862498691,92.120512520782,-9.960421950109097,298 days 01:24:42.352941176,71 days 04:36:55.384615385,17791.677527760818,0.7157322770757674,0.3072444006816925,1.1450979082454553,0.3656477163544917,9.252021488280947,1.1020210615786432,0.4233228840125392,-0.0336857522514889,None,None,0.0008296002118716958,0.20905925339166734,765.0421336937097,0.15886378436541992,0.35153207206414283,-0.5050238337257054,160 days 21:12:33.488372093
Most Sharpe Ratio,AMAT,false,53,71,false,43,39.53488372093023,15.733462522821304,0.003788546255506608,30.397156794196682,9.518358178326462,0.07955947136563876,0.15911894273127752,2.4183817255647226,1.0789506652756342,0,0,11350,11351 days 00:00:00,1000.0,766042.1336937153,76504.21336937153,154561.40837087532,100.0,4150.40002444319,77.48566424181297,3582 days 00:00:00,43,0,0.0,319.33829787234043,-25.17476862498691,92.120512520782,-9.960421950109097,298 days 01:24:42.352941176,71 days 04:36:55.384615385,17791.677527760818,0.7157322770757674,0.3072444006816925,1.1450979082454553,0.3656477163544917,9.252021488280947,1.1020210615786432,0.4233228840125392,-0.0336857522514889,None,None,0.0008296002118716958,0.20905925339166734,765.0421336937097,0.15886378436541992,0.35153207206414283,-0.5050238337257054,160 days 21:12:33.488372093
Most Omega Ratio,AMAT,false,53,71,false,43,39.53488372093023,15.733462522821304,0.003788546255506608,30.397156794196682,9.518358178326462,0.07955947136563876,0.15911894273127752,2.4183817255647226,1.0789506652756342,0,0,11350,11351 days 00:00:00,1000.0,766042.1336937153,76504.21336937153,154561.40837087532,100.0,4150.40002444319,77.48566424181297,3582 days 00:00:00,43,0,0.0,319.33829787234043,-25.17476862498691,92.120512520782,-9.960421950109097,298 days 01:24:42.352941176,71 days 04:36:55.384615385,17791.677527760818,0.7157322770757674,0.3072444006816925,1.1450979082454553,0.3656477163544917,9.252021488280947,1.1020210615786432,0.4233228840125392,-0.0336857522514889,None,None,0.0008296002118716958,0.20905925339166734,765.0421336937097,0.15886378436541992,0.35153207206414283,-0.5050238337257054,160 days 21:12:33.488372093
Most Sortino Ratio,AMAT,false,53,71,false,43,39.53488372093023,15.733462522821304,0.003788546255506608,30.397156794196682,9.518358178326462,0.07955947136563876,0.15911894273127752,2.4183817255647226,1.0789506652756342,0,0,11350,11351 days 00:00:00,1000.0,766042.1336937153,76504.21336937153,154561.40837087532,100.0,4150.40002444319,77.48566424181297,3582 days 00:00:00,43,0,0.0,319.33829787234043,-25.17476862498691,92.120512520782,-9.960421950109097,298 days 01:24:42.352941176,71 days 04:36:55.384615385,17791.677527760818,0.7157322770757674,0.3072444006816925,1.1450979082454553,0.3656477163544917,9.252021488280947,1.1020210615786432,0.4233228840125392,-0.0336857522514889,None,None,0.0008296002118716958,0.20905925339166734,765.0421336937097,0.15886378436541992,0.35153207206414283,-0.5050238337257054,160 days 21:12:33.488372093
Median Best Trade [%],AMAT,false,49,76,false,43,39.53488372093023,14.957056869903928,0.003788546255506608,30.2358252931544,9.46783993338782,0.07955947136563876,0.15911894273127752,2.405546276627174,1.0715162530562015,0,0,11350,11351 days 00:00:00,1000.0,719004.9180078913,71800.49180078914,154561.40837087532,100.0,3946.120200747876,77.48566424181298,4092 days 00:00:00,43,0,0.0,319.3382978723405,-20.739867372365527,92.01074923658857,-10.155471131398702,298 days 02:49:24.705882352,71 days 01:50:46.153846154,16697.788790881197,0.710904823078011,0.30399190302698803,1.1440663833117743,0.36598954682435486,9.25148581400797,1.1023467968465106,0.4227876660817248,-0.033685752251488885,None,None,0.0008240283866895202,0.2076551534457591,718.0049180078872,0.15723460073430018,0.351542158309033,-0.5354565375821276,160 days 20:05:34.883720928
Most Profit Factor,AMAT,false,56,70,false,43,39.53488372093023,17.97301765055577,0.003788546255506608,29.860499151944367,9.350312867619346,0.07955947136563876,0.15911894273127752,2.3756855272427986,1.0675272036816952,0,0,11350,11351 days 00:00:00,1000.0,697265.1610199575,69626.51610199576,154561.40837087532,100.0,3614.9817472105206,76.02923147236642,3565 days 00:00:00,43,0,0.0,323.8483870967742,-25.17476862498691,89.94955027819087,-9.42849581521681,298 days 05:38:49.411764708,71 days 01:50:46.153846154,16192.213046975752,0.7087967904710609,0.3082116361122229,1.1435525904077397,0.35950791849397196,9.252146100989078,1.1008599603658547,0.42314443329989965,-0.03366319130208116,None,None,0.0008209961058435954,0.20689101867258605,696.2651610199534,0.15644608105039626,0.35129021866730653,-0.5495219871772611,160 days 21:12:33.488372092
Median Profit Factor,AMAT,false,32,82,false,58,41.37931034482759,5.774151984290955,0.005110132158590308,20.977507607545633,9.273534400093851,0.10731277533039647,0.21462555066079295,2.2511545608802273,0.9661110323742815,0,0,11350,11351 days 00:00:00,1000.0,281891.2151295581,28089.121512955815,154561.40837087532,100.0,3691.5587448003735,76.3589888291337,4223 days 00:00:00,58,0,0.0,371.5,-20.611461794019917,65.96857023941509,-10.78088954436221,228 days 14:00:00,40 days 10:35:17.647058823,4842.951984992382,0.6409234417450175,0.2604847191541082,1.1291416429114423,0.43159001425336946,8.883594655780364,1.0973824225542725,0.41728055937070796,-0.03366319130208123,None,None,0.000738094141153466,0.18599972357067343,280.89121512955626,0.1334268429756167,0.34926277834168007,-0.818265621353844,118 days 07:02:04.137931034
Median Max Drawdown [%],AMAT,false,50,77,false,44,38.63636363636363,16.233362508073913,0.0038766519823788545,29.149414469153072,9.127648664129715,0.08140969162995594,0.16281938325991188,2.3730448431275275,1.0630822957716048,0,0,11350,11351 days 00:00:00,1000.0,672010.8839315156,67101.08839315157,154561.40837087532,100.0,3568.8725915394334,77.04690895213427,4091 days 00:00:00,44,0,0.0,323.8483870967742,-21.673449788048607,90.67787363066606,-9.590726484392134,298 days 07:03:31.764705884,68 days 11:33:20,15250.2473620799,0.7055336338628125,0.302241277801472,1.142800971790598,0.3650884806067087,9.218905874335814,1.1011522252631227,0.42314443329989965,-0.033730505381862355,None,None,0.0008184746617444699,0.2062556147596064,671.0108839315186,0.15549932704851765,0.35183109475385416,-0.565861303281216,157 days 06:32:43.636363636
Least Worst Trade [%],AMAT,false,74,76,false,45,42.22222222222222,8.184224398920064,0.003964757709251102,25.98754739787336,9.094923568973915,0.08325991189427313,0.16651982378854627,2.163720906695183,0.9430934330181192,0,0,11350,11351 days 00:00:00,1000.0,255195.14655866745,25419.514655866744,154561.40837087532,100.0,1845.2437572857873,70.84272916239833,4233 days 00:00:00,45,0,0.0,364.6831799157022,-30.52667002677917,76.54569446965162,-10.95879084688768,292 days 17:41:03.157894740,51 days 14:46:09.230769230,5648.781034637055,0.6308471580089906,0.2753620888782148,1.126804415455236,0.33827441700798516,9.45671953623083,1.0883526327319908,0.42225285051998496,-0.03395070708307357,None,None,0.000736170008059388,0.18551484203096577,254.1951465586696,0.13092608543999473,0.35391638705237816,-0.8355377650618209,153 days 10:08:00.000000001
Mean Avg Losing Trade [%],AMAT,false,48,78,false,44,38.63636363636363,14.35856595250363,0.0038766519823788545,29.017892641941966,9.086464816964698,0.08140969162995594,0.16281938325991188,2.3623376917316627,1.0601144431338783,0,0,11350,11351 days 00:00:00,1000.0,653644.5382423793,65264.453824237935,154561.40837087532,100.0,3709.920954098102,76.8716766657057,4116 days 00:00:00,44,0,0.0,319.3382978723404,-21.82670334272289,90.72835878403151,-9.836845299373676,298 days 02:49:24.705882352,68 days 05:20:00.000000001,14832.83041459953,0.7036792361245366,0.3015017991772168,1.1425656262337842,0.3650962286763471,9.256017680195093,1.1015417565678278,0.42225285051998496,-0.03370574519519265,None,None,0.00081560297272846,0.20553194912757192,652.6445382423801,0.15478868251610378,0.35152058831088395,-0.5777441826381805,157 days 01:05:27.272727272
Most Avg Losing Trade Duration,AMAT,false,49,73,false,46,39.130434782608695,11.627650316432227,0.004052863436123348,27.13727436735493,8.99743854507992,0.08511013215859031,0.17022026431718063,2.3096570078295033,1.0446829686722892,0,0,11350,11351 days 00:00:00,1000.0,571771.9246263553,57077.192462635525,154561.40837087532,100.0,5347.045286170596,77.35089102454566,4112 days 00:00:00,46,0,0.0,321.10957446808516,-20.739867372365516,83.63852926979696,-9.184960927072092,265 days 00:00:00,76 days 00:51:25.714285715,12408.085317964245,0.6939397934653638,0.29279602055979176,1.14053381553986,0.3598396993132712,9.290909932096978,1.1005269813443526,0.42118442469012146,-0.0336857522514889,None,None,0.000803083861191522,0.20237713302026353,570.7719246263567,0.15136292705274146,0.3509827791767288,-0.6307151114612202,149 days 23:28:41.739130435
Least Win Rate [%],AMAT,false,57,64,false,50,38.0,10.486860859534362,0.004405286343612335,25.28997083953181,8.850791047174516,0.09251101321585903,0.18502202643171806,2.3396008265646167,1.0546292702772238,0,0,11350,11351 days 00:00:00,1000.0,620230.1050920498,61923.010509204985,154561.40837087532,100.0,6352.928933250112,77.42828565950505,4116 days 00:00:00,50,0,0.0,321.10957446808504,-24.28286558559961,80.82701093605986,-8.74886018737248,264 days 21:28:25.263157896,60 days 04:38:42.580645161,12384.602101840996,0.6999463588847312,0.2966523892972542,1.1418926110382372,0.36737433519286744,9.292072916750774,1.102189361263658,0.4213623841723016,-0.033705745195192705,None,None,0.0008105131479213309,0.20424931327617538,619.2301050920548,0.15344420658508962,0.35118989256577987,-0.599363054711441,137 days 23:31:12.000000001
Median Sharpe Ratio,AMAT,false,33,77,false,61,39.34426229508197,5.2291352152894355,0.005374449339207049,19.686371060296022,8.702761198141546,0.11286343612334801,0.22572687224669602,2.221871482664247,0.9432225512438671,0,0,11350,11351 days 00:00:00,1000.0,231625.86538278975,23062.586538278974,154561.40837087532,100.0,3044.996563945435,76.08681916770348,4242 days 00:00:00,61,0,0.0,353.7666666666667,-20.611461794019903,67.11528300241805,-11.078328577837187,222 days 17:00:00,40 days 09:43:47.027027027,3780.751891521144,0.6261514945955484,0.251496774087055,1.126112863697186,0.42941601474390173,8.904910060512643,1.0993731834350695,0.4146311066799601,-0.03345316516082644,None,None,0.0007202224468480561,0.18149605660571014,230.62586538278939,0.12849567148671093,0.34884614956944743,-0.8507869022328037,112 days 03:08:51.147540983
Median Omega Ratio,AMAT,false,55,87,false,47,40.42553191489361,10.550202058329466,0.004140969162995595,24.803416610998624,8.680510510388173,0.08696035242290749,0.17392070484581498,2.156913849784638,0.9377058676411075,0,0,11350,11351 days 00:00:00,1000.0,240541.21344339877,23954.121344339877,154561.40837087532,100.0,1569.9773712289125,73.77912257712401,4186 days 00:00:00,47,0,0.0,352.96721615453055,-28.742857142857126,76.73893081096483,-10.438539453264141,291 days 06:18:56.842105260,49 days 14:34:17.142857142,5096.621562625504,0.6268863355042678,0.261325455118443,1.1259237301047151,0.34622500110402377,9.541285742513395,1.0931720157828841,0.42207466800300675,-0.033921512434950896,None,None,0.0007296517050355695,0.18387222966896352,239.541213443398,0.12944228481552322,0.35299902091996804,-0.8450187430560858,147 days 07:08:56.170212763
Median Sortino Ratio,AMAT,false,67,73,false,48,39.58333333333333,10.165171384272437,0.004229074889867841,24.70990691577628,8.647784700676908,0.08881057268722467,0.17762114537444934,2.194500984238105,0.9398216216847286,0,0,11350,11351 days 00:00:00,1000.0,243421.5176341936,24242.15176341936,154561.40837087532,100.0,1620.0941006733178,74.91531563709091,4198 days 00:00:00,48,0,0.0,352.96721615453055,-28.74285714285713,78.9846817241956,-10.849428303532916,291 days 05:03:09.473684212,48 days 00:00:00,5050.4482840456985,0.62789879814127,0.25797163710837295,1.1261282352614124,0.35311207996807126,9.579312206700966,1.0930461298338563,0.42225285051998496,-0.03389828645510419,None,None,0.0007303609864252379,0.18405096857915995,242.4215176341944,0.12974078830006142,0.3527724143262174,-0.8431552091887679,144 days 06:29:59.999999998
Mean Expectancy,AMAT,false,71,81,false,42,40.476190476190474,7.403996434203033,0.0037004405286343613,27.560769752736935,8.630191302201656,0.07770925110132158,0.15541850220264317,2.1417267772611432,0.9190260592012867,0,0,11350,11351 days 00:00:00,1000.0,210477.50111086175,20947.750111086174,154561.40837087532,100.0,1505.9220232762857,75.42797950697569,4255 days 00:00:00,42,0,0.0,364.6831799157022,-30.52667002677917,84.84378606623163,-11.391681340439462,316 days 18:21:10.588235292,59 days 18:14:24,4987.559550258615,0.6159144056018742,0.2488382428236436,1.1238600596557675,0.3242050402818094,9.427912141151532,1.0866993606323005,0.41993995496622466,-0.03409504285426771,None,None,0.0007203615670289132,0.18153111489128612,209.47750111086103,0.1260994918456717,0.35471281172025365,-0.8644697254516384,163 days 18:51:25.714285714
