Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
Median Total Trades,ASML,true,65,74,false,72,61.97183098591549,2.478834270432263,0.009392776822330997,12.564269240142288,10.023181079214634,0.20002645852626008,0.397274771795211,2.5131862800760865,1.354687006609139,0,0,7559,7560 days 00:00:00,1000.0,305051.01798684156,30405.101798684154,32640.97800925935,100.0,10045.963610521549,60.785435159501574,965 days 00:00:00,71,1,-21748.905530573684,196.84029811455346,-25.605603829520966,25.886071181879732,-9.145333924170584,82 days 21:49:05.454545454,36 days 10:40:00,4588.731317146692,0.8823587306998021,0.5233071382918014,1.1830362523637732,0.5987680398285046,9.32353549098351,1.1419517297921453,0.46228239845261127,-0.031193768932834407,None,None,0.0009809478248993602,0.24719885187463878,304.0510179868432,0.21007535495305252,0.337168833867783,-0.06849905691983062,65 days 05:44:47.323943661
Most Expectancy,ASML,true,66,80,false,65,68.75,2.9702838759748547,0.00846672840322794,13.85255631850917,9.961388813309965,0.1805794417250959,0.35838073819288263,2.501486886461836,1.392874981315554,0,0,7559,7560 days 00:00:00,1000.0,389621.96931837924,38862.19693183792,32640.97800925935,100.0,12056.646792101266,60.45763112378172,939 days 00:00:00,64,1,-30573.836625251686,182.49002348448212,-25.379149775284176,24.98644142789965,-10.641990922149889,87 days 09:16:21.818181819,41 days 04:48:00,6549.9344678692305,0.9084166678753784,0.5520543723946615,1.188043979507691,0.5717294343799015,9.263829455604293,1.141192930087506,0.4676761793826441,-0.031192354684223805,None,None,0.0010162152823841232,0.2560862511607991,388.6219693183782,0.21998581543706974,0.3392714619608508,0.19059535902428476,72 days 22:52:30.000000001
Most Win Rate [%],ASML,true,66,75,false,71,70.0,2.251618339519594,0.009260484191030559,12.578544489761466,9.893237239138232,0.19724831326895093,0.39171848128059267,2.481096683983906,1.3497662006979727,0,0,7559,7560 days 00:00:00,1000.0,306332.27499559196,30533.227499559194,32640.97800925935,100.0,10618.012689764486,59.27199229932791,941 days 00:00:00,70,1,-16765.35568411852,188.28532670047244,-24.97583529566371,23.135837114703627,-12.05513830177024,77 days 15:40:24.489795918,39 days 16:00:00,4601.3947239958625,0.8795765493738755,0.5371192452020932,1.1825649700234073,0.5916556455650438,9.369357629836482,1.1391137310413382,0.46369796708615685,-0.03138404514574643,None,None,0.000984643626260522,0.24813019381765156,305.332274995592,0.2102444281708884,0.33950965916223774,-0.06457375477849484,66 days 06:10:17.142857142
Median Avg Losing Trade [%],ASML,true,65,75,false,69,61.76470588235294,2.47898102612683,0.008995898928429686,12.927919985156464,9.87751189877123,0.19169202275433259,0.380605900251356,2.478179131960804,1.3167344404594907,0,0,7559,7560 days 00:00:00,1000.0,249648.3074976355,24864.83074976355,32640.97800925935,100.0,8011.818891123836,60.779087363314055,965 days 00:00:00,68,1,-17798.91603531016,196.8402981145535,-25.605603829520966,26.677817804939778,-9.283453416031975,84 days 18:17:08.571428571,41 days 10:09:13.846153846,3918.341522543322,0.8589682640753318,0.5024776006087726,1.1776558296829869,0.597607298810431,9.355323050404252,1.1358076919225149,0.46284829721362236,-0.031193768932834376,None,None,0.0009539738807628029,0.24040141795222633,248.64830749763433,0.20201795296696878,0.3368263571444137,-0.2382326674553048,68 days 04:35:17.647058823
Least Total Trades,ASML,true,43,73,false,54,55.55555555555556,2.7750203264293805,0.007143802090223575,17.0906606348208,9.44409318557053,0.15001984389469505,0.3000396877893901,2.563938240493026,1.1611091567263054,0,0,7559,7560 days 00:00:00,1000.0,111197.26034009292,11019.726034009293,32640.97800925935,100.0,3341.1658055885678,66.80754007080314,1899 days 00:00:00,54,0,0.0,308.0723314659081,-26.888752332270244,39.10442437532937,-10.426544040814917,122 days 16:48:00,39 days 01:00:00,2040.6900062980176,0.7653061607148475,0.3823101963654389,1.158084933551099,0.5259025454521954,9.733994204427278,1.127479108367736,0.4499424626006905,-0.031019351688075954,None,None,0.0008441613624117205,0.21272866332775356,110.1972603400927,0.17004653884531096,0.33453145824170855,-0.6623959603513321,85 days 12:26:40
Mean Total Trades,ASML,true,73,79,false,90,60.67415730337079,2.562248977698558,0.011774044185738854,9.479899599494535,9.429260975735954,0.2500330731578251,0.49728800105834103,2.370288430089254,1.3348899079795886,0,0,7559,7560 days 00:00:00,1000.0,286971.13651310204,28597.113651310206,32640.97800925935,100.0,13606.148206872107,62.225060653573436,920 days 00:00:00,89,1,-22576.984691835823,201.02313499320383,-36.675749318801074,20.685002477874974,-7.80797341286386,69 days 14:40:00,25 days 16:27:25.714285714,3466.832822527391,0.877366046554859,0.5049607362539794,1.1806142725494704,0.4575752919363773,9.102058834260415,1.1461940313672698,0.46540027137042067,-0.03113949407234763,None,None,0.000971534209525951,0.24482662080053966,285.9711365131015,0.20761344772914692,0.33583346985045875,-0.12388919096731753,52 days 08:05:23.595505618
Most Sharpe Ratio,ASML,true,19,41,false,92,55.434782608695656,2.3372871115647404,0.012170922079640163,10.002009640484479,9.08949557492353,0.25558936367244345,0.5111787273448869,2.5564072794570727,1.5119899964293753,0,0,7559,7560 days 00:00:00,1000.0,500796.2511660267,49979.62511660267,32640.97800925935,100.0,27298.95617668125,54.183318551864446,953 days 00:00:00,92,0,0.0,261.277348682661,-15.905634151631784,23.21865903552731,-6.43821277773953,65 days 08:28:14.117647059,24 days 21:04:23.414634146,5432.567947456817,0.9679337285779102,0.6459954872321496,1.210466704113242,0.7564482384718655,10.163126254317236,1.1800283855544902,0.4175885992874555,-0.029817340531062466,None,None,0.0010257086958852658,0.258478591363087,499.79625116602676,0.23023676713918362,0.3213846399544693,0.5311926346822335,47 days 07:33:54.782608695
Most Omega Ratio,ASML,true,19,41,false,92,55.434782608695656,2.3372871115647404,0.012170922079640163,10.002009640484479,9.08949557492353,0.25558936367244345,0.5111787273448869,2.5564072794570727,1.5119899964293753,0,0,7559,7560 days 00:00:00,1000.0,500796.2511660267,49979.62511660267,32640.97800925935,100.0,27298.95617668125,54.183318551864446,953 days 00:00:00,92,0,0.0,261.277348682661,-15.905634151631784,23.21865903552731,-6.43821277773953,65 days 08:28:14.117647059,24 days 21:04:23.414634146,5432.567947456817,0.9679337285779102,0.6459954872321496,1.210466704113242,0.7564482384718655,10.163126254317236,1.1800283855544902,0.4175885992874555,-0.029817340531062466,None,None,0.0010257086958852658,0.258478591363087,499.79625116602676,0.23023676713918362,0.3213846399544693,0.5311926346822335,47 days 07:33:54.782608695
Most Sortino Ratio,ASML,true,19,41,false,92,55.434782608695656,2.3372871115647404,0.012170922079640163,10.002009640484479,9.08949557492353,0.25558936367244345,0.5111787273448869,2.5564072794570727,1.5119899964293753,0,0,7559,7560 days 00:00:00,1000.0,500796.2511660267,49979.62511660267,32640.97800925935,100.0,27298.95617668125,54.183318551864446,953 days 00:00:00,92,0,0.0,261.277348682661,-15.905634151631784,23.21865903552731,-6.43821277773953,65 days 08:28:14.117647059,24 days 21:04:23.414634146,5432.567947456817,0.9679337285779102,0.6459954872321496,1.210466704113242,0.7564482384718655,10.163126254317236,1.1800283855544902,0.4175885992874555,-0.029817340531062466,None,None,0.0010257086958852658,0.258478591363087,499.79625116602676,0.23023676713918362,0.3213846399544693,0.5311926346822335,47 days 07:33:54.782608695
Least Avg Losing Trade [%],ASML,true,60,79,false,55,66.66666666666666,2.152913407371223,0.007143802090223575,14.7448404518774,8.946307689903142,0.15279798915200424,0.3028178330466993,2.252981971413996,1.1618872652350203,0,0,7559,7560 days 00:00:00,1000.0,114328.63072864366,11332.863072864366,32640.97800925935,100.0,3837.602311414779,61.94255910085017,965 days 00:00:00,54,1,-8151.169616042287,204.4110130578333,-26.51029618292316,29.099265770316652,-13.964010185001088,108 days 05:20:00,40 days 17:20:00,2249.6259323089985,0.765802257160931,0.4150562044171691,1.1569666718641252,0.529021605028193,9.425141030091662,1.1266872570664987,0.4563667886727027,-0.03143943486561206,None,None,0.0008512259559486806,0.21450894089906752,113.32863072864434,0.17113016343601162,0.3371125482067864,-0.6528025885238627,85 days 17:19:59.999999999
