Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Entry,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
Most Win Rate [%],ATOM-USD,SMA,28,35,false,40,2.802230941497581,64.1025641025641,2.7389034553360077,13.14655504006284,1.6169268326174457,50.260550258923594,27 days 01:13:50.769230769,0.01759927797833935,0.5415162454873647,1.0694945848375452,7.1190731263878195,0,0,2216,2217 days 00:00:00,1000.0,16867.346328711603,1586.7346328711603,-32.21106188483394,100.0,469.21139475285736,66.41308261509361,1153 days 00:00:00,39,1,-850.0782436037844,237.8379168019164,-37.34458061032612,28.495023893298576,-14.26142505500097,32 days 10:33:36,17 days 10:17:08.571428571,428.651912110651,0.9607236561556834,0.8917997138042233,1.2338313247133945,1.5214081372682677,12.296093788893447,1.3638327095012048,0.30796460176991153,-0.05894958652111555,None,None,0.0021971718737585568,0.5536873121871563,15.867346328711626,0.37871616877958747,0.6936050539579562,2216
Most Profit Factor,ATOM-USD,SMA,28,35,false,40,2.802230941497581,64.1025641025641,2.7389034553360077,13.14655504006284,1.6169268326174457,50.260550258923594,27 days 01:13:50.769230769,0.01759927797833935,0.5415162454873647,1.0694945848375452,7.1190731263878195,0,0,2216,2217 days 00:00:00,1000.0,16867.346328711603,1586.7346328711603,-32.21106188483394,100.0,469.21139475285736,66.41308261509361,1153 days 00:00:00,39,1,-850.0782436037844,237.8379168019164,-37.34458061032612,28.495023893298576,-14.26142505500097,32 days 10:33:36,17 days 10:17:08.571428571,428.651912110651,0.9607236561556834,0.8917997138042233,1.2338313247133945,1.5214081372682677,12.296093788893447,1.3638327095012048,0.30796460176991153,-0.05894958652111555,None,None,0.0021971718737585568,0.5536873121871563,15.867346328711626,0.37871616877958747,0.6936050539579562,2216
Least Total Trades,ATOM-USD,SMA,30,38,false,34,2.4897193942212925,57.57575757575758,2.5048945770335025,15.969015447383189,1.744146552428802,69.23828320900483,31 days 14:32:43.636363635,0.014891696750902527,0.46028880866426,0.9070397111913359,7.350359095817173,0,0,2216,2217 days 00:00:00,1000.0,22980.275633600795,2198.0275633600795,-32.21106188483394,100.0,763.5694675197869,60.133655114395665,797 days 00:00:00,33,1,-2003.6691297595353,254.7945433058319,-22.924151575685848,33.94897091096503,-8.432352681763598,42 days 05:03:09.473684210,17 days 05:08:34.285714285,726.7862049503133,1.0269225772405763,1.123233942421135,1.2527026347072112,1.5904839700177558,12.765087078439876,1.3416661615482226,0.30719339622641506,-0.057338938879591045,None,None,0.0022913342945649158,0.5774162422303588,21.980275633600872,0.4280431343292166,0.6767019934077712,2216
Most Expectancy,ATOM-USD,SMA,30,38,false,34,2.4897193942212925,57.57575757575758,2.5048945770335025,15.969015447383189,1.744146552428802,69.23828320900483,31 days 14:32:43.636363635,0.014891696750902527,0.46028880866426,0.9070397111913359,7.350359095817173,0,0,2216,2217 days 00:00:00,1000.0,22980.275633600795,2198.0275633600795,-32.21106188483394,100.0,763.5694675197869,60.133655114395665,797 days 00:00:00,33,1,-2003.6691297595353,254.7945433058319,-22.924151575685848,33.94897091096503,-8.432352681763598,42 days 05:03:09.473684210,17 days 05:08:34.285714285,726.7862049503133,1.0269225772405763,1.123233942421135,1.2527026347072112,1.5904839700177558,12.765087078439876,1.3416661615482226,0.30719339622641506,-0.057338938879591045,None,None,0.0022913342945649158,0.5774162422303588,21.980275633600872,0.4280431343292166,0.6767019934077712,2216
Median Avg Winning Trade [%],ATOM-USD,SMA,30,37,false,38,2.1251865665574288,54.054054054054056,2.63462025306553,13.229871163960713,1.659822278830563,55.46731544406427,28 days 08:25:56.756756756,0.016696750902527077,0.5144404332129965,1.0153429602888087,6.805980652940079,0,0,2216,2217 days 00:00:00,1000.0,18544.500684695253,1754.4500684695254,-32.21106188483394,100.0,653.3142880357638,64.67133055273116,536 days 00:00:00,37,1,-1616.9102643137558,232.41051128704737,-23.23313790081957,31.10424451606553,-7.798803367927314,38 days 06:00:00,16 days 16:56:28.235294117,517.8759715948381,0.9829722911293444,0.9545442341699113,1.2397083895353633,1.5607792981403963,12.56903015033199,1.3416347007208724,0.30873671782762696,-0.05846149821674394,None,None,0.002202441874091558,0.5550153522710727,17.544500684695276,0.3936520569103543,0.6795319521036969,2216
Most Total Return [%],ATOM-USD,SMA,35,36,true,109,2.0386218388692954,55.55555555555556,1.8058372539548972,5.448817538085608,1.8969280191445272,108.06524696747793,9 days 20:00:00,0.048736462093862815,1.4756317689530687,2.9377256317689535,8.04044826242777,0,0,2216,2217 days 00:00:00,1000.0,35486.85295784461,3448.6852957844612,-32.21106188483394,100.0,3827.928658166958,56.73954959069566,807 days 00:00:00,108,1,-35.48685295783798,274.08985846182446,-30.901980261778554,14.140220291439903,-5.415435903607261,12 days 06:00:00,6 days 19:30:00,319.65129454446725,1.110580799015274,1.4094092757362449,1.2724527171482476,1.563542689186831,12.270553512909206,1.549596774860461,0.31261101243339257,-0.05792333063316594,None,None,0.002511125153801888,0.6328035387580757,34.4868529578447,0.5003469630375992,0.6857485537827674,2216
Most Total Fees Paid,ATOM-USD,SMA,35,36,true,109,2.0386218388692954,55.55555555555556,1.8058372539548972,5.448817538085608,1.8969280191445272,108.06524696747793,9 days 20:00:00,0.048736462093862815,1.4756317689530687,2.9377256317689535,8.04044826242777,0,0,2216,2217 days 00:00:00,1000.0,35486.85295784461,3448.6852957844612,-32.21106188483394,100.0,3827.928658166958,56.73954959069566,807 days 00:00:00,108,1,-35.48685295783798,274.08985846182446,-30.901980261778554,14.140220291439903,-5.415435903607261,12 days 06:00:00,6 days 19:30:00,319.65129454446725,1.110580799015274,1.4094092757362449,1.2724527171482476,1.563542689186831,12.270553512909206,1.549596774860461,0.31261101243339257,-0.05792333063316594,None,None,0.002511125153801888,0.6328035387580757,34.4868529578447,0.5003469630375992,0.6857485537827674,2216
Most Avg Losing Trade [%],ATOM-USD,SMA,35,36,true,109,2.0386218388692954,55.55555555555556,1.8058372539548972,5.448817538085608,1.8969280191445272,108.06524696747793,9 days 20:00:00,0.048736462093862815,1.4756317689530687,2.9377256317689535,8.04044826242777,0,0,2216,2217 days 00:00:00,1000.0,35486.85295784461,3448.6852957844612,-32.21106188483394,100.0,3827.928658166958,56.73954959069566,807 days 00:00:00,108,1,-35.48685295783798,274.08985846182446,-30.901980261778554,14.140220291439903,-5.415435903607261,12 days 06:00:00,6 days 19:30:00,319.65129454446725,1.110580799015274,1.4094092757362449,1.2724527171482476,1.563542689186831,12.270553512909206,1.549596774860461,0.31261101243339257,-0.05792333063316594,None,None,0.002511125153801888,0.6328035387580757,34.4868529578447,0.5003469630375992,0.6857485537827674,2216
Most Sharpe Ratio,ATOM-USD,SMA,35,36,true,109,2.0386218388692954,55.55555555555556,1.8058372539548972,5.448817538085608,1.8969280191445272,108.06524696747793,9 days 20:00:00,0.048736462093862815,1.4756317689530687,2.9377256317689535,8.04044826242777,0,0,2216,2217 days 00:00:00,1000.0,35486.85295784461,3448.6852957844612,-32.21106188483394,100.0,3827.928658166958,56.73954959069566,807 days 00:00:00,108,1,-35.48685295783798,274.08985846182446,-30.901980261778554,14.140220291439903,-5.415435903607261,12 days 06:00:00,6 days 19:30:00,319.65129454446725,1.110580799015274,1.4094092757362449,1.2724527171482476,1.563542689186831,12.270553512909206,1.549596774860461,0.31261101243339257,-0.05792333063316594,None,None,0.002511125153801888,0.6328035387580757,34.4868529578447,0.5003469630375992,0.6857485537827674,2216
Most Calmar Ratio,ATOM-USD,SMA,35,36,true,109,2.0386218388692954,55.55555555555556,1.8058372539548972,5.448817538085608,1.8969280191445272,108.06524696747793,9 days 20:00:00,0.048736462093862815,1.4756317689530687,2.9377256317689535,8.04044826242777,0,0,2216,2217 days 00:00:00,1000.0,35486.85295784461,3448.6852957844612,-32.21106188483394,100.0,3827.928658166958,56.73954959069566,807 days 00:00:00,108,1,-35.48685295783798,274.08985846182446,-30.901980261778554,14.140220291439903,-5.415435903607261,12 days 06:00:00,6 days 19:30:00,319.65129454446725,1.110580799015274,1.4094092757362449,1.2724527171482476,1.563542689186831,12.270553512909206,1.549596774860461,0.31261101243339257,-0.05792333063316594,None,None,0.002511125153801888,0.6328035387580757,34.4868529578447,0.5003469630375992,0.6857485537827674,2216
Most Omega Ratio,ATOM-USD,SMA,35,36,true,109,2.0386218388692954,55.55555555555556,1.8058372539548972,5.448817538085608,1.8969280191445272,108.06524696747793,9 days 20:00:00,0.048736462093862815,1.4756317689530687,2.9377256317689535,8.04044826242777,0,0,2216,2217 days 00:00:00,1000.0,35486.85295784461,3448.6852957844612,-32.21106188483394,100.0,3827.928658166958,56.73954959069566,807 days 00:00:00,108,1,-35.48685295783798,274.08985846182446,-30.901980261778554,14.140220291439903,-5.415435903607261,12 days 06:00:00,6 days 19:30:00,319.65129454446725,1.110580799015274,1.4094092757362449,1.2724527171482476,1.563542689186831,12.270553512909206,1.549596774860461,0.31261101243339257,-0.05792333063316594,None,None,0.002511125153801888,0.6328035387580757,34.4868529578447,0.5003469630375992,0.6857485537827674,2216
Most Sortino Ratio,ATOM-USD,SMA,35,36,true,109,2.0386218388692954,55.55555555555556,1.8058372539548972,5.448817538085608,1.8969280191445272,108.06524696747793,9 days 20:00:00,0.048736462093862815,1.4756317689530687,2.9377256317689535,8.04044826242777,0,0,2216,2217 days 00:00:00,1000.0,35486.85295784461,3448.6852957844612,-32.21106188483394,100.0,3827.928658166958,56.73954959069566,807 days 00:00:00,108,1,-35.48685295783798,274.08985846182446,-30.901980261778554,14.140220291439903,-5.415435903607261,12 days 06:00:00,6 days 19:30:00,319.65129454446725,1.110580799015274,1.4094092757362449,1.2724527171482476,1.563542689186831,12.270553512909206,1.549596774860461,0.31261101243339257,-0.05792333063316594,None,None,0.002511125153801888,0.6328035387580757,34.4868529578447,0.5003469630375992,0.6857485537827674,2216
Most Worst Trade [%],ATOM-USD,SMA,33,41,false,34,1.6443054014980458,58.82352941176471,2.2936133643497123,12.192738556928587,1.6027706204625605,47.94421424889904,30 days 10:35:17.647058823,0.015342960288808664,0.46028880866426,0.92057761732852,5.612181104723447,0,0,2216,2217 days 00:00:00,1000.0,16121.2299030619,1512.12299030619,-32.21106188483394,100.0,610.7632235111489,62.80521319447353,807 days 00:00:00,34,0,0.0,195.25556398969323,-17.9764680767268,25.68493356899727,-7.081825746026673,40 days 13:12:00,16 days 00:00:00,444.7420559724089,0.9579725162250542,0.924215567865287,1.2340062298316294,1.5127755033693242,12.936515356175095,1.3274552452946078,0.30258519388954175,-0.05770069377914441,None,None,0.0021165294295006428,0.533365416234162,15.121229903061888,0.3716441958299299,0.6700665905643326,2216
Median Total Trades,ATOM-USD,SMA,27,32,false,47,1.4264734699732107,56.52173913043478,1.668625037390871,11.171322982527464,1.5888176306871498,51.94952750436725,23 days 08:20:52.173913043,0.02075812274368231,0.6362815884476535,1.2590252707581229,7.108107132384353,0,0,2216,2217 days 00:00:00,1000.0,17411.383834462224,1641.1383834462224,-32.21106188483394,100.0,782.7439256914731,63.97974578199233,1160 days 00:00:00,46,1,175.04042786587888,208.9855878012789,-33.15235909161648,29.09046680531684,-12.12356398709872,31 days 02:46:09.230769231,13 days 06:00:00,352.9639870999206,0.9686797050503754,0.9387583717006458,1.2348312162393038,1.1144876737284934,13.43115693227676,1.3761533629383613,0.3165083135391924,-0.05971624109692878,None,None,0.0022820197916038807,0.5750689874841779,16.411383834462207,0.3837000085247706,0.7144731431467787,2216
Most Max Drawdown Duration,ATOM-USD,SMA,33,38,true,46,1.4184437448021074,55.55555555555556,1.7028322225398664,10.84540962123151,1.6663184994724853,57.79358870753604,23 days 00:00:00,0.020306859205776174,0.6227436823104694,1.2319494584837547,6.7539103236911044,0,0,2216,2217 days 00:00:00,1000.0,19293.81800520249,1829.3818005202493,-32.21106188483394,100.0,1201.0723238072637,59.8422209414765,934 days 00:00:00,45,1,-19.293818005200592,244.13158848769962,-21.245903005916382,25.761775140875848,-7.800047278323912,29 days 21:07:12,14 days 09:36:00,406.95804051572657,0.9936673021985543,1.0492562825697813,1.2447098275914037,1.4974881358659926,12.814039207582933,1.3730553934714513,0.3018203170874927,-0.05733893887959118,None,None,0.002206826598836416,0.5561203029067768,18.293818005202425,0.3999411496927252,0.6735563167571592,2216
Most Best Trade [%],ATOM-USD,SMA,59,62,true,36,0.981189833810674,54.285714285714285,1.3702918562916004,17.464857617459625,1.1715219365743317,14.506409165355766,30 days 08:13:42.857142856,0.0157942238267148,0.4873646209386282,0.9611913357400723,8.511753712480324,0,0,2216,2217 days 00:00:00,1000.0,5350.557814671629,435.0557814671629,-32.21106188483394,100.0,283.86377789447386,70.59616949263742,1296 days 00:00:00,35,1,-5.350557814671447,483.4767724464478,-55.16728396249791,46.374990117168906,-16.865924725945142,35 days 13:53:41.052631579,24 days 03:00:00,124.45452492817998,0.7540617489259519,0.45047495030904644,1.1791132121829997,0.5029628862620514,16.064495839620974,1.2822295767465326,0.31105854523950327,-0.06016876878456301,None,None,0.0017938742222120818,0.4520563039974446,4.350557814671602,0.2100268906586229,0.7214924332812189,2216
Least Worst Trade [%],ATOM-USD,SMA,58,60,false,49,0.8813145159704181,58.333333333333336,1.4292701622854784,9.374373835355502,1.257588069661431,19.483427098687567,22 days 07:00:00,0.021660649819494584,0.6633574007220218,1.3131768953068592,6.218560260817956,0,0,2216,2217 days 00:00:00,1000.0,6953.708141196419,595.3708141196419,-32.21106188483394,100.0,474.5285996564113,69.4368801809538,499 days 00:00:00,48,1,-606.2995310422075,164.89710727343515,-62.501597480498205,26.469208332593247,-14.558394460777347,26 days 08:34:17.142857143,16 days 14:24:00,136.66682650497143,0.8039133178247603,0.5416882177424227,1.1905104335191046,0.5362037208143486,15.448813208245095,1.3227893705767833,0.31494661921708184,-0.06088220119240482,None,None,0.001934375819065223,0.48746270640443623,5.953708141196435,0.24661491126224377,0.7297571080886089,2216
Median Avg Losing Trade [%],ATOM-USD,SMA,26,32,false,44,0.8457281096737473,48.837209302325576,1.449784445929837,11.01893549712197,1.4258657723939665,31.44685256735679,25 days 00:33:29.302325580,0.0194043321299639,0.5956678700361011,1.1777978339350181,6.56362583763583,0,0,2216,2217 days 00:00:00,1000.0,10807.254522455447,980.7254522455446,-32.21106188483394,100.0,560.0355515485438,64.37826560534347,1170 days 00:00:00,43,1,108.64767979681346,218.70764393041435,-37.40954313267545,34.67635135220113,-11.563143273635408,35 days 14:51:25.714285714,14 days 21:49:05.454545454,225.54899634089844,0.8775464062542557,0.7452014414964667,1.209520353385993,1.0729685506496156,13.127015521779196,1.3601398690906654,0.3141671606401897,-0.06074026281918392,None,None,0.002080415741079631,0.524264766752067,9.80725452245546,0.3106883757176353,0.7189964427605968,2216
Least Max Drawdown [%],ATOM-USD,SMA,9,18,false,63,0.8069159825796401,41.269841269841265,1.5850588334350428,7.7855821181256895,1.5592140392053773,47.480005471998645,16 days 20:34:17.142857142,0.028429602888086644,0.8528880866425994,1.7057761732851988,6.6402302361270555,0,0,2216,2217 days 00:00:00,1000.0,15971.703326659685,1497.1703326659683,-32.21106188483394,100.0,1138.0700998137818,52.43217190753674,391 days 00:00:00,63,0,0.0,229.39208382049853,-22.063134178935158,28.681805187826853,-6.898250309231884,26 days 21:13:50.769230769,9 days 19:27:34.054054054,237.64608455015372,0.9500668757891524,1.102439078225115,1.227470804843786,1.2596232616515555,11.935383658733869,1.3731029342320338,0.31494661921708184,-0.06093219921940644,None,None,0.002222803160436423,0.5601463964299787,14.971703326659659,0.3701921228250671,0.7095671995680574,2216
Mean Win Rate [%],ATOM-USD,SMA,5,18,true,64,0.7202802136612435,46.03174603174603,1.5216684248075543,6.788297359578769,1.4008347537224577,28.790437406448255,16 days 09:31:25.714285712,0.028429602888086644,0.8664259927797835,1.719314079422383,5.881557279057417,0,0,2216,2217 days 00:00:00,1000.0,9951.594991057087,895.1594991057087,-32.21106188483394,100.0,676.3198267384375,59.533856558332054,698 days 00:00:00,63,1,-9.951594991056481,193.33348759912445,-24.52328623392602,25.022775208563054,-8.764639629260767,25 days 02:28:57.931034482,8 days 23:17:38.823529411,142.24677120711334,0.8605484471253897,0.7723144235475115,1.206994879895053,1.2232459338653108,12.32763526903342,1.379085946755092,0.3002932551319648,-0.05970271519006382,None,None,0.001963612582941198,0.49483037090118187,8.951594991057114,0.29845704241779125,0.6920336043292495,2216
Mean Total Trades,ATOM-USD,SMA,38,41,false,56,0.706680586603565,55.35714285714286,1.5547425807864805,6.611752903662073,1.230867156395195,16.60844223391928,18 days 13:17:08.571428571,0.02527075812274368,0.7581227436823106,1.5162454873646212,5.012520251873775,0,0,2216,2217 days 00:00:00,1000.0,6027.644987226296,502.7644987226296,-32.21106188483394,100.0,417.58820526696206,67.21467152911075,1096 days 00:00:00,56,0,0.0,200.4103322732668,-38.86388896839158,19.620895100658156,-9.519583420613072,20 days 14:42:34.838709677,16 days 00:00:00,89.7793747718982,0.7643273219244909,0.5119855882813819,1.1825968439822303,1.033865831772954,14.289070565972505,1.3565081445678537,0.29876977152899825,-0.05906501257464822,None,None,0.0017231627487263232,0.4342370126790335,5.027644987226272,0.22652706668187905,0.6837441377074643,2216
Mean Avg Winning Trade [%],ATOM-USD,SMA,31,35,false,49,0.6976022304667551,45.83333333333333,1.619358469857633,8.682946928477518,1.3096778300216818,20.21860075610054,21 days 22:30:00,0.021660649819494584,0.6633574007220218,1.3131768953068592,5.759897105082109,0,0,2216,2217 days 00:00:00,1000.0,7190.515382946708,619.0515382946708,-32.21106188483394,100.0,416.37506920034065,64.98168528973231,1159 days 00:00:00,48,1,-626.9469491830405,232.41051128704737,-29.17429929602236,30.325942923901966,-9.630357375343161,30 days 20:43:38.181818182,14 days 09:13:50.769230769,142.03046525270304,0.7935537693887968,0.5905347183995623,1.189050091651089,1.4342966460678601,12.265566826252545,1.3402587738263738,0.3056537102473498,-0.05917086489839084,None,None,0.0017996031812750706,0.45350000168131777,6.190515382946705,0.25136914398468013,0.6877761250239351,2216
Mean Worst Trade [%],ATOM-USD,SMA,37,44,false,35,0.6714465722264734,54.285714285714285,1.553663084120111,10.18190528682269,1.2474855657470312,18.09882658132037,29 days 15:05:08.571428571,0.0157942238267148,0.47382671480144406,0.9476534296028881,4.824458732474651,0,0,2216,2217 days 00:00:00,1000.0,6507.713611689539,550.771361168954,-32.21106188483394,100.0,282.66808148637415,63.02337891986936,1231 days 00:00:00,35,0,0.0,167.29108972897214,-41.08290765889136,28.96420460486022,-12.122075153346875,32 days 13:53:41.052631579,26 days 03:00:00,157.36324604827252,0.7805054774390681,0.5731126567687235,1.186072035217605,0.9572857086786883,13.974177057476304,1.3070048701809704,0.29876977152899825,-0.05873781366365586,None,None,0.001762104065314084,0.44405022445914916,5.507713611689536,0.23725741538872458,0.6847031101107831,2216
