Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
Most Win Rate [%],AUDUSD=X,true,82,88,61,49.18032786885246,1.107443573270096,0.012451520718513982,0.28818346845289255,0.2046273148777935,0.26148193508879364,0.5229638701775873,0.07535477099166266,1.3230645243981363,0,0,4899,4900 days 00:00:00,1000.0,1126.3366045295597,12.633660452955962,-18.02185733840692,100.0,161.02187459499592,83.15732702289765,4740 days 00:00:00,61,0,0.0,13.003687010876448,-8.435551345699396,3.4448379208440683,-2.7666434209579225,41 days 14:24:00,36 days 13:56:07.741935483,2.071091877533778,0.23206129397913947,0.010704368917012964,1.6101507203887835,66.23139636904538,4586.169863659613,1.541385218228746,0.33916370593058215,-0.007957746741295464,None,None,0.0008527693775027983,0.21489788313070518,0.1263366045295533,0.006137235040614586,1.1144884954641205,1.7010187804578827,39 days 01:10:49.180327867,false
Most Expectancy,AUDUSD=X,true,82,88,61,49.18032786885246,1.107443573270096,0.012451520718513982,0.28818346845289255,0.2046273148777935,0.26148193508879364,0.5229638701775873,0.07535477099166266,1.3230645243981363,0,0,4899,4900 days 00:00:00,1000.0,1126.3366045295597,12.633660452955962,-18.02185733840692,100.0,161.02187459499592,83.15732702289765,4740 days 00:00:00,61,0,0.0,13.003687010876448,-8.435551345699396,3.4448379208440683,-2.7666434209579225,41 days 14:24:00,36 days 13:56:07.741935483,2.071091877533778,0.23206129397913947,0.010704368917012964,1.6101507203887835,66.23139636904538,4586.169863659613,1.541385218228746,0.33916370593058215,-0.007957746741295464,None,None,0.0008527693775027983,0.21489788313070518,0.1263366045295533,0.006137235040614586,1.1144884954641205,1.7010187804578827,39 days 01:10:49.180327867,false
Least Max Drawdown Duration,AUDUSD=X,true,82,88,61,49.18032786885246,1.107443573270096,0.012451520718513982,0.28818346845289255,0.2046273148777935,0.26148193508879364,0.5229638701775873,0.07535477099166266,1.3230645243981363,0,0,4899,4900 days 00:00:00,1000.0,1126.3366045295597,12.633660452955962,-18.02185733840692,100.0,161.02187459499592,83.15732702289765,4740 days 00:00:00,61,0,0.0,13.003687010876448,-8.435551345699396,3.4448379208440683,-2.7666434209579225,41 days 14:24:00,36 days 13:56:07.741935483,2.071091877533778,0.23206129397913947,0.010704368917012964,1.6101507203887835,66.23139636904538,4586.169863659613,1.541385218228746,0.33916370593058215,-0.007957746741295464,None,None,0.0008527693775027983,0.21489788313070518,0.1263366045295533,0.006137235040614586,1.1144884954641205,1.7010187804578827,39 days 01:10:49.180327867,false
Most Omega Ratio,AUDUSD=X,true,83,87,75,44.0,1.0998347169221978,0.015309246785058175,0.23895650546486524,0.1617551729300626,0.3214941824862217,0.6429883649724434,0.07682312637419121,1.324170044309604,0,0,4899,4900 days 00:00:00,1000.0,1128.5783514879918,12.857835148799165,-18.02185733840692,100.0,203.79295850846512,83.15732702289765,4740 days 00:00:00,75,0,0.0,15.254856852921192,-8.044363516633968,3.318537518401988,-2.1807142904143024,37 days 10:54:32.727272727,27 days 05:08:34.285714286,1.7143780198398737,0.23215444377422575,0.01088407539790541,1.611104199734269,66.23445085549733,4586.451198045911,1.5642546430376347,0.33806663025669026,-0.008026187937966568,None,None,0.0008530985483307081,0.21498083417933844,0.12857835148798258,0.006240124396419189,1.1144713397618249,1.7134578255370743,31 days 17:16:48,false
Least Max Drawdown [%],AUDUSD=X,true,81,87,61,45.90163934426229,1.055155549170133,0.012451520718513982,0.20932025384780428,0.13872111497605963,0.26148193508879364,0.5229638701775873,0.054733465029401365,1.3064169644358379,0,0,4899,4900 days 00:00:00,1000.0,1068.170845461631,6.8170845461630964,-18.02185733840692,100.0,161.09614514101133,83.15732702289763,4740 days 00:00:00,61,0,0.0,14.08258300996409,-9.408076836771443,3.66704010757421,-2.724502652344297,44 days 02:34:17.142857142,34 days 18:10:54.545454545,1.1175548436333038,0.22911662773229066,0.005921926926305068,1.6008201197275667,66.23136146329301,4586.16376817981,1.5489296782453106,0.33660665575559195,-0.008049420419205535,None,None,0.0008419505916966854,0.21217154910756472,0.0681708454616392,0.00339735373233796,1.1144913461971901,1.3782675901908847,39 days 01:10:49.180327867,false
Most Total Return [%],AUDUSD=X,true,8,34,89,38.63636363636363,1.1318571506102166,0.017962849561134926,0.2253841874236926,0.1339696218952019,0.38150642988364974,0.7587262706674832,0.08598551669624035,1.3301248776524774,0,0,4899,4900 days 00:00:00,1000.0,1162.0239237053165,16.202392370531662,-18.02185733840692,100.0,231.95046858263416,83.25286842172346,4740 days 00:00:00,88,1,-1.162023923705192,16.97783283356988,-5.454863861386137,3.266864944150843,-1.6896222149600688,48 days 12:42:21.176470588,14 days 18:13:20,1.8543857685115963,0.23410202478878867,0.013511153273398725,1.5845893264302318,66.17604283399227,4581.0593389537835,1.6394945166288644,0.33916370593058215,-0.008108260035544925,None,None,0.0008605068725250312,0.21684773187630788,0.16202392370531782,0.007752578068453753,1.1147972169240692,1.8990412068129217,27 days 19:21:49.090909089,true
Most Profit Factor,AUDUSD=X,true,8,34,89,38.63636363636363,1.1318571506102166,0.017962849561134926,0.2253841874236926,0.1339696218952019,0.38150642988364974,0.7587262706674832,0.08598551669624035,1.3301248776524774,0,0,4899,4900 days 00:00:00,1000.0,1162.0239237053165,16.202392370531662,-18.02185733840692,100.0,231.95046858263416,83.25286842172346,4740 days 00:00:00,88,1,-1.162023923705192,16.97783283356988,-5.454863861386137,3.266864944150843,-1.6896222149600688,48 days 12:42:21.176470588,14 days 18:13:20,1.8543857685115963,0.23410202478878867,0.013511153273398725,1.5845893264302318,66.17604283399227,4581.0593389537835,1.6394945166288644,0.33916370593058215,-0.008108260035544925,None,None,0.0008605068725250312,0.21684773187630788,0.16202392370531782,0.007752578068453753,1.1147972169240692,1.8990412068129217,27 days 19:21:49.090909089,true
Most Sharpe Ratio,AUDUSD=X,true,8,34,89,38.63636363636363,1.1318571506102166,0.017962849561134926,0.2253841874236926,0.1339696218952019,0.38150642988364974,0.7587262706674832,0.08598551669624035,1.3301248776524774,0,0,4899,4900 days 00:00:00,1000.0,1162.0239237053165,16.202392370531662,-18.02185733840692,100.0,231.95046858263416,83.25286842172346,4740 days 00:00:00,88,1,-1.162023923705192,16.97783283356988,-5.454863861386137,3.266864944150843,-1.6896222149600688,48 days 12:42:21.176470588,14 days 18:13:20,1.8543857685115963,0.23410202478878867,0.013511153273398725,1.5845893264302318,66.17604283399227,4581.0593389537835,1.6394945166288644,0.33916370593058215,-0.008108260035544925,None,None,0.0008605068725250312,0.21684773187630788,0.16202392370531782,0.007752578068453753,1.1147972169240692,1.8990412068129217,27 days 19:21:49.090909089,true
Most Calmar Ratio,AUDUSD=X,true,8,34,89,38.63636363636363,1.1318571506102166,0.017962849561134926,0.2253841874236926,0.1339696218952019,0.38150642988364974,0.7587262706674832,0.08598551669624035,1.3301248776524774,0,0,4899,4900 days 00:00:00,1000.0,1162.0239237053165,16.202392370531662,-18.02185733840692,100.0,231.95046858263416,83.25286842172346,4740 days 00:00:00,88,1,-1.162023923705192,16.97783283356988,-5.454863861386137,3.266864944150843,-1.6896222149600688,48 days 12:42:21.176470588,14 days 18:13:20,1.8543857685115963,0.23410202478878867,0.013511153273398725,1.5845893264302318,66.17604283399227,4581.0593389537835,1.6394945166288644,0.33916370593058215,-0.008108260035544925,None,None,0.0008605068725250312,0.21684773187630788,0.16202392370531782,0.007752578068453753,1.1147972169240692,1.8990412068129217,27 days 19:21:49.090909089,true
Most Sortino Ratio,AUDUSD=X,true,8,34,89,38.63636363636363,1.1318571506102166,0.017962849561134926,0.2253841874236926,0.1339696218952019,0.38150642988364974,0.7587262706674832,0.08598551669624035,1.3301248776524774,0,0,4899,4900 days 00:00:00,1000.0,1162.0239237053165,16.202392370531662,-18.02185733840692,100.0,231.95046858263416,83.25286842172346,4740 days 00:00:00,88,1,-1.162023923705192,16.97783283356988,-5.454863861386137,3.266864944150843,-1.6896222149600688,48 days 12:42:21.176470588,14 days 18:13:20,1.8543857685115963,0.23410202478878867,0.013511153273398725,1.5845893264302318,66.17604283399227,4581.0593389537835,1.6394945166288644,0.33916370593058215,-0.008108260035544925,None,None,0.0008605068725250312,0.21684773187630788,0.16202392370531782,0.007752578068453753,1.1147972169240692,1.8990412068129217,27 days 19:21:49.090909089,true
Median Win Rate [%],AUDUSD=X,true,30,49,56,40.0,1.0384826990414886,0.011226780975709328,0.18940126887333597,0.09862314592221046,0.2400489895897122,0.4758113900796081,0.04546558322005371,1.2906358002646023,0,0,4899,4900 days 00:00:00,1000.0,1030.6637118988624,3.066371189886229,-18.02185733840692,100.0,136.33596978541613,84.23619130556257,4740 days 00:00:00,55,1,-9.673005584197881,25.12688245403913,-7.183735514475291,4.322481542717927,-2.565985580356392,61 days 14:10:54.545454546,32 days 08:00:00,0.7333948633283676,0.22743025241218073,0.0026738461857579348,1.5707024631494777,66.17840255509643,4581.2783586146425,1.5745056168132747,0.3384321223709369,-0.008200095441723726,None,None,0.0008359771580617645,0.21066624383156465,0.03066371189886108,0.0015545028564092345,1.114789527815026,1.1701473456540683,44 days 00:52:21.818181818,false
