Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
Mean Total Return [%],AVAX-USD,true,26,28,50,50.0,1.391772772768356,0.030376670716889428,22.081320092024207,13.0658698769374,0.9113001215066828,1.8226002430133657,20.122709682889617,2.0903241405649418,0,0,1646,1647 days 00:00:00,1000.0,20847.008115880955,1984.7008115880958,342.2337037591433,100.0,1644.1148206257062,80.66823975321574,753 days 00:00:00,50,0,0.0,610.7276898252829,-44.93863988817498,56.549080833452216,-12.386440649403802,17 days 21:07:12,13 days 02:52:48,396.94016231761907,1.1441552150704777,1.1904168587456578,1.3036517493697781,3.058010257501955,36.789834414520996,1.5192162118639918,0.30094786729857814,-0.06566178034367076,None,None,0.0030564942290299004,0.7702365457155349,19.847008115881007,0.5915522445686228,0.810187126755309,4.799255858753425,15 days 12:00:00,false
Median Total Return [%],AVAX-USD,true,26,28,50,50.0,1.391772772768356,0.030376670716889428,22.081320092024207,13.0658698769374,0.9113001215066828,1.8226002430133657,20.122709682889617,2.0903241405649418,0,0,1646,1647 days 00:00:00,1000.0,20847.008115880955,1984.7008115880958,342.2337037591433,100.0,1644.1148206257062,80.66823975321574,753 days 00:00:00,50,0,0.0,610.7276898252829,-44.93863988817498,56.549080833452216,-12.386440649403802,17 days 21:07:12,13 days 02:52:48,396.94016231761907,1.1441552150704777,1.1904168587456578,1.3036517493697781,3.058010257501955,36.789834414520996,1.5192162118639918,0.30094786729857814,-0.06566178034367076,None,None,0.0030564942290299004,0.7702365457155349,19.847008115881007,0.5915522445686228,0.810187126755309,4.799255858753425,15 days 12:00:00,false
Mean Total Fees Paid,AVAX-USD,true,26,28,50,50.0,1.391772772768356,0.030376670716889428,22.081320092024207,13.0658698769374,0.9113001215066828,1.8226002430133657,20.122709682889617,2.0903241405649418,0,0,1646,1647 days 00:00:00,1000.0,20847.008115880955,1984.7008115880958,342.2337037591433,100.0,1644.1148206257062,80.66823975321574,753 days 00:00:00,50,0,0.0,610.7276898252829,-44.93863988817498,56.549080833452216,-12.386440649403802,17 days 21:07:12,13 days 02:52:48,396.94016231761907,1.1441552150704777,1.1904168587456578,1.3036517493697781,3.058010257501955,36.789834414520996,1.5192162118639918,0.30094786729857814,-0.06566178034367076,None,None,0.0030564942290299004,0.7702365457155349,19.847008115881007,0.5915522445686228,0.810187126755309,4.799255858753425,15 days 12:00:00,false
Median Total Fees Paid,AVAX-USD,true,26,28,50,50.0,1.391772772768356,0.030376670716889428,22.081320092024207,13.0658698769374,0.9113001215066828,1.8226002430133657,20.122709682889617,2.0903241405649418,0,0,1646,1647 days 00:00:00,1000.0,20847.008115880955,1984.7008115880958,342.2337037591433,100.0,1644.1148206257062,80.66823975321574,753 days 00:00:00,50,0,0.0,610.7276898252829,-44.93863988817498,56.549080833452216,-12.386440649403802,17 days 21:07:12,13 days 02:52:48,396.94016231761907,1.1441552150704777,1.1904168587456578,1.3036517493697781,3.058010257501955,36.789834414520996,1.5192162118639918,0.30094786729857814,-0.06566178034367076,None,None,0.0030564942290299004,0.7702365457155349,19.847008115881007,0.5915522445686228,0.810187126755309,4.799255858753425,15 days 12:00:00,false
Mean Max Drawdown [%],AVAX-USD,true,26,28,50,50.0,1.391772772768356,0.030376670716889428,22.081320092024207,13.0658698769374,0.9113001215066828,1.8226002430133657,20.122709682889617,2.0903241405649418,0,0,1646,1647 days 00:00:00,1000.0,20847.008115880955,1984.7008115880958,342.2337037591433,100.0,1644.1148206257062,80.66823975321574,753 days 00:00:00,50,0,0.0,610.7276898252829,-44.93863988817498,56.549080833452216,-12.386440649403802,17 days 21:07:12,13 days 02:52:48,396.94016231761907,1.1441552150704777,1.1904168587456578,1.3036517493697781,3.058010257501955,36.789834414520996,1.5192162118639918,0.30094786729857814,-0.06566178034367076,None,None,0.0030564942290299004,0.7702365457155349,19.847008115881007,0.5915522445686228,0.810187126755309,4.799255858753425,15 days 12:00:00,false
Median Max Drawdown [%],AVAX-USD,true,26,28,50,50.0,1.391772772768356,0.030376670716889428,22.081320092024207,13.0658698769374,0.9113001215066828,1.8226002430133657,20.122709682889617,2.0903241405649418,0,0,1646,1647 days 00:00:00,1000.0,20847.008115880955,1984.7008115880958,342.2337037591433,100.0,1644.1148206257062,80.66823975321574,753 days 00:00:00,50,0,0.0,610.7276898252829,-44.93863988817498,56.549080833452216,-12.386440649403802,17 days 21:07:12,13 days 02:52:48,396.94016231761907,1.1441552150704777,1.1904168587456578,1.3036517493697781,3.058010257501955,36.789834414520996,1.5192162118639918,0.30094786729857814,-0.06566178034367076,None,None,0.0030564942290299004,0.7702365457155349,19.847008115881007,0.5915522445686228,0.810187126755309,4.799255858753425,15 days 12:00:00,false
Least Total Trades,AVAX-USD,true,26,28,50,50.0,1.391772772768356,0.030376670716889428,22.081320092024207,13.0658698769374,0.9113001215066828,1.8226002430133657,20.122709682889617,2.0903241405649418,0,0,1646,1647 days 00:00:00,1000.0,20847.008115880955,1984.7008115880958,342.2337037591433,100.0,1644.1148206257062,80.66823975321574,753 days 00:00:00,50,0,0.0,610.7276898252829,-44.93863988817498,56.549080833452216,-12.386440649403802,17 days 21:07:12,13 days 02:52:48,396.94016231761907,1.1441552150704777,1.1904168587456578,1.3036517493697781,3.058010257501955,36.789834414520996,1.5192162118639918,0.30094786729857814,-0.06566178034367076,None,None,0.0030564942290299004,0.7702365457155349,19.847008115881007,0.5915522445686228,0.810187126755309,4.799255858753425,15 days 12:00:00,false
Least Win Rate [%],AVAX-USD,true,26,28,50,50.0,1.391772772768356,0.030376670716889428,22.081320092024207,13.0658698769374,0.9113001215066828,1.8226002430133657,20.122709682889617,2.0903241405649418,0,0,1646,1647 days 00:00:00,1000.0,20847.008115880955,1984.7008115880958,342.2337037591433,100.0,1644.1148206257062,80.66823975321574,753 days 00:00:00,50,0,0.0,610.7276898252829,-44.93863988817498,56.549080833452216,-12.386440649403802,17 days 21:07:12,13 days 02:52:48,396.94016231761907,1.1441552150704777,1.1904168587456578,1.3036517493697781,3.058010257501955,36.789834414520996,1.5192162118639918,0.30094786729857814,-0.06566178034367076,None,None,0.0030564942290299004,0.7702365457155349,19.847008115881007,0.5915522445686228,0.810187126755309,4.799255858753425,15 days 12:00:00,false
Median Win Rate [%],AVAX-USD,true,26,28,50,50.0,1.391772772768356,0.030376670716889428,22.081320092024207,13.0658698769374,0.9113001215066828,1.8226002430133657,20.122709682889617,2.0903241405649418,0,0,1646,1647 days 00:00:00,1000.0,20847.008115880955,1984.7008115880958,342.2337037591433,100.0,1644.1148206257062,80.66823975321574,753 days 00:00:00,50,0,0.0,610.7276898252829,-44.93863988817498,56.549080833452216,-12.386440649403802,17 days 21:07:12,13 days 02:52:48,396.94016231761907,1.1441552150704777,1.1904168587456578,1.3036517493697781,3.058010257501955,36.789834414520996,1.5192162118639918,0.30094786729857814,-0.06566178034367076,None,None,0.0030564942290299004,0.7702365457155349,19.847008115881007,0.5915522445686228,0.810187126755309,4.799255858753425,15 days 12:00:00,false
Most Best Trade [%],AVAX-USD,true,26,28,50,50.0,1.391772772768356,0.030376670716889428,22.081320092024207,13.0658698769374,0.9113001215066828,1.8226002430133657,20.122709682889617,2.0903241405649418,0,0,1646,1647 days 00:00:00,1000.0,20847.008115880955,1984.7008115880958,342.2337037591433,100.0,1644.1148206257062,80.66823975321574,753 days 00:00:00,50,0,0.0,610.7276898252829,-44.93863988817498,56.549080833452216,-12.386440649403802,17 days 21:07:12,13 days 02:52:48,396.94016231761907,1.1441552150704777,1.1904168587456578,1.3036517493697781,3.058010257501955,36.789834414520996,1.5192162118639918,0.30094786729857814,-0.06566178034367076,None,None,0.0030564942290299004,0.7702365457155349,19.847008115881007,0.5915522445686228,0.810187126755309,4.799255858753425,15 days 12:00:00,false
