Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
Least Max Drawdown [%],BEN,true,70,86,false,90,56.666666666666664,1.3461419061713862,0.008604206500956023,8.648769048274318,8.034375618615487,0.1806883365200765,0.361376673040153,1.5627316922790115,1.0858861878336814,0,0,10460,10461 days 00:00:00,1000.0,119465.90026446785,11846.590026446785,30401.502527786975,100.0,18029.695350489095,62.36554367079275,1837 days 00:00:00,90,0,0.0,267.0995798680837,-21.969327487854244,21.63190003689185,-8.329171475302456,93 days 00:28:14.117647059,38 days 17:50:46.153846154,1316.2877807163077,0.5107017464166892,0.291219930160127,1.1999433293918749,27.336452544546862,1399.604793812222,1.15385226913618,0.4107889413351315,-0.024374941205214357,None,None,0.000851625275616128,0.21460956945526424,118.46590026446769,0.1221210691817054,0.5057406962721733,-0.6103287982026875,69 days 12:00:00
Least Avg Winning Trade Duration,BEN,true,71,89,false,84,57.14285714285714,1.2582695279208018,0.00803059273422562,8.925085414497786,7.891031495595759,0.16864244741873805,0.3372848948374761,1.505148247722189,1.0281981358861108,0,0,10460,10461 days 00:00:00,1000.0,75949.64955213851,7494.964955213851,30401.502527786975,100.0,11552.68738143607,62.36554367079277,3862 days 00:00:00,84,0,0.0,267.0995798680837,-28.04387968862979,22.975121778509504,-9.8082964041845,100 days 02:30:00,40 days 19:20:00,892.2577327635518,0.48452089890905653,0.26151107380329935,1.1886435316900132,27.525510294889283,1413.6604562999564,1.1507288909225246,0.4098382749326146,-0.024427458189228077,None,None,0.0008059629783681607,0.2031026705487765,74.94964955213811,0.1099435172427059,0.5044861891260496,-0.7534672851000225,74 days 16:34:17.142857142
Most Expectancy,BEN,true,72,85,false,96,56.25,1.4356452984440642,0.009177820267686425,8.232613709659539,7.591549527349985,0.19273422562141493,0.38546845124282986,1.5867064281714753,1.128770221151364,0,0,10460,10461 days 00:00:00,1000.0,165401.77377319802,16440.1773773198,30401.502527786975,100.0,20765.560643841538,62.36554367079277,1793 days 00:00:00,96,0,0.0,246.21885102395296,-28.029286320916004,20.906919262651506,-8.062922001330133,87 days 05:20:00.000000001,36 days 18:51:25.714285714,1712.5184768041468,0.5292694451758722,0.3128504342007677,1.208280770262916,27.41632501359403,1404.9297834497922,1.1611380123411832,0.4115503980569423,-0.024165669369109834,None,None,0.0008817332931378496,0.2221967898707381,164.4017737731986,0.13095016481857003,0.5052509273698659,-0.459231419161159,65 days 03:45:00
Median Avg Losing Trade [%],BEN,true,71,85,false,94,57.446808510638306,1.394850468128008,0.00898661567877629,7.7987139558285286,7.344446348356132,0.18871892925430211,0.37743785850860423,1.4717649473045427,1.0795144410907895,0,0,10460,10461 days 00:00:00,1000.0,112607.01337680919,11160.70133768092,30401.502527786975,100.0,15623.85207912199,62.36554367079277,1567 days 00:00:00,94,0,0.0,246.21885102395296,-21.025552869801466,19.55193174773896,-8.068130063250555,87 days 16:53:20.000000001,37 days 19:12:00,1187.30865294478,0.5072226572695644,0.28731520125552484,1.1989547263061169,27.405226443776847,1404.255636149441,1.1524927697530387,0.41059870550161814,-0.02433950195609401,None,None,0.0008451264367936789,0.21297186207200708,111.60701337681004,0.12052392736162276,0.505323790264074,-0.6328898110387788,66 days 11:14:02.553191489
Median Best Trade [%],BEN,true,68,86,false,88,55.68181818181818,1.2990994398216904,0.008413001912045888,8.10731854331358,7.317344052723621,0.17667304015296367,0.35334608030592735,1.432344614535707,1.0307473216497465,0,0,10460,10461 days 00:00:00,1000.0,76541.75049202368,7554.175049202368,30401.502527786975,100.0,11412.151312041864,63.23133893998117,1854 days 00:00:00,88,0,0.0,257.4369356290717,-26.221855693020945,21.732826908275417,-9.011909915228209,96 days 18:36:44.081632653,38 days 09:13:50.769230769,858.4289828639062,0.48497169087887215,0.258428807400672,1.189545386738772,27.49632362123517,1411.09119440074,1.1502345676132337,0.4069939475453934,-0.024440050325547073,None,None,0.0008070833830552169,0.20338501252991464,75.54175049202418,0.11015117655791551,0.5047179146185584,-0.7515196809007104,70 days 21:32:43.636363636
Most Best Trade [%],BEN,true,55,89,false,66,51.515151515151516,1.369195860877789,0.006309751434034417,11.153390615985984,6.984993202127896,0.13250478011472275,0.2650095602294455,1.4778775711048349,0.9806454963807643,0,0,10460,10461 days 00:00:00,1000.0,54857.75045918104,5385.775045918104,30401.502527786975,100.0,5481.62651017376,62.36554367079275,2669 days 00:00:00,66,0,0.0,335.36112969476676,-24.285203305211127,31.32861060851053,-10.282780626071347,139 days 12:42:21.176470588,45 days 20:15:00,816.026522108803,0.46716067464471994,0.2404613177452646,1.1842572465054497,26.805785308571597,1364.154671560976,1.1349952978155398,0.40303111587982837,-0.02419355136422815,None,None,0.0007842200592886129,0.19762345494073047,53.857750459181126,0.10127893070095917,0.5091179068494819,-0.8228451030999042,94 days 02:32:43.636363635
Most Avg Winning Trade [%],BEN,true,55,89,false,66,51.515151515151516,1.369195860877789,0.006309751434034417,11.153390615985984,6.984993202127896,0.13250478011472275,0.2650095602294455,1.4778775711048349,0.9806454963807643,0,0,10460,10461 days 00:00:00,1000.0,54857.75045918104,5385.775045918104,30401.502527786975,100.0,5481.62651017376,62.36554367079275,2669 days 00:00:00,66,0,0.0,335.36112969476676,-24.285203305211127,31.32861060851053,-10.282780626071347,139 days 12:42:21.176470588,45 days 20:15:00,816.026522108803,0.46716067464471994,0.2404613177452646,1.1842572465054497,26.805785308571597,1364.154671560976,1.1349952978155398,0.40303111587982837,-0.02419355136422815,None,None,0.0007842200592886129,0.19762345494073047,53.857750459181126,0.10127893070095917,0.5091179068494819,-0.8228451030999042,94 days 02:32:43.636363635
Least Total Trades,BEN,true,46,89,false,61,54.09836065573771,1.1936277412406793,0.005831739961759082,11.068019724243893,6.72765980659511,0.12246653919694073,0.24493307839388145,1.3554620713916279,0.9586577768338872,0,0,10460,10461 days 00:00:00,1000.0,44311.23115512565,4331.123115512564,30401.502527786975,100.0,6422.283442595692,68.56837496745047,4454 days 00:00:00,61,0,0.0,262.20189025704195,-36.402681258004726,30.395598786322985,-11.710912741777896,146 days 17:27:16.363636362,49 days 16:17:08.571428571,710.0201828709132,0.4537166176242524,0.20626148661042973,1.1772364512785896,27.453444874874926,1409.0485957542467,1.1380213796170768,0.4024668186083926,-0.024165669369109754,None,None,0.0007553767799190811,0.19035494853960844,43.31123115512569,0.09562933994635991,0.5049235737257692,-0.8575358862097715,102 days 04:19:40.327868852
Most Max Drawdown Duration,BEN,true,46,89,false,61,54.09836065573771,1.1936277412406793,0.005831739961759082,11.068019724243893,6.72765980659511,0.12246653919694073,0.24493307839388145,1.3554620713916279,0.9586577768338872,0,0,10460,10461 days 00:00:00,1000.0,44311.23115512565,4331.123115512564,30401.502527786975,100.0,6422.283442595692,68.56837496745047,4454 days 00:00:00,61,0,0.0,262.20189025704195,-36.402681258004726,30.395598786322985,-11.710912741777896,146 days 17:27:16.363636362,49 days 16:17:08.571428571,710.0201828709132,0.4537166176242524,0.20626148661042973,1.1772364512785896,27.453444874874926,1409.0485957542467,1.1380213796170768,0.4024668186083926,-0.024165669369109754,None,None,0.0007553767799190811,0.19035494853960844,43.31123115512569,0.09562933994635991,0.5049235737257692,-0.8575358862097715,102 days 04:19:40.327868852
Least Win Rate [%],BEN,true,72,89,false,88,50.0,1.2191208127291675,0.008413001912045888,7.983852141432694,6.470611424259321,0.17667304015296367,0.35334608030592735,1.4105314299586633,0.9783233594112107,0,0,10460,10461 days 00:00:00,1000.0,50817.639852247696,4981.763985224769,30401.502527786975,100.0,9512.629092680603,63.646514093929774,3862 days 00:00:00,88,0,0.0,267.09957986808365,-24.52197981183962,24.3319853751492,-8.364281092283811,104 days 08:43:38.181818182,38 days 02:43:38.181818182,566.1095437755421,0.4612562154314685,0.23080543983615556,1.1795794101812758,27.625514943316347,1420.6265366401547,1.1511417295527322,0.40737252791605005,-0.024398655936853697,None,None,0.0007663411401582314,0.19311796731987432,49.81763985224781,0.09925131483995919,0.5038794099045943,-0.836134283801551,71 days 05:43:38.181818182
Median Sortino Ratio,BEN,true,47,89,false,62,53.2258064516129,1.1965262557782363,0.005927342256214149,10.389759466068934,6.315381513727663,0.12447418738049713,0.24894837476099427,1.2932568666177584,0.9385963067276468,0,0,10460,10461 days 00:00:00,1000.0,37612.30591145597,3661.230591145597,30401.502527786975,100.0,5632.076394995206,68.03926845668757,4454 days 00:00:00,62,0,0.0,257.4369356290716,-35.45441912684409,29.321200099797718,-11.152914358518986,145 days 15:16:21.818181818,49 days 04:08:16.551724137,590.5210630880001,0.44429340549502,0.19829870701096303,1.1732850310218421,27.456306595078235,1409.16099756356,1.1361310050394848,0.40209087253719344,-0.024211540097463815,None,None,0.000739681031523331,0.1863996199438794,36.612305911456254,0.09131185244796747,0.5049185393104957,-0.8795707354332494,100 days 12:23:13.548387095
Median Worst Trade [%],BEN,true,59,88,false,72,51.388888888888886,1.3020633180635897,0.006883365200764819,8.994941066812906,6.130278494604485,0.1445506692160612,0.2891013384321224,1.300224750766837,0.9455119184832839,0,0,10460,10461 days 00:00:00,1000.0,40781.74134277049,3978.174134277049,30401.502527786975,100.0,5069.727605871032,63.23133893998117,3008 days 00:00:00,72,0,0.0,257.4369356290717,-27.546935442734426,26.778405066375164,-9.804720875581479,125 days 05:11:21.081081080,44 days 05:29:08.571428571,552.5241853162565,0.4500591395045689,0.21845055156843046,1.1775165002651544,26.903247042613934,1370.5372719470433,1.1384239001557486,0.3987164059366225,-0.02419355136422819,None,None,0.00075464278913486,0.19016998286198472,39.781741342770665,0.09344080063354565,0.5085323010085598,-0.869145476259241,85 days 20:19:59.999999999
Most Win Rate [%],BEN,true,73,81,false,122,59.01639344262295,1.4551893284490494,0.011663479923518164,6.227029960759343,6.024538526937285,0.24493307839388145,0.4898661567877629,1.5252056175397168,1.0930577495831595,0,0,10460,10461 days 00:00:00,1000.0,135133.7797522477,13413.37797522477,30401.502527786975,100.0,19302.137419975294,69.26265592697763,1968 days 00:00:00,122,0,0.0,256.30018936763526,-24.31385045357424,15.650445961749169,-7.3426890806660055,63 days 14:40:00,32 days 18:14:24,1099.4572110839958,0.5186290266403014,0.26957181567189886,1.2048319550646835,26.622385361041026,1350.4936327945363,1.1667219492372698,0.40869916509561005,-0.024165669369109917,None,None,0.0008727641233425273,0.21993655908231688,134.133779752249,0.12545720214729394,0.5103719156318174,-0.558792268146453,50 days 23:12:47.213114753
Mean Sharpe Ratio,BEN,true,62,89,false,73,50.68493150684932,1.2853101324048408,0.006978967495219885,8.677203315340742,5.913732228174755,0.1465583173996176,0.2931166347992352,1.2717163176307227,0.9501513955418717,0,0,10460,10461 days 00:00:00,1000.0,40458.80312097729,3945.8803120977286,30401.502527786975,100.0,5432.445410250477,64.62772568576082,3008 days 00:00:00,73,0,0.0,243.85852881071756,-22.008916389399793,26.54999511934191,-9.692054927660461,130 days 11:01:37.297297296,37 days 19:20:00,540.5315496024289,0.4487355711830365,0.21324213360673747,1.1767970748868446,27.260382585190996,1392.904618027237,1.1444154104100923,0.39834246758454744,-0.024324324575108015,None,None,0.0007493539185477693,0.18883718747403788,39.45880312097703,0.09323140870610191,0.506457711175599,-0.8702077205397597,84 days 18:24:39.452054794
