Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
Most Total Return [%],CMA,true,70,86,false,88,59.09090909090909,1.7695916080335097,0.007752620914456876,5.012588809878982,4.801153400510352,0.1628050392035944,0.3256100784071888,0.8160747177038462,0.7610631317376163,0,0,11351,11352 days 00:00:00,1000.0,20997.031952881345,1999.7031952881348,1986.1051363734096,100.0,1303.4745368186911,56.41777154162499,3028 days 00:00:00,88,0,0.0,111.96843442414936,-28.574299739514945,13.685958068833026,-7.515611230832417,94 days 01:50:46.153846154,48 days 04:00:00,227.2389994645609,0.5189102345745897,0.18227729007722177,1.1117878940029862,0.6716657398146544,21.713791284718546,1.0427705046358011,0.3771685066116705,-0.018645849459270603,None,None,0.00035167542881424954,0.08862220806119088,19.997031952881365,0.06991734566890262,0.20554006609442937,0.006846595714240507,75 days 07:05:27.272727273
Most Sharpe Ratio,CMA,true,70,86,false,88,59.09090909090909,1.7695916080335097,0.007752620914456876,5.012588809878982,4.801153400510352,0.1628050392035944,0.3256100784071888,0.8160747177038462,0.7610631317376163,0,0,11351,11352 days 00:00:00,1000.0,20997.031952881345,1999.7031952881348,1986.1051363734096,100.0,1303.4745368186911,56.41777154162499,3028 days 00:00:00,88,0,0.0,111.96843442414936,-28.574299739514945,13.685958068833026,-7.515611230832417,94 days 01:50:46.153846154,48 days 04:00:00,227.2389994645609,0.5189102345745897,0.18227729007722177,1.1117878940029862,0.6716657398146544,21.713791284718546,1.0427705046358011,0.3771685066116705,-0.018645849459270603,None,None,0.00035167542881424954,0.08862220806119088,19.997031952881365,0.06991734566890262,0.20554006609442937,0.006846595714240507,75 days 07:05:27.272727273
Most Omega Ratio,CMA,true,70,86,false,88,59.09090909090909,1.7695916080335097,0.007752620914456876,5.012588809878982,4.801153400510352,0.1628050392035944,0.3256100784071888,0.8160747177038462,0.7610631317376163,0,0,11351,11352 days 00:00:00,1000.0,20997.031952881345,1999.7031952881348,1986.1051363734096,100.0,1303.4745368186911,56.41777154162499,3028 days 00:00:00,88,0,0.0,111.96843442414936,-28.574299739514945,13.685958068833026,-7.515611230832417,94 days 01:50:46.153846154,48 days 04:00:00,227.2389994645609,0.5189102345745897,0.18227729007722177,1.1117878940029862,0.6716657398146544,21.713791284718546,1.0427705046358011,0.3771685066116705,-0.018645849459270603,None,None,0.00035167542881424954,0.08862220806119088,19.997031952881365,0.06991734566890262,0.20554006609442937,0.006846595714240507,75 days 07:05:27.272727273
Most Sortino Ratio,CMA,true,70,86,false,88,59.09090909090909,1.7695916080335097,0.007752620914456876,5.012588809878982,4.801153400510352,0.1628050392035944,0.3256100784071888,0.8160747177038462,0.7610631317376163,0,0,11351,11352 days 00:00:00,1000.0,20997.031952881345,1999.7031952881348,1986.1051363734096,100.0,1303.4745368186911,56.41777154162499,3028 days 00:00:00,88,0,0.0,111.96843442414936,-28.574299739514945,13.685958068833026,-7.515611230832417,94 days 01:50:46.153846154,48 days 04:00:00,227.2389994645609,0.5189102345745897,0.18227729007722177,1.1117878940029862,0.6716657398146544,21.713791284718546,1.0427705046358011,0.3771685066116705,-0.018645849459270603,None,None,0.00035167542881424954,0.08862220806119088,19.997031952881365,0.06991734566890262,0.20554006609442937,0.006846595714240507,75 days 07:05:27.272727273
Mean Avg Losing Trade [%],CMA,true,67,89,false,75,56.00000000000001,1.6426085354581463,0.006607347370275746,5.869087865874144,4.540462154479905,0.13875429477579068,0.27750858955158136,0.8143611478065172,0.7020058450168656,0,0,11351,11352 days 00:00:00,1000.0,15488.642741463009,1448.8642741463009,1986.1051363734096,100.0,942.7694735505759,56.38926166921412,3519 days 00:00:00,75,0,0.0,131.15000705718992,-26.139535875640004,16.88901654581302,-8.156275908593521,116 days 16:00:00,52 days 06:32:43.636363636,193.18190321950675,0.4790138137783034,0.16332898203001844,1.1026882749691673,0.6783345332574502,21.593078047190915,1.0369039051306321,0.3758332323354744,-0.01878132507816918,None,None,0.0003250993029006614,0.08192502433096667,14.488642741463048,0.06271494254299137,0.20583285744280497,-0.2704997094001279,88 days 08:00:00
Most Profit Factor,CMA,true,69,86,false,86,56.97674418604651,1.7849512783274468,0.007576424984582856,4.9567248006853255,4.473743143002044,0.15910492467624,0.31820984935248,0.7886393260538894,0.7351766181088835,0,0,11351,11352 days 00:00:00,1000.0,18440.144264743773,1744.0144264743772,1986.1051363734096,100.0,1142.1634678315565,56.42566566563142,3034 days 00:00:00,86,0,0.0,115.3647831723915,-26.139535875640007,14.236413687127916,-7.3325929137927,100 days 15:11:01.224489796,45 days 17:30:48.648648648,202.79237517143912,0.5016235456588553,0.17410860567513375,1.107910674454927,0.6683659323436212,21.607099367458527,1.0415003020899185,0.3761668080979512,-0.018698631582386858,None,None,0.00034050312575068924,0.08580678768917369,17.440144264743754,0.06683771900101054,0.20586849613225397,-0.12189219264650081,77 days 00:16:44.651162790
Most Expectancy,CMA,true,69,87,false,83,54.21686746987952,1.768905346766624,0.007312131089771827,5.300501123917189,4.3934896035416005,0.15355475288520834,0.3071095057704167,0.813917140250873,0.7524785119929586,0,0,11351,11352 days 00:00:00,1000.0,20043.655669443317,1904.3655669443317,1986.1051363734096,100.0,1230.857633940844,52.50731018794376,3028 days 00:00:00,83,0,0.0,114.47811035164783,-26.139535875640004,15.753947708271934,-7.078580357555532,104 days 06:24:00,50 days 20:50:31.578947368,229.44163457160636,0.5127608657308057,0.19271654114040146,1.1104153466251934,0.6782334363646579,21.683648212298152,1.0438548392219413,0.3761668080979512,-0.018698631582386854,None,None,0.0003476394492507081,0.08760514121117843,19.04365566944327,0.0688142523368247,0.20561788313897936,-0.04115571121191135,79 days 19:39:45.542168674
Most Calmar Ratio,CMA,true,69,87,false,83,54.21686746987952,1.768905346766624,0.007312131089771827,5.300501123917189,4.3934896035416005,0.15355475288520834,0.3071095057704167,0.813917140250873,0.7524785119929586,0,0,11351,11352 days 00:00:00,1000.0,20043.655669443317,1904.3655669443317,1986.1051363734096,100.0,1230.857633940844,52.50731018794376,3028 days 00:00:00,83,0,0.0,114.47811035164783,-26.139535875640004,15.753947708271934,-7.078580357555532,104 days 06:24:00,50 days 20:50:31.578947368,229.44163457160636,0.5127608657308057,0.19271654114040146,1.1104153466251934,0.6782334363646579,21.683648212298152,1.0438548392219413,0.3761668080979512,-0.018698631582386854,None,None,0.0003476394492507081,0.08760514121117843,19.04365566944327,0.0688142523368247,0.20561788313897936,-0.04115571121191135,79 days 19:39:45.542168674
Most Win Rate [%],CMA,true,71,85,false,94,59.57446808510638,1.6598232709724914,0.008281208704078936,4.45562465770916,4.351499491309958,0.17390538278565765,0.3478107655713153,0.7748571116481263,0.7166785728215158,0,0,11351,11352 days 00:00:00,1000.0,16773.85734197087,1577.3857341970872,1986.1051363734096,100.0,1174.946030283226,61.026311000771386,3846 days 00:00:00,94,0,0.0,112.84473684210528,-27.62544046088679,12.82628929764676,-7.880091653777828,86 days 03:00:00,47 days 07:34:44.210526316,167.80699299969,0.4899781993010824,0.15551113701577213,1.105269486358161,0.6603088367133578,21.796290599945188,1.0387469907196085,0.3768344451182534,-0.018750003129243718,None,None,0.00033172948289045506,0.08359582968839467,15.773857341970597,0.06459714689657425,0.2053307611379464,-0.20578940897491269,70 days 10:28:05.106382978
Least Win Rate [%],CMA,true,68,88,false,84,50.0,1.5730221061035667,0.007400229054708836,5.192628769459205,4.017137747601521,0.15540481014888557,0.31080962029777115,0.806959488091449,0.6989039926650553,0,0,11351,11352 days 00:00:00,1000.0,15204.395164512229,1420.439516451223,1986.1051363734096,100.0,1148.3182876217759,59.551993152716506,3039 days 00:00:00,84,0,0.0,131.15000705718995,-25.707179738065594,17.072726413505464,-6.687468874587054,110 days 05:42:51.428571428,47 days 13:08:34.285714286,169.09994243466957,0.4767614089842821,0.1535629512242264,1.102216772065034,0.6822876784170978,21.651245632664864,1.0427817701487088,0.3751665657177468,-0.018774634747273866,None,None,0.0003233519463812561,0.08148469048807654,14.204395164512224,0.06227806977894046,0.20569374604277563,-0.2848115185659714,78 days 21:25:42.857142857
Median Total Trades,CMA,true,73,85,false,97,58.76288659793815,1.5036727016072373,0.008545502598889965,3.9505269556402616,3.8056453687932215,0.17945555457668927,0.35891110915337854,0.708944005694583,0.6543840353084962,0,0,11351,11352 days 00:00:00,1000.0,12351.91419474468,1135.191419474468,1986.1051363734096,100.0,1098.9720959795518,62.53701750971153,4150 days 00:00:00,97,0,0.0,109.51678546692891,-28.60105968497203,12.382045053860388,-8.06438633432342,84 days 00:25:15.789473684,46 days 06:36:00,117.0300432447905,0.45158552841430033,0.13461249762586552,1.0960022096896107,0.48433045729296104,20.204510281850776,1.0278096411585693,0.37867379159582215,-0.018784592546557493,None,None,0.0003038721558313571,0.07657578326950198,11.35191419474471,0.057389797882250404,0.20407865981480694,-0.4284333700746044,68 days 10:53:11.752577319
