Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Expectancy,CMCSA,true,67,88,80,58.75,2.19559202934485,7.069011222055315,1279.5688219147798,1139.0101255680806,0.14844923566316162,1,189.95101359166125,0.9631836733736108,0,0,11317,11318 days 00:00:00,1000.0,103365.50575318235,10236.550575318237,35134.65875856895,100.0,5331.353984432636,51.058138332918816,1853 days 00:00:00,80,0,0.0,114.84146042152487,-34.76254184322721,20.103429083644862,-8.66714203621941,112 days 01:31:54.893617022,49 days 00:00:00,0.6367339219869814,0.31600974442549634,1.1334613634046962,-0.7086480718182112,86 days 01:12:00.000000001,0
Median Avg Losing Trade [%],CMCSA,true,67,87,84,55.952380952380956,2.0882196367008836,7.422461783158081,1144.7491395242719,970.4763628723083,0.1558716974463197,1,178.43399152786213,0.9524660798227038,0,0,11317,11318 days 00:00:00,1000.0,97158.92772003886,9615.892772003886,35134.65875856895,100.0,5333.571573848499,50.19953497470841,1876 days 00:00:00,84,0,0.0,114.8414604215249,-34.762541843227226,20.226293608596375,-7.9932698587981506,109 days 03:34:28.085106382,47 days 06:29:11.351351351,0.6301743566575797,0.31679934871448107,1.1320688435990225,-0.726313187269574,81 days 21:25:42.857142856,0
Most Profit Factor,CMCSA,true,69,89,83,56.62650602409639,2.368420285745749,7.33409914288239,975.4727563138512,836.933544117397,0.15401608200053019,1,150.2384920257173,0.9249108874694592,0,0,11317,11318 days 00:00:00,1000.0,81964.23877404962,8096.423877404962,35134.65875856895,100.0,4258.5393637362995,48.330739064576576,1812 days 00:00:00,83,0,0.0,113.71045651641279,-35.2867969724206,19.13451742538495,-7.560874699848094,107 days 05:06:22.978723404,51 days 04:40:00,0.6134180564283864,0.31593241907060415,1.128187516053884,-0.7695601960149866,82 days 21:58:33.253012048,0
Most Avg Losing Trade Duration,CMCSA,true,68,89,81,56.79012345679012,2.2125678233391732,7.157373862331006,964.4229829463434,829.8439434255853,0.15030485110895114,1,144.95745285780066,0.9186911336657606,0,0,11317,11318 days 00:00:00,1000.0,79118.26161865385,7811.826161865385,35134.65875856895,100.0,4154.213385489921,46.846505129466,1853 days 00:00:00,81,0,0.0,117.65098647541343,-33.500001553348554,20.02318243035821,-8.375669190232705,110 days 02:05:13.043478260,52 days 03:25:42.857142857,0.6089732726804982,0.3231394209572057,1.1272983173811049,-0.7776603946676963,85 days 01:11:06.666666665,0
Mean Avg Winning Trade [%],CMCSA,true,71,86,91,59.34065934065934,2.278885108165456,8.041000265087922,866.5625385527238,779.1271575399115,0.16886100556684636,1,146.328621646572,0.921202060726464,0,0,11317,11318 days 00:00:00,1000.0,79857.19100829787,7885.719100829788,35134.65875856895,100.0,4469.884250728887,52.577899945920834,2450 days 00:00:00,91,0,0.0,100.13067824994475,-36.8782690640417,16.754640147044807,-7.8296542610444275,95 days 03:33:20,46 days 12:19:27.567567568,0.610786073960461,0.28857135591936856,1.1278966679964224,-0.7755572594281551,75 days 08:58:01.318681318,0
Least Total Trades,CMCSA,true,45,88,66,56.060606060606055,1.8780030595142605,5.831934258195634,854.6367161260258,725.9310949647141,0.12247061942210832,1,104.66788800483093,0.8755666201612814,0,0,11317,11318 days 00:00:00,1000.0,57406.02326431769,5640.60232643177,35134.65875856895,100.0,2956.2866922254016,65.43496784901497,1696 days 00:00:00,66,0,0.0,134.76139270665058,-25.393870627723818,23.891675794951905,-9.937181198895516,147 days 06:29:11.351351350,48 days 07:26:53.793103448,0.5832985254166795,0.21323365080797788,1.1200359319064903,-0.8394576032403875,103 days 18:54:32.727272725,0
Median Best Trade [%],CMCSA,true,65,86,83,54.21686746987952,2.046094031524667,7.33409914288239,865.5179653151364,710.9950427013715,0.15401608200053019,1,133.3036859189081,0.9070379197768265,0,0,11317,11318 days 00:00:00,1000.0,72837.99112115639,7183.799112115639,35134.65875856895,100.0,4123.84278134142,49.82843980426592,2759 days 00:00:00,83,0,0.0,112.03156810942367,-29.49765242983606,19.76872504253021,-7.561195152557721,114 days 20:48:00,44 days 20:12:37.894736842,0.6014014667356258,0.2976465334112176,1.1256928743334136,-0.7955352530536933,82 days 19:22:24.578313252,0
Most Win Rate [%],CMCSA,true,63,87,79,60.75949367088608,1.9657183696984752,6.980648581779623,769.730517711733,708.6126745332409,0.1465936202173721,1,112.83758318315499,0.8795488118670337,0,0,11317,11318 days 00:00:00,1000.0,61808.71089922685,6080.871089922684,35134.65875856895,100.0,3150.026252470127,51.78048778986325,2907 days 00:00:00,79,0,0.0,127.83167951793004,-26.644093447866823,18.951783026993585,-9.885190391749886,115 days 05:30:00,43 days 09:17:25.161290323,0.5846870536381501,0.2747139031911684,1.1220547356039547,-0.8269267069958484,87 days 00:54:41.012658228,0
Median Total Trades,CMCSA,true,75,88,93,58.06451612903226,2.1859605794263612,8.217725545639302,797.3468220494848,701.4781425655291,0.17257223645842537,1,137.5999243140977,0.9136525238514351,0,0,11317,11318 days 00:00:00,1000.0,75153.25445060203,7415.3254450602035,35134.65875856895,100.0,4500.002906640921,55.29775054893046,2326 days 00:00:00,93,0,0.0,90.85929203539823,-27.708701798031278,16.55203235462144,-7.32542432451053,95 days 23:06:40,43 days 06:09:13.846153846,0.6038088818848255,0.27030398070730305,1.1257970421062302,-0.7889455680780821,73 days 20:38:42.580645161,0
Mean Total Fees Paid,CMCSA,true,62,89,78,55.12820512820513,1.9642082235869915,6.892285941503932,826.5345724296477,690.3843553705293,0.14473800477158258,1,119.63096488820031,0.8886423373329364,0,0,11317,11318 days 00:00:00,1000.0,65469.69664951252,6446.9696649512525,35134.65875856895,100.0,3312.56827635559,50.00558053619603,1928 days 00:00:00,78,0,0.0,131.45260226339883,-26.644093447866833,21.674715100496822,-8.77682198868594,123 days 15:37:40.465116278,45 days 01:22:17.142857143,0.590158945932032,0.28870753455218795,1.123092814466464,-0.8165068370450899,88 days 09:13:50.769230769,0
