Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
Most Avg Winning Trade [%],CMS,true,38,89,false,68,50.74626865671642,1.7033097010873268,0.005100098957143945,5.760855627452857,3.6078300116669215,0.10870061657912766,0.2158026946791505,0.626208558727463,0.6050915378763878,0,0,13137,13138 days 00:00:00,1000.0,12430.185912661207,1143.0185912661207,153.60683865017447,100.0,802.6511872375539,62.63001365812841,2518 days 00:00:00,67,1,7.6985293792222365,112.86511627906977,-46.92559626246066,19.26186230314537,-8.149272462654581,178 days 19:45:52.941176470,49 days 12:21:49.090909091,170.48488631764164,0.434700095291963,0.11579658973432407,1.0958596745372444,-1.9426474052694978,79.97683074972176,1.0056881815862404,0.3735493988499739,-0.01562500000000003,None,None,0.00025688372346372655,0.06473469831285909,11.43018591266126,0.04952594025162971,0.17922292247708002,6.4411959865227155,115 days 03:13:25.970149254
Most Expectancy,CMS,true,38,89,false,68,50.74626865671642,1.7033097010873268,0.005100098957143945,5.760855627452857,3.6078300116669215,0.10870061657912766,0.2158026946791505,0.626208558727463,0.6050915378763878,0,0,13137,13138 days 00:00:00,1000.0,12430.185912661207,1143.0185912661207,153.60683865017447,100.0,802.6511872375539,62.63001365812841,2518 days 00:00:00,67,1,7.6985293792222365,112.86511627906977,-46.92559626246066,19.26186230314537,-8.149272462654581,178 days 19:45:52.941176470,49 days 12:21:49.090909091,170.48488631764164,0.434700095291963,0.11579658973432407,1.0958596745372444,-1.9426474052694978,79.97683074972176,1.0056881815862404,0.3735493988499739,-0.01562500000000003,None,None,0.00025688372346372655,0.06473469831285909,11.43018591266126,0.04952594025162971,0.17922292247708002,6.4411959865227155,115 days 03:13:25.970149254
Least Total Trades,CMS,true,37,89,false,67,51.515151515151516,1.702760600243322,0.005023978077186572,5.6278347960113395,3.5245235414327785,0.10710207810002284,0.21260561772094086,0.6027528018564325,0.5899691735697405,0,0,13137,13138 days 00:00:00,1000.0,11412.080061431483,1041.2080061431484,153.60683865017447,100.0,759.5129729174197,62.62249408610215,2095 days 00:00:00,66,1,7.06797422406089,109.76744186046514,-47.225002827193244,18.66178421449208,-8.220736461124446,182 days 01:24:42.352941176,47 days 16:30:00,157.65169829102152,0.4239019437009686,0.11174920269087868,1.0934424044386544,-1.9455137625759371,80.29851510904851,1.0055135812181797,0.3729752325216847,-0.015625000000000038,None,None,0.00025024696915982523,0.06306223622827596,10.412080061431475,0.04780704996455398,0.17904002134620967,5.778396165774914,116 days 21:49:05.454545454
Least Win Rate [%],CMS,true,35,75,false,87,50.0,1.3928344026904533,0.006546395676334018,4.33338534634347,3.4322263748898365,0.13907284768211922,0.2765471568851336,0.6026562402199529,0.6002808235597866,0,0,13137,13138 days 00:00:00,1000.0,11894.390321026123,1089.4390321026121,153.60683865017447,100.0,1366.4466747255706,55.60038057276634,2005 days 00:00:00,86,1,145.40136241184882,74.72500000000002,-44.97085491186203,16.236662107774617,-7.569891415087676,136 days 10:36:16.744186048,41 days 18:58:36.279069767,124.9882437048172,0.4271062396850483,0.12807708164207657,1.0949480203208781,-1.7322669294125845,78.52991762312534,1.0248465323343319,0.3674021648626145,-0.01562500000000003,None,None,0.00025454427097269095,0.06414515628511812,10.894390321026131,0.048639325289244084,0.1807482550383867,6.092386261419714,89 days 02:47:26.511627907
Median Max Drawdown [%],CMS,true,68,86,false,88,54.02298850574713,1.5006681534370216,0.006622516556291391,3.7573380759731334,3.2528069547013683,0.14067138616122402,0.27974423384334324,0.5285499554234871,0.5053024030430368,0,0,13137,13138 days 00:00:00,1000.0,7356.28674870556,635.628674870556,153.60683865017447,100.0,621.1388517742321,67.0980464616073,4090 days 00:00:00,87,1,39.2994317906232,50.47069455220176,-55.88683542830077,14.413176264988675,-8.763271796120128,125 days 14:17:52.340425532,46 days 17:24:00,72.60904961971195,0.36566876085062117,0.0849594851093064,1.0800702746292012,-1.9947455283391464,77.59460145752372,1.005666105612465,0.37326225567053417,-0.01574803149606297,None,None,0.00021835248856457394,0.05502482711827263,6.356286748705582,0.03901874081544432,0.18109939042552844,3.138023283703808,89 days 08:00:00
Most Best Trade [%],CMS,true,28,87,false,75,50.0,1.4510530514023958,0.005632945116845551,4.747662173590595,3.2356511405940696,0.11989038593286139,0.23818223338661795,0.569199050270624,0.5553920513741654,0,0,13137,13138 days 00:00:00,1000.0,9431.10889691033,843.1108896910329,153.60683865017447,100.0,868.7225918237824,56.07800361898152,2157 days 00:00:00,74,1,130.56052710396762,113.07244094488189,-44.62505342352407,17.23908029546498,-7.743755948283789,163 days 07:47:01.621621622,44 days 16:12:58.378378378,112.1695725649509,0.39979958579020053,0.11471086298623819,1.0878883011182874,-1.9762056279265783,81.00967619845855,1.0063653776272483,0.37211488250652747,-0.015624999999999962,None,None,0.00023541635132696498,0.05932492053439518,8.431108896910374,0.04398219027964134,0.17858335889462007,4.48875881503649,104 days 00:00:00
Median Profit Factor,CMS,true,47,70,false,102,50.495049504950494,1.3502529360725006,0.007688208875694603,3.829749565510632,3.1702195721642954,0.1630509248686915,0.32450331125827814,0.624444208671978,0.6185015743164952,0,0,13137,13138 days 00:00:00,1000.0,13228.158180533565,1222.8158180533565,153.60683865017447,100.0,1828.089954309603,59.81979252216386,1949 days 00:00:00,101,1,220.6109319347288,68.39648857985814,-44.74999985501574,14.31072548486943,-6.860845872235342,109 days 03:17:38.823529412,41 days 14:52:48,118.8866064217707,0.4369189546621786,0.12433841214487563,1.0979535293253502,-1.5119982999891597,75.10350867304905,1.0359647073104061,0.36413664209324054,-0.015625000000000073,None,None,0.00026476819939387166,0.06672158624725566,12.228158180533539,0.05077923402905582,0.18378566693352885,6.960686052775343,75 days 17:06:32.079207920
Least Max Drawdown Duration,CMS,true,48,70,false,103,50.0,1.3437517837068556,0.007764329755651975,3.7736547358654384,3.0931596195618347,0.16464946334779632,0.3277003882164878,0.6213302271201145,0.6185317088143277,0,0,13137,13138 days 00:00:00,1000.0,13223.593221396133,1222.3593221396134,153.60683865017447,100.0,1923.389584820842,57.601810837667614,1901 days 00:00:00,102,1,220.53480040713293,68.39648857985817,-44.74999985501572,14.127590444736187,-6.58028097300531,108 days 20:14:07.058823530,41 days 02:21:10.588235294,117.67704334302925,0.43692109244225746,0.12910822915640158,1.0979458139617166,-1.5119731455457313,75.17188127933625,1.0372097181794058,0.36413664209324054,-0.01562500000000001,None,None,0.0002647126512798067,0.06670758812251128,12.223593221396184,0.05077227748100954,0.18374620983388398,6.957714206484159,74 days 23:17:38.823529412
Most Max Drawdown [%],CMS,true,64,87,false,82,53.086419753086425,1.4444289553156011,0.006165791276547157,3.8908253701644533,3.0816999616332934,0.1310801552865951,0.26056177209408543,0.5100099937141804,0.4796577072303689,0,0,13137,13138 days 00:00:00,1000.0,6425.203979987183,542.5203979987183,153.60683865017447,100.0,548.4646915048544,77.3068780344437,4530 days 00:00:00,81,1,115.82635527338425,56.918230180273795,-57.83461291825268,15.193598058185662,-8.899154250491126,136 days 20:05:34.883720930,50 days 06:18:56.842105263,65.54787191004692,0.3484538629811554,0.06860921142544858,1.0760483269998826,-2.0377320342253302,77.5915354918049,0.9974301837556112,0.3754187604690118,-0.015748031496062964,None,None,0.00020807184897396987,0.052434105941440406,5.425203979987208,0.03632525123696562,0.1810984551265053,2.531876593295816,96 days 05:20:00
Mean Profit Factor,CMS,true,60,83,false,85,52.38095238095239,1.3595938766832933,0.0063941539164192734,3.607882308643698,2.924052709160485,0.13587577072390958,0.2701530029687143,0.4902237893681207,0.4578181504267026,0,0,13137,13138 days 00:00:00,1000.0,5722.4079296179925,472.2407929617993,153.60683865017447,100.0,557.9134079204628,68.80967557496928,4419 days 00:00:00,84,1,225.93559883698344,57.913258884974894,-58.026912427663916,14.916812379343506,-8.831940769126092,134 days 18:00:00,46 days 11:24:00,53.52943250929769,0.3328208755012921,0.0721645046642793,1.0726527791050804,-2.001414298663118,75.76634715756738,0.9992654764296452,0.37469917338076797,-0.01575423937066212,None,None,0.00020026805757333507,0.05046755050848044,4.722407929617909,0.03402519408350435,0.18249368026371354,2.074347451660564,92 days 17:08:34.285714285
Least Avg Losing Trade [%],CMS,true,51,89,false,69,52.94117647058824,1.3374188510304066,0.005176219837101317,4.383075185000389,2.9064414562537118,0.11029915505823247,0.21899977163736015,0.48344948946224886,0.4519354307261021,0,0,13137,13138 days 00:00:00,1000.0,5534.385071384146,453.4385071384146,153.60683865017447,100.0,491.5446056480087,71.53738160629864,4332 days 00:00:00,68,1,76.61582959273892,53.01362747832559,-55.757158332427295,17.161573275415137,-9.992735166716201,170 days 12:00:00,50 days 19:30:00,65.55543002634434,0.3291595046233496,0.06805162227137145,1.0719651871525193,-2.0528209631421652,77.04721980346032,0.9892527488930619,0.3741240456019244,-0.015743424128581658,None,None,0.00019707683513289057,0.04966336245348842,4.534385071384144,0.03336277990826719,0.18158329054850647,1.9519421864483477,114 days 04:14:07.058823529
Most Total Return [%],CMS,true,49,68,false,111,50.0,1.331472614853013,0.008373296795310953,3.541345818294054,2.9027424740115197,0.17743777118063486,0.3532770038821649,0.6283685089779585,0.6290072331699511,0,0,13137,13138 days 00:00:00,1000.0,14008.828839370753,1300.8828839370753,153.60683865017447,100.0,2249.602871364862,58.767567337866424,1949 days 00:00:00,110,1,326.2601182250801,68.39648857985814,-44.7499998550157,13.26564126921188,-6.182949632623772,99 days 17:01:05.454545454,39 days 00:26:10.909090909,115.29607928314249,0.44425206556504093,0.12947932901916012,1.0997276375515594,-1.5260451558308692,75.1379832746438,1.0433878415808349,0.36229780174201576,-0.015625000000000024,None,None,0.0002690659949117613,0.06780463071776384,13.008828839370754,0.05193555758175106,0.18368600176730365,7.4689125521274295,69 days 08:43:38.181818181
Most Sharpe Ratio,CMS,true,49,68,false,111,50.0,1.331472614853013,0.008373296795310953,3.541345818294054,2.9027424740115197,0.17743777118063486,0.3532770038821649,0.6283685089779585,0.6290072331699511,0,0,13137,13138 days 00:00:00,1000.0,14008.828839370753,1300.8828839370753,153.60683865017447,100.0,2249.602871364862,58.767567337866424,1949 days 00:00:00,110,1,326.2601182250801,68.39648857985814,-44.7499998550157,13.26564126921188,-6.182949632623772,99 days 17:01:05.454545454,39 days 00:26:10.909090909,115.29607928314249,0.44425206556504093,0.12947932901916012,1.0997276375515594,-1.5260451558308692,75.1379832746438,1.0433878415808349,0.36229780174201576,-0.015625000000000024,None,None,0.0002690659949117613,0.06780463071776384,13.008828839370754,0.05193555758175106,0.18368600176730365,7.4689125521274295,69 days 08:43:38.181818181
Most Omega Ratio,CMS,true,49,68,false,111,50.0,1.331472614853013,0.008373296795310953,3.541345818294054,2.9027424740115197,0.17743777118063486,0.3532770038821649,0.6283685089779585,0.6290072331699511,0,0,13137,13138 days 00:00:00,1000.0,14008.828839370753,1300.8828839370753,153.60683865017447,100.0,2249.602871364862,58.767567337866424,1949 days 00:00:00,110,1,326.2601182250801,68.39648857985814,-44.7499998550157,13.26564126921188,-6.182949632623772,99 days 17:01:05.454545454,39 days 00:26:10.909090909,115.29607928314249,0.44425206556504093,0.12947932901916012,1.0997276375515594,-1.5260451558308692,75.1379832746438,1.0433878415808349,0.36229780174201576,-0.015625000000000024,None,None,0.0002690659949117613,0.06780463071776384,13.008828839370754,0.05193555758175106,0.18368600176730365,7.4689125521274295,69 days 08:43:38.181818181
