Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Expectancy,COPX,false,23,39,31,38.70967741935484,1.9565166564908811,8.313220702601233,99.98213753425243,27.543288576929047,0.1745776347546259,1,17.454645088441495,0.965704310429676,0,0,3729,3730 days 00:00:00,1000.0,4099.4462635618265,309.94462635618265,-4.450497374494466,100.0,153.90152696240585,39.02286760440925,1314 days 00:00:00,31,0,0.0,148.22693460884787,-13.445529285181665,28.53288600799327,-6.156615626432109,111 days 18:00:00,24 days 21:28:25.263157894,0.654601260734712,0.3793764055464146,1.1409018749219582,70.6426939003395,58 days 12:23:13.548387096,0
Least Max Drawdown [%],COPX,false,28,33,30,36.666666666666664,1.8854630702824466,8.045052292839904,94.7630048852854,23.93005173870843,0.16894609814963799,1,16.00983992430405,0.929731739023573,0,0,3729,3730 days 00:00:00,1000.0,3842.8901465585636,284.28901465585636,-4.450497374494466,100.0,139.94303906571207,38.52650596243431,1314 days 00:00:00,30,0,0.0,148.22693460884787,-13.445529285181665,30.808798482491607,-6.31379369422508,116 days 10:54:32.727272728,28 days 00:00:00,0.6308910809131575,0.3654785383846414,1.1354306092984037,64.87803221390483,60 days 10:24:00,0
Most Profit Factor,COPX,false,16,56,30,36.666666666666664,2.029165832262614,8.045052292839904,86.41700812777295,21.82247679994266,0.16894609814963799,1,14.599816336952792,0.8873921370643433,0,0,3729,3730 days 00:00:00,1000.0,3592.51024383319,259.251024383319,-4.450497374494466,100.0,127.44017034577247,45.00701459407219,1450 days 00:00:00,30,0,0.0,131.40797179885072,-15.478825211161205,28.361646935036216,-5.89899142283575,119 days 08:43:38.181818182,26 days 21:28:25.263157895,0.6050628779664693,0.29619756843553513,1.1289496851897414,59.25214634864659,60 days 19:12:00,0
Mean Total Trades,COPX,false,15,47,39,41.02564102564102,1.6192791760811263,10.458567980691875,48.40893077268778,17.7810581350552,0.21962992759452937,1,10.632049960534003,0.7646063368651097,0,0,3729,3730 days 00:00:00,1000.0,2887.948300134824,188.7948300134824,-4.450497374494466,100.0,146.40123074494127,47.95537122799241,1469 days 00:00:00,39,0,0.0,151.05366635805706,-15.86659564285419,21.01327783026984,-6.2912989482837745,90 days 21:00:00,15 days 21:54:46.956521739,0.5235293886261404,0.2280377959905592,1.1108423985707383,43.42106311430589,46 days 15:59:59.999999999,0
Mean Worst Trade [%],COPX,false,21,50,28,39.285714285714285,1.6912473879284953,7.508715473317243,65.35181595610294,16.50298382729872,0.1576830249396621,1,10.304872025258387,0.7562592563317411,0,0,3729,3730 days 00:00:00,1000.0,2829.850846770882,182.9850846770882,-4.450497374494466,100.0,107.1909327577125,42.60263575624506,1450 days 00:00:00,28,0,0.0,125.83169173612899,-16.344418997859613,26.847355603477684,-7.2192990311081005,119 days 10:54:32.727272728,29 days 22:35:17.647058823,0.5181435745468655,0.2515160066600087,1.1094034085182267,42.115648270183186,65 days 02:34:17.142857142,0
Median Worst Trade [%],COPX,false,21,50,28,39.285714285714285,1.6912473879284953,7.508715473317243,65.35181595610294,16.50298382729872,0.1576830249396621,1,10.304872025258387,0.7562592563317411,0,0,3729,3730 days 00:00:00,1000.0,2829.850846770882,182.9850846770882,-4.450497374494466,100.0,107.1909327577125,42.60263575624506,1450 days 00:00:00,28,0,0.0,125.83169173612899,-16.344418997859613,26.847355603477684,-7.2192990311081005,119 days 10:54:32.727272728,29 days 22:35:17.647058823,0.5181435745468655,0.2515160066600087,1.1094034085182267,42.115648270183186,65 days 02:34:17.142857142,0
Median Avg Winning Trade [%],COPX,false,26,39,30,36.666666666666664,1.5872468441794263,8.045052292839904,64.61746531863336,16.317541747129635,0.16894609814963799,1,10.916868637902661,0.7781416073734146,0,0,3729,3730 days 00:00:00,1000.0,2938.5239595590006,193.85239595590005,-4.450497374494466,100.0,126.98969441743846,43.19945494679136,1449 days 00:00:00,30,0,0.0,132.33401016235356,-16.344418997859602,29.021729024997732,-7.141075686691741,117 days 04:21:49.090909092,27 days 08:50:31.578947368,0.5327758661932664,0.25750933355291805,1.1132726694910884,44.55746777132293,60 days 07:11:59.999999999,0
Median Total Trades,COPX,false,35,37,26,42.30769230769231,1.7019476219033094,6.972378653794583,64.40768310194224,16.2645664398844,0.14641995172968625,1,9.430569850807311,0.7228446564506006,0,0,3729,3730 days 00:00:00,1000.0,2674.5997606504984,167.45997606504983,-4.450497374494466,100.0,96.43942220188312,41.349014115213066,1460 days 00:00:00,26,0,0.0,129.88225236210113,-16.301286749937393,25.525561531592945,-7.645170217694025,120 days 02:10:54.545454546,33 days 11:12:00,0.4986075022253531,0.24439821468095138,1.1048622875391818,38.62724971477411,70 days 02:46:09.230769230,0
Most Avg Winning Trade Duration,COPX,false,14,51,38,36.84210526315789,1.5707282191351035,10.190399570930545,46.579013756722816,14.97029826891918,0.21399839098954146,1,9.9678339978184,0.7435401965079914,0,0,3729,3730 days 00:00:00,1000.0,2770.002522755467,177.0002522755467,-4.450497374494466,100.0,144.62147258987073,48.6794517096017,1459 days 00:00:00,38,0,0.0,144.18880203247073,-15.86659564285419,23.60558451699313,-6.111550028579553,99 days 22:17:08.571428572,17 days 00:00:00,0.5104842675686955,0.2153660311133534,1.1085504816531138,40.770892415289254,47 days 13:15:47.368421052,0
Most Total Return [%],COPX,false,2,17,166,32.72727272727273,1.4677708893359456,44.24778761061947,20.246760217860235,10.039715810509206,0.9348350764279967,2,18.927381635682696,1.0146808293084952,0,0,3729,3730 days 00:00:00,1000.0,4605.624522297276,360.56245222972757,-4.450497374494466,100.0,771.6930582184415,41.66141153717517,1484 days 00:00:00,165,1,264.90908635034066,48.46922520142807,-9.851478967550946,8.912530559612755,-2.5896021101534252,24 days 12:00:00,5 days 00:00:00,0.681561639290209,0.38692381387705255,1.1451740371339891,82.01621501814368,11 days 09:09:49.090909090,0
