Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
Median Total Trades,COST,true,28,64,false,81,56.25,1.9753097337135206,0.008200922603792926,5.54339258162776,4.594817943880074,0.1743721168631471,0.34659149154279856,0.9666130990618985,0.7310069360522129,0,0,9755,9756 days 00:00:00,1000.0,15840.699628449687,1484.0699628449688,8434.090909091017,100.0,935.6885661955607,58.56138437156931,2653 days 00:00:00,80,1,-2096.3208796870404,163.6808988764045,-37.04430693069306,16.150242854464125,-8.093986340590423,104 days 18:40:00,41 days 02:44:34.285714285,211.7127563517091,0.507937800913843,0.18593527713572108,1.103261014195893,-0.515904254320265,23.256043509731533,1.067188057758927,0.46332683365831706,-0.021904479550262743,None,None,0.00039368484545874364,0.0992085810556034,14.840699628449798,0.07396587404406829,0.2350633198940814,-0.824039131325309,76 days 22:11:59.999999999
Most Profit Factor,COST,true,69,82,false,78,56.41025641025641,3.563877956208423,0.007995899538698104,5.472482680197876,4.435241074391353,0.16791389031266019,0.33582778062532037,0.9189058565006788,0.8013426912351694,0,0,9755,9756 days 00:00:00,1000.0,21236.344707398675,2023.6344707398675,8434.090909091017,100.0,618.6092724490372,65.36369528019338,2763 days 00:00:00,78,0,0.0,129.2403225806452,-38.50362694300517,14.996639209715646,-6.85289635800159,105 days 02:10:54.545454546,48 days 02:07:03.529411764,259.44031676152144,0.5456070340274265,0.18529282640228162,1.1090060491108018,0.13551332030617827,13.957552012329653,1.0650990407807412,0.4728260869565217,-0.022251170046849292,None,None,0.0004229035676399433,0.10657169904526571,20.236344707398914,0.08212844506653827,0.23507589099067513,-0.7600648970289597,80 days 05:50:46.153846153
Most Expectancy,COST,true,69,82,false,78,56.41025641025641,3.563877956208423,0.007995899538698104,5.472482680197876,4.435241074391353,0.16791389031266019,0.33582778062532037,0.9189058565006788,0.8013426912351694,0,0,9755,9756 days 00:00:00,1000.0,21236.344707398675,2023.6344707398675,8434.090909091017,100.0,618.6092724490372,65.36369528019338,2763 days 00:00:00,78,0,0.0,129.2403225806452,-38.50362694300517,14.996639209715646,-6.85289635800159,105 days 02:10:54.545454546,48 days 02:07:03.529411764,259.44031676152144,0.5456070340274265,0.18529282640228162,1.1090060491108018,0.13551332030617827,13.957552012329653,1.0650990407807412,0.4728260869565217,-0.022251170046849292,None,None,0.0004229035676399433,0.10657169904526571,20.236344707398914,0.08212844506653827,0.23507589099067513,-0.7600648970289597,80 days 05:50:46.153846153
Least Avg Winning Trade Duration,COST,true,71,84,false,78,58.97435897435898,3.326958234947225,0.007995899538698104,5.134136413751946,4.350161632576709,0.16791389031266019,0.33582778062532037,0.8620928186289788,0.7517170936878868,0,0,9755,9756 days 00:00:00,1000.0,16839.087472227355,1583.9087472227354,8434.090909091017,100.0,548.2577749069503,61.21063572147584,2774 days 00:00:00,78,0,0.0,127.18571428571428,-32.29222797927461,13.774868593079656,-7.2869160940316355,100 days 02:05:13.043478260,52 days 03:00:00,203.06522400291476,0.5131616878594152,0.18203510835069864,1.102420636485459,0.1265334163739017,13.896844189745565,1.0668131902798155,0.47171519082817914,-0.02232363338647309,None,None,0.00040083076928372214,0.10100935385949798,15.839087472227284,0.07566273918774291,0.23689371023500455,-0.8122016036707101,80 days 09:50:46.153846153
Most Total Return [%],COST,true,70,82,false,83,51.80722891566265,3.4183922214480083,0.00850845720143516,5.168802548458236,4.093912499239346,0.1786776012301384,0.3573552024602768,0.9235492405907437,0.8105820804353607,0,0,9755,9756 days 00:00:00,1000.0,22411.877359860744,2141.187735986074,8434.090909091017,100.0,710.8844191552517,62.827811811210935,2750 days 00:00:00,83,0,0.0,122.79516129032255,-32.29222797927459,15.469748740747056,-5.904714608252244,106 days 08:55:48.837209302,42 days 03:36:00,257.9744260224186,0.55130911813862,0.1963721723239163,1.110393667512147,0.1463803375021193,13.944520090785208,1.0702931611430577,0.4721593481213219,-0.022265178983951268,None,None,0.0004295742905012365,0.1082527212063116,21.411877359860785,0.08363544405721535,0.23631419443710447,-0.746127026722215,75 days 10:07:13.734939758
Most Sharpe Ratio,COST,true,70,82,false,83,51.80722891566265,3.4183922214480083,0.00850845720143516,5.168802548458236,4.093912499239346,0.1786776012301384,0.3573552024602768,0.9235492405907437,0.8105820804353607,0,0,9755,9756 days 00:00:00,1000.0,22411.877359860744,2141.187735986074,8434.090909091017,100.0,710.8844191552517,62.827811811210935,2750 days 00:00:00,83,0,0.0,122.79516129032255,-32.29222797927459,15.469748740747056,-5.904714608252244,106 days 08:55:48.837209302,42 days 03:36:00,257.9744260224186,0.55130911813862,0.1963721723239163,1.110393667512147,0.1463803375021193,13.944520090785208,1.0702931611430577,0.4721593481213219,-0.022265178983951268,None,None,0.0004295742905012365,0.1082527212063116,21.411877359860785,0.08363544405721535,0.23631419443710447,-0.746127026722215,75 days 10:07:13.734939758
Most Omega Ratio,COST,true,70,82,false,83,51.80722891566265,3.4183922214480083,0.00850845720143516,5.168802548458236,4.093912499239346,0.1786776012301384,0.3573552024602768,0.9235492405907437,0.8105820804353607,0,0,9755,9756 days 00:00:00,1000.0,22411.877359860744,2141.187735986074,8434.090909091017,100.0,710.8844191552517,62.827811811210935,2750 days 00:00:00,83,0,0.0,122.79516129032255,-32.29222797927459,15.469748740747056,-5.904714608252244,106 days 08:55:48.837209302,42 days 03:36:00,257.9744260224186,0.55130911813862,0.1963721723239163,1.110393667512147,0.1463803375021193,13.944520090785208,1.0702931611430577,0.4721593481213219,-0.022265178983951268,None,None,0.0004295742905012365,0.1082527212063116,21.411877359860785,0.08363544405721535,0.23631419443710447,-0.746127026722215,75 days 10:07:13.734939758
Most Sortino Ratio,COST,true,70,82,false,83,51.80722891566265,3.4183922214480083,0.00850845720143516,5.168802548458236,4.093912499239346,0.1786776012301384,0.3573552024602768,0.9235492405907437,0.8105820804353607,0,0,9755,9756 days 00:00:00,1000.0,22411.877359860744,2141.187735986074,8434.090909091017,100.0,710.8844191552517,62.827811811210935,2750 days 00:00:00,83,0,0.0,122.79516129032255,-32.29222797927459,15.469748740747056,-5.904714608252244,106 days 08:55:48.837209302,42 days 03:36:00,257.9744260224186,0.55130911813862,0.1963721723239163,1.110393667512147,0.1463803375021193,13.944520090785208,1.0702931611430577,0.4721593481213219,-0.022265178983951268,None,None,0.0004295742905012365,0.1082527212063116,21.411877359860785,0.08363544405721535,0.23631419443710447,-0.746127026722215,75 days 10:07:13.734939758
Least Win Rate [%],COST,true,27,66,false,79,50.0,2.074931184468938,0.007995899538698104,5.535291064263344,3.976355710191019,0.1700666324961558,0.337980522808816,0.9413683111853293,0.6924829054921631,0,0,9755,9756 days 00:00:00,1000.0,13081.053545708388,1208.1053545708387,8434.090909091017,100.0,652.5222944057264,65.62994387440868,2617 days 00:00:00,78,1,-1578.6581928776595,163.68089887640448,-40.99443155452435,18.526274901680026,-7.455692773153337,115 days 17:50:46.153846154,42 days 15:23:04.615384615,175.12450946905193,0.48364781869136647,0.15385258900607093,1.0976590896229022,-0.5804581691065135,23.413879209118083,1.0591261296329186,0.46684709066305824,-0.02189863016330227,None,None,0.00037308270700045477,0.0940168421641146,12.081053545708384,0.06866889772927087,0.23394975163034162,-0.8567592681187922,79 days 04:36:55.384615384
Most Best Trade [%],COST,true,38,56,false,96,52.63157894736842,2.044288780431389,0.009738595592004101,4.521593385663484,3.901288512220434,0.20666324961558175,0.41117375704766784,0.9344471825215359,0.6806243971678817,0,0,9755,9756 days 00:00:00,1000.0,12371.223165933123,1137.1223165933122,8434.090909091017,100.0,711.8681297194161,60.178333351662985,2772 days 00:00:00,95,1,-1282.4567950253986,181.2448795180723,-39.472727272727255,15.113677580015672,-7.247389052505613,89 days 20:09:36,37 days 00:00:00,133.19663116798444,0.4741165423464124,0.16397540699054805,1.0960633985672656,-0.49107915717395517,22.62979235725898,1.0605806080665432,0.46332683365831706,-0.022065751392455236,None,None,0.00036959023319469765,0.0931367387650638,11.371223165933143,0.06712992970250675,0.23641883892081325,-0.8651754731066961,64 days 19:27:09.473684210
Mean Total Trades,COST,true,38,57,false,97,56.25,1.9215126851149278,0.009841107124551511,4.187159673136985,3.8611103543271375,0.2088159917990774,0.41547924141465914,0.8743458999672001,0.6343052792387369,0,0,9755,9756 days 00:00:00,1000.0,9801.72686807267,880.172686807267,8434.090909091017,100.0,612.4378897955377,59.276606666583255,3639 days 00:00:00,96,1,-1016.0912188180282,175.52771084337354,-43.63478260869564,13.58772752276312,-7.899284704953759,84 days 06:39:59.999999999,38 days 14:51:25.714285714,102.26893840511144,0.44321544841463867,0.15039568210493542,1.0893931294911665,-0.514234090401071,22.52170348059496,1.0594356995310374,0.4637659414853713,-0.022161291515113223,None,None,0.0003462055824170712,0.08724380676910194,8.801726868072645,0.06073183231099333,0.2369004466683042,-0.8956410718956636,64 days 07:14:59.999999999
Median Win Rate [%],COST,true,27,79,false,65,52.307692307692314,2.0719994300304023,0.006663249615581753,6.149318092634235,3.851110980835587,0.1399282419272168,0.2798564838544336,0.8604632697535346,0.6546986334313759,0,0,9755,9756 days 00:00:00,1000.0,11028.170981957375,1002.8170981957376,8434.090909091017,100.0,378.01973391279154,65.04426587876065,3650 days 00:00:00,65,0,0.0,156.94606741573034,-34.01230769230767,20.107001985401663,-9.159109402659073,144 days 19:03:31.764705882,46 days 01:32:54.193548387,154.279553568575,0.45996626359085646,0.1444617023467163,1.0916144668084784,-0.6280232588990761,23.267910008337534,1.0425724093929527,0.48425376540392523,-0.022043381645547668,None,None,0.00035697949734481605,0.08995883333089365,10.028170981957317,0.06396694208286435,0.23537698575419222,-0.8810995625960337,97 days 16:59:04.615384615
Least Worst Trade [%],COST,true,35,57,false,91,50.0,1.8432344308659954,0.009226037929267043,4.6575620449745365,3.8176738073561776,0.19589953869810353,0.3896463352127114,0.9124142560683074,0.647761952659661,0,0,9755,9756 days 00:00:00,1000.0,10434.137655707711,943.4137655707711,8434.090909091017,100.0,631.7382108295121,61.91568632762656,3443 days 00:00:00,90,1,-1387.7272937585476,172.88255813953484,-47.92154515778019,16.856799557658857,-7.5416754677097835,102 days 11:12:00,34 days 19:44:00,120.2429438829584,0.45215960474433675,0.1481049450118832,1.091148650156177,-0.510743849465306,22.7049333807524,1.0552463397316802,0.46574519230769235,-0.022228329396935472,None,None,0.0003515980776955697,0.08860271557928356,9.434137655707746,0.062446318721244065,0.23583129405429476,-0.8881428033276384,68 days 15:28:00
Median Best Trade [%],COST,true,65,80,false,77,58.44155844155844,2.371545914207024,0.007893388006150692,4.535453798033303,3.7593556992355617,0.16576114812916454,0.3315222962583291,0.7518020288487802,0.6526382148574492,0,0,9755,9756 days 00:00:00,1000.0,10244.639249844031,924.4639249844031,8434.090909091017,100.0,379.6973544296387,62.72567532681389,3711 days 00:00:00,77,0,0.0,127.47967914438505,-30.97999999999999,13.79455838388875,-8.485162025825918,108 days 16:00:00,42 days 09:45:00,120.06024999797451,0.45031786709157207,0.14499940195487365,1.088778964707718,-0.06722509246108863,12.535383015258159,1.0548747722272498,0.46905586508056013,-0.022393285672477944,None,None,0.00034724662361553936,0.08750614915111592,9.24463924984403,0.0619434486229653,0.23386517502742846,-0.8903896181640711,81 days 03:07:00.779220779
Most Calmar Ratio,COST,true,38,69,false,74,50.68493150684932,2.086530549322402,0.007483341875961046,5.477209769529636,3.7328561700607206,0.1593029215786776,0.31645310097385954,0.8725355183853464,0.7169661902846498,0,0,9755,9756 days 00:00:00,1000.0,14787.926957513519,1378.7926957513519,8434.090909091017,100.0,537.8683737428662,51.67830968961676,2763 days 00:00:00,73,1,2283.476461230668,155.36716867469883,-30.119289340101506,18.534815795180542,-7.943107534611575,119 days 00:00:00,45 days 09:19:59.999999999,157.59521227784722,0.49828593981418784,0.20518636340863544,1.1001043369165735,-0.48960764680774527,22.625698623599327,1.0557906711712104,0.471937235968618,-0.022264299382115542,None,None,0.00038713183414136544,0.09755722220362409,13.787926957513593,0.07205979131827034,0.23562803144776137,-0.8365214804282978,82 days 16:46:01.643835615
