Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Expectancy,CSX,true,58,88,75,53.333333333333336,1.7300431567828618,6.722839727500896,294.2279706444133,237.75997627831376,0.14117963427751884,1,41.538997289794814,0.7538881309717433,0,0,11156,11157 days 00:00:00,1000.0,23067.097798330982,2206.7097798330983,8230.691964455598,100.0,1329.2291995305843,47.827184139093795,1450 days 00:00:00,75,0,0.0,88.10342422404823,-34.65348212645224,17.396805902657047,-7.449586755690298,123 days 06:36:00,55 days 11:39:25.714285714,0.5149240811287402,0.22608187239895222,1.100800251101622,-0.7318925566206563,91 days 15:21:36,0
Most Profit Factor,CSX,true,65,88,82,58.536585365853654,2.083525551255482,7.350304768734313,253.12561932331536,224.5016579364216,0.15435640014342059,1,39.07155938282082,0.7453062910771281,0,0,11156,11157 days 00:00:00,1000.0,21756.30078451187,2075.630078451187,8230.691964455598,100.0,1152.4902129380994,55.89400883209833,2324 days 00:00:00,82,0,0.0,81.5363870521418,-25.779887102620147,14.171023872517937,-7.638131310419488,102 days 00:30:00,58 days 16:56:28.235294117,0.5076188830946492,0.18966204867225725,1.099352708032181,-0.7478182773192297,84 days 01:27:48.292682926,0
Least Max Drawdown [%],CSX,true,60,87,79,51.89873417721519,1.8245805041261731,7.081391179634277,276.6574119694215,217.54802245389877,0.14870921477231983,1,41.141506494914864,0.7535060102980677,0,0,11156,11157 days 00:00:00,1000.0,22855.9355455843,2185.59355455843,8230.691964455598,100.0,1301.0185308066755,44.87150294339518,1049 days 00:00:00,79,0,0.0,87.14157624274128,-23.887628865979373,17.03325454233419,-7.1027089810393145,117 days 05:51:13.170731708,54 days 21:28:25.263157894,0.5119211074058105,0.24023098205250984,1.1003696444306243,-0.734458103401639,87 days 06:04:33.417721519,0
Most Calmar Ratio,CSX,true,60,87,79,51.89873417721519,1.8245805041261731,7.081391179634277,276.6574119694215,217.54802245389877,0.14870921477231983,1,41.141506494914864,0.7535060102980677,0,0,11156,11157 days 00:00:00,1000.0,22855.9355455843,2185.59355455843,8230.691964455598,100.0,1301.0185308066755,44.87150294339518,1049 days 00:00:00,79,0,0.0,87.14157624274128,-23.887628865979373,17.03325454233419,-7.1027089810393145,117 days 05:51:13.170731708,54 days 21:28:25.263157894,0.5119211074058105,0.24023098205250984,1.1003696444306243,-0.734458103401639,87 days 06:04:33.417721519,0
Most Win Rate [%],CSX,true,67,86,89,59.55056179775281,2.0816129885692893,7.9777698099677306,231.34186979289788,208.73542899257043,0.16753316600932236,1,38.757435876920596,0.744217976867573,0,0,11156,11157 days 00:00:00,1000.0,21589.426411567914,2058.9426411567915,8230.691964455598,100.0,1204.2372377589165,55.62681242241684,2325 days 00:00:00,89,0,0.0,80.2279566414839,-25.779887102620126,12.7900515364656,-7.268101319667797,94 days 17:12:27.169811321,51 days 18:00:00,0.5066628550240525,0.1900722934032434,1.0992403564881976,-0.7498457420046365,77 days 08:05:23.595505618,0
Mean Total Fees Paid,CSX,true,60,88,77,54.54545454545454,1.9001305883436583,6.902115453567586,249.2942920570875,206.02834054304748,0.14494442452491932,1,36.13381769956171,0.7305135149239789,0,0,11156,11157 days 00:00:00,1000.0,20195.660488395744,1919.5660488395745,8230.691964455598,100.0,1117.543034297608,47.122844471358235,1037 days 00:00:00,77,0,0.0,87.14157624274128,-23.04023709231318,16.094028325468187,-7.469164021847384,118 days 16:34:17.142857142,54 days 10:58:17.142857143,0.49698241215417965,0.21925606578146942,1.0972797900929532,-0.7667795056443302,89 days 11:50:38.961038960,0
Least Max Drawdown Duration,CSX,true,60,88,77,54.54545454545454,1.9001305883436583,6.902115453567586,249.2942920570875,206.02834054304748,0.14494442452491932,1,36.13381769956171,0.7305135149239789,0,0,11156,11157 days 00:00:00,1000.0,20195.660488395744,1919.5660488395745,8230.691964455598,100.0,1117.543034297608,47.122844471358235,1037 days 00:00:00,77,0,0.0,87.14157624274128,-23.04023709231318,16.094028325468187,-7.469164021847384,118 days 16:34:17.142857142,54 days 10:58:17.142857143,0.49698241215417965,0.21925606578146942,1.0972797900929532,-0.7667795056443302,89 days 11:50:38.961038960,0
Least Win Rate [%],CSX,true,57,89,72,50.0,1.6920189453310717,6.453926138400861,246.85553539337803,187.0117692374076,0.13553244890641808,1,33.45693523796949,0.7157805393587742,0,0,11156,11157 days 00:00:00,1000.0,18773.598548323225,1777.3598548323225,8230.691964455598,100.0,1027.73730571039,47.94883557430031,2167 days 00:00:00,72,0,0.0,104.91579618919874,-34.653482126452246,19.584487407055594,-7.5713294464771055,137 days 21:20:00,53 days 08:40:00,0.4899508745593902,0.20998908633174462,1.0955776220702855,-0.7840570558942207,95 days 15:00:00,0
Most Avg Winning Trade [%],CSX,true,57,89,72,50.0,1.6920189453310717,6.453926138400861,246.85553539337803,187.0117692374076,0.13553244890641808,1,33.45693523796949,0.7157805393587742,0,0,11156,11157 days 00:00:00,1000.0,18773.598548323225,1777.3598548323225,8230.691964455598,100.0,1027.73730571039,47.94883557430031,2167 days 00:00:00,72,0,0.0,104.91579618919874,-34.653482126452246,19.584487407055594,-7.5713294464771055,137 days 21:20:00,53 days 08:40:00,0.4899508745593902,0.20998908633174462,1.0955776220702855,-0.7840570558942207,95 days 15:00:00,0
Least Avg Winning Trade Duration,CSX,true,65,84,88,55.68181818181818,1.8542408135136963,7.888131946934385,208.40608728557655,175.82469485181213,0.16565077088562208,1,34.522629016112,0.7237801590154809,0,0,11156,11157 days 00:00:00,1000.0,19339.73568113074,1833.973568113074,8230.691964455598,100.0,1194.361145686235,51.65830887152587,2058 days 00:00:00,88,0,0.0,87.02612091515583,-25.088587556768527,13.939720906253225,-7.053424399228718,100 days 06:51:25.714285715,49 days 22:09:13.846153846,0.49325982700637594,0.1969822031516378,1.096696306365542,-0.777178689710036,77 days 23:10:54.545454545,0
