Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Profit Factor Adjusted,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
Most Total Return [%],CVX,true,117,120,false,247,52.03252032520326,1.404781552469143,0.015454202789295138,1.3485104707648365,1.150268827521652,0.3258575197889182,0.6503957783641161,0.4394222774128161,0.5555844308819549,0,0,15918,15919 days 00:00:00,1000.0,13463.875087585882,1246.3875087585882,5012.357483467352,100.0,3094.358867887915,48.613314905456065,2234 days 00:00:00,246,1,986.2794192283145,65.96413612565446,-18.548979591836726,5.953238151859106,-3.6464483697442027,47 days 16:41:15,27 days 01:13:13.220338983,46.65689296080309,0.38581310955548376,0.12635904429605352,1.0751042591822089,-0.08545530096020185,10.032256837249873,1.057440990959066,0.40206094768363576,-0.017949412240477434,None,None,0.00022607967302774138,0.05697207760299083,12.463875087586095,0.042017278616397924,0.17771792692016716,1.404781552469143,-0.7513370678628479,23055.833333333332,2.7757474061145118,1.8479228372919714,37 days 19:01:27.804878048
Most Total Fees Paid,CVX,true,117,120,false,247,52.03252032520326,1.404781552469143,0.015454202789295138,1.3485104707648365,1.150268827521652,0.3258575197889182,0.6503957783641161,0.4394222774128161,0.5555844308819549,0,0,15918,15919 days 00:00:00,1000.0,13463.875087585882,1246.3875087585882,5012.357483467352,100.0,3094.358867887915,48.613314905456065,2234 days 00:00:00,246,1,986.2794192283145,65.96413612565446,-18.548979591836726,5.953238151859106,-3.6464483697442027,47 days 16:41:15,27 days 01:13:13.220338983,46.65689296080309,0.38581310955548376,0.12635904429605352,1.0751042591822089,-0.08545530096020185,10.032256837249873,1.057440990959066,0.40206094768363576,-0.017949412240477434,None,None,0.00022607967302774138,0.05697207760299083,12.463875087586095,0.042017278616397924,0.17771792692016716,1.404781552469143,-0.7513370678628479,23055.833333333332,2.7757474061145118,1.8479228372919714,37 days 19:01:27.804878048
Most Total Trades,CVX,true,117,120,false,247,52.03252032520326,1.404781552469143,0.015454202789295138,1.3485104707648365,1.150268827521652,0.3258575197889182,0.6503957783641161,0.4394222774128161,0.5555844308819549,0,0,15918,15919 days 00:00:00,1000.0,13463.875087585882,1246.3875087585882,5012.357483467352,100.0,3094.358867887915,48.613314905456065,2234 days 00:00:00,246,1,986.2794192283145,65.96413612565446,-18.548979591836726,5.953238151859106,-3.6464483697442027,47 days 16:41:15,27 days 01:13:13.220338983,46.65689296080309,0.38581310955548376,0.12635904429605352,1.0751042591822089,-0.08545530096020185,10.032256837249873,1.057440990959066,0.40206094768363576,-0.017949412240477434,None,None,0.00022607967302774138,0.05697207760299083,12.463875087586095,0.042017278616397924,0.17771792692016716,1.404781552469143,-0.7513370678628479,23055.833333333332,2.7757474061145118,1.8479228372919714,37 days 19:01:27.804878048
Most Avg Losing Trade [%],CVX,true,117,120,false,247,52.03252032520326,1.404781552469143,0.015454202789295138,1.3485104707648365,1.150268827521652,0.3258575197889182,0.6503957783641161,0.4394222774128161,0.5555844308819549,0,0,15918,15919 days 00:00:00,1000.0,13463.875087585882,1246.3875087585882,5012.357483467352,100.0,3094.358867887915,48.613314905456065,2234 days 00:00:00,246,1,986.2794192283145,65.96413612565446,-18.548979591836726,5.953238151859106,-3.6464483697442027,47 days 16:41:15,27 days 01:13:13.220338983,46.65689296080309,0.38581310955548376,0.12635904429605352,1.0751042591822089,-0.08545530096020185,10.032256837249873,1.057440990959066,0.40206094768363576,-0.017949412240477434,None,None,0.00022607967302774138,0.05697207760299083,12.463875087586095,0.042017278616397924,0.17771792692016716,1.404781552469143,-0.7513370678628479,23055.833333333332,2.7757474061145118,1.8479228372919714,37 days 19:01:27.804878048
Most Sharpe Ratio,CVX,true,117,120,false,247,52.03252032520326,1.404781552469143,0.015454202789295138,1.3485104707648365,1.150268827521652,0.3258575197889182,0.6503957783641161,0.4394222774128161,0.5555844308819549,0,0,15918,15919 days 00:00:00,1000.0,13463.875087585882,1246.3875087585882,5012.357483467352,100.0,3094.358867887915,48.613314905456065,2234 days 00:00:00,246,1,986.2794192283145,65.96413612565446,-18.548979591836726,5.953238151859106,-3.6464483697442027,47 days 16:41:15,27 days 01:13:13.220338983,46.65689296080309,0.38581310955548376,0.12635904429605352,1.0751042591822089,-0.08545530096020185,10.032256837249873,1.057440990959066,0.40206094768363576,-0.017949412240477434,None,None,0.00022607967302774138,0.05697207760299083,12.463875087586095,0.042017278616397924,0.17771792692016716,1.404781552469143,-0.7513370678628479,23055.833333333332,2.7757474061145118,1.8479228372919714,37 days 19:01:27.804878048
Most Omega Ratio,CVX,true,117,120,false,247,52.03252032520326,1.404781552469143,0.015454202789295138,1.3485104707648365,1.150268827521652,0.3258575197889182,0.6503957783641161,0.4394222774128161,0.5555844308819549,0,0,15918,15919 days 00:00:00,1000.0,13463.875087585882,1246.3875087585882,5012.357483467352,100.0,3094.358867887915,48.613314905456065,2234 days 00:00:00,246,1,986.2794192283145,65.96413612565446,-18.548979591836726,5.953238151859106,-3.6464483697442027,47 days 16:41:15,27 days 01:13:13.220338983,46.65689296080309,0.38581310955548376,0.12635904429605352,1.0751042591822089,-0.08545530096020185,10.032256837249873,1.057440990959066,0.40206094768363576,-0.017949412240477434,None,None,0.00022607967302774138,0.05697207760299083,12.463875087586095,0.042017278616397924,0.17771792692016716,1.404781552469143,-0.7513370678628479,23055.833333333332,2.7757474061145118,1.8479228372919714,37 days 19:01:27.804878048
Most Sortino Ratio,CVX,true,117,120,false,247,52.03252032520326,1.404781552469143,0.015454202789295138,1.3485104707648365,1.150268827521652,0.3258575197889182,0.6503957783641161,0.4394222774128161,0.5555844308819549,0,0,15918,15919 days 00:00:00,1000.0,13463.875087585882,1246.3875087585882,5012.357483467352,100.0,3094.358867887915,48.613314905456065,2234 days 00:00:00,246,1,986.2794192283145,65.96413612565446,-18.548979591836726,5.953238151859106,-3.6464483697442027,47 days 16:41:15,27 days 01:13:13.220338983,46.65689296080309,0.38581310955548376,0.12635904429605352,1.0751042591822089,-0.08545530096020185,10.032256837249873,1.057440990959066,0.40206094768363576,-0.017949412240477434,None,None,0.00022607967302774138,0.05697207760299083,12.463875087586095,0.042017278616397924,0.17771792692016716,1.404781552469143,-0.7513370678628479,23055.833333333332,2.7757474061145118,1.8479228372919714,37 days 19:01:27.804878048
Least Max Drawdown Duration,CVX,true,117,120,false,247,52.03252032520326,1.404781552469143,0.015454202789295138,1.3485104707648365,1.150268827521652,0.3258575197889182,0.6503957783641161,0.4394222774128161,0.5555844308819549,0,0,15918,15919 days 00:00:00,1000.0,13463.875087585882,1246.3875087585882,5012.357483467352,100.0,3094.358867887915,48.613314905456065,2234 days 00:00:00,246,1,986.2794192283145,65.96413612565446,-18.548979591836726,5.953238151859106,-3.6464483697442027,47 days 16:41:15,27 days 01:13:13.220338983,46.65689296080309,0.38581310955548376,0.12635904429605352,1.0751042591822089,-0.08545530096020185,10.032256837249873,1.057440990959066,0.40206094768363576,-0.017949412240477434,None,None,0.00022607967302774138,0.05697207760299083,12.463875087586095,0.042017278616397924,0.17771792692016716,1.404781552469143,-0.7513370678628479,23055.833333333332,2.7757474061145118,1.8479228372919714,37 days 19:01:27.804878048
Least Avg Losing Trade Duration,CVX,true,117,120,false,247,52.03252032520326,1.404781552469143,0.015454202789295138,1.3485104707648365,1.150268827521652,0.3258575197889182,0.6503957783641161,0.4394222774128161,0.5555844308819549,0,0,15918,15919 days 00:00:00,1000.0,13463.875087585882,1246.3875087585882,5012.357483467352,100.0,3094.358867887915,48.613314905456065,2234 days 00:00:00,246,1,986.2794192283145,65.96413612565446,-18.548979591836726,5.953238151859106,-3.6464483697442027,47 days 16:41:15,27 days 01:13:13.220338983,46.65689296080309,0.38581310955548376,0.12635904429605352,1.0751042591822089,-0.08545530096020185,10.032256837249873,1.057440990959066,0.40206094768363576,-0.017949412240477434,None,None,0.00022607967302774138,0.05697207760299083,12.463875087586095,0.042017278616397924,0.17771792692016716,1.404781552469143,-0.7513370678628479,23055.833333333332,2.7757474061145118,1.8479228372919714,37 days 19:01:27.804878048
Least Avg Winning Trade [%],CVX,true,116,119,false,246,52.6530612244898,1.3865979749461927,0.015391380826737027,1.2730034442727463,1.0988119391849065,0.3245382585751979,0.6477572559366754,0.4131383209645061,0.5251338538450954,0,0,15918,15919 days 00:00:00,1000.0,11184.630931556127,1018.4630931556127,5012.357483467352,100.0,2563.295024937767,46.33896154774747,2329 days 00:00:00,245,1,792.7395885298156,64.83906250000001,-17.219705860203423,5.766442823551416,-3.7240110378561195,47 days 09:29:18.139534884,27 days 10:20:41.379310344,38.33425037969917,0.36569335510336176,0.12284074959776718,1.0709906915463043,-0.11657764263069677,9.799046130245356,1.058050338287291,0.4004574645904812,-0.018056379374233343,None,None,0.00021465670979438904,0.05409349086818604,10.184630931556116,0.03896239281104874,0.17802217466821965,1.3865979749461927,-0.7968095658550116,23055.833333333332,2.7701227855301975,1.741058601072062,37 days 22:37:42.857142856
