Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
Most Total Return [%],DASH-USD,false,21,35,21,55.00000000000001,1.9759803448587985,0.007437709185570844,14.545999565561065,3.787124147246668,0.23428783934548159,0.4574191149126069,3.407950809335616,1.5174879120946885,0,0,2689,2690 days 00:00:00,1000.0,12470.604900562743,1147.0604900562741,-92.85348563509174,100.0,297.17877456254865,53.889905119047256,783 days 00:00:00,20,1,3419.0539206422272,56.093642249355355,-17.139616305395776,34.15744924152312,-9.423550038392559,117 days 06:32:43.636363636,35 days 16:00:00,402.5775489960257,0.9538685889135512,0.7576757519611262,1.2181831257489146,1.0509475033164815,16.606892758601916,1.2039520144667988,0.46673936750272627,-0.03261359908319883,None,None,0.0012454662768455226,0.3138575017650717,11.470604900562792,0.26666878670415817,0.3959953878706196,13.353445669925074,80 days 13:11:59.999999999,false
Most Expectancy,DASH-USD,false,21,35,21,55.00000000000001,1.9759803448587985,0.007437709185570844,14.545999565561065,3.787124147246668,0.23428783934548159,0.4574191149126069,3.407950809335616,1.5174879120946885,0,0,2689,2690 days 00:00:00,1000.0,12470.604900562743,1147.0604900562741,-92.85348563509174,100.0,297.17877456254865,53.889905119047256,783 days 00:00:00,20,1,3419.0539206422272,56.093642249355355,-17.139616305395776,34.15744924152312,-9.423550038392559,117 days 06:32:43.636363636,35 days 16:00:00,402.5775489960257,0.9538685889135512,0.7576757519611262,1.2181831257489146,1.0509475033164815,16.606892758601916,1.2039520144667988,0.46673936750272627,-0.03261359908319883,None,None,0.0012454662768455226,0.3138575017650717,11.470604900562792,0.26666878670415817,0.3959953878706196,13.353445669925074,80 days 13:11:59.999999999,false
Most Sharpe Ratio,DASH-USD,false,21,35,21,55.00000000000001,1.9759803448587985,0.007437709185570844,14.545999565561065,3.787124147246668,0.23428783934548159,0.4574191149126069,3.407950809335616,1.5174879120946885,0,0,2689,2690 days 00:00:00,1000.0,12470.604900562743,1147.0604900562741,-92.85348563509174,100.0,297.17877456254865,53.889905119047256,783 days 00:00:00,20,1,3419.0539206422272,56.093642249355355,-17.139616305395776,34.15744924152312,-9.423550038392559,117 days 06:32:43.636363636,35 days 16:00:00,402.5775489960257,0.9538685889135512,0.7576757519611262,1.2181831257489146,1.0509475033164815,16.606892758601916,1.2039520144667988,0.46673936750272627,-0.03261359908319883,None,None,0.0012454662768455226,0.3138575017650717,11.470604900562792,0.26666878670415817,0.3959953878706196,13.353445669925074,80 days 13:11:59.999999999,false
Most Calmar Ratio,DASH-USD,false,21,35,21,55.00000000000001,1.9759803448587985,0.007437709185570844,14.545999565561065,3.787124147246668,0.23428783934548159,0.4574191149126069,3.407950809335616,1.5174879120946885,0,0,2689,2690 days 00:00:00,1000.0,12470.604900562743,1147.0604900562741,-92.85348563509174,100.0,297.17877456254865,53.889905119047256,783 days 00:00:00,20,1,3419.0539206422272,56.093642249355355,-17.139616305395776,34.15744924152312,-9.423550038392559,117 days 06:32:43.636363636,35 days 16:00:00,402.5775489960257,0.9538685889135512,0.7576757519611262,1.2181831257489146,1.0509475033164815,16.606892758601916,1.2039520144667988,0.46673936750272627,-0.03261359908319883,None,None,0.0012454662768455226,0.3138575017650717,11.470604900562792,0.26666878670415817,0.3959953878706196,13.353445669925074,80 days 13:11:59.999999999,false
Mean Calmar Ratio,DASH-USD,false,21,35,21,55.00000000000001,1.9759803448587985,0.007437709185570844,14.545999565561065,3.787124147246668,0.23428783934548159,0.4574191149126069,3.407950809335616,1.5174879120946885,0,0,2689,2690 days 00:00:00,1000.0,12470.604900562743,1147.0604900562741,-92.85348563509174,100.0,297.17877456254865,53.889905119047256,783 days 00:00:00,20,1,3419.0539206422272,56.093642249355355,-17.139616305395776,34.15744924152312,-9.423550038392559,117 days 06:32:43.636363636,35 days 16:00:00,402.5775489960257,0.9538685889135512,0.7576757519611262,1.2181831257489146,1.0509475033164815,16.606892758601916,1.2039520144667988,0.46673936750272627,-0.03261359908319883,None,None,0.0012454662768455226,0.3138575017650717,11.470604900562792,0.26666878670415817,0.3959953878706196,13.353445669925074,80 days 13:11:59.999999999,false
Median Worst Trade [%],DASH-USD,false,21,34,22,52.38095238095239,1.5591430448423202,0.007809594644849386,11.67712167518317,3.0401973592192872,0.24544440312383783,0.4797322424693194,2.8660841597697626,1.2476872294842825,0,0,2689,2690 days 00:00:00,1000.0,7625.831313562294,662.5831313562294,-92.85348563509174,100.0,229.40047982644387,61.0666302434778,785 days 00:00:00,21,1,2043.9238493056407,56.17871785043126,-34.29957044198046,32.57104008054178,-11.306188570711303,116 days 21:49:05.454545454,32 days 00:00:00,218.18606972650718,0.8089372225826219,0.5197496519590393,1.1829062173004088,0.6463946990042714,16.630823838970556,1.175964279405451,0.46354733405875953,-0.033037805056376046,None,None,0.0010769225223861516,0.2713844756413102,6.625831313562295,0.20963105153679162,0.40375353967420685,8.135791691871844,76 days 11:25:42.857142857,false
Mean Total Trades,DASH-USD,false,13,46,23,50.0,1.8827435607467635,0.008181480104127928,11.619449811647623,3.0251821994822214,0.2566009669021941,0.5020453700260319,2.981562056540297,1.367217547909489,0,0,2689,2690 days 00:00:00,1000.0,9099.882161998983,809.9882161998984,-92.85348563509174,100.0,237.29853807758732,60.46036006038368,816 days 00:00:00,22,1,2494.906063615319,57.31167476131611,-17.139616305395773,32.06465159114214,-8.825751967846891,118 days 21:49:05.454545454,29 days 08:43:38.181818182,254.77164083562099,0.8672596185051914,0.5778411449746855,1.1935469568450137,0.9169504550424705,14.647866541746401,1.1990983380396398,0.46994535519125674,-0.03304498304090535,None,None,0.001124570848969541,0.28339185394032435,8.099882161998964,0.22982341089462555,0.3932641872563951,9.723293591617015,74 days 03:16:21.818181818,false
Most Max Drawdown Duration,DASH-USD,false,8,12,70,42.028985507246375,1.3045460631648131,0.025660096690219413,4.214958270518628,2.725391077927318,0.7809594644849386,1.550762365191521,3.2917115537705905,1.1381286480091797,0,0,2689,2690 days 00:00:00,1000.0,6179.310677738331,517.9310677738331,-92.85348563509174,100.0,669.1889899824863,67.28833377298392,994 days 00:00:00,69,1,-6.1793106777383695,58.10523626335448,-34.418295881531755,21.17692830995916,-8.082470008075756,40 days 06:37:14.482758620,9 days 19:48:00,75.15202881762414,0.734600585536482,0.4166054526529396,1.1603864490182028,0.8083483641418693,15.022942981688002,1.2691261290930778,0.40763997906855043,-0.036237446673660065,None,None,0.0010380333506175164,0.26158440435561414,5.1793106777383615,0.1860295163395982,0.42855517075854016,6.577938881145173,22 days 14:57:23.478260869,false
Least Max Drawdown [%],DASH-USD,false,14,58,20,52.63157894736842,1.705306601548455,0.007065823726292302,11.261121250868669,2.6653541422174367,0.2231312755671253,0.43510598735589434,2.512708349022388,1.2249163735785815,0,0,2689,2690 days 00:00:00,1000.0,6214.416525843237,521.4416525843236,-92.85348563509174,100.0,168.1414079470638,51.36056787703376,785 days 00:00:00,19,1,1633.0495488095992,77.57721361166266,-18.615613776220584,30.76665627473175,-10.411695442312531,136 days 00:00:00,34 days 13:20:00,188.49299879124408,0.7697097332066966,0.5477186633938995,1.1688432182967474,1.20665977364054,16.68541669110651,1.1863287900319117,0.47721032399780333,-0.03353496897652745,None,None,0.0009573971304720834,0.241264076878965,5.214416525843231,0.18665912065945656,0.3772348834157362,6.615746668181697,87 days 22:44:12.631578947,false
Mean Omega Ratio,DASH-USD,false,9,10,71,42.25352112676056,1.268664002106461,0.026403867608776495,3.7956360497594472,2.467369046430843,0.7921160282632949,1.5842320565265897,3.0065841524684354,1.0580575000844008,0,0,2689,2690 days 00:00:00,1000.0,5111.105076876405,411.1105076876405,-92.85348563509174,100.0,591.5096219325432,73.1690359597309,1831 days 00:00:00,71,0,0.0,58.10523626335448,-34.41829588153178,20.278231904133364,-8.264799941245856,38 days 21:36:00,9 days 13:27:48.292682926,57.902888406709934,0.6821778791156351,0.3386355967902969,1.1481622270143281,0.8735521865332007,14.955532238674161,1.2604663830672096,0.40616832200731834,-0.03690864074494658,None,None,0.0009762322131032905,0.2460105177020292,4.111105076876407,0.16512864078678846,0.4340124664681426,5.427518308825567,21 days 22:59:09.295774646,false
