Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
Most Total Return [%],DASH-USD,true,43,44,112,51.78571428571429,0.7938783665378918,0.041604754829123326,0.31251375466589515,0.24898073860744396,1.2481426448736999,2.4962852897473997,0.3900617443081009,0.25210615734517167,0,0,2692,2693 days 00:00:00,1000.0,387.4478738108669,-61.25521261891331,-92.66612950181744,100.0,102.81005377360145,87.61202669711533,1418 days 00:00:00,112,0,0.0,88.09183872874868,-35.052351396963275,9.126590778722077,-9.154457863764822,9 days 17:47:35.172413793,10 days 16:53:20,-5.469215412402967,0.1697768170408079,-0.13764915240508857,1.0411589922549433,1.410906754919139,33.73238631420927,1.1402342219019084,0.2860553963705826,-0.05356063837159268,None,None,0.00033080565661263025,0.08336302546638283,-0.6125521261891336,-0.08490396889252783,0.5909370809726888,0.3389686938665985,10 days 04:55:42.857142856,false
Most Total Fees Paid,DASH-USD,true,43,44,112,51.78571428571429,0.7938783665378918,0.041604754829123326,0.31251375466589515,0.24898073860744396,1.2481426448736999,2.4962852897473997,0.3900617443081009,0.25210615734517167,0,0,2692,2693 days 00:00:00,1000.0,387.4478738108669,-61.25521261891331,-92.66612950181744,100.0,102.81005377360145,87.61202669711533,1418 days 00:00:00,112,0,0.0,88.09183872874868,-35.052351396963275,9.126590778722077,-9.154457863764822,9 days 17:47:35.172413793,10 days 16:53:20,-5.469215412402967,0.1697768170408079,-0.13764915240508857,1.0411589922549433,1.410906754919139,33.73238631420927,1.1402342219019084,0.2860553963705826,-0.05356063837159268,None,None,0.00033080565661263025,0.08336302546638283,-0.6125521261891336,-0.08490396889252783,0.5909370809726888,0.3389686938665985,10 days 04:55:42.857142856,false
Mean Max Drawdown [%],DASH-USD,true,43,44,112,51.78571428571429,0.7938783665378918,0.041604754829123326,0.31251375466589515,0.24898073860744396,1.2481426448736999,2.4962852897473997,0.3900617443081009,0.25210615734517167,0,0,2692,2693 days 00:00:00,1000.0,387.4478738108669,-61.25521261891331,-92.66612950181744,100.0,102.81005377360145,87.61202669711533,1418 days 00:00:00,112,0,0.0,88.09183872874868,-35.052351396963275,9.126590778722077,-9.154457863764822,9 days 17:47:35.172413793,10 days 16:53:20,-5.469215412402967,0.1697768170408079,-0.13764915240508857,1.0411589922549433,1.410906754919139,33.73238631420927,1.1402342219019084,0.2860553963705826,-0.05356063837159268,None,None,0.00033080565661263025,0.08336302546638283,-0.6125521261891336,-0.08490396889252783,0.5909370809726888,0.3389686938665985,10 days 04:55:42.857142856,false
Median Max Drawdown [%],DASH-USD,true,43,44,112,51.78571428571429,0.7938783665378918,0.041604754829123326,0.31251375466589515,0.24898073860744396,1.2481426448736999,2.4962852897473997,0.3900617443081009,0.25210615734517167,0,0,2692,2693 days 00:00:00,1000.0,387.4478738108669,-61.25521261891331,-92.66612950181744,100.0,102.81005377360145,87.61202669711533,1418 days 00:00:00,112,0,0.0,88.09183872874868,-35.052351396963275,9.126590778722077,-9.154457863764822,9 days 17:47:35.172413793,10 days 16:53:20,-5.469215412402967,0.1697768170408079,-0.13764915240508857,1.0411589922549433,1.410906754919139,33.73238631420927,1.1402342219019084,0.2860553963705826,-0.05356063837159268,None,None,0.00033080565661263025,0.08336302546638283,-0.6125521261891336,-0.08490396889252783,0.5909370809726888,0.3389686938665985,10 days 04:55:42.857142856,false
Most Total Trades,DASH-USD,true,43,44,112,51.78571428571429,0.7938783665378918,0.041604754829123326,0.31251375466589515,0.24898073860744396,1.2481426448736999,2.4962852897473997,0.3900617443081009,0.25210615734517167,0,0,2692,2693 days 00:00:00,1000.0,387.4478738108669,-61.25521261891331,-92.66612950181744,100.0,102.81005377360145,87.61202669711533,1418 days 00:00:00,112,0,0.0,88.09183872874868,-35.052351396963275,9.126590778722077,-9.154457863764822,9 days 17:47:35.172413793,10 days 16:53:20,-5.469215412402967,0.1697768170408079,-0.13764915240508857,1.0411589922549433,1.410906754919139,33.73238631420927,1.1402342219019084,0.2860553963705826,-0.05356063837159268,None,None,0.00033080565661263025,0.08336302546638283,-0.6125521261891336,-0.08490396889252783,0.5909370809726888,0.3389686938665985,10 days 04:55:42.857142856,false
Mean Win Rate [%],DASH-USD,true,43,44,112,51.78571428571429,0.7938783665378918,0.041604754829123326,0.31251375466589515,0.24898073860744396,1.2481426448736999,2.4962852897473997,0.3900617443081009,0.25210615734517167,0,0,2692,2693 days 00:00:00,1000.0,387.4478738108669,-61.25521261891331,-92.66612950181744,100.0,102.81005377360145,87.61202669711533,1418 days 00:00:00,112,0,0.0,88.09183872874868,-35.052351396963275,9.126590778722077,-9.154457863764822,9 days 17:47:35.172413793,10 days 16:53:20,-5.469215412402967,0.1697768170408079,-0.13764915240508857,1.0411589922549433,1.410906754919139,33.73238631420927,1.1402342219019084,0.2860553963705826,-0.05356063837159268,None,None,0.00033080565661263025,0.08336302546638283,-0.6125521261891336,-0.08490396889252783,0.5909370809726888,0.3389686938665985,10 days 04:55:42.857142856,false
Median Win Rate [%],DASH-USD,true,43,44,112,51.78571428571429,0.7938783665378918,0.041604754829123326,0.31251375466589515,0.24898073860744396,1.2481426448736999,2.4962852897473997,0.3900617443081009,0.25210615734517167,0,0,2692,2693 days 00:00:00,1000.0,387.4478738108669,-61.25521261891331,-92.66612950181744,100.0,102.81005377360145,87.61202669711533,1418 days 00:00:00,112,0,0.0,88.09183872874868,-35.052351396963275,9.126590778722077,-9.154457863764822,9 days 17:47:35.172413793,10 days 16:53:20,-5.469215412402967,0.1697768170408079,-0.13764915240508857,1.0411589922549433,1.410906754919139,33.73238631420927,1.1402342219019084,0.2860553963705826,-0.05356063837159268,None,None,0.00033080565661263025,0.08336302546638283,-0.6125521261891336,-0.08490396889252783,0.5909370809726888,0.3389686938665985,10 days 04:55:42.857142856,false
Median Best Trade [%],DASH-USD,true,43,44,112,51.78571428571429,0.7938783665378918,0.041604754829123326,0.31251375466589515,0.24898073860744396,1.2481426448736999,2.4962852897473997,0.3900617443081009,0.25210615734517167,0,0,2692,2693 days 00:00:00,1000.0,387.4478738108669,-61.25521261891331,-92.66612950181744,100.0,102.81005377360145,87.61202669711533,1418 days 00:00:00,112,0,0.0,88.09183872874868,-35.052351396963275,9.126590778722077,-9.154457863764822,9 days 17:47:35.172413793,10 days 16:53:20,-5.469215412402967,0.1697768170408079,-0.13764915240508857,1.0411589922549433,1.410906754919139,33.73238631420927,1.1402342219019084,0.2860553963705826,-0.05356063837159268,None,None,0.00033080565661263025,0.08336302546638283,-0.6125521261891336,-0.08490396889252783,0.5909370809726888,0.3389686938665985,10 days 04:55:42.857142856,false
Most Worst Trade [%],DASH-USD,true,43,44,112,51.78571428571429,0.7938783665378918,0.041604754829123326,0.31251375466589515,0.24898073860744396,1.2481426448736999,2.4962852897473997,0.3900617443081009,0.25210615734517167,0,0,2692,2693 days 00:00:00,1000.0,387.4478738108669,-61.25521261891331,-92.66612950181744,100.0,102.81005377360145,87.61202669711533,1418 days 00:00:00,112,0,0.0,88.09183872874868,-35.052351396963275,9.126590778722077,-9.154457863764822,9 days 17:47:35.172413793,10 days 16:53:20,-5.469215412402967,0.1697768170408079,-0.13764915240508857,1.0411589922549433,1.410906754919139,33.73238631420927,1.1402342219019084,0.2860553963705826,-0.05356063837159268,None,None,0.00033080565661263025,0.08336302546638283,-0.6125521261891336,-0.08490396889252783,0.5909370809726888,0.3389686938665985,10 days 04:55:42.857142856,false
Most Avg Losing Trade [%],DASH-USD,true,43,44,112,51.78571428571429,0.7938783665378918,0.041604754829123326,0.31251375466589515,0.24898073860744396,1.2481426448736999,2.4962852897473997,0.3900617443081009,0.25210615734517167,0,0,2692,2693 days 00:00:00,1000.0,387.4478738108669,-61.25521261891331,-92.66612950181744,100.0,102.81005377360145,87.61202669711533,1418 days 00:00:00,112,0,0.0,88.09183872874868,-35.052351396963275,9.126590778722077,-9.154457863764822,9 days 17:47:35.172413793,10 days 16:53:20,-5.469215412402967,0.1697768170408079,-0.13764915240508857,1.0411589922549433,1.410906754919139,33.73238631420927,1.1402342219019084,0.2860553963705826,-0.05356063837159268,None,None,0.00033080565661263025,0.08336302546638283,-0.6125521261891336,-0.08490396889252783,0.5909370809726888,0.3389686938665985,10 days 04:55:42.857142856,false
