Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
Median Total Return [%],DTE,true,61,89,false,109,50.92592592592593,1.4612073763275646,0.006785624528776075,2.3759909349432595,1.9835989894031463,0.14381754209600403,0.28631565720030155,0.3417091763059262,0.4523509798887696,0,0,15916,15917 days 00:00:00,1000.0,5854.94632085378,485.494632085378,428.29548416733536,100.0,715.7753993560074,48.09677381675236,2502 days 00:00:00,108,1,192.83830277440575,83.35272416418111,-36.239069975935095,9.781146013754741,-5.308603958162996,116 days 08:43:38.181818182,45 days 18:33:57.735849056,43.167666834068314,0.32421423204696853,0.08599093513243725,1.0679400634855254,-0.4794344891231495,25.310849991847427,0.9912756914582027,0.33386407441548643,-0.013597245647328565,None,None,0.00015052045217252053,0.03793115394747517,4.854946320853802,0.028375027610929138,0.14080242731468368,0.13355066778078584,81 days 17:20:00
Median Omega Ratio,DTE,true,61,89,false,109,50.92592592592593,1.4612073763275646,0.006785624528776075,2.3759909349432595,1.9835989894031463,0.14381754209600403,0.28631565720030155,0.3417091763059262,0.4523509798887696,0,0,15916,15917 days 00:00:00,1000.0,5854.94632085378,485.494632085378,428.29548416733536,100.0,715.7753993560074,48.09677381675236,2502 days 00:00:00,108,1,192.83830277440575,83.35272416418111,-36.239069975935095,9.781146013754741,-5.308603958162996,116 days 08:43:38.181818182,45 days 18:33:57.735849056,43.167666834068314,0.32421423204696853,0.08599093513243725,1.0679400634855254,-0.4794344891231495,25.310849991847427,0.9912756914582027,0.33386407441548643,-0.013597245647328565,None,None,0.00015052045217252053,0.03793115394747517,4.854946320853802,0.028375027610929138,0.14080242731468368,0.13355066778078584,81 days 17:20:00
Mean Total Fees Paid,DTE,true,65,83,false,123,52.459016393442624,1.614877172586121,0.007665242523247047,2.2773875054077055,1.958516532465643,0.16228951997989444,0.3232596129680824,0.3695961250608258,0.5030449107480102,0,0,15916,15917 days 00:00:00,1000.0,7584.160670876811,658.4160670876812,428.29548416733536,100.0,808.4612080559981,45.64202688793513,2809 days 00:00:00,122,1,169.18824547128588,83.35272416418111,-36.16729288127231,8.697412667107685,-4.806778190261237,99 days 03:45:00,42 days 09:31:02.068965517,52.58174119184851,0.35907322735177305,0.10419509791560932,1.0756165434801745,-0.44936334429017716,25.348810764080653,1.0022177226506213,0.33408767077361495,-0.013394364512832418,None,None,0.00016683446937830568,0.04204228628333303,6.584160670876831,0.03259688262584537,0.1409124811321528,0.5372939744338691,72 days 04:07:52.131147540
Least Total Trades,DTE,true,60,89,false,105,50.96153846153846,1.4084250563783283,0.006534305101784368,2.291819346383106,1.9146662256983702,0.13853983412917817,0.2757602412666499,0.31750827210195703,0.4145740519691303,0,0,15916,15917 days 00:00:00,1000.0,4831.195204516101,383.1195204516101,428.29548416733536,100.0,576.3527377456357,49.38531271197111,2804 days 00:00:00,104,1,159.12007259442817,83.35272416418113,-36.23906997593508,10.077390073327411,-5.799067879657054,115 days 12:13:35.094339622,52 days 22:07:03.529411765,35.30841473001611,0.29786024578623976,0.0744744112485314,1.0623722886106182,-0.4946549666238312,25.206269877785303,0.9842017510508727,0.3336405529953917,-0.013627948754010947,None,None,0.0001386674380737253,0.03494419439457878,3.831195204516124,0.02525061992135469,0.1411915321321375,-0.10547849647201744,84 days 19:36:55.384615384
Most Avg Winning Trade [%],DTE,true,60,89,false,105,50.96153846153846,1.4084250563783283,0.006534305101784368,2.291819346383106,1.9146662256983702,0.13853983412917817,0.2757602412666499,0.31750827210195703,0.4145740519691303,0,0,15916,15917 days 00:00:00,1000.0,4831.195204516101,383.1195204516101,428.29548416733536,100.0,576.3527377456357,49.38531271197111,2804 days 00:00:00,104,1,159.12007259442817,83.35272416418113,-36.23906997593508,10.077390073327411,-5.799067879657054,115 days 12:13:35.094339622,52 days 22:07:03.529411765,35.30841473001611,0.29786024578623976,0.0744744112485314,1.0623722886106182,-0.4946549666238312,25.206269877785303,0.9842017510508727,0.3336405529953917,-0.013627948754010947,None,None,0.0001386674380737253,0.03494419439457878,3.831195204516124,0.02525061992135469,0.1411915321321375,-0.10547849647201744,84 days 19:36:55.384615384
Most Avg Losing Trade Duration,DTE,true,60,89,false,105,50.96153846153846,1.4084250563783283,0.006534305101784368,2.291819346383106,1.9146662256983702,0.13853983412917817,0.2757602412666499,0.31750827210195703,0.4145740519691303,0,0,15916,15917 days 00:00:00,1000.0,4831.195204516101,383.1195204516101,428.29548416733536,100.0,576.3527377456357,49.38531271197111,2804 days 00:00:00,104,1,159.12007259442817,83.35272416418113,-36.23906997593508,10.077390073327411,-5.799067879657054,115 days 12:13:35.094339622,52 days 22:07:03.529411765,35.30841473001611,0.29786024578623976,0.0744744112485314,1.0623722886106182,-0.4946549666238312,25.206269877785303,0.9842017510508727,0.3336405529953917,-0.013627948754010947,None,None,0.0001386674380737253,0.03494419439457878,3.831195204516124,0.02525061992135469,0.1411915321321375,-0.10547849647201744,84 days 19:36:55.384615384
Most Profit Factor,DTE,true,64,81,false,132,52.67175572519084,1.6425852421786675,0.008230711233978387,2.2144971809967253,1.9121549929767745,0.17416436290525258,0.34700929881879866,0.3856864906837725,0.5330450764778248,0,0,15916,15917 days 00:00:00,1000.0,8780.223433518277,778.0223433518278,428.29548416733536,100.0,952.5134692485574,45.38571488338518,2793 days 00:00:00,131,1,285.96716386377557,84.26090072743966,-36.23906997593508,8.243046933281393,-4.494695285255566,92 days 10:05:13.043478261,39 days 06:34:50.322580645,57.208063127133585,0.37964949570581047,0.11254741195531366,1.07983635272073,-0.42272548314431146,25.279322173586532,1.004480088986594,0.3354308247336186,-0.01338258623940835,None,None,0.0001757320905934669,0.04428448682955366,7.780223433518232,0.03499368991248519,0.1403831395858242,0.8165550936508448,67 days 06:24:43.969465648
Most Expectancy,DTE,true,64,81,false,132,52.67175572519084,1.6425852421786675,0.008230711233978387,2.2144971809967253,1.9121549929767745,0.17416436290525258,0.34700929881879866,0.3856864906837725,0.5330450764778248,0,0,15916,15917 days 00:00:00,1000.0,8780.223433518277,778.0223433518278,428.29548416733536,100.0,952.5134692485574,45.38571488338518,2793 days 00:00:00,131,1,285.96716386377557,84.26090072743966,-36.23906997593508,8.243046933281393,-4.494695285255566,92 days 10:05:13.043478261,39 days 06:34:50.322580645,57.208063127133585,0.37964949570581047,0.11254741195531366,1.07983635272073,-0.42272548314431146,25.279322173586532,1.004480088986594,0.3354308247336186,-0.01338258623940835,None,None,0.0001757320905934669,0.04428448682955366,7.780223433518232,0.03499368991248519,0.1403831395858242,0.8165550936508448,67 days 06:24:43.969465648
Least Win Rate [%],DTE,true,62,85,false,113,50.0,1.4705871199134861,0.007036943955767781,2.3260161357613724,1.9065706030830922,0.14909525006282986,0.2968710731339532,0.34679795741151903,0.4582146272793298,0,0,15916,15917 days 00:00:00,1000.0,6010.697514434592,501.0697514434592,428.29548416733536,100.0,717.221983710649,46.51513327359712,2472 days 00:00:00,112,1,166.68883910935347,84.26090072743966,-36.239069975935074,9.827557364473147,-5.175525092950402,112 days 23:08:34.285714286,43 days 23:34:17.142857142,43.250077458261046,0.32803920005076537,0.09026308852880564,1.0687566696823634,-0.46071295880218294,25.22700348548101,0.9937231742517204,0.33274721594239304,-0.013597245647328532,None,None,0.00015202431159959412,0.03831012652309772,5.010697514434625,0.02880256699153838,0.14055102073290754,0.16991602752386456,78 days 11:21:25.714285714
Median Avg Losing Trade [%],DTE,true,64,80,false,134,53.383458646616546,1.56765500422131,0.00835637094747424,2.101756293605679,1.8393281997535216,0.1768032168886655,0.3522870067856245,0.3715972738254825,0.5116108059031447,0,0,15916,15917 days 00:00:00,1000.0,7886.36493366685,688.636493366685,428.29548416733536,100.0,904.9256549577246,44.99027439439323,2812 days 00:00:00,133,1,256.8546723613108,84.26090072743968,-36.23906997593509,8.052065845187894,-4.712307870302987,89 days 21:17:44.788732394,39 days 01:56:07.741935483,49.84594181432733,0.36482795288764736,0.10779173111041716,1.076617037904069,-0.43058078538043104,25.200789199579745,1.0020053492627325,0.33531879194630876,-0.013492650223202547,None,None,0.0001690892158761163,0.04261048240078131,6.886364933666862,0.033235859636800535,0.14056412920548436,0.607853733749932,66 days 04:52:19.849624059
