Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Total Return [%],EQIX,false,11,79,48,46.808510638297875,2.4893481697831183,7.628631715630579,694.2965894126296,350.6548431376917,0.16360980360331115,1,113.59372863624908,1.1913902797435318,0,0,6161,6162 days 00:00:00,1000.0,39401.41226385228,3840.141226385228,124.67619396391373,100.0,1466.691950032208,56.80473406171852,1088 days 00:00:00,47,1,5769.472561458679,473.9437390004401,-20.75555555555555,41.67691115112485,-7.420711332524419,144 days 15:16:21.818181818,23 days 17:16:48,0.736898596349985,0.4279698998212115,1.1790451503420702,29.800917996395672,80 days 07:39:34.468085106,0
Least Max Drawdown [%],EQIX,false,11,79,48,46.808510638297875,2.4893481697831183,7.628631715630579,694.2965894126296,350.6548431376917,0.16360980360331115,1,113.59372863624908,1.1913902797435318,0,0,6161,6162 days 00:00:00,1000.0,39401.41226385228,3840.141226385228,124.67619396391373,100.0,1466.691950032208,56.80473406171852,1088 days 00:00:00,47,1,5769.472561458679,473.9437390004401,-20.75555555555555,41.67691115112485,-7.420711332524419,144 days 15:16:21.818181818,23 days 17:16:48,0.736898596349985,0.4279698998212115,1.1790451503420702,29.800917996395672,80 days 07:39:34.468085106,0
Most Worst Trade [%],EQIX,false,11,79,48,46.808510638297875,2.4893481697831183,7.628631715630579,694.2965894126296,350.6548431376917,0.16360980360331115,1,113.59372863624908,1.1913902797435318,0,0,6161,6162 days 00:00:00,1000.0,39401.41226385228,3840.141226385228,124.67619396391373,100.0,1466.691950032208,56.80473406171852,1088 days 00:00:00,47,1,5769.472561458679,473.9437390004401,-20.75555555555555,41.67691115112485,-7.420711332524419,144 days 15:16:21.818181818,23 days 17:16:48,0.736898596349985,0.4279698998212115,1.1790451503420702,29.800917996395672,80 days 07:39:34.468085106,0
Most Sharpe Ratio,EQIX,false,11,79,48,46.808510638297875,2.4893481697831183,7.628631715630579,694.2965894126296,350.6548431376917,0.16360980360331115,1,113.59372863624908,1.1913902797435318,0,0,6161,6162 days 00:00:00,1000.0,39401.41226385228,3840.141226385228,124.67619396391373,100.0,1466.691950032208,56.80473406171852,1088 days 00:00:00,47,1,5769.472561458679,473.9437390004401,-20.75555555555555,41.67691115112485,-7.420711332524419,144 days 15:16:21.818181818,23 days 17:16:48,0.736898596349985,0.4279698998212115,1.1790451503420702,29.800917996395672,80 days 07:39:34.468085106,0
Most Calmar Ratio,EQIX,false,11,79,48,46.808510638297875,2.4893481697831183,7.628631715630579,694.2965894126296,350.6548431376917,0.16360980360331115,1,113.59372863624908,1.1913902797435318,0,0,6161,6162 days 00:00:00,1000.0,39401.41226385228,3840.141226385228,124.67619396391373,100.0,1466.691950032208,56.80473406171852,1088 days 00:00:00,47,1,5769.472561458679,473.9437390004401,-20.75555555555555,41.67691115112485,-7.420711332524419,144 days 15:16:21.818181818,23 days 17:16:48,0.736898596349985,0.4279698998212115,1.1790451503420702,29.800917996395672,80 days 07:39:34.468085106,0
Most Sortino Ratio,EQIX,false,11,79,48,46.808510638297875,2.4893481697831183,7.628631715630579,694.2965894126296,350.6548431376917,0.16360980360331115,1,113.59372863624908,1.1913902797435318,0,0,6161,6162 days 00:00:00,1000.0,39401.41226385228,3840.141226385228,124.67619396391373,100.0,1466.691950032208,56.80473406171852,1088 days 00:00:00,47,1,5769.472561458679,473.9437390004401,-20.75555555555555,41.67691115112485,-7.420711332524419,144 days 15:16:21.818181818,23 days 17:16:48,0.736898596349985,0.4279698998212115,1.1790451503420702,29.800917996395672,80 days 07:39:34.468085106,0
Most Omega Ratio,EQIX,false,11,78,48,46.808510638297875,2.3982401719749893,7.628631715630579,691.0605781460084,349.0204940131356,0.16360980360331115,1,113.06428546845909,1.1907003743301965,0,0,6161,6162 days 00:00:00,1000.0,39214.45388075925,3821.4453880759243,124.67619396391373,100.0,1490.9382264782707,56.80473406171852,1088 days 00:00:00,47,1,5734.606707896848,473.9437390004401,-20.75555555555555,41.87081454129704,-7.521150700658538,144 days 12:00:00,23 days 16:19:12,0.7363225636373733,0.4273534473657201,1.179048947532274,29.650962838839973,80 days 05:37:01.276595744,0
Mean Total Trades,EQIX,false,13,71,47,47.82608695652174,2.2752538398681117,7.466320402532056,676.8116082407029,341.8240445660116,0.16020126602824217,1,108.42607650277125,1.1816080389639394,0,0,6161,6162 days 00:00:00,1000.0,37645.7245917152,3664.57245917152,124.67619396391373,100.0,1518.1412362719036,56.80473406171852,1088 days 00:00:00,46,1,5512.390612642877,554.4621742282156,-20.75555555555555,45.089823558438255,-8.096138673568843,144 days 00:00:00,24 days 06:00:00,0.7293540889513135,0.42206918024113277,1.1780762670086948,28.392719994582077,81 days 12:31:18.260869565,0
Most Best Trade [%],EQIX,false,24,46,51,48.0,2.0487718702241624,8.115565654926147,426.71607771706334,235.10527697909822,0.1738354163285181,1,74.17836702401799,1.0506981334341048,0,0,6161,6162 days 00:00:00,1000.0,22325.3197580385,2132.53197580385,124.67619396391373,100.0,1171.553428435778,65.85115777640831,1088 days 00:00:00,50,1,-10.484127814666863,644.3928728054989,-25.888572886817318,45.478027563119156,-9.455861826807267,133 days 19:00:00,23 days 19:23:04.615384615,0.6522558949746441,0.30671134672495,1.1592724869489162,16.10456429573949,76 days 14:23:59.999999999,0
Median Max Drawdown [%],EQIX,false,58,86,22,57.14285714285714,5.166318045722788,3.408537575068982,798.1005627408467,219.86241397819464,0.07498782665151761,1,59.84782664928927,1.0014109499292954,0,0,6161,6162 days 00:00:00,1000.0,20440.255914465506,1944.0255914465506,124.67619396391373,100.0,277.2286802384742,68.63905600917785,582 days 00:00:00,21,1,2680.144096907723,342.8106556931334,-25.285022026431715,57.97902322952242,-14.174073483004213,295 days 00:00:00,48 days 10:40:00,0.640521123548199,0.2851272288056578,1.146341548631415,14.592596546612814,189 days 07:59:59.999999999,0
Most Win Rate [%],EQIX,false,58,86,22,57.14285714285714,5.166318045722788,3.408537575068982,798.1005627408467,219.86241397819464,0.07498782665151761,1,59.84782664928927,1.0014109499292954,0,0,6161,6162 days 00:00:00,1000.0,20440.255914465506,1944.0255914465506,124.67619396391373,100.0,277.2286802384742,68.63905600917785,582 days 00:00:00,21,1,2680.144096907723,342.8106556931334,-25.285022026431715,57.97902322952242,-14.174073483004213,295 days 00:00:00,48 days 10:40:00,0.640521123548199,0.2851272288056578,1.146341548631415,14.592596546612814,189 days 07:59:59.999999999,0
Most Expectancy,EQIX,false,58,86,22,57.14285714285714,5.166318045722788,3.408537575068982,798.1005627408467,219.86241397819464,0.07498782665151761,1,59.84782664928927,1.0014109499292954,0,0,6161,6162 days 00:00:00,1000.0,20440.255914465506,1944.0255914465506,124.67619396391373,100.0,277.2286802384742,68.63905600917785,582 days 00:00:00,21,1,2680.144096907723,342.8106556931334,-25.285022026431715,57.97902322952242,-14.174073483004213,295 days 00:00:00,48 days 10:40:00,0.640521123548199,0.2851272288056578,1.146341548631415,14.592596546612814,189 days 07:59:59.999999999,0
Mean Win Rate [%],EQIX,false,13,63,55,44.44444444444444,1.9286316944038955,8.76481090732024,397.7588934726052,219.15090549454834,0.18746956662879405,1,74.56768738205795,1.0558163707049233,0,0,6161,6162 days 00:00:00,1000.0,22627.735585346152,2162.773558534615,124.67619396391373,100.0,1306.1532114119161,62.28135421209172,1316 days 00:00:00,54,1,148.7553378254779,594.2050442334605,-20.75555555555555,43.83415402863854,-8.296661016705162,133 days 10:00:00,21 days 12:48:00,0.6547007280134143,0.3258299663300967,1.1596420820010929,16.347125299322244,71 days 06:13:20,0
Most Profit Factor,EQIX,false,62,81,23,54.54545454545454,5.296905179317765,3.5708488881675056,765.6890458464543,210.9336214453042,0.07839636422658659,1,60.027237322486194,0.9998162329510325,0,0,6161,6162 days 00:00:00,1000.0,20276.967392783732,1927.6967392783731,124.67619396391373,100.0,283.5973248920449,68.63905600917785,582 days 00:00:00,22,1,2431.8083841617336,342.8106556931334,-25.285022026431715,58.50814922984924,-12.947297924903303,294 days 12:00:00,43 days 21:36:00,0.639419175550293,0.2842997975903943,1.1462050735791587,14.461626458025544,180 days 14:10:54.545454545,0
Median Worst Trade [%],EQIX,false,30,50,41,47.5,2.0213204869682566,6.492452523940918,449.68363325652166,196.14299889517704,0.13975004057782828,1,62.84330599478415,1.04055306039194,0,0,6161,6162 days 00:00:00,1000.0,22026.678661155725,2102.6678661155725,124.67619396391373,100.0,883.5261598751404,58.28402606860191,862 days 00:00:00,40,1,3039.3333308948677,473.9437390004401,-27.0453744493392,46.23673023086262,-9.584099583617325,156 days 12:37:53.684210526,36 days 12:34:17.142857143,0.6516132136045985,0.344887861951135,1.1568995932293622,15.865030919408468,93 days 12:36:00,0
Mean Max Drawdown [%],EQIX,false,9,74,59,41.37931034482759,2.0050785811610776,9.414056159714333,351.9516298609603,193.91274372504697,0.20110371692906998,1,70.77878094428337,1.0428135651294868,0,0,6161,6162 days 00:00:00,1000.0,21839.875796192493,2083.9875796192496,124.67619396391373,100.0,1240.8658728763257,68.03712213537662,1088 days 00:00:00,58,1,426.68126425678565,536.5989305521025,-28.09999985501571,43.02503617283053,-7.93402266810285,135 days 16:00:00,18 days 04:14:07.058823529,0.6522292195535583,0.2945579947225612,1.1572218663283809,15.715200499482995,66 days 19:02:04.137931034,0
Mean Worst Trade [%],EQIX,false,7,83,62,39.34426229508197,1.9379386629252096,9.900990099009901,347.70624582765754,191.5736891612438,0.2113293296542769,1,73.48052784736407,1.0872384394370525,0,0,6161,6162 days 00:00:00,1000.0,26014.34207236836,2501.434207236836,124.67619396391373,100.0,1475.0388364995008,69.76774263652852,1088 days 00:00:00,61,1,3804.2610768812374,554.2449953399534,-29.900003479622438,42.31150479042973,-6.716215669027104,134 days 17:00:00,14 days 05:50:16.216216216,0.6824133777903506,0.30517033374956176,1.1632213721060125,19.063446979788708,61 days 15:20:39.344262295,0
Median Total Trades,EQIX,false,18,81,38,45.94594594594595,2.2046695402796455,6.00551858464535,481.0894055306454,187.7529819564043,0.12952442785262133,1,62.312829997314566,1.039821164193884,0,0,6161,6162 days 00:00:00,1000.0,21809.701985503158,2080.9701985503157,124.67619396391373,100.0,766.7789174323128,58.28402606860191,1088 days 00:00:00,37,1,3009.393980869274,452.4897317068918,-20.88414096916299,48.49463353052901,-9.013089412942888,180 days 04:14:07.058823530,37 days 00:00:00,0.6503762856505743,0.3436798966286767,1.1547968534140538,15.690998757570604,102 days 18:48:38.918918920,0
Median Win Rate [%],EQIX,false,28,53,41,45.0,1.9446971561013764,6.492452523940918,445.7601948934279,184.19842764191233,0.13975004057782828,1,62.2950053243372,1.0393993458332582,0,0,6161,6162 days 00:00:00,1000.0,21844.619896083444,2084.4619896083445,124.67619396391373,100.0,897.02910083568,58.28402606860191,862 days 00:00:00,40,1,3014.212100346318,470.6759149641002,-22.056469163821436,48.72371693720317,-9.288765319352345,161 days 13:19:59.999999998,38 days 00:00:00,0.6504544258732785,0.3438750548683788,1.1564364546191763,15.719005636406186,93 days 14:23:59.999999999,0
Mean Expectancy,EQIX,false,13,60,58,42.10526315789473,1.8199414020221565,9.251744846615809,307.67053685205576,169.51544730140813,0.197695179354001,1,60.824981964908936,1.0060911216489918,0,0,6161,6162 days 00:00:00,1000.0,18623.300329083424,1762.3300329083424,124.67619396391373,100.0,1191.8401122615182,65.63412352593477,1316 days 00:00:00,57,1,86.079728516248,515.5059898376467,-20.75555555555555,41.02951412010652,-8.000021183262014,127 days 09:00:00,23 days 10:54:32.727272727,0.6260425277814609,0.2881631173941526,1.1526331146121636,13.135256915353313,67 days 05:03:09.473684209,0
Least Total Trades,EQIX,false,63,84,21,50.0,4.750234605240291,3.246226261970459,617.8915667105637,141.8483853789173,0.07157928907644863,1,44.22823907147518,0.9260650425103701,0,0,6161,6162 days 00:00:00,1000.0,15178.139363803984,1417.8139363803984,124.67619396391373,100.0,205.37147218673945,68.63905600917785,1163 days 00:00:00,20,1,1820.3080295927102,340.07662899928016,-39.24720658751734,70.25723457377808,-14.923508741942696,344 days 09:36:00,53 days 07:12:00,0.6002115349146326,0.2546827630689156,1.13516766621062,10.371969991246047,198 days 20:24:00,0
Median Avg Losing Trade [%],EQIX,false,32,51,41,45.0,1.994678300427108,6.492452523940918,341.4068974294921,141.07723034276532,0.13975004057782828,1,47.71162776932198,0.9782761015031435,0,0,6161,6162 days 00:00:00,1000.0,17203.017803046183,1620.301780304618,124.67619396391373,100.0,667.8106717668123,58.28402606860191,1088 days 00:00:00,40,1,2546.741905866502,439.20836556055826,-27.0453744493392,45.990526912133944,-9.538599683173699,162 days 01:19:59.999999998,37 days 20:43:38.181818182,0.6149809988038067,0.3149383645850356,1.1471556510310896,11.996079915413508,93 days 17:59:59.999999999,0
Median Avg Winning Trade [%],EQIX,false,37,44,40,46.15384615384615,1.9945473096313076,6.330141210842395,337.83577285335457,139.60155903031182,0.1363415030027593,1,46.06103703892515,0.9680660066236697,0,0,6161,6162 days 00:00:00,1000.0,16444.70427943406,1544.4704279434059,124.67619396391373,100.0,631.298174977652,58.28402606860191,1088 days 00:00:00,39,1,2269.109138153237,439.20836556055826,-27.0453744493392,45.46539717775551,-9.712970130123667,161 days 17:20:00,39 days 06:51:25.714285714,0.6085171693343445,0.3095229913659613,1.145824656151111,11.387853517492179,95 days 19:04:36.923076922,0
Median Sortino Ratio,EQIX,false,64,81,23,54.54545454545454,4.507028647269467,3.5708488881675056,489.236068314426,134.77577639515866,0.07839636422658659,1,38.35432900436094,0.896370305508059,0,0,6161,6162 days 00:00:00,1000.0,13366.195895392006,1236.6195895392004,124.67619396391373,100.0,192.7740747064895,68.63905600917785,1164 days 00:00:00,22,1,1603.0023924746329,340.07662899928016,-39.24720658751734,56.888231000143186,-15.079235753912545,294 days 18:00:00,43 days 14:24:00,0.5816931254512117,0.24184252460678482,1.1308123322250692,8.918650467443108,180 days 14:10:54.545454545,0
Mean Avg Winning Trade [%],EQIX,false,46,66,28,51.85185185185185,3.03465401124199,4.38240545366012,410.60063033824656,131.96530818951908,0.09543905210193152,1,39.187334951937835,0.9123495408607611,0,0,6161,6162 days 00:00:00,1000.0,14045.765999521906,1304.5765999521907,124.67619396391373,100.0,312.7414778555701,68.63905600917785,862 days 00:00:00,27,1,1959.5489803892506,239.1261730798101,-35.216497250198145,45.0198432858303,-13.093766115611258,239 days 20:34:17.142857144,39 days 03:41:32.307692307,0.5882536216187022,0.24683998090163675,1.1367261331313216,9.463718521354505,143 days 05:19:59.999999999,0
