Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Expectancy,ETH-USD_BTC-USD,true,16,24,54,44.44444444444444,1.390915297976595,20.2854996243426,73.55158576459675,40.52428967746377,0.608564988730278,2,44.76091996192589,1.335710601884892,0,0,2662,2663 days 00:00:00,1000.0,4971.785631288225,397.1785631288225,-36.206411104748845,100.0,559.0862170629118,58.48250296212585,1380 days 00:00:00,54,0,0.0,89.9685296842069,-20.250092409024724,17.0462126962765,-5.321996613049875,27 days 03:00:00,15 days 02:24:00,0.8076070728840119,0.42038530235159877,1.2195308824885647,11.969840727371302,20 days 10:40:00,0
Most Sharpe Ratio,ETH-USD_BTC-USD,true,16,24,54,44.44444444444444,1.390915297976595,20.2854996243426,73.55158576459675,40.52428967746377,0.608564988730278,2,44.76091996192589,1.335710601884892,0,0,2662,2663 days 00:00:00,1000.0,4971.785631288225,397.1785631288225,-36.206411104748845,100.0,559.0862170629118,58.48250296212585,1380 days 00:00:00,54,0,0.0,89.9685296842069,-20.250092409024724,17.0462126962765,-5.321996613049875,27 days 03:00:00,15 days 02:24:00,0.8076070728840119,0.42038530235159877,1.2195308824885647,11.969840727371302,20 days 10:40:00,0
Most Omega Ratio,ETH-USD_BTC-USD,true,16,24,54,44.44444444444444,1.390915297976595,20.2854996243426,73.55158576459675,40.52428967746377,0.608564988730278,2,44.76091996192589,1.335710601884892,0,0,2662,2663 days 00:00:00,1000.0,4971.785631288225,397.1785631288225,-36.206411104748845,100.0,559.0862170629118,58.48250296212585,1380 days 00:00:00,54,0,0.0,89.9685296842069,-20.250092409024724,17.0462126962765,-5.321996613049875,27 days 03:00:00,15 days 02:24:00,0.8076070728840119,0.42038530235159877,1.2195308824885647,11.969840727371302,20 days 10:40:00,0
Most Max Drawdown Duration,ETH-USD_BTC-USD,true,17,25,51,39.21568627450981,1.3956900059483939,19.158527422990232,69.843246708068,32.06760638570615,0.5747558226897069,2,40.14281272101579,1.274515654106168,0,0,2662,2663 days 00:00:00,1000.0,4562.00558211147,356.20055821114704,-36.206411104748845,100.0,491.71958528893276,57.109000030279276,924 days 00:00:00,51,0,0.0,106.21403182421871,-20.250092409024735,20.097749481115837,-5.152207471086081,31 days 02:24:00,15 days 14:42:34.838709677,0.7712487604689999,0.40492709314672454,1.208636641334962,10.838052083666135,21 days 16:28:14.117647058,0
Most Best Trade [%],ETH-USD_BTC-USD,true,7,19,66,35.38461538461539,1.2698191369171485,24.41773102930128,49.63911046326112,26.20981498289729,0.743801652892562,2,36.921652410690086,1.2187448834065948,0,0,2662,2663 days 00:00:00,1000.0,4341.621193014773,334.1621193014773,-36.206411104748845,100.0,717.8149763190289,61.24260884797107,1380 days 00:00:00,65,1,115.07901290279824,164.94105426951404,-15.343438327094617,21.50578725169119,-5.372130859204166,29 days 00:00:00,9 days 22:17:08.571428571,0.7461422012964983,0.3639983164810207,1.201693916868009,10.229363228924074,16 days 16:14:46.153846153,0
Median Total Trades,ETH-USD_BTC-USD,true,16,26,49,40.816326530612244,1.3116728581864847,18.407212622088654,54.37746568148819,24.96669682345647,0.5522163786626596,2,30.02812717948446,1.1072928112690545,0,0,2662,2663 days 00:00:00,1000.0,3664.4958183929216,266.44958183929214,-36.206411104748845,100.0,424.21410797806544,60.22242889056669,924 days 00:00:00,49,0,0.0,106.21403182421875,-20.250092409024724,19.065386148927086,-5.656630982383055,32 days 10:48:00,15 days 20:41:22.758620689,0.6809754908287664,0.32351562579403215,1.1816818813648355,8.359182357743943,22 days 15:11:01.224489795,0
Median Worst Trade [%],ETH-USD_BTC-USD,true,19,24,60,40.0,1.3671606054113588,22.53944402704733,41.76977674994981,23.013651101900724,0.67618332081142,2,28.244026352332703,1.0797453808136792,0,0,2662,2663 days 00:00:00,1000.0,3506.1866049969894,250.61866049969893,-36.206411104748845,100.0,454.1442085600448,55.96885516075047,924 days 00:00:00,60,0,0.0,101.19788548663844,-20.352774996554352,15.298428314017329,-4.5883715603359425,26 days 19:00:00,12 days 23:19:59.999999999,0.6667091209751534,0.335219572789458,1.1774513168329852,7.921941525069512,18 days 11:59:59.999999999,0
Mean Total Trades,ETH-USD_BTC-USD,true,8,22,62,35.483870967741936,1.1825228466347164,23.29075882794891,38.44364775165127,19.415983712955185,0.6987227648384673,2,26.8614518475099,1.0643586822502102,0,0,2662,2663 days 00:00:00,1000.0,3383.5061606023787,238.35061606023785,-36.206411104748845,100.0,689.6009124954207,72.71178797479642,1380 days 00:00:00,62,0,0.0,133.74985588002596,-13.863579531183658,20.300642661316548,-5.361048591941425,31 days 01:05:27.272727273,9 days 22:48:00,0.651475063129768,0.2500764542331716,1.174796219090269,7.583105278528302,17 days 10:27:05.806451612,0
Least Win Rate [%],ETH-USD_BTC-USD,true,9,22,60,35.0,1.1944905453413748,22.53944402704733,39.538297737822006,19.061162821264052,0.67618332081142,2,26.735137463591137,1.0621255233042877,0,0,2662,2663 days 00:00:00,1000.0,3372.297864269325,237.22978642693252,-36.206411104748845,100.0,638.6398755973,70.90891176709135,1380 days 00:00:00,60,0,0.0,110.33939235023244,-14.902791185950354,20.44683861535355,-5.340542013880922,31 days 21:42:51.428571428,10 days 13:32:18.461538461,0.6523877708240864,0.25567687820799967,1.1745674281485297,7.552148616459183,18 days 00:47:59.999999998,0
Most Avg Winning Trade [%],ETH-USD_BTC-USD,true,13,31,41,36.58536585365854,1.2541445998624978,15.401953418482345,43.428953328177926,14.95487373559846,0.4620586025544703,1,20.066721485221205,0.9100475077026384,0,0,2662,2663 days 00:00:00,1000.0,2780.587086455296,178.05870864552958,-36.206411104748845,100.0,294.92220919782426,61.421583271853976,898 days 00:00:00,41,0,0.0,103.84438881336762,-16.73842926683434,24.020354085761163,-6.764390687331617,40 days 09:36:00,18 days 13:50:46.153846153,0.5742992091026263,0.2449772559410021,1.1526114738775635,5.917877889923625,26 days 13:27:48.292682925,0
