Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
Least Avg Losing Trade [%],FUTU,true,13,49,42,48.78048780487805,1.503762325227272,0.2822719449225473,2.562720804465057,1.2131222743029857,6.072289156626506,12.0,15.561581752414321,2.966962449976502,0,0,3486,145 days 07:00:00,1000.0,1827.4095614350501,82.74095614350502,156.71440502419708,100.0,117.58094793421847,34.237960878901646,78 days 02:00:00,41,1,-63.86516797488639,83.84294052232278,-16.941898244676494,11.01869833823271,-5.490591132456516,2 days 12:57:00,0 days 18:51:25.714285714,21.73840803438872,1.9629620627889075,10.361560569208716,1.1233332796367623,0.7765999940608902,68.23082846908778,1.1872854217943036,0.30160507652109,-0.010726749916857313,None,None,0.00023622620510940656,1.4286960885016908,0.8274095614350487,1.8453731287813575,0.8759395004446381,-0.47202711754079263,1 days 15:23:24.878048779,false
Most Win Rate [%],FUTU,true,48,53,59,51.724137931034484,1.8215624132107977,0.3993115318416523,1.5590165218757555,1.1069939800301223,8.53012048192771,16.91566265060241,13.298598764916083,3.245175896514636,0,0,3486,145 days 07:00:00,1000.0,1940.9251300458398,94.09251300458398,156.71440502419708,100.0,145.5185008427594,37.97555705530682,78 days 09:00:00,58,1,-27.467573562525786,60.1993067067382,-7.840905125248838,6.124545090789784,-3.332621230532133,1 days 09:16:00,1 days 01:12:51.428571428,16.696425924282163,2.0362682416121123,11.299196457974183,1.1324423473109888,2.8367127147096345,92.70093372005952,1.2410699106022116,0.314361100640784,-0.010102414851453348,None,None,0.0002608805904107154,1.5778058108040067,0.9409251300458419,2.1588906425825805,0.9325341074597321,-0.3995924434001082,1 days 05:22:45.517241378,false
Most Best Trade [%],FUTU,true,42,47,67,43.93939393939394,1.5859763921470482,0.45438898450946646,1.5642716972892279,1.0574330820836273,9.686746987951807,19.2289156626506,15.152704152054689,3.2311419996693975,0,0,3486,145 days 07:00:00,1000.0,1957.4272821801824,95.74272821801824,156.71440502419708,100.0,175.0988618621917,30.519034050197074,77 days 05:00:00,66,1,-15.794496350678628,87.88386952197267,-16.050810744834468,7.7045475591349915,-3.248376951184479,1 days 11:45:31.034482758,0 days 18:24:19.459459459,14.745784523194853,2.0459447012015644,14.4325346292869,1.1322009849490862,2.5645718492763705,91.27620260955321,1.2471588181316402,0.32083333333333336,-0.010726749916857327,None,None,0.00026504171320802203,1.6029722814821172,0.9574272821801819,2.205618842711072,0.9429274595040882,-0.3890623634551314,1 days 02:01:49.090909090,false
Most Avg Winning Trade [%],FUTU,true,12,48,43,38.095238095238095,1.5766674845698516,0.2891566265060241,2.776774444366655,1.051559552896248,6.216867469879518,12.289156626506024,17.26283871437583,3.386203964410628,0,0,3486,145 days 07:00:00,1000.0,2046.4518972336937,104.64518972336936,156.71440502419708,100.0,129.2095717393803,32.56438343752013,51 days 17:00:00,42,1,-48.12430396601076,86.16153044692125,-16.629604294790596,14.407070140270637,-4.380330599266564,3 days 00:03:45,0 days 17:27:41.538461538,26.06133812380248,2.2308139040943944,15.488029872817197,1.1416729670031875,0.7928475538042995,67.8769196732035,1.2010908909364393,0.30111940298507467,-0.010295533574522123,None,None,0.0002688903245071653,1.6262486826193359,1.0464518972337,2.4626946901971007,0.8773437304217107,-0.3322554508807797,1 days 14:15:42.857142856,false
Most Expectancy,FUTU,true,12,48,43,38.095238095238095,1.5766674845698516,0.2891566265060241,2.776774444366655,1.051559552896248,6.216867469879518,12.289156626506024,17.26283871437583,3.386203964410628,0,0,3486,145 days 07:00:00,1000.0,2046.4518972336937,104.64518972336936,156.71440502419708,100.0,129.2095717393803,32.56438343752013,51 days 17:00:00,42,1,-48.12430396601076,86.16153044692125,-16.629604294790596,14.407070140270637,-4.380330599266564,3 days 00:03:45,0 days 17:27:41.538461538,26.06133812380248,2.2308139040943944,15.488029872817197,1.1416729670031875,0.7928475538042995,67.8769196732035,1.2010908909364393,0.30111940298507467,-0.010295533574522123,None,None,0.0002688903245071653,1.6262486826193359,1.0464518972337,2.4626946901971007,0.8773437304217107,-0.3322554508807797,1 days 14:15:42.857142856,false
Median Total Trades,FUTU,true,25,39,53,40.38461538461539,1.452849881161533,0.35800344234079173,1.9667423709668785,0.9775524210722946,7.662650602409638,15.180722891566264,15.070459613673911,2.9863125980985687,0,0,3486,145 days 07:00:00,1000.0,1873.131584449327,87.3131584449327,156.71440502419708,100.0,153.7585311320839,41.92487197153612,78 days 09:00:00,52,1,-39.46973765868006,83.92108510747491,-15.788462991685167,10.89841526139291,-4.083745716095918,2 days 03:22:51.428571428,0 days 19:32:54.193548387,17.55002542515399,1.9937168845720932,9.156515248315719,1.1226770004476299,0.6146452757477576,61.84908851465626,1.1660591327834289,0.3243448537789594,-0.01122454337845667,None,None,0.00024735944360523723,1.496029914924475,0.8731315844493188,1.9699828603531095,0.9030731972264493,-0.44285173764689123,1 days 08:24:13.846153845,false
Most Avg Winning Trade Duration,FUTU,true,13,50,40,41.02564102564102,1.499865314967546,0.2685025817555938,2.561062093541835,0.9698696685602215,5.783132530120482,11.421686746987952,14.81096150482025,2.8673114324328965,0,0,3486,145 days 07:00:00,1000.0,1778.2238044053995,77.82238044053994,156.71440502419708,100.0,110.06042299059045,36.01023021156517,78 days 02:00:00,39,1,-62.14620102792355,83.84294052232279,-16.9418982446765,13.183776396847014,-4.828652204409593,3 days 03:26:15,0 days 17:46:57.391304347,21.5479488572647,1.8972610643206158,9.014999071819195,1.1188772739954174,0.7773584170923231,68.02272279672894,1.1897626665094145,0.3001491424310216,-0.010919894989145123,None,None,0.00022849951039040562,1.3819650388411733,0.7782238044054068,1.7138572459548644,0.8766295861842462,-0.5034127180042959,1 days 17:26:09.230769229,false
Least Total Trades,FUTU,true,20,47,38,40.54054054054054,1.4691180356117248,0.2547332185886403,2.6900343747616224,0.9550417898561973,5.493975903614458,10.843373493975903,14.778984034834938,2.770072497933543,0,0,3486,145 days 07:00:00,1000.0,1748.8300115984546,74.88300115984545,156.71440502419708,100.0,106.92698012005418,40.971337009034606,78 days 02:00:00,37,1,-61.11893294601646,83.40296737069247,-15.91717976609846,14.074598009199729,-5.07216810326436,2 days 22:44:00,1 days 01:40:54.545454545,21.890512014715426,1.8470177880946341,7.498379278906046,1.116229627710358,0.6757001905861206,65.51827555067933,1.1612608963099207,0.30648182840014987,-0.01091989498914526,None,None,0.00022553207577799648,1.3640179943053228,0.7488300115984536,1.6365237058717788,0.8887818627615758,-0.5221689981320904,1 days 19:56:45.405405404,false
Median Total Fees Paid,FUTU,true,22,43,47,41.30434782608695,1.4044159845975215,0.31669535283993117,1.9795371291253998,0.8902060462339078,6.795180722891566,13.44578313253012,13.45131254008103,2.646499394504525,0,0,3486,145 days 07:00:00,1000.0,1690.5058722930123,69.05058722930123,156.71440502419708,100.0,128.07987263923343,43.760848694639435,38 days 03:00:00,46,1,-39.75388747936199,84.10463981331259,-16.471547028850715,11.00750148127652,-4.373474822388351,2 days 09:18:56.842105263,0 days 20:35:33.333333333,15.875212168964666,1.7653058942583102,6.2603049626039695,1.1096750362091743,0.6814407602012215,64.79971743066743,1.1674426228399188,0.31040962044344234,-0.011167487030898702,None,None,0.00021617395287053018,1.3074200669609666,0.6905058722930209,1.4858891665665626,0.8913357731775687,-0.5593858317067939,1 days 11:45:39.130434781,false
Mean Total Fees Paid,FUTU,true,86,88,60,49.152542372881356,1.7995692864722497,0.40619621342512907,1.2590532204405023,0.8642022104798713,8.674698795180722,17.204819277108435,10.921907454423634,2.814329141604812,0,0,3486,145 days 07:00:00,1000.0,1762.052661536799,76.20526615367989,156.71440502419708,100.0,144.64158636404915,36.03273909599978,58 days 10:00:00,59,1,-47.89660086662093,42.81673948107084,-8.762283348025605,5.4054165003615715,-2.7490979501498654,1 days 16:28:57.931034482,0 days 18:49:59.999999999,13.727953600057965,1.8482585392204243,8.74198675463942,1.1141195906450132,0.7999139101794209,61.57552516196175,1.2553646098381617,0.3193340900491865,-0.01050208369264958,None,None,0.0002303227767108403,1.392992153547162,0.7620526615367975,1.6711946577935337,0.9070518440612437,-0.5137315798001236,1 days 05:28:28.474576269,false
Mean Expectancy,FUTU,true,43,50,55,48.148148148148145,1.4396391711024448,0.3717728055077453,1.399564292526311,0.8612703338623452,7.951807228915662,15.759036144578312,11.129065458642954,2.4941920962518465,0,0,3486,145 days 07:00:00,1000.0,1597.9567755301869,59.7956775530187,156.71440502419708,100.0,129.52707355206792,37.352621160619336,78 days 07:00:00,54,1,-17.356498239545317,68.92074010221445,-17.919252663423812,6.940882125641291,-3.7459451239375983,1 days 13:11:32.307692307,1 days 02:21:25.714285714,11.39469025499504,1.6050880941437664,6.013867987803169,1.102595778192348,2.4596166652922413,95.46629082216022,1.2067884414425842,0.31535269709543573,-0.01061447145282247,None,None,0.00020470777536156184,1.238072625386726,0.5979567755301833,1.2546118072912331,0.9283108140521115,-0.6184417281628571,1 days 07:34:26.666666665,false
Most Total Return [%],FUTU,true,50,52,88,47.12643678160919,1.8450810650821154,0.5989672977624785,1.1834876326634602,0.8580546938850905,12.72289156626506,25.301204819277107,15.05738482039294,3.7442871613200914,0,0,3486,145 days 07:00:00,1000.0,2213.041780474172,121.30417804741718,156.71440502419708,100.0,222.59473816678536,32.43228692280433,78 days 02:00:00,87,1,-4.916915636471913,58.61044766621746,-7.4296035744382465,5.254062499962938,-2.444633444712161,1 days 00:45:21.951219512,0 days 15:13:02.608695652,13.999525242651064,2.3129319606831964,19.59969168705045,1.1495530140806909,2.9108478773584667,88.44070044857027,1.3120048172681438,0.31485671191553544,-0.010481275584324703,None,None,0.0003003864997784577,1.8167375506601122,1.213041780474171,2.9661081115592403,0.9453127103761259,-0.22595387431878053,0 days 19:42:45.517241378,false
Most Sharpe Ratio,FUTU,true,50,52,88,47.12643678160919,1.8450810650821154,0.5989672977624785,1.1834876326634602,0.8580546938850905,12.72289156626506,25.301204819277107,15.05738482039294,3.7442871613200914,0,0,3486,145 days 07:00:00,1000.0,2213.041780474172,121.30417804741718,156.71440502419708,100.0,222.59473816678536,32.43228692280433,78 days 02:00:00,87,1,-4.916915636471913,58.61044766621746,-7.4296035744382465,5.254062499962938,-2.444633444712161,1 days 00:45:21.951219512,0 days 15:13:02.608695652,13.999525242651064,2.3129319606831964,19.59969168705045,1.1495530140806909,2.9108478773584667,88.44070044857027,1.3120048172681438,0.31485671191553544,-0.010481275584324703,None,None,0.0003003864997784577,1.8167375506601122,1.213041780474171,2.9661081115592403,0.9453127103761259,-0.22595387431878053,0 days 19:42:45.517241378,false
Most Calmar Ratio,FUTU,true,50,52,88,47.12643678160919,1.8450810650821154,0.5989672977624785,1.1834876326634602,0.8580546938850905,12.72289156626506,25.301204819277107,15.05738482039294,3.7442871613200914,0,0,3486,145 days 07:00:00,1000.0,2213.041780474172,121.30417804741718,156.71440502419708,100.0,222.59473816678536,32.43228692280433,78 days 02:00:00,87,1,-4.916915636471913,58.61044766621746,-7.4296035744382465,5.254062499962938,-2.444633444712161,1 days 00:45:21.951219512,0 days 15:13:02.608695652,13.999525242651064,2.3129319606831964,19.59969168705045,1.1495530140806909,2.9108478773584667,88.44070044857027,1.3120048172681438,0.31485671191553544,-0.010481275584324703,None,None,0.0003003864997784577,1.8167375506601122,1.213041780474171,2.9661081115592403,0.9453127103761259,-0.22595387431878053,0 days 19:42:45.517241378,false
Most Omega Ratio,FUTU,true,50,52,88,47.12643678160919,1.8450810650821154,0.5989672977624785,1.1834876326634602,0.8580546938850905,12.72289156626506,25.301204819277107,15.05738482039294,3.7442871613200914,0,0,3486,145 days 07:00:00,1000.0,2213.041780474172,121.30417804741718,156.71440502419708,100.0,222.59473816678536,32.43228692280433,78 days 02:00:00,87,1,-4.916915636471913,58.61044766621746,-7.4296035744382465,5.254062499962938,-2.444633444712161,1 days 00:45:21.951219512,0 days 15:13:02.608695652,13.999525242651064,2.3129319606831964,19.59969168705045,1.1495530140806909,2.9108478773584667,88.44070044857027,1.3120048172681438,0.31485671191553544,-0.010481275584324703,None,None,0.0003003864997784577,1.8167375506601122,1.213041780474171,2.9661081115592403,0.9453127103761259,-0.22595387431878053,0 days 19:42:45.517241378,false
Most Sortino Ratio,FUTU,true,50,52,88,47.12643678160919,1.8450810650821154,0.5989672977624785,1.1834876326634602,0.8580546938850905,12.72289156626506,25.301204819277107,15.05738482039294,3.7442871613200914,0,0,3486,145 days 07:00:00,1000.0,2213.041780474172,121.30417804741718,156.71440502419708,100.0,222.59473816678536,32.43228692280433,78 days 02:00:00,87,1,-4.916915636471913,58.61044766621746,-7.4296035744382465,5.254062499962938,-2.444633444712161,1 days 00:45:21.951219512,0 days 15:13:02.608695652,13.999525242651064,2.3129319606831964,19.59969168705045,1.1495530140806909,2.9108478773584667,88.44070044857027,1.3120048172681438,0.31485671191553544,-0.010481275584324703,None,None,0.0003003864997784577,1.8167375506601122,1.213041780474171,2.9661081115592403,0.9453127103761259,-0.22595387431878053,0 days 19:42:45.517241378,false
Mean Win Rate [%],FUTU,true,29,45,44,41.86046511627907,1.4979079059257538,0.29604130808950085,1.955066592805076,0.8329277791832277,6.36144578313253,12.578313253012048,12.437050132543135,2.67737935002418,0,0,3486,145 days 07:00:00,1000.0,1701.1115570791012,70.11115570791011,156.71440502419708,100.0,111.30851568843742,37.727284462262794,78 days 09:00:00,43,1,-0.9588897537737466,78.68068882951948,-16.692214858754433,10.465639955562061,-4.172546228379955,2 days 12:53:20,0 days 22:48:00,16.32721969378779,1.780994588608712,7.418451762471671,1.1105363933691335,0.6918649345159037,65.29352596427616,1.1912048965194362,0.31040962044344234,-0.010681878090476873,None,None,0.00021776697810864314,1.3170546836010737,0.7011115570791007,1.513001223211249,0.8899945947130371,-0.5526183078250861,1 days 14:44:39.069767441,false
Median Total Return [%],FUTU,true,22,47,40,43.58974358974359,1.3911667398292067,0.2685025817555938,2.0560155091069987,0.8272725125400942,5.783132530120482,11.421686746987952,11.890210173148908,2.3954495974328034,0,0,3486,145 days 07:00:00,1000.0,1578.5613147917916,57.85613147917916,156.71440502419708,100.0,106.67099337329115,43.79316595092415,78 days 09:00:00,39,1,-52.41308751994711,73.17625799707028,-17.027768666769404,11.232609395231421,-5.034988857443691,2 days 14:45:52.941176470,1 days 01:38:10.909090909,16.178830828506115,1.605066767889252,4.905460033473317,1.1001957306403658,0.6401459691764143,64.96458605482935,1.1707384901882079,0.3030642750373692,-0.01106802559347304,None,None,0.00019653333404635314,1.1886336043123438,0.5785613147917916,1.2073593366095614,0.8912531197115844,-0.6308180382636425,1 days 17:49:13.846153845,false
Median Worst Trade [%],FUTU,true,26,45,45,40.909090909090914,1.3984810262358027,0.3029259896729776,1.8902559638144694,0.8053161502641528,6.506024096385542,12.867469879518072,12.298050848913416,2.491645975229516,0,0,3486,145 days 07:00:00,1000.0,1619.7338060919203,61.97338060919203,156.71440502419708,100.0,125.90857309437335,43.52406625628265,78 days 09:00:00,44,1,-53.780140778953864,76.75246538237049,-15.956217440543599,10.735343698077898,-4.233266313752521,2 days 10:50:00,0 days 23:11:32.307692307,15.307135156156242,1.664154400483139,5.419134111845118,1.103067449264391,0.6667342005363077,64.51196072449667,1.168188298678796,0.31238238614979297,-0.01091989498914521,None,None,0.00020414688934396741,1.2346803867523148,0.6197338060919251,1.3081705849469474,0.8929087800026896,-0.6045457301795378,1 days 13:46:21.818181817,false
Least Worst Trade [%],FUTU,true,48,59,43,40.476190476190474,1.4924610168422285,0.2891566265060241,1.9729723358957902,0.7938586913663536,6.216867469879518,12.289156626506024,12.265707534002745,2.830949621118453,0,0,3486,145 days 07:00:00,1000.0,1748.5095998247753,74.85095998247753,156.71440502419708,100.0,109.02368794559928,41.42308810612555,78 days 09:00:00,42,1,-12.430189819884845,55.94058021266631,-21.28920431410697,11.10585744609024,-4.237389539036435,2 days 13:17:38.823529411,1 days 02:00:00,18.117614039158575,1.7882222700926935,7.412079441387583,1.1164472114788675,2.5822327351017846,88.07745258088174,1.209709750936546,0.31040962044344234,-0.0103757762209623,None,None,0.00023429737933733556,1.4170305502322054,0.748509599824773,1.635685939037879,0.9536826376187086,-0.5223734539851626,1 days 16:17:08.571428570,false
Most Profit Factor,FUTU,true,81,88,39,44.73684210526316,2.2387240167956173,0.26161790017211706,1.9685981477845216,0.7920986630138903,5.63855421686747,11.132530120481928,11.100047387507905,2.901139501963607,0,0,3486,145 days 07:00:00,1000.0,1803.049290775898,80.3049290775898,156.71440502419708,100.0,88.59090781265388,36.16002850767501,84 days 19:00:00,38,1,-46.88030481809028,42.67959188090882,-7.177992516648023,7.94665258022501,-2.8707792499053975,2 days 18:24:42.352941176,1 days 03:45:42.857142857,22.366568305104952,1.9033665817740544,9.39386903666347,1.1190600850636938,0.8047777186078416,62.264858590252985,1.2447516163570806,0.3113952613764573,-0.01011451672150289,None,None,0.00023655870964452367,1.430707075930079,0.8030492907758986,1.7799077703691193,0.9046372090923714,-0.4875714899010686,1 days 21:03:09.473684209,false
Median Sortino Ratio,FUTU,true,22,46,40,41.02564102564102,1.4034556593794842,0.2685025817555938,2.0734707805562,0.785219703879271,5.783132530120482,11.421686746987952,11.991156321288868,2.4148968993020477,0,0,3486,145 days 07:00:00,1000.0,1587.1806726345262,58.71806726345261,156.71440502419708,100.0,105.85987771761891,43.72816583546537,78 days 09:00:00,39,1,-55.46953589577129,73.17625799707025,-17.027768666769397,11.9722968147138,-4.812669069292564,2 days 19:26:15,1 days 00:05:13.043478260,16.47821047513581,1.619426287093442,5.011918385983052,1.1012567962435749,0.6345212435693737,65.67370626561934,1.1647648568858429,0.3050149700598802,-0.010861360407142407,None,None,0.0001977273162490308,1.1958548086741383,0.5871806726345383,1.2283060481272194,0.8887168847953627,-0.6253179964254951,1 days 17:52:18.461538461,false
Median Win Rate [%],FUTU,true,48,54,57,41.07142857142857,1.6395940775541755,0.3855421686746988,1.4101242691910536,0.7676416139974966,8.240963855421686,16.337349397590362,11.620783134056392,2.824540482190449,0,0,3486,145 days 07:00:00,1000.0,1729.3581111474884,72.93581111474884,156.71440502419708,100.0,131.02837945044027,40.8225818436831,78 days 09:00:00,56,1,-24.473520590035605,56.99678228878034,-10.495388901849704,7.755901015893498,-3.0126898269954983,1 days 16:46:57.391304347,0 days 23:25:27.272727272,13.461279138170077,1.7749681122341976,7.249024400584029,1.1141203496543106,2.8377162993881146,91.47015210425268,1.233299088980314,0.31337099811676083,-0.01037577622096229,None,None,0.0002283726733744829,1.3811979285688725,0.7293581111474985,1.5858163292807013,0.93650807182722,-0.5345940846759596,1 days 06:33:12.857142855,false
Median Avg Winning Trade [%],FUTU,true,48,54,57,41.07142857142857,1.6395940775541755,0.3855421686746988,1.4101242691910536,0.7676416139974966,8.240963855421686,16.337349397590362,11.620783134056392,2.824540482190449,0,0,3486,145 days 07:00:00,1000.0,1729.3581111474884,72.93581111474884,156.71440502419708,100.0,131.02837945044027,40.8225818436831,78 days 09:00:00,56,1,-24.473520590035605,56.99678228878034,-10.495388901849704,7.755901015893498,-3.0126898269954983,1 days 16:46:57.391304347,0 days 23:25:27.272727272,13.461279138170077,1.7749681122341976,7.249024400584029,1.1141203496543106,2.8377162993881146,91.47015210425268,1.233299088980314,0.31337099811676083,-0.01037577622096229,None,None,0.0002283726733744829,1.3811979285688725,0.7293581111474985,1.5858163292807013,0.93650807182722,-0.5345940846759596,1 days 06:33:12.857142855,false
Median Calmar Ratio,FUTU,true,73,79,46,50.0,1.5650973248786106,0.31669535283993117,1.387287422646203,0.7552097212038501,6.650602409638554,13.301204819277109,9.226297075912099,2.4773625775782606,0,0,3486,145 days 07:00:00,1000.0,1627.9979749135,62.79979749135,156.71440502419708,100.0,114.54885026309815,46.90147538059233,45 days 06:00:00,46,0,0.0,33.31415476445252,-14.785024426447425,6.454522240337847,-3.679947395045441,1 days 19:44:20.869565217,1 days 07:26:05.217391304,13.6521298894239,1.6751447603083098,5.121040140504518,1.103726158433862,0.38994009935383794,64.00238794236995,1.1965751599134873,0.3193340900491865,-0.010080093663016447,None,None,0.0002061981088934499,1.2470861625875849,0.6279979749134834,1.3286348357353126,0.8959634203339802,-0.5992723356755011,1 days 13:35:13.043478260,false
