Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
Least Total Trades,GD,false,86,88,false,42,52.38095238095239,6.302929108677075,0.002638853983412918,21.895233405459102,8.872630961873277,0.05541593365167127,0.11083186730334255,1.213344801684778,0.9931224649994094,0,0,15916,15917 days 00:00:00,1000.0,409821.3365733457,40882.13365733457,35927.44647592585,100.0,5427.727618931549,51.74291811951692,1670 days 00:00:00,42,0,0.0,225.42161016949157,-25.174995419612117,49.620809777860956,-8.602900604182933,390 days 03:16:21.818181816,73 days 03:36:00,9733.841346984422,0.6587854172730784,0.2858696452878299,1.1322622115754666,0.37843131109872924,9.524918233893118,1.0799722005891987,0.44963570127504554,-0.020454692367070162,None,None,0.0004710574943694825,0.11870648858110959,408.82133657334464,0.09992464914087584,0.21685859670843097,0.13790813618576378,239 days 04:34:17.142857142
Most Win Rate [%],GD,false,86,88,false,42,52.38095238095239,6.302929108677075,0.002638853983412918,21.895233405459102,8.872630961873277,0.05541593365167127,0.11083186730334255,1.213344801684778,0.9931224649994094,0,0,15916,15917 days 00:00:00,1000.0,409821.3365733457,40882.13365733457,35927.44647592585,100.0,5427.727618931549,51.74291811951692,1670 days 00:00:00,42,0,0.0,225.42161016949157,-25.174995419612117,49.620809777860956,-8.602900604182933,390 days 03:16:21.818181816,73 days 03:36:00,9733.841346984422,0.6587854172730784,0.2858696452878299,1.1322622115754666,0.37843131109872924,9.524918233893118,1.0799722005891987,0.44963570127504554,-0.020454692367070162,None,None,0.0004710574943694825,0.11870648858110959,408.82133657334464,0.09992464914087584,0.21685859670843097,0.13790813618576378,239 days 04:34:17.142857142
Most Profit Factor,GD,false,86,88,false,42,52.38095238095239,6.302929108677075,0.002638853983412918,21.895233405459102,8.872630961873277,0.05541593365167127,0.11083186730334255,1.213344801684778,0.9931224649994094,0,0,15916,15917 days 00:00:00,1000.0,409821.3365733457,40882.13365733457,35927.44647592585,100.0,5427.727618931549,51.74291811951692,1670 days 00:00:00,42,0,0.0,225.42161016949157,-25.174995419612117,49.620809777860956,-8.602900604182933,390 days 03:16:21.818181816,73 days 03:36:00,9733.841346984422,0.6587854172730784,0.2858696452878299,1.1322622115754666,0.37843131109872924,9.524918233893118,1.0799722005891987,0.44963570127504554,-0.020454692367070162,None,None,0.0004710574943694825,0.11870648858110959,408.82133657334464,0.09992464914087584,0.21685859670843097,0.13790813618576378,239 days 04:34:17.142857142
Least Max Drawdown [%],GD,false,84,89,false,42,50.0,6.158966247357179,0.002638853983412918,21.879787886875214,8.463355049260995,0.05541593365167127,0.11083186730334255,1.2124888738517177,0.9941294579143466,0,0,15916,15917 days 00:00:00,1000.0,413170.7192265399,41217.071922653995,35927.44647592585,100.0,5497.64008178981,50.660739075436545,1670 days 00:00:00,42,0,0.0,222.45847457627121,-25.174995419612127,52.09186613149603,-8.332290357745602,402 days 03:25:42.857142860,76 days 01:08:34.285714286,9813.588553012854,0.659536352983227,0.29239916453092696,1.1324041767990716,0.3768806109307502,9.523834893678167,1.080097014661676,0.4495036881886895,-0.020468969928061055,None,None,0.0004715546245778378,0.11883176539361513,412.1707192265406,0.10006640197790251,0.21684028657726623,0.14723076548934816,239 days 02:17:08.571428573
Most Expectancy,GD,false,84,89,false,42,50.0,6.158966247357179,0.002638853983412918,21.879787886875214,8.463355049260995,0.05541593365167127,0.11083186730334255,1.2124888738517177,0.9941294579143466,0,0,15916,15917 days 00:00:00,1000.0,413170.7192265399,41217.071922653995,35927.44647592585,100.0,5497.64008178981,50.660739075436545,1670 days 00:00:00,42,0,0.0,222.45847457627121,-25.174995419612127,52.09186613149603,-8.332290357745602,402 days 03:25:42.857142860,76 days 01:08:34.285714286,9813.588553012854,0.659536352983227,0.29239916453092696,1.1324041767990716,0.3768806109307502,9.523834893678167,1.080097014661676,0.4495036881886895,-0.020468969928061055,None,None,0.0004715546245778378,0.11883176539361513,412.1707192265406,0.10006640197790251,0.21684028657726623,0.14723076548934816,239 days 02:17:08.571428573
Most Calmar Ratio,GD,false,84,89,false,42,50.0,6.158966247357179,0.002638853983412918,21.879787886875214,8.463355049260995,0.05541593365167127,0.11083186730334255,1.2124888738517177,0.9941294579143466,0,0,15916,15917 days 00:00:00,1000.0,413170.7192265399,41217.071922653995,35927.44647592585,100.0,5497.64008178981,50.660739075436545,1670 days 00:00:00,42,0,0.0,222.45847457627121,-25.174995419612127,52.09186613149603,-8.332290357745602,402 days 03:25:42.857142860,76 days 01:08:34.285714286,9813.588553012854,0.659536352983227,0.29239916453092696,1.1324041767990716,0.3768806109307502,9.523834893678167,1.080097014661676,0.4495036881886895,-0.020468969928061055,None,None,0.0004715546245778378,0.11883176539361513,412.1707192265406,0.10006640197790251,0.21684028657726623,0.14723076548934816,239 days 02:17:08.571428573
Most Total Return [%],GD,false,80,87,false,43,48.837209302325576,5.560127322837745,0.0027016838401608444,21.690566332369897,8.390161963156528,0.05673536064337773,0.11347072128675546,1.2306221034261131,0.9996878270363299,0,0,15916,15917 days 00:00:00,1000.0,421454.0836032975,42045.40836032975,35927.44647592585,100.0,6506.551875586483,55.04508243521303,1623 days 00:00:00,43,0,0.0,227.77692307692305,-23.253843335145913,52.97923869901504,-8.175893653973185,392 days 22:51:25.714285716,79 days 14:10:54.545454546,9778.00194426273,0.6629922247331597,0.2700592071093219,1.1334055448288693,0.3788315461495376,9.653656800632819,1.0820023647400265,0.447,-0.020331405617356933,None,None,0.00047201441772872226,0.118947633267638,420.4540836032985,0.1004121710974224,0.21592032825813678,0.17028657710208836,232 days 15:04:11.162790695
Most Sharpe Ratio,GD,false,80,87,false,43,48.837209302325576,5.560127322837745,0.0027016838401608444,21.690566332369897,8.390161963156528,0.05673536064337773,0.11347072128675546,1.2306221034261131,0.9996878270363299,0,0,15916,15917 days 00:00:00,1000.0,421454.0836032975,42045.40836032975,35927.44647592585,100.0,6506.551875586483,55.04508243521303,1623 days 00:00:00,43,0,0.0,227.77692307692305,-23.253843335145913,52.97923869901504,-8.175893653973185,392 days 22:51:25.714285716,79 days 14:10:54.545454546,9778.00194426273,0.6629922247331597,0.2700592071093219,1.1334055448288693,0.3788315461495376,9.653656800632819,1.0820023647400265,0.447,-0.020331405617356933,None,None,0.00047201441772872226,0.118947633267638,420.4540836032985,0.1004121710974224,0.21592032825813678,0.17028657710208836,232 days 15:04:11.162790695
Most Omega Ratio,GD,false,80,87,false,43,48.837209302325576,5.560127322837745,0.0027016838401608444,21.690566332369897,8.390161963156528,0.05673536064337773,0.11347072128675546,1.2306221034261131,0.9996878270363299,0,0,15916,15917 days 00:00:00,1000.0,421454.0836032975,42045.40836032975,35927.44647592585,100.0,6506.551875586483,55.04508243521303,1623 days 00:00:00,43,0,0.0,227.77692307692305,-23.253843335145913,52.97923869901504,-8.175893653973185,392 days 22:51:25.714285716,79 days 14:10:54.545454546,9778.00194426273,0.6629922247331597,0.2700592071093219,1.1334055448288693,0.3788315461495376,9.653656800632819,1.0820023647400265,0.447,-0.020331405617356933,None,None,0.00047201441772872226,0.118947633267638,420.4540836032985,0.1004121710974224,0.21592032825813678,0.17028657710208836,232 days 15:04:11.162790695
Most Sortino Ratio,GD,false,80,87,false,43,48.837209302325576,5.560127322837745,0.0027016838401608444,21.690566332369897,8.390161963156528,0.05673536064337773,0.11347072128675546,1.2306221034261131,0.9996878270363299,0,0,15916,15917 days 00:00:00,1000.0,421454.0836032975,42045.40836032975,35927.44647592585,100.0,6506.551875586483,55.04508243521303,1623 days 00:00:00,43,0,0.0,227.77692307692305,-23.253843335145913,52.97923869901504,-8.175893653973185,392 days 22:51:25.714285716,79 days 14:10:54.545454546,9778.00194426273,0.6629922247331597,0.2700592071093219,1.1334055448288693,0.3788315461495376,9.653656800632819,1.0820023647400265,0.447,-0.020331405617356933,None,None,0.00047201441772872226,0.118947633267638,420.4540836032985,0.1004121710974224,0.21592032825813678,0.17028657710208836,232 days 15:04:11.162790695
