Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
Most Best Trade [%],GLW,false,45,54,false,58,39.6551724137931,1.5479458425847725,0.005322077445402826,16.330430677913043,6.9183994398968505,0.11176362635345935,0.2235272527069187,1.8251481524773432,0.8163583972647234,0,0,10898,10899 days 00:00:00,1000.0,46018.87761679144,4501.887761679144,2021.7160029349889,100.0,2729.2970132154546,52.29205272705265,2952 days 00:00:00,58,0,0.0,559.6712411282558,-24.32934015273807,54.94978749549203,-9.04800380221029,216 days 16:41:44.347826084,41 days 15:05:08.571428571,776.1875451170943,0.5582201440372528,0.2616402507348911,1.1214019125192258,-0.2322252157580476,24.5346602433319,1.0950159851658348,0.40559711116842917,-0.023037558524616975,None,None,0.0004969443319102928,0.1252299716413938,45.018877616791215,0.09257029282248252,0.26999078376165475,1.2267656560781097,111 days 01:14:28.965517240
Mean Total Trades,GLW,false,25,73,false,67,38.80597014925373,1.5514990466957823,0.0061479170489998165,14.301445116899366,6.84909878503193,0.12910625802899614,0.2582125160579923,1.8464060634499364,0.9038383514702623,0,0,10898,10899 days 00:00:00,1000.0,70362.08564125864,6936.2085641258645,2021.7160029349889,100.0,4818.881603870481,50.593692039836455,2770 days 00:00:00,67,0,0.0,534.804546494555,-19.96043956043955,48.36062864756724,-7.297061512304652,198 days 08:18:27.692307692,31 days 04:05:51.219512195,1035.2550095710253,0.6049526889015513,0.30260231851608826,1.1310153358400608,0.36936268257246985,16.309431362675404,1.1083302144908347,0.40487238979118334,-0.02266109900882778,None,None,0.0005302954045602952,0.13363444194919438,69.36208564125873,0.1033493249120696,0.265853972933545,2.4308520850882873,96 days 01:04:28.656716417
Median Avg Winning Trade [%],GLW,false,25,73,false,67,38.80597014925373,1.5514990466957823,0.0061479170489998165,14.301445116899366,6.84909878503193,0.12910625802899614,0.2582125160579923,1.8464060634499364,0.9038383514702623,0,0,10898,10899 days 00:00:00,1000.0,70362.08564125864,6936.2085641258645,2021.7160029349889,100.0,4818.881603870481,50.593692039836455,2770 days 00:00:00,67,0,0.0,534.804546494555,-19.96043956043955,48.36062864756724,-7.297061512304652,198 days 08:18:27.692307692,31 days 04:05:51.219512195,1035.2550095710253,0.6049526889015513,0.30260231851608826,1.1310153358400608,0.36936268257246985,16.309431362675404,1.1083302144908347,0.40487238979118334,-0.02266109900882778,None,None,0.0005302954045602952,0.13363444194919438,69.36208564125873,0.1033493249120696,0.265853972933545,2.4308520850882873,96 days 01:04:28.656716417
Mean Calmar Ratio,GLW,false,41,59,false,59,38.983050847457626,1.5422260684143483,0.005413837401358047,15.993807344913328,6.775788707552157,0.113690585428519,0.227381170857038,1.8183453202741433,0.8058900073652067,0,0,10898,10899 days 00:00:00,1000.0,43052.20806635445,4205.220806635444,2021.7160029349889,100.0,2562.7457935215098,54.54416520293959,4764 days 00:00:00,59,0,0.0,559.6712411282557,-24.669892813357723,54.9432666584174,-8.890569438714271,216 days 19:49:33.913043480,40 days 06:00:00,712.7492892602447,0.5512546183560215,0.24619111781139283,1.1197959047184818,-0.23227435532472782,24.493137147629767,1.0948481920099233,0.40505350006445795,-0.023084667260026174,None,None,0.000490953187072541,0.12372020314228033,42.05220806635476,0.09088819270876436,0.2701061951630739,1.0800254835647503,109 days 02:02:02.033898306
Most Total Return [%],GLW,false,73,85,false,35,41.17647058823529,1.638683236322519,0.003119838502477519,26.19319851980089,6.75455478499194,0.06744356762708754,0.13296017617911543,1.7665627557399208,0.9736674084719639,0,0,10898,10899 days 00:00:00,1000.0,116715.1283839856,11571.51283839856,2021.7160029349889,100.0,3206.247811283412,58.955137380963706,2824 days 00:00:00,34,1,35090.7864023126,381.7798309403107,-20.941960729698504,77.71800460384294,-9.874165739028538,341 days 03:25:42.857142860,71 days 10:48:00,2371.3041759315597,0.6554777284848338,0.2931166255721044,1.142631807799755,0.030306601847658664,24.53639767036141,1.0971557063924975,0.4139854696419304,-0.022801400070796757,None,None,0.0005803250025618185,0.14624190064557827,115.71512838398466,0.11633578715900761,0.2685097403354508,4.723609459290934,182 days 12:00:00
Median Worst Trade [%],GLW,false,73,85,false,35,41.17647058823529,1.638683236322519,0.003119838502477519,26.19319851980089,6.75455478499194,0.06744356762708754,0.13296017617911543,1.7665627557399208,0.9736674084719639,0,0,10898,10899 days 00:00:00,1000.0,116715.1283839856,11571.51283839856,2021.7160029349889,100.0,3206.247811283412,58.955137380963706,2824 days 00:00:00,34,1,35090.7864023126,381.7798309403107,-20.941960729698504,77.71800460384294,-9.874165739028538,341 days 03:25:42.857142860,71 days 10:48:00,2371.3041759315597,0.6554777284848338,0.2931166255721044,1.142631807799755,0.030306601847658664,24.53639767036141,1.0971557063924975,0.4139854696419304,-0.022801400070796757,None,None,0.0005803250025618185,0.14624190064557827,115.71512838398466,0.11633578715900761,0.2685097403354508,4.723609459290934,182 days 12:00:00
Most Avg Winning Trade [%],GLW,false,73,85,false,35,41.17647058823529,1.638683236322519,0.003119838502477519,26.19319851980089,6.75455478499194,0.06744356762708754,0.13296017617911543,1.7665627557399208,0.9736674084719639,0,0,10898,10899 days 00:00:00,1000.0,116715.1283839856,11571.51283839856,2021.7160029349889,100.0,3206.247811283412,58.955137380963706,2824 days 00:00:00,34,1,35090.7864023126,381.7798309403107,-20.941960729698504,77.71800460384294,-9.874165739028538,341 days 03:25:42.857142860,71 days 10:48:00,2371.3041759315597,0.6554777284848338,0.2931166255721044,1.142631807799755,0.030306601847658664,24.53639767036141,1.0971557063924975,0.4139854696419304,-0.022801400070796757,None,None,0.0005803250025618185,0.14624190064557827,115.71512838398466,0.11633578715900761,0.2685097403354508,4.723609459290934,182 days 12:00:00
Most Expectancy,GLW,false,73,85,false,35,41.17647058823529,1.638683236322519,0.003119838502477519,26.19319851980089,6.75455478499194,0.06744356762708754,0.13296017617911543,1.7665627557399208,0.9736674084719639,0,0,10898,10899 days 00:00:00,1000.0,116715.1283839856,11571.51283839856,2021.7160029349889,100.0,3206.247811283412,58.955137380963706,2824 days 00:00:00,34,1,35090.7864023126,381.7798309403107,-20.941960729698504,77.71800460384294,-9.874165739028538,341 days 03:25:42.857142860,71 days 10:48:00,2371.3041759315597,0.6554777284848338,0.2931166255721044,1.142631807799755,0.030306601847658664,24.53639767036141,1.0971557063924975,0.4139854696419304,-0.022801400070796757,None,None,0.0005803250025618185,0.14624190064557827,115.71512838398466,0.11633578715900761,0.2685097403354508,4.723609459290934,182 days 12:00:00
Most Sharpe Ratio,GLW,false,73,85,false,35,41.17647058823529,1.638683236322519,0.003119838502477519,26.19319851980089,6.75455478499194,0.06744356762708754,0.13296017617911543,1.7665627557399208,0.9736674084719639,0,0,10898,10899 days 00:00:00,1000.0,116715.1283839856,11571.51283839856,2021.7160029349889,100.0,3206.247811283412,58.955137380963706,2824 days 00:00:00,34,1,35090.7864023126,381.7798309403107,-20.941960729698504,77.71800460384294,-9.874165739028538,341 days 03:25:42.857142860,71 days 10:48:00,2371.3041759315597,0.6554777284848338,0.2931166255721044,1.142631807799755,0.030306601847658664,24.53639767036141,1.0971557063924975,0.4139854696419304,-0.022801400070796757,None,None,0.0005803250025618185,0.14624190064557827,115.71512838398466,0.11633578715900761,0.2685097403354508,4.723609459290934,182 days 12:00:00
Most Omega Ratio,GLW,false,73,85,false,35,41.17647058823529,1.638683236322519,0.003119838502477519,26.19319851980089,6.75455478499194,0.06744356762708754,0.13296017617911543,1.7665627557399208,0.9736674084719639,0,0,10898,10899 days 00:00:00,1000.0,116715.1283839856,11571.51283839856,2021.7160029349889,100.0,3206.247811283412,58.955137380963706,2824 days 00:00:00,34,1,35090.7864023126,381.7798309403107,-20.941960729698504,77.71800460384294,-9.874165739028538,341 days 03:25:42.857142860,71 days 10:48:00,2371.3041759315597,0.6554777284848338,0.2931166255721044,1.142631807799755,0.030306601847658664,24.53639767036141,1.0971557063924975,0.4139854696419304,-0.022801400070796757,None,None,0.0005803250025618185,0.14624190064557827,115.71512838398466,0.11633578715900761,0.2685097403354508,4.723609459290934,182 days 12:00:00
