Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
Most Total Return [%],GOOG,false,8,56,false,59,52.54237288135594,3.0056355914272515,0.011381172839506173,7.236790327450169,4.132261929470533,0.23900462962962962,0.47800925925925924,1.7296263919195138,1.5937026087326476,0,0,5184,5185 days 00:00:00,1000.0,31999.14391393459,3099.914391393459,6465.476691555995,100.0,1477.4569708972094,27.68985296072608,481 days 00:00:00,59,0,0.0,73.37810246091277,-9.290627623238557,17.30740695724628,-3.9128209412526704,93 days 15:29:01.935483871,20 days 00:51:25.714285714,525.4092188802474,1.034308790879765,0.9978597246014769,1.2167704850820287,1.023802122907973,16.436315976544265,1.1072347472709532,0.5519305597126609,-0.02017284358200447,None,None,0.0007684934601211697,0.19366035195053474,30.999143913934525,0.18345660232620964,0.22533915568118218,-0.5205435671213552,58 days 17:05:05.084745762
Least Max Drawdown [%],GOOG,false,8,56,false,59,52.54237288135594,3.0056355914272515,0.011381172839506173,7.236790327450169,4.132261929470533,0.23900462962962962,0.47800925925925924,1.7296263919195138,1.5937026087326476,0,0,5184,5185 days 00:00:00,1000.0,31999.14391393459,3099.914391393459,6465.476691555995,100.0,1477.4569708972094,27.68985296072608,481 days 00:00:00,59,0,0.0,73.37810246091277,-9.290627623238557,17.30740695724628,-3.9128209412526704,93 days 15:29:01.935483871,20 days 00:51:25.714285714,525.4092188802474,1.034308790879765,0.9978597246014769,1.2167704850820287,1.023802122907973,16.436315976544265,1.1072347472709532,0.5519305597126609,-0.02017284358200447,None,None,0.0007684934601211697,0.19366035195053474,30.999143913934525,0.18345660232620964,0.22533915568118218,-0.5205435671213552,58 days 17:05:05.084745762
Mean Total Trades,GOOG,false,8,56,false,59,52.54237288135594,3.0056355914272515,0.011381172839506173,7.236790327450169,4.132261929470533,0.23900462962962962,0.47800925925925924,1.7296263919195138,1.5937026087326476,0,0,5184,5185 days 00:00:00,1000.0,31999.14391393459,3099.914391393459,6465.476691555995,100.0,1477.4569708972094,27.68985296072608,481 days 00:00:00,59,0,0.0,73.37810246091277,-9.290627623238557,17.30740695724628,-3.9128209412526704,93 days 15:29:01.935483871,20 days 00:51:25.714285714,525.4092188802474,1.034308790879765,0.9978597246014769,1.2167704850820287,1.023802122907973,16.436315976544265,1.1072347472709532,0.5519305597126609,-0.02017284358200447,None,None,0.0007684934601211697,0.19366035195053474,30.999143913934525,0.18345660232620964,0.22533915568118218,-0.5205435671213552,58 days 17:05:05.084745762
Most Profit Factor,GOOG,false,8,56,false,59,52.54237288135594,3.0056355914272515,0.011381172839506173,7.236790327450169,4.132261929470533,0.23900462962962962,0.47800925925925924,1.7296263919195138,1.5937026087326476,0,0,5184,5185 days 00:00:00,1000.0,31999.14391393459,3099.914391393459,6465.476691555995,100.0,1477.4569708972094,27.68985296072608,481 days 00:00:00,59,0,0.0,73.37810246091277,-9.290627623238557,17.30740695724628,-3.9128209412526704,93 days 15:29:01.935483871,20 days 00:51:25.714285714,525.4092188802474,1.034308790879765,0.9978597246014769,1.2167704850820287,1.023802122907973,16.436315976544265,1.1072347472709532,0.5519305597126609,-0.02017284358200447,None,None,0.0007684934601211697,0.19366035195053474,30.999143913934525,0.18345660232620964,0.22533915568118218,-0.5205435671213552,58 days 17:05:05.084745762
Most Expectancy,GOOG,false,8,56,false,59,52.54237288135594,3.0056355914272515,0.011381172839506173,7.236790327450169,4.132261929470533,0.23900462962962962,0.47800925925925924,1.7296263919195138,1.5937026087326476,0,0,5184,5185 days 00:00:00,1000.0,31999.14391393459,3099.914391393459,6465.476691555995,100.0,1477.4569708972094,27.68985296072608,481 days 00:00:00,59,0,0.0,73.37810246091277,-9.290627623238557,17.30740695724628,-3.9128209412526704,93 days 15:29:01.935483871,20 days 00:51:25.714285714,525.4092188802474,1.034308790879765,0.9978597246014769,1.2167704850820287,1.023802122907973,16.436315976544265,1.1072347472709532,0.5519305597126609,-0.02017284358200447,None,None,0.0007684934601211697,0.19366035195053474,30.999143913934525,0.18345660232620964,0.22533915568118218,-0.5205435671213552,58 days 17:05:05.084745762
Most Sharpe Ratio,GOOG,false,8,56,false,59,52.54237288135594,3.0056355914272515,0.011381172839506173,7.236790327450169,4.132261929470533,0.23900462962962962,0.47800925925925924,1.7296263919195138,1.5937026087326476,0,0,5184,5185 days 00:00:00,1000.0,31999.14391393459,3099.914391393459,6465.476691555995,100.0,1477.4569708972094,27.68985296072608,481 days 00:00:00,59,0,0.0,73.37810246091277,-9.290627623238557,17.30740695724628,-3.9128209412526704,93 days 15:29:01.935483871,20 days 00:51:25.714285714,525.4092188802474,1.034308790879765,0.9978597246014769,1.2167704850820287,1.023802122907973,16.436315976544265,1.1072347472709532,0.5519305597126609,-0.02017284358200447,None,None,0.0007684934601211697,0.19366035195053474,30.999143913934525,0.18345660232620964,0.22533915568118218,-0.5205435671213552,58 days 17:05:05.084745762
Most Calmar Ratio,GOOG,false,8,56,false,59,52.54237288135594,3.0056355914272515,0.011381172839506173,7.236790327450169,4.132261929470533,0.23900462962962962,0.47800925925925924,1.7296263919195138,1.5937026087326476,0,0,5184,5185 days 00:00:00,1000.0,31999.14391393459,3099.914391393459,6465.476691555995,100.0,1477.4569708972094,27.68985296072608,481 days 00:00:00,59,0,0.0,73.37810246091277,-9.290627623238557,17.30740695724628,-3.9128209412526704,93 days 15:29:01.935483871,20 days 00:51:25.714285714,525.4092188802474,1.034308790879765,0.9978597246014769,1.2167704850820287,1.023802122907973,16.436315976544265,1.1072347472709532,0.5519305597126609,-0.02017284358200447,None,None,0.0007684934601211697,0.19366035195053474,30.999143913934525,0.18345660232620964,0.22533915568118218,-0.5205435671213552,58 days 17:05:05.084745762
Most Sortino Ratio,GOOG,false,8,56,false,59,52.54237288135594,3.0056355914272515,0.011381172839506173,7.236790327450169,4.132261929470533,0.23900462962962962,0.47800925925925924,1.7296263919195138,1.5937026087326476,0,0,5184,5185 days 00:00:00,1000.0,31999.14391393459,3099.914391393459,6465.476691555995,100.0,1477.4569708972094,27.68985296072608,481 days 00:00:00,59,0,0.0,73.37810246091277,-9.290627623238557,17.30740695724628,-3.9128209412526704,93 days 15:29:01.935483871,20 days 00:51:25.714285714,525.4092188802474,1.034308790879765,0.9978597246014769,1.2167704850820287,1.023802122907973,16.436315976544265,1.1072347472709532,0.5519305597126609,-0.02017284358200447,None,None,0.0007684934601211697,0.19366035195053474,30.999143913934525,0.18345660232620964,0.22533915568118218,-0.5205435671213552,58 days 17:05:05.084745762
Least Max Drawdown Duration,GOOG,false,8,56,false,59,52.54237288135594,3.0056355914272515,0.011381172839506173,7.236790327450169,4.132261929470533,0.23900462962962962,0.47800925925925924,1.7296263919195138,1.5937026087326476,0,0,5184,5185 days 00:00:00,1000.0,31999.14391393459,3099.914391393459,6465.476691555995,100.0,1477.4569708972094,27.68985296072608,481 days 00:00:00,59,0,0.0,73.37810246091277,-9.290627623238557,17.30740695724628,-3.9128209412526704,93 days 15:29:01.935483871,20 days 00:51:25.714285714,525.4092188802474,1.034308790879765,0.9978597246014769,1.2167704850820287,1.023802122907973,16.436315976544265,1.1072347472709532,0.5519305597126609,-0.02017284358200447,None,None,0.0007684934601211697,0.19366035195053474,30.999143913934525,0.18345660232620964,0.22533915568118218,-0.5205435671213552,58 days 17:05:05.084745762
Least Best Trade [%],GOOG,false,9,47,false,62,51.61290322580645,2.5415978176559544,0.011959876543209876,6.822358884899791,4.0212835571337875,0.2511574074074074,0.5023148148148148,1.7134859699343223,1.5810681468014793,0,0,5184,5185 days 00:00:00,1000.0,30542.33128243798,2954.2331282437976,6465.476691555995,100.0,1578.5768677516933,35.12313153055864,855 days 00:00:00,62,0,0.0,70.70120759527548,-9.290627623238565,17.03394621756277,-4.0700009366073875,91 days 23:15:00,15 days 12:00:00,476.4892142328706,1.0232616803707044,0.7747780877546845,1.217113688369196,1.0700676522685324,16.80639990460133,1.1142874076842175,0.536751630112626,-0.02010082734505077,None,None,0.00075916941935659,0.1913106936778607,29.542331282438376,0.18077955164926585,0.22500838240924664,-0.5430757438036907,54 days 23:13:32.903225806
