Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
Mean Total Return [%],GPC,true,66,88,false,95,54.736842105263165,1.398321738958638,0.008369306669015945,2.108766973544948,1.8922499158643191,0.17575544004933485,0.3515108800986697,0.3706272673968964,0.4786178555035618,0,0,11351,11352 days 00:00:00,1000.0,4428.79218773358,342.87921877335805,2722.373317038613,100.0,543.3274139740394,48.56466984056896,1664 days 00:00:00,95,0,0.0,36.30193140089671,-19.698554216867457,9.141597146417215,-6.396050909928494,100 days 20:18:27.692307692,36 days 11:43:15.348837209,36.09254934456398,0.3329825950376304,0.10091864669245207,1.0653599867923644,-0.3481636566900452,20.404349339006085,1.04648677994021,0.4052983411735578,-0.017088697933017632,None,None,0.00019201519218233176,0.048387828429947606,3.4287921877335767,0.03358622790268573,0.17488830166417516,-0.8740513592947126,71 days 17:10:44.210526315
Least Avg Winning Trade Duration,GPC,true,66,88,false,95,54.736842105263165,1.398321738958638,0.008369306669015945,2.108766973544948,1.8922499158643191,0.17575544004933485,0.3515108800986697,0.3706272673968964,0.4786178555035618,0,0,11351,11352 days 00:00:00,1000.0,4428.79218773358,342.87921877335805,2722.373317038613,100.0,543.3274139740394,48.56466984056896,1664 days 00:00:00,95,0,0.0,36.30193140089671,-19.698554216867457,9.141597146417215,-6.396050909928494,100 days 20:18:27.692307692,36 days 11:43:15.348837209,36.09254934456398,0.3329825950376304,0.10091864669245207,1.0653599867923644,-0.3481636566900452,20.404349339006085,1.04648677994021,0.4052983411735578,-0.017088697933017632,None,None,0.00019201519218233176,0.048387828429947606,3.4287921877335767,0.03358622790268573,0.17488830166417516,-0.8740513592947126,71 days 17:10:44.210526315
Most Avg Winning Trade Duration,GPC,true,70,88,false,98,51.02040816326531,1.352295668856382,0.008633600563826976,2.2362001272450804,1.870358085685079,0.18130561184036648,0.36261122368073295,0.40543563226767465,0.509064171257828,0,0,11351,11352 days 00:00:00,1000.0,5062.8714482135065,406.2871448213507,2722.373317038613,100.0,661.8237667705705,48.917565042573656,2226 days 00:00:00,98,0,0.0,39.7600051446919,-17.924659391092895,10.426898614861667,-6.295777464022197,99 days 05:16:48,38 days 11:00:00,41.457871920546,0.3530180884997538,0.10943650073854208,1.0697186041616717,-0.2798225682659863,20.810810996582894,1.0456067623377447,0.4068657826248606,-0.017062284136168445,None,None,0.00020408243675223533,0.05142877406156331,4.062871448213493,0.03666089811487727,0.17532965357969058,-0.8507599445386467,69 days 11:01:13.469387755
Median Total Trades,GPC,true,79,89,false,119,54.621848739495796,1.5756712403434918,0.010483657827504185,2.060252708477683,1.8448329804525332,0.22015681437758788,0.44031362875517577,0.45357867311124395,0.5986731836006435,0,0,11351,11352 days 00:00:00,1000.0,7201.085692415098,620.1085692415097,2722.373317038613,100.0,846.0947565714913,52.90272736193343,3626 days 00:00:00,119,0,0.0,26.273504051444878,-18.85046210720886,7.909041864888786,-4.97995646127642,70 days 19:12:00,39 days 13:20:00,52.10996380180755,0.40966897928193585,0.1238789174756532,1.0808698836695074,0.20284402667061027,10.280963883567706,1.0625838659513274,0.4013084804345143,-0.016876158909292612,None,None,0.000232796225550092,0.058664648838623185,6.201085692415124,0.0447999605336733,0.172341376518137,-0.7722176582614828,56 days 14:55:27.731092436
Least Max Drawdown [%],GPC,true,59,89,false,79,50.63291139240506,1.4675384898006172,0.006959739230023787,2.463134086528099,1.8147976323655177,0.1461545238304995,0.292309047660999,0.3599981895471867,0.4632677643206501,0,0,11351,11352 days 00:00:00,1000.0,4157.857434525311,315.78574345253105,2722.373317038613,100.0,378.5633977316596,42.09632647392561,2479 days 00:00:00,79,0,0.0,33.96653624550157,-20.44117211173562,11.363964909278101,-6.665923167574468,125 days 03:36:00,46 days 01:13:50.769230769,39.972878918041914,0.3240865950873049,0.11137259485287034,1.0638241368969912,-0.43694154805457835,20.984355445058238,1.0416679221009766,0.4037343885247929,-0.016919214144834237,None,None,0.00018576524559546942,0.04681284189005829,3.157857434525317,0.03213883722910316,0.1738401550379376,-0.884003512128145,86 days 02:25:49.367088607
Mean Best Trade [%],GPC,true,59,89,false,79,50.63291139240506,1.4675384898006172,0.006959739230023787,2.463134086528099,1.8147976323655177,0.1461545238304995,0.292309047660999,0.3599981895471867,0.4632677643206501,0,0,11351,11352 days 00:00:00,1000.0,4157.857434525311,315.78574345253105,2722.373317038613,100.0,378.5633977316596,42.09632647392561,2479 days 00:00:00,79,0,0.0,33.96653624550157,-20.44117211173562,11.363964909278101,-6.665923167574468,125 days 03:36:00,46 days 01:13:50.769230769,39.972878918041914,0.3240865950873049,0.11137259485287034,1.0638241368969912,-0.43694154805457835,20.984355445058238,1.0416679221009766,0.4037343885247929,-0.016919214144834237,None,None,0.00018576524559546942,0.04681284189005829,3.157857434525317,0.03213883722910316,0.1738401550379376,-0.884003512128145,86 days 02:25:49.367088607
Mean Omega Ratio,GPC,true,59,89,false,79,50.63291139240506,1.4675384898006172,0.006959739230023787,2.463134086528099,1.8147976323655177,0.1461545238304995,0.292309047660999,0.3599981895471867,0.4632677643206501,0,0,11351,11352 days 00:00:00,1000.0,4157.857434525311,315.78574345253105,2722.373317038613,100.0,378.5633977316596,42.09632647392561,2479 days 00:00:00,79,0,0.0,33.96653624550157,-20.44117211173562,11.363964909278101,-6.665923167574468,125 days 03:36:00,46 days 01:13:50.769230769,39.972878918041914,0.3240865950873049,0.11137259485287034,1.0638241368969912,-0.43694154805457835,20.984355445058238,1.0416679221009766,0.4037343885247929,-0.016919214144834237,None,None,0.00018576524559546942,0.04681284189005829,3.157857434525317,0.03213883722910316,0.1738401550379376,-0.884003512128145,86 days 02:25:49.367088607
Mean Profit Factor,GPC,true,65,88,false,91,52.74725274725275,1.3556825062429116,0.008016914809267906,2.049729852011369,1.7724199765185682,0.16835521099462603,0.33671042198925205,0.3450827017173576,0.4499578657840226,0,0,11351,11352 days 00:00:00,1000.0,3904.630093048682,290.4630093048682,2722.373317038613,100.0,508.84998015318104,48.10543203706021,2236 days 00:00:00,91,0,0.0,36.30193140089672,-19.69855421686745,9.576562164947621,-6.352315520568634,109 days 12:30:00,36 days 17:51:37.674418605,31.91901201152399,0.3134853897089038,0.09306806436688767,1.0613871339723928,-0.3505604814521452,20.34220072903811,1.0448838584136788,0.40634291377601583,-0.017125888546459474,None,None,0.0001812266415007233,0.04566911365818227,2.9046300930487057,0.03070011213845758,0.1753280650386925,-0.8933052247144294,75 days 03:09:53.406593407
Least Win Rate [%],GPC,true,67,89,false,92,50.0,1.3660672024869447,0.008105012774204915,2.1509842524069422,1.7631018462351986,0.17020526825830323,0.34041053651660647,0.36610885170030943,0.474058546146325,0,0,11351,11352 days 00:00:00,1000.0,4345.214241526301,334.52142415263006,2722.373317038613,100.0,560.3015350684359,48.87554867016398,1597 days 00:00:00,92,0,0.0,32.60848578890821,-17.959999999999987,10.298221939531201,-5.996253434717317,109 days 03:07:49.565217392,39 days 09:54:46.956521739,36.36102436441625,0.3301641707886887,0.0989623865015314,1.0646944379549306,-0.35690143844477257,20.4323374326125,1.0436338358651363,0.40738904041656326,-0.017152798980207523,None,None,0.00019025291672095538,0.04794373501368075,3.3452142415263166,0.03314918918175769,0.17476243373962877,-0.8771213991633884,74 days 06:31:18.260869565
Median Omega Ratio,GPC,true,67,89,false,92,50.0,1.3660672024869447,0.008105012774204915,2.1509842524069422,1.7631018462351986,0.17020526825830323,0.34041053651660647,0.36610885170030943,0.474058546146325,0,0,11351,11352 days 00:00:00,1000.0,4345.214241526301,334.52142415263006,2722.373317038613,100.0,560.3015350684359,48.87554867016398,1597 days 00:00:00,92,0,0.0,32.60848578890821,-17.959999999999987,10.298221939531201,-5.996253434717317,109 days 03:07:49.565217392,39 days 09:54:46.956521739,36.36102436441625,0.3301641707886887,0.0989623865015314,1.0646944379549306,-0.35690143844477257,20.4323374326125,1.0436338358651363,0.40738904041656326,-0.017152798980207523,None,None,0.00019025291672095538,0.04794373501368075,3.3452142415263166,0.03314918918175769,0.17476243373962877,-0.8771213991633884,74 days 06:31:18.260869565
