Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
Least Total Trades,HRL,false,84,86,false,37,43.24324324324324,2.0078296415233305,0.0032596247026693685,10.104002140005242,2.9777865949545754,0.06845211875605674,0.13690423751211347,0.6916403543990902,0.6202064550978201,0,0,11351,11352 days 00:00:00,1000.0,9814.726647969059,881.4726647969059,11587.441450220429,100.0,361.6889885648593,46.264864672100245,2292 days 00:00:00,37,0,0.0,139.98908487692648,-18.62424195635977,34.218282153076146,-8.268782631858299,379 days 12:00:00,70 days 14:51:25.714285714,238.23585535051507,0.4226443233694688,0.1646973805771486,1.0827032683124294,0.46299106974363885,16.956037048137006,1.040452916180079,0.4572528883183568,-0.018712842670052902,None,None,0.0002825383508722974,0.07119966441981894,8.814726647968946,0.052006535956755195,0.20274449378682174,-0.9239286197402846,204 days 04:32:25.945945945
Most Expectancy,HRL,false,84,86,false,37,43.24324324324324,2.0078296415233305,0.0032596247026693685,10.104002140005242,2.9777865949545754,0.06845211875605674,0.13690423751211347,0.6916403543990902,0.6202064550978201,0,0,11351,11352 days 00:00:00,1000.0,9814.726647969059,881.4726647969059,11587.441450220429,100.0,361.6889885648593,46.264864672100245,2292 days 00:00:00,37,0,0.0,139.98908487692648,-18.62424195635977,34.218282153076146,-8.268782631858299,379 days 12:00:00,70 days 14:51:25.714285714,238.23585535051507,0.4226443233694688,0.1646973805771486,1.0827032683124294,0.46299106974363885,16.956037048137006,1.040452916180079,0.4572528883183568,-0.018712842670052902,None,None,0.0002825383508722974,0.07119966441981894,8.814726647968946,0.052006535956755195,0.20274449378682174,-0.9239286197402846,204 days 04:32:25.945945945
Most Sharpe Ratio,HRL,false,84,86,false,37,43.24324324324324,2.0078296415233305,0.0032596247026693685,10.104002140005242,2.9777865949545754,0.06845211875605674,0.13690423751211347,0.6916403543990902,0.6202064550978201,0,0,11351,11352 days 00:00:00,1000.0,9814.726647969059,881.4726647969059,11587.441450220429,100.0,361.6889885648593,46.264864672100245,2292 days 00:00:00,37,0,0.0,139.98908487692648,-18.62424195635977,34.218282153076146,-8.268782631858299,379 days 12:00:00,70 days 14:51:25.714285714,238.23585535051507,0.4226443233694688,0.1646973805771486,1.0827032683124294,0.46299106974363885,16.956037048137006,1.040452916180079,0.4572528883183568,-0.018712842670052902,None,None,0.0002825383508722974,0.07119966441981894,8.814726647968946,0.052006535956755195,0.20274449378682174,-0.9239286197402846,204 days 04:32:25.945945945
Most Omega Ratio,HRL,false,84,86,false,37,43.24324324324324,2.0078296415233305,0.0032596247026693685,10.104002140005242,2.9777865949545754,0.06845211875605674,0.13690423751211347,0.6916403543990902,0.6202064550978201,0,0,11351,11352 days 00:00:00,1000.0,9814.726647969059,881.4726647969059,11587.441450220429,100.0,361.6889885648593,46.264864672100245,2292 days 00:00:00,37,0,0.0,139.98908487692648,-18.62424195635977,34.218282153076146,-8.268782631858299,379 days 12:00:00,70 days 14:51:25.714285714,238.23585535051507,0.4226443233694688,0.1646973805771486,1.0827032683124294,0.46299106974363885,16.956037048137006,1.040452916180079,0.4572528883183568,-0.018712842670052902,None,None,0.0002825383508722974,0.07119966441981894,8.814726647968946,0.052006535956755195,0.20274449378682174,-0.9239286197402846,204 days 04:32:25.945945945
Most Sortino Ratio,HRL,false,84,86,false,37,43.24324324324324,2.0078296415233305,0.0032596247026693685,10.104002140005242,2.9777865949545754,0.06845211875605674,0.13690423751211347,0.6916403543990902,0.6202064550978201,0,0,11351,11352 days 00:00:00,1000.0,9814.726647969059,881.4726647969059,11587.441450220429,100.0,361.6889885648593,46.264864672100245,2292 days 00:00:00,37,0,0.0,139.98908487692648,-18.62424195635977,34.218282153076146,-8.268782631858299,379 days 12:00:00,70 days 14:51:25.714285714,238.23585535051507,0.4226443233694688,0.1646973805771486,1.0827032683124294,0.46299106974363885,16.956037048137006,1.040452916180079,0.4572528883183568,-0.018712842670052902,None,None,0.0002825383508722974,0.07119966441981894,8.814726647968946,0.052006535956755195,0.20274449378682174,-0.9239286197402846,204 days 04:32:25.945945945
Least Avg Losing Trade [%],HRL,false,80,88,false,37,43.24324324324324,1.873706779764122,0.0032596247026693685,9.737405185197535,2.8697454957296107,0.06845211875605674,0.13690423751211347,0.6665460161129843,0.5921198817090382,0,0,11351,11352 days 00:00:00,1000.0,8530.64682422804,753.064682422804,11587.441450220429,100.0,326.94661321545914,46.59249793792658,2292 days 00:00:00,37,0,0.0,139.98908487692648,-18.62424195635976,33.831185054349746,-8.619760429394622,379 days 04:30:00,70 days 11:25:42.857142858,203.53099524940657,0.4040336104756899,0.15314904813399344,1.0789744054565922,0.45562886147942994,16.926590475854866,1.0407107479593962,0.45557122708039494,-0.01874731538204823,None,None,0.0002703306623584489,0.06812332691432912,7.5306468242280555,0.04873706808662637,0.20291984257427056,-0.9350102707609816,203 days 23:21:04.864864864
Most Best Trade [%],HRL,false,87,89,false,39,41.02564102564102,1.9775439989967742,0.0034358206325433883,9.657687992967439,2.846251756999061,0.07215223328341115,0.1443044665668223,0.6968237570469855,0.6037414538769675,0,0,11351,11352 days 00:00:00,1000.0,9102.314750572548,810.2314750572548,11587.441450220429,100.0,373.6988372757327,48.52725355562464,2560 days 00:00:00,39,0,0.0,160.2949050957485,-21.49847055860162,34.44078046610217,-7.582724162256721,380 days 15:00:00,65 days 05:13:02.608695652,207.7516602710909,0.4118803353171649,0.15165224309047598,1.0803312514883874,0.4505930857068186,16.730778732541843,1.042255240946417,0.4596888260254597,-0.018779342723004733,None,None,0.0002767253246789718,0.0697347818191009,8.102314750572557,0.05024822051284472,0.20376263616936646,-0.9300767577952386,194 days 14:46:09.230769231
Most Total Return [%],HRL,false,85,89,false,40,40.0,2.0363826073660065,0.003523918597480398,9.47938952514024,2.7937047780851696,0.07400229054708836,0.14800458109417672,0.701496537848454,0.6198673588217917,0,0,11351,11352 days 00:00:00,1000.0,9825.939122931622,882.5939122931622,11587.441450220429,100.0,418.1844525617292,45.00734376713446,2560 days 00:00:00,40,0,0.0,153.14465117155257,-15.413193256144012,34.09755786052622,-6.9327226984504176,380 days 07:30:00,62 days 02:00:00,220.64847807329056,0.4222613715797619,0.16938686627180802,1.082470188577421,0.46698004407248717,16.793264414755434,1.041862404347471,0.4591259640102827,-0.018763201803803246,None,None,0.0002831158528373479,0.07134519491501168,8.82593912293159,0.05203320008712131,0.2033431451478924,-0.9238318557133791,189 days 09:00:00
Most Avg Losing Trade Duration,HRL,false,81,86,false,37,40.54054054054054,1.9137912273479378,0.0032596247026693685,9.954023829882225,2.750236829033586,0.06845211875605674,0.13690423751211347,0.6813740213037167,0.6071592735040227,0,0,11351,11352 days 00:00:00,1000.0,9193.580805225147,819.3580805225146,11587.441450220429,100.0,345.1545086122476,46.59249793792658,2292 days 00:00:00,37,0,0.0,139.00466383766522,-18.624241956359775,36.44275351808168,-8.106473684799226,393 days 20:48:00,74 days 14:10:54.545454546,221.44812987095003,0.41405410790677943,0.15868887911735724,1.0810237011662616,0.4582975411561846,16.98257030226343,1.0405917123431134,0.4561313494099538,-0.018712842670052868,None,None,0.00027676217012592003,0.06974406687173185,8.1935808052252,0.05048084606009273,0.20271987614724962,-0.9292891287483548,204 days 00:38:55.135135136
Least Worst Trade [%],HRL,false,88,89,false,38,39.473684210526315,2.0413788923865464,0.003347722667606378,9.94031789999065,2.7464499631582195,0.07030217601973394,0.1406043520394679,0.6988259786972547,0.6092238925236293,0,0,11351,11352 days 00:00:00,1000.0,9373.340367428866,837.3340367428865,11587.441450220429,100.0,366.1473978146225,48.52725355562463,2292 days 00:00:00,38,0,0.0,160.29490509574848,-21.498470558601632,36.66208398245612,-7.486920849443353,395 days 11:11:59.999999996,72 days 11:28:41.739130435,220.35106230075965,0.41561658056862655,0.15374034082720966,1.0810054827495488,0.4490629363443726,16.681969988433796,1.0411583105286746,0.46081585381546775,-0.01878930244560224,None,None,0.00027941887239427957,0.07041355584335846,8.373340367428753,0.05093249949342171,0.2038964072589435,-0.9277377978270641,199 days 23:22:06.315789472
