Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Profit Factor,HUM,false,43,89,46,41.30434782608695,1.4257066735105317,4.2333885514448735,230.0174465516959,100.32900561253955,0.08890115958034234,1,20.448817722155184,0.5957726289550663,0,0,10866,10867 days 00:00:00,1000.0,11580.802541378012,1058.0802541378014,2546.925647769143,100.0,662.5278167822958,58.88038771681982,1676 days 00:00:00,46,0,0.0,159.84279311043645,-47.02181710174623,40.00681769277754,-10.406644462141964,261 days 06:18:56.842105260,59 days 18:40:00,0.41765334840631063,0.1456297222546526,1.0859557955102572,-0.5845657076544123,142 days 23:59:59.999999997,0
Most Expectancy,HUM,false,43,89,46,41.30434782608695,1.4257066735105317,4.2333885514448735,230.0174465516959,100.32900561253955,0.08890115958034234,1,20.448817722155184,0.5957726289550663,0,0,10866,10867 days 00:00:00,1000.0,11580.802541378012,1058.0802541378014,2546.925647769143,100.0,662.5278167822958,58.88038771681982,1676 days 00:00:00,46,0,0.0,159.84279311043645,-47.02181710174623,40.00681769277754,-10.406644462141964,261 days 06:18:56.842105260,59 days 18:40:00,0.41765334840631063,0.1456297222546526,1.0859557955102572,-0.5845657076544123,142 days 23:59:59.999999997,0
Most Total Return [%],HUM,false,42,88,48,39.58333333333333,1.3884861821152255,4.417448923246825,224.62759202332802,97.97805896334326,0.09276642738818333,1,20.837899204814526,0.5988984717103326,0,0,10866,10867 days 00:00:00,1000.0,11782.124417119736,1078.2124417119735,2546.925647769143,100.0,766.3303605105774,58.892417771365714,1676 days 00:00:00,48,0,0.0,155.73227449789516,-47.02181710174623,40.9589270239634,-9.92329253519206,260 days 15:09:28.421052632,55 days 16:33:06.206896552,0.41961937786850456,0.14666751078916182,1.0864122206449391,-0.5766612022394992,136 days 19:29:59.999999998,0
Most Sharpe Ratio,HUM,false,42,88,48,39.58333333333333,1.3884861821152255,4.417448923246825,224.62759202332802,97.97805896334326,0.09276642738818333,1,20.837899204814526,0.5988984717103326,0,0,10866,10867 days 00:00:00,1000.0,11782.124417119736,1078.2124417119735,2546.925647769143,100.0,766.3303605105774,58.892417771365714,1676 days 00:00:00,48,0,0.0,155.73227449789516,-47.02181710174623,40.9589270239634,-9.92329253519206,260 days 15:09:28.421052632,55 days 16:33:06.206896552,0.41961937786850456,0.14666751078916182,1.0864122206449391,-0.5766612022394992,136 days 19:29:59.999999998,0
Most Calmar Ratio,HUM,false,42,88,48,39.58333333333333,1.3884861821152255,4.417448923246825,224.62759202332802,97.97805896334326,0.09276642738818333,1,20.837899204814526,0.5988984717103326,0,0,10866,10867 days 00:00:00,1000.0,11782.124417119736,1078.2124417119735,2546.925647769143,100.0,766.3303605105774,58.892417771365714,1676 days 00:00:00,48,0,0.0,155.73227449789516,-47.02181710174623,40.9589270239634,-9.92329253519206,260 days 15:09:28.421052632,55 days 16:33:06.206896552,0.41961937786850456,0.14666751078916182,1.0864122206449391,-0.5766612022394992,136 days 19:29:59.999999998,0
Most Omega Ratio,HUM,false,42,88,48,39.58333333333333,1.3884861821152255,4.417448923246825,224.62759202332802,97.97805896334326,0.09276642738818333,1,20.837899204814526,0.5988984717103326,0,0,10866,10867 days 00:00:00,1000.0,11782.124417119736,1078.2124417119735,2546.925647769143,100.0,766.3303605105774,58.892417771365714,1676 days 00:00:00,48,0,0.0,155.73227449789516,-47.02181710174623,40.9589270239634,-9.92329253519206,260 days 15:09:28.421052632,55 days 16:33:06.206896552,0.41961937786850456,0.14666751078916182,1.0864122206449391,-0.5766612022394992,136 days 19:29:59.999999998,0
Most Sortino Ratio,HUM,false,42,88,48,39.58333333333333,1.3884861821152255,4.417448923246825,224.62759202332802,97.97805896334326,0.09276642738818333,1,20.837899204814526,0.5988984717103326,0,0,10866,10867 days 00:00:00,1000.0,11782.124417119736,1078.2124417119735,2546.925647769143,100.0,766.3303605105774,58.892417771365714,1676 days 00:00:00,48,0,0.0,155.73227449789516,-47.02181710174623,40.9589270239634,-9.92329253519206,260 days 15:09:28.421052632,55 days 16:33:06.206896552,0.41961937786850456,0.14666751078916182,1.0864122206449391,-0.5766612022394992,136 days 19:29:59.999999998,0
Most Win Rate [%],HUM,false,50,89,42,45.23809523809524,1.3217215298465204,3.865267807840972,162.09687956278424,70.70341395070939,0.08117062396466042,1,13.157504856835608,0.5362224239415952,0,0,10866,10867 days 00:00:00,1000.0,7808.0689416369405,680.8068941636941,2546.925647769143,100.0,481.12819794945676,61.55589075088653,2440 days 00:00:00,42,0,0.0,149.7815195994387,-48.53589566886093,36.642337363136534,-11.770345104732005,264 days 07:34:44.210526316,68 days 22:57:23.478260870,0.3768450674060811,0.11610055379837524,1.0767147894975635,-0.7326946333278264,157 days 08:00:00,0
Median Win Rate [%],HUM,false,38,81,53,37.735849056603776,1.3005790027447348,4.877599852751702,139.21355983944937,63.91807155162964,0.10242959690778575,1,14.259588818452709,0.5448101007911138,0,0,10866,10867 days 00:00:00,1000.0,8378.318671490812,737.8318671490812,2546.925647769143,100.0,604.3243840966423,60.59449438259954,2081 days 00:00:00,53,0,0.0,145.3417253519547,-43.71866750000613,38.967989853081,-10.423506247273977,243 days 01:12:00,50 days 23:16:21.818181818,0.38411822454114053,0.12213409756145162,1.079330016974645,-0.7103049051332341,123 days 10:52:04.528301887,0
Mean Total Fees Paid,HUM,false,47,81,48,37.5,1.3379954841260193,4.417448923246825,148.96120702387952,61.55421777846261,0.09276642738818333,1,13.818598995036865,0.5413065208915981,0,0,10866,10867 days 00:00:00,1000.0,8150.137937146222,715.0137937146222,2546.925647769143,100.0,534.2733667379409,59.18221082470747,2341 days 00:00:00,48,0,0.0,155.7322744978951,-47.02181710174622,42.76968457154891,-10.469011428476707,266 days 08:00:00,58 days 21:36:00,0.38123322073641325,0.12336632791741739,1.0784761625338708,-0.7192639705281918,136 days 16:30:00,0
