Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Total Return [%],HUM,true,40,87,59,45.76271186440678,1.4601632711374188,5.429780968157555,608.8304422612161,377.37424107100173,0.11402540033130866,1,69.42213491272287,0.76994855810892,0,0,10866,10867 days 00:00:00,1000.0,36920.99609341179,3592.0996093411795,2546.925647769143,100.0,2567.604660126033,72.74022725086895,1899 days 00:00:00,59,0,0.0,92.8285753225614,-39.22727272727272,33.65249736055367,-10.133016355445278,172 days 09:46:40.000000002,55 days 15:45:00,0.5313082808389742,0.17715587612389452,1.1130644813950035,0.41036689174162055,109 days 02:02:02.033898306,0
Most Expectancy,HUM,true,40,87,59,45.76271186440678,1.4601632711374188,5.429780968157555,608.8304422612161,377.37424107100173,0.11402540033130866,1,69.42213491272287,0.76994855810892,0,0,10866,10867 days 00:00:00,1000.0,36920.99609341179,3592.0996093411795,2546.925647769143,100.0,2567.604660126033,72.74022725086895,1899 days 00:00:00,59,0,0.0,92.8285753225614,-39.22727272727272,33.65249736055367,-10.133016355445278,172 days 09:46:40.000000002,55 days 15:45:00,0.5313082808389742,0.17715587612389452,1.1130644813950035,0.41036689174162055,109 days 02:02:02.033898306,0
Most Sharpe Ratio,HUM,true,40,87,59,45.76271186440678,1.4601632711374188,5.429780968157555,608.8304422612161,377.37424107100173,0.11402540033130866,1,69.42213491272287,0.76994855810892,0,0,10866,10867 days 00:00:00,1000.0,36920.99609341179,3592.0996093411795,2546.925647769143,100.0,2567.604660126033,72.74022725086895,1899 days 00:00:00,59,0,0.0,92.8285753225614,-39.22727272727272,33.65249736055367,-10.133016355445278,172 days 09:46:40.000000002,55 days 15:45:00,0.5313082808389742,0.17715587612389452,1.1130644813950035,0.41036689174162055,109 days 02:02:02.033898306,0
Most Omega Ratio,HUM,true,40,87,59,45.76271186440678,1.4601632711374188,5.429780968157555,608.8304422612161,377.37424107100173,0.11402540033130866,1,69.42213491272287,0.76994855810892,0,0,10866,10867 days 00:00:00,1000.0,36920.99609341179,3592.0996093411795,2546.925647769143,100.0,2567.604660126033,72.74022725086895,1899 days 00:00:00,59,0,0.0,92.8285753225614,-39.22727272727272,33.65249736055367,-10.133016355445278,172 days 09:46:40.000000002,55 days 15:45:00,0.5313082808389742,0.17715587612389452,1.1130644813950035,0.41036689174162055,109 days 02:02:02.033898306,0
Most Sortino Ratio,HUM,true,40,87,59,45.76271186440678,1.4601632711374188,5.429780968157555,608.8304422612161,377.37424107100173,0.11402540033130866,1,69.42213491272287,0.76994855810892,0,0,10866,10867 days 00:00:00,1000.0,36920.99609341179,3592.0996093411795,2546.925647769143,100.0,2567.604660126033,72.74022725086895,1899 days 00:00:00,59,0,0.0,92.8285753225614,-39.22727272727272,33.65249736055367,-10.133016355445278,172 days 09:46:40.000000002,55 days 15:45:00,0.5313082808389742,0.17715587612389452,1.1130644813950035,0.41036689174162055,109 days 02:02:02.033898306,0
Most Win Rate [%],HUM,true,63,89,64,61.904761904761905,1.4102518610766752,5.797901711761457,378.99508256002116,339.32066620387576,0.1236885698509111,1,46.877359742376996,0.6761339783725556,0,0,10866,10867 days 00:00:00,1000.0,21099.179513619794,2009.9179513619795,2546.925647769143,100.0,1705.92014426109,77.92160433974949,1537 days 00:00:00,63,1,-3777.510687661568,157.75428807557228,-49.78361858190708,21.347111745683215,-12.159882789927272,130 days 09:13:50.769230770,57 days 11:00:00,0.4716649504495688,0.138403014358686,1.1005143976140883,-0.2108454547456183,102 days 14:28:34.285714286,0
Most Best Trade [%],HUM,true,65,89,63,58.06451612903226,1.446427388871963,5.705871525860482,340.38426210866055,281.3093075278187,0.1217559359469906,1,41.443804414665735,0.6618462706908433,0,0,10866,10867 days 00:00:00,1000.0,19313.174469024056,1831.3174469024054,2546.925647769143,100.0,1468.761417444518,76.10786363447507,1613 days 00:00:00,62,1,-2790.6497817128766,161.33591953275726,-48.91970443349752,22.999204701742975,-11.675774765917993,135 days 08:00:00,61 days 20:18:27.692307692,0.4619979444174208,0.1373834521687132,1.098557621784618,-0.2809694116879855,104 days 12:23:13.548387096,0
Least Total Trades,HUM,true,45,89,56,43.63636363636363,1.4200763605378088,5.061660224553654,400.5425232477279,220.6845858114203,0.10822749861954721,1,43.349715381863426,0.670167402906779,0,0,10866,10867 days 00:00:00,1000.0,19883.724659886066,1888.3724659886066,2546.925647769143,100.0,1445.837265166433,82.8666877134686,1863 days 00:00:00,55,1,-3146.1141187389694,149.40921733629722,-41.24801980198018,39.32682097132425,-11.61366185980501,185 days 20:00:00,63 days 19:21:17.419354839,0.4685941207079735,0.1274821879630449,1.0998770196286638,-0.2585678864859539,117 days 01:18:32.727272727,0
Most Avg Winning Trade [%],HUM,true,45,89,56,43.63636363636363,1.4200763605378088,5.061660224553654,400.5425232477279,220.6845858114203,0.10822749861954721,1,43.349715381863426,0.670167402906779,0,0,10866,10867 days 00:00:00,1000.0,19883.724659886066,1888.3724659886066,2546.925647769143,100.0,1445.837265166433,82.8666877134686,1863 days 00:00:00,55,1,-3146.1141187389694,149.40921733629722,-41.24801980198018,39.32682097132425,-11.61366185980501,185 days 20:00:00,63 days 19:21:17.419354839,0.4685941207079735,0.1274821879630449,1.0998770196286638,-0.2585678864859539,117 days 01:18:32.727272727,0
Median Win Rate [%],HUM,true,43,88,57,46.42857142857143,1.4254967752453913,5.1536904104546295,338.00810238236477,201.74955605926272,0.1101601325234677,1,37.23501735244714,0.6521311188685193,0,0,10866,10867 days 00:00:00,1000.0,17388.809221477968,1638.8809221477966,2546.925647769143,100.0,1275.3833330537152,80.2253630049104,1958 days 00:00:00,56,1,-2539.644511934468,85.81904379207116,-41.393333333333324,34.47491418837022,-12.25189772243412,174 days 03:41:32.307692308,63 days 06:24:00,0.45556422345089054,0.12548704959719412,1.0967995494106655,-0.35652580844545045,114 days 18:00:00,0
