Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Mean Total Trades,KLAC,false,47,56,61,51.66666666666667,2.54174019941807,5.369608018614641,1990.1838706182702,1416.3383835896782,0.11464113119742259,1,228.1569302185434,0.8579601931976775,0,0,11174,11175 days 00:00:00,1000.0,119950.63882813035,11895.063882813036,64565.947001688946,100.0,3236.79692632023,78.61546650009677,2701 days 00:00:00,60,1,-460.39340896584326,294.8536639736668,-26.227413137423472,40.92401194448693,-11.657711758593898,184 days 06:11:36.774193548,40 days 11:35:10.344827586,0.5757310001718027,0.21527953235933286,1.1178526337898322,-0.8157687692166602,114 days 18:24:00,0
Median Total Trades,KLAC,false,47,56,61,51.66666666666667,2.54174019941807,5.369608018614641,1990.1838706182702,1416.3383835896782,0.11464113119742259,1,228.1569302185434,0.8579601931976775,0,0,11174,11175 days 00:00:00,1000.0,119950.63882813035,11895.063882813036,64565.947001688946,100.0,3236.79692632023,78.61546650009677,2701 days 00:00:00,60,1,-460.39340896584326,294.8536639736668,-26.227413137423472,40.92401194448693,-11.657711758593898,184 days 06:11:36.774193548,40 days 11:35:10.344827586,0.5757310001718027,0.21527953235933286,1.1178526337898322,-0.8157687692166602,114 days 18:24:00,0
Median Best Trade [%],KLAC,false,47,56,61,51.66666666666667,2.54174019941807,5.369608018614641,1990.1838706182702,1416.3383835896782,0.11464113119742259,1,228.1569302185434,0.8579601931976775,0,0,11174,11175 days 00:00:00,1000.0,119950.63882813035,11895.063882813036,64565.947001688946,100.0,3236.79692632023,78.61546650009677,2701 days 00:00:00,60,1,-460.39340896584326,294.8536639736668,-26.227413137423472,40.92401194448693,-11.657711758593898,184 days 06:11:36.774193548,40 days 11:35:10.344827586,0.5757310001718027,0.21527953235933286,1.1178526337898322,-0.8157687692166602,114 days 18:24:00,0
Least Worst Trade [%],KLAC,false,47,56,61,51.66666666666667,2.54174019941807,5.369608018614641,1990.1838706182702,1416.3383835896782,0.11464113119742259,1,228.1569302185434,0.8579601931976775,0,0,11174,11175 days 00:00:00,1000.0,119950.63882813035,11895.063882813036,64565.947001688946,100.0,3236.79692632023,78.61546650009677,2701 days 00:00:00,60,1,-460.39340896584326,294.8536639736668,-26.227413137423472,40.92401194448693,-11.657711758593898,184 days 06:11:36.774193548,40 days 11:35:10.344827586,0.5757310001718027,0.21527953235933286,1.1178526337898322,-0.8157687692166602,114 days 18:24:00,0
Mean Max Drawdown [%],KLAC,false,42,62,61,51.66666666666667,2.615450234861008,5.369608018614641,1966.3342779844706,1399.365533000886,0.11464113119742259,1,225.42278594040692,0.856522490588157,0,0,11174,11175 days 00:00:00,1000.0,118525.13462686316,11752.513462686316,64565.947001688946,100.0,3213.9754564964287,79.2343289856174,2703 days 00:00:00,60,1,-454.9220522050309,294.8536639736668,-23.715200574952842,40.770732774166454,-11.59034753463357,184 days 10:50:19.354838708,40 days 09:06:12.413793103,0.5748132264577801,0.21302196620886468,1.1176028525536286,-0.817976595892276,114 days 19:35:59.999999999,0
Most Total Return [%],KLAC,false,42,63,59,50.0,2.628964638891741,5.19062108466082,2080.276959603044,1384.9410428945885,0.11088240558439233,1,230.66611356257124,0.8591958795457497,0,0,11174,11175 days 00:00:00,1000.0,121190.9098514837,12019.09098514837,64565.947001688946,100.0,3134.302758225851,78.2649136682517,2698 days 00:00:00,58,1,-465.1538054927951,285.5605665200049,-24.249999999999986,43.515535608254105,-11.24253214704788,195 days 01:39:18.620689654,42 days 12:24:49.655172413,0.5764666991649652,0.2167458165673376,1.1179738398429233,-0.8138478324365944,118 days 19:02:04.137931033,0
Least Win Rate [%],KLAC,false,42,63,59,50.0,2.628964638891741,5.19062108466082,2080.276959603044,1384.9410428945885,0.11088240558439233,1,230.66611356257124,0.8591958795457497,0,0,11174,11175 days 00:00:00,1000.0,121190.9098514837,12019.09098514837,64565.947001688946,100.0,3134.302758225851,78.2649136682517,2698 days 00:00:00,58,1,-465.1538054927951,285.5605665200049,-24.249999999999986,43.515535608254105,-11.24253214704788,195 days 01:39:18.620689654,42 days 12:24:49.655172413,0.5764666991649652,0.2167458165673376,1.1179738398429233,-0.8138478324365944,118 days 19:02:04.137931033,0
Median Win Rate [%],KLAC,false,42,63,59,50.0,2.628964638891741,5.19062108466082,2080.276959603044,1384.9410428945885,0.11088240558439233,1,230.66611356257124,0.8591958795457497,0,0,11174,11175 days 00:00:00,1000.0,121190.9098514837,12019.09098514837,64565.947001688946,100.0,3134.302758225851,78.2649136682517,2698 days 00:00:00,58,1,-465.1538054927951,285.5605665200049,-24.249999999999986,43.515535608254105,-11.24253214704788,195 days 01:39:18.620689654,42 days 12:24:49.655172413,0.5764666991649652,0.2167458165673376,1.1179738398429233,-0.8138478324365944,118 days 19:02:04.137931033,0
Mean Worst Trade [%],KLAC,false,42,63,59,50.0,2.628964638891741,5.19062108466082,2080.276959603044,1384.9410428945885,0.11088240558439233,1,230.66611356257124,0.8591958795457497,0,0,11174,11175 days 00:00:00,1000.0,121190.9098514837,12019.09098514837,64565.947001688946,100.0,3134.302758225851,78.2649136682517,2698 days 00:00:00,58,1,-465.1538054927951,285.5605665200049,-24.249999999999986,43.515535608254105,-11.24253214704788,195 days 01:39:18.620689654,42 days 12:24:49.655172413,0.5764666991649652,0.2167458165673376,1.1179738398429233,-0.8138478324365944,118 days 19:02:04.137931033,0
Most Expectancy,KLAC,false,42,63,59,50.0,2.628964638891741,5.19062108466082,2080.276959603044,1384.9410428945885,0.11088240558439233,1,230.66611356257124,0.8591958795457497,0,0,11174,11175 days 00:00:00,1000.0,121190.9098514837,12019.09098514837,64565.947001688946,100.0,3134.302758225851,78.2649136682517,2698 days 00:00:00,58,1,-465.1538054927951,285.5605665200049,-24.249999999999986,43.515535608254105,-11.24253214704788,195 days 01:39:18.620689654,42 days 12:24:49.655172413,0.5764666991649652,0.2167458165673376,1.1179738398429233,-0.8138478324365944,118 days 19:02:04.137931033,0
