Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Profit Factor Adjusted,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
Most Profit Factor,LEN,false,88,89,false,39,51.28205128205128,2.4911028883830495,0.0034358206325433883,17.242942145855224,6.3521614094143395,0.07215223328341115,0.1443044665668223,1.2441167842001082,0.7501764770026786,0,0,11351,11352 days 00:00:00,1000.0,42682.41823908815,4168.241823908815,9637.523881136072,100.0,920.9058919190409,82.28031242941228,3755 days 00:00:00,39,0,0.0,250.29558633451185,-31.59715026509897,45.76979801232539,-12.785327187271257,282 days 13:12:00,64 days 15:09:28.421052632,1068.7799548484138,0.5209765870664523,0.15590728018224417,1.1069855504209172,-2.1082362534882093,81.35700380297408,1.1196622651734944,0.3978574067233099,-0.02857126565134486,None,None,0.000530860880216229,0.1337769418144897,41.68241823908794,0.08689967829524115,0.3090361033349388,1.7991298638322024,-0.5674986775319448,16440.93253968254,0.931400745446588,1.0568128597585025,176 days 09:13:50.769230768
Most Total Return [%],LEN,false,87,89,false,38,52.63157894736842,2.480367787913883,0.003347722667606378,17.847671876874095,6.574938985770527,0.07030217601973394,0.1406043520394679,1.254730169830458,0.7607870116565817,0,0,11351,11352 days 00:00:00,1000.0,46472.949350827854,4547.294935082786,9637.523881136072,100.0,973.1767616130894,81.81575689564765,3751 days 00:00:00,38,0,0.0,245.82244478207747,-31.59715026509898,45.975667655824196,-13.405656766403792,282 days 10:48:00,67 days 20:00:00,1196.656561863891,0.5282965438804139,0.16057033661635403,1.108618230621035,-2.1088169717115437,81.27631780169963,1.1216769698533975,0.3969972926409057,-0.02857126565134485,None,None,0.0005384655480223501,0.1356933181016322,45.472949350827875,0.08895449112294673,0.30911982201287325,1.745443998902362,-0.5281677128724531,16440.93253968254,0.9193821677891929,1.0533717064350958,180 days 18:56:50.526315790
Least Total Trades,LEN,false,87,89,false,38,52.63157894736842,2.480367787913883,0.003347722667606378,17.847671876874095,6.574938985770527,0.07030217601973394,0.1406043520394679,1.254730169830458,0.7607870116565817,0,0,11351,11352 days 00:00:00,1000.0,46472.949350827854,4547.294935082786,9637.523881136072,100.0,973.1767616130894,81.81575689564765,3751 days 00:00:00,38,0,0.0,245.82244478207747,-31.59715026509898,45.975667655824196,-13.405656766403792,282 days 10:48:00,67 days 20:00:00,1196.656561863891,0.5282965438804139,0.16057033661635403,1.108618230621035,-2.1088169717115437,81.27631780169963,1.1216769698533975,0.3969972926409057,-0.02857126565134485,None,None,0.0005384655480223501,0.1356933181016322,45.472949350827875,0.08895449112294673,0.30911982201287325,1.745443998902362,-0.5281677128724531,16440.93253968254,0.9193821677891929,1.0533717064350958,180 days 18:56:50.526315790
Most Win Rate [%],LEN,false,87,89,false,38,52.63157894736842,2.480367787913883,0.003347722667606378,17.847671876874095,6.574938985770527,0.07030217601973394,0.1406043520394679,1.254730169830458,0.7607870116565817,0,0,11351,11352 days 00:00:00,1000.0,46472.949350827854,4547.294935082786,9637.523881136072,100.0,973.1767616130894,81.81575689564765,3751 days 00:00:00,38,0,0.0,245.82244478207747,-31.59715026509898,45.975667655824196,-13.405656766403792,282 days 10:48:00,67 days 20:00:00,1196.656561863891,0.5282965438804139,0.16057033661635403,1.108618230621035,-2.1088169717115437,81.27631780169963,1.1216769698533975,0.3969972926409057,-0.02857126565134485,None,None,0.0005384655480223501,0.1356933181016322,45.472949350827875,0.08895449112294673,0.30911982201287325,1.745443998902362,-0.5281677128724531,16440.93253968254,0.9193821677891929,1.0533717064350958,180 days 18:56:50.526315790
Mean Best Trade [%],LEN,false,87,89,false,38,52.63157894736842,2.480367787913883,0.003347722667606378,17.847671876874095,6.574938985770527,0.07030217601973394,0.1406043520394679,1.254730169830458,0.7607870116565817,0,0,11351,11352 days 00:00:00,1000.0,46472.949350827854,4547.294935082786,9637.523881136072,100.0,973.1767616130894,81.81575689564765,3751 days 00:00:00,38,0,0.0,245.82244478207747,-31.59715026509898,45.975667655824196,-13.405656766403792,282 days 10:48:00,67 days 20:00:00,1196.656561863891,0.5282965438804139,0.16057033661635403,1.108618230621035,-2.1088169717115437,81.27631780169963,1.1216769698533975,0.3969972926409057,-0.02857126565134485,None,None,0.0005384655480223501,0.1356933181016322,45.472949350827875,0.08895449112294673,0.30911982201287325,1.745443998902362,-0.5281677128724531,16440.93253968254,0.9193821677891929,1.0533717064350958,180 days 18:56:50.526315790
Most Expectancy,LEN,false,87,89,false,38,52.63157894736842,2.480367787913883,0.003347722667606378,17.847671876874095,6.574938985770527,0.07030217601973394,0.1406043520394679,1.254730169830458,0.7607870116565817,0,0,11351,11352 days 00:00:00,1000.0,46472.949350827854,4547.294935082786,9637.523881136072,100.0,973.1767616130894,81.81575689564765,3751 days 00:00:00,38,0,0.0,245.82244478207747,-31.59715026509898,45.975667655824196,-13.405656766403792,282 days 10:48:00,67 days 20:00:00,1196.656561863891,0.5282965438804139,0.16057033661635403,1.108618230621035,-2.1088169717115437,81.27631780169963,1.1216769698533975,0.3969972926409057,-0.02857126565134485,None,None,0.0005384655480223501,0.1356933181016322,45.472949350827875,0.08895449112294673,0.30911982201287325,1.745443998902362,-0.5281677128724531,16440.93253968254,0.9193821677891929,1.0533717064350958,180 days 18:56:50.526315790
Most Sharpe Ratio,LEN,false,87,89,false,38,52.63157894736842,2.480367787913883,0.003347722667606378,17.847671876874095,6.574938985770527,0.07030217601973394,0.1406043520394679,1.254730169830458,0.7607870116565817,0,0,11351,11352 days 00:00:00,1000.0,46472.949350827854,4547.294935082786,9637.523881136072,100.0,973.1767616130894,81.81575689564765,3751 days 00:00:00,38,0,0.0,245.82244478207747,-31.59715026509898,45.975667655824196,-13.405656766403792,282 days 10:48:00,67 days 20:00:00,1196.656561863891,0.5282965438804139,0.16057033661635403,1.108618230621035,-2.1088169717115437,81.27631780169963,1.1216769698533975,0.3969972926409057,-0.02857126565134485,None,None,0.0005384655480223501,0.1356933181016322,45.472949350827875,0.08895449112294673,0.30911982201287325,1.745443998902362,-0.5281677128724531,16440.93253968254,0.9193821677891929,1.0533717064350958,180 days 18:56:50.526315790
Most Calmar Ratio,LEN,false,87,89,false,38,52.63157894736842,2.480367787913883,0.003347722667606378,17.847671876874095,6.574938985770527,0.07030217601973394,0.1406043520394679,1.254730169830458,0.7607870116565817,0,0,11351,11352 days 00:00:00,1000.0,46472.949350827854,4547.294935082786,9637.523881136072,100.0,973.1767616130894,81.81575689564765,3751 days 00:00:00,38,0,0.0,245.82244478207747,-31.59715026509898,45.975667655824196,-13.405656766403792,282 days 10:48:00,67 days 20:00:00,1196.656561863891,0.5282965438804139,0.16057033661635403,1.108618230621035,-2.1088169717115437,81.27631780169963,1.1216769698533975,0.3969972926409057,-0.02857126565134485,None,None,0.0005384655480223501,0.1356933181016322,45.472949350827875,0.08895449112294673,0.30911982201287325,1.745443998902362,-0.5281677128724531,16440.93253968254,0.9193821677891929,1.0533717064350958,180 days 18:56:50.526315790
Most Omega Ratio,LEN,false,87,89,false,38,52.63157894736842,2.480367787913883,0.003347722667606378,17.847671876874095,6.574938985770527,0.07030217601973394,0.1406043520394679,1.254730169830458,0.7607870116565817,0,0,11351,11352 days 00:00:00,1000.0,46472.949350827854,4547.294935082786,9637.523881136072,100.0,973.1767616130894,81.81575689564765,3751 days 00:00:00,38,0,0.0,245.82244478207747,-31.59715026509898,45.975667655824196,-13.405656766403792,282 days 10:48:00,67 days 20:00:00,1196.656561863891,0.5282965438804139,0.16057033661635403,1.108618230621035,-2.1088169717115437,81.27631780169963,1.1216769698533975,0.3969972926409057,-0.02857126565134485,None,None,0.0005384655480223501,0.1356933181016322,45.472949350827875,0.08895449112294673,0.30911982201287325,1.745443998902362,-0.5281677128724531,16440.93253968254,0.9193821677891929,1.0533717064350958,180 days 18:56:50.526315790
Most Sortino Ratio,LEN,false,87,89,false,38,52.63157894736842,2.480367787913883,0.003347722667606378,17.847671876874095,6.574938985770527,0.07030217601973394,0.1406043520394679,1.254730169830458,0.7607870116565817,0,0,11351,11352 days 00:00:00,1000.0,46472.949350827854,4547.294935082786,9637.523881136072,100.0,973.1767616130894,81.81575689564765,3751 days 00:00:00,38,0,0.0,245.82244478207747,-31.59715026509898,45.975667655824196,-13.405656766403792,282 days 10:48:00,67 days 20:00:00,1196.656561863891,0.5282965438804139,0.16057033661635403,1.108618230621035,-2.1088169717115437,81.27631780169963,1.1216769698533975,0.3969972926409057,-0.02857126565134485,None,None,0.0005384655480223501,0.1356933181016322,45.472949350827875,0.08895449112294673,0.30911982201287325,1.745443998902362,-0.5281677128724531,16440.93253968254,0.9193821677891929,1.0533717064350958,180 days 18:56:50.526315790
Least Max Drawdown Duration,LEN,false,87,89,false,38,52.63157894736842,2.480367787913883,0.003347722667606378,17.847671876874095,6.574938985770527,0.07030217601973394,0.1406043520394679,1.254730169830458,0.7607870116565817,0,0,11351,11352 days 00:00:00,1000.0,46472.949350827854,4547.294935082786,9637.523881136072,100.0,973.1767616130894,81.81575689564765,3751 days 00:00:00,38,0,0.0,245.82244478207747,-31.59715026509898,45.975667655824196,-13.405656766403792,282 days 10:48:00,67 days 20:00:00,1196.656561863891,0.5282965438804139,0.16057033661635403,1.108618230621035,-2.1088169717115437,81.27631780169963,1.1216769698533975,0.3969972926409057,-0.02857126565134485,None,None,0.0005384655480223501,0.1356933181016322,45.472949350827875,0.08895449112294673,0.30911982201287325,1.745443998902362,-0.5281677128724531,16440.93253968254,0.9193821677891929,1.0533717064350958,180 days 18:56:50.526315790
Most Avg Losing Trade Duration,LEN,false,87,89,false,38,52.63157894736842,2.480367787913883,0.003347722667606378,17.847671876874095,6.574938985770527,0.07030217601973394,0.1406043520394679,1.254730169830458,0.7607870116565817,0,0,11351,11352 days 00:00:00,1000.0,46472.949350827854,4547.294935082786,9637.523881136072,100.0,973.1767616130894,81.81575689564765,3751 days 00:00:00,38,0,0.0,245.82244478207747,-31.59715026509898,45.975667655824196,-13.405656766403792,282 days 10:48:00,67 days 20:00:00,1196.656561863891,0.5282965438804139,0.16057033661635403,1.108618230621035,-2.1088169717115437,81.27631780169963,1.1216769698533975,0.3969972926409057,-0.02857126565134485,None,None,0.0005384655480223501,0.1356933181016322,45.472949350827875,0.08895449112294673,0.30911982201287325,1.745443998902362,-0.5281677128724531,16440.93253968254,0.9193821677891929,1.0533717064350958,180 days 18:56:50.526315790
Least Avg Winning Trade [%],LEN,false,20,21,false,163,38.65030674846626,1.2959052548331218,0.014359968284732622,2.7264280614767484,1.7274964082574187,0.30155933397938506,0.6031186679587701,0.8221798303616341,0.575032738253769,0,0,11351,11352 days 00:00:00,1000.0,10051.37415516145,905.1374155161449,9637.523881136072,100.0,1462.823594587274,77.92174923609598,4404 days 00:00:00,163,0,0.0,88.14128753136215,-25.340401118802614,18.016173426453573,-6.9061115184586495,70 days 03:02:51.428571429,18 days 20:24:00,55.52990279240149,0.3850451038047783,0.0988450126757521,1.0814025408256667,0.3839095512701967,12.532153373609425,1.1904420901604813,0.3408929836995039,-0.028037314920372553,None,None,0.0003911513819552804,0.09857014825273067,9.051374155161454,0.05256308224059847,0.3080916770868851,1.2959052548331218,-0.9060819535515956,16440.93253968254,1.9041365081479238,0.8990565550568446,38 days 16:02:56.687116564
Least Max Drawdown [%],LEN,false,19,22,false,164,38.41463414634146,1.2946710377059727,0.014448066249669633,2.6870126724600185,1.6921411271989322,0.30340939124306227,0.6068187824861245,0.8152648792134881,0.5694069921609773,0,0,11351,11352 days 00:00:00,1000.0,9632.296613816969,863.2296613816969,9637.523881136072,100.0,1397.3118414539372,77.92174923609596,4404 days 00:00:00,164,0,0.0,88.14128753136215,-25.340401118802596,18.046622009877158,-6.89373374592889,70 days 02:40:00,18 days 16:23:45.742574257,52.63595496229863,0.38135027606660343,0.09695365841577518,1.0805692960144722,0.38369531723243033,12.52266290825028,1.190273663212061,0.3408929836995039,-0.0280447738778517,None,None,0.0003874644078184077,0.09764103077023874,8.63229661381704,0.05156846738261578,0.30814452249542706,1.2946710377059727,-0.9104303478747968,16440.93253968254,1.909968486606905,0.8866971176514915,38 days 10:32:11.707317072
Most Total Trades,LEN,false,19,22,false,164,38.41463414634146,1.2946710377059727,0.014448066249669633,2.6870126724600185,1.6921411271989322,0.30340939124306227,0.6068187824861245,0.8152648792134881,0.5694069921609773,0,0,11351,11352 days 00:00:00,1000.0,9632.296613816969,863.2296613816969,9637.523881136072,100.0,1397.3118414539372,77.92174923609596,4404 days 00:00:00,164,0,0.0,88.14128753136215,-25.340401118802596,18.046622009877158,-6.89373374592889,70 days 02:40:00,18 days 16:23:45.742574257,52.63595496229863,0.38135027606660343,0.09695365841577518,1.0805692960144722,0.38369531723243033,12.52266290825028,1.190273663212061,0.3408929836995039,-0.0280447738778517,None,None,0.0003874644078184077,0.09764103077023874,8.63229661381704,0.05156846738261578,0.30814452249542706,1.2946710377059727,-0.9104303478747968,16440.93253968254,1.909968486606905,0.8866971176514915,38 days 10:32:11.707317072
Most Worst Trade [%],LEN,false,19,22,false,164,38.41463414634146,1.2946710377059727,0.014448066249669633,2.6870126724600185,1.6921411271989322,0.30340939124306227,0.6068187824861245,0.8152648792134881,0.5694069921609773,0,0,11351,11352 days 00:00:00,1000.0,9632.296613816969,863.2296613816969,9637.523881136072,100.0,1397.3118414539372,77.92174923609596,4404 days 00:00:00,164,0,0.0,88.14128753136215,-25.340401118802596,18.046622009877158,-6.89373374592889,70 days 02:40:00,18 days 16:23:45.742574257,52.63595496229863,0.38135027606660343,0.09695365841577518,1.0805692960144722,0.38369531723243033,12.52266290825028,1.190273663212061,0.3408929836995039,-0.0280447738778517,None,None,0.0003874644078184077,0.09764103077023874,8.63229661381704,0.05156846738261578,0.30814452249542706,1.2946710377059727,-0.9104303478747968,16440.93253968254,1.909968486606905,0.8866971176514915,38 days 10:32:11.707317072
