Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Worst Trade [%],MARA,false,16,39,29,41.37931034482759,1.3143727833537804,9.03145437558393,69.40658372668238,19.120270999086056,0.18966054188726253,1,13.163690280146238,1.170580702912655,0,0,3211,3212 days 00:00:00,1000.0,3012.7909280737904,201.27909280737904,-86.60535061693169,100.0,99.80379837798313,95.33032132971199,2113 days 00:00:00,29,0,0.0,1463.4723802365002,-71.41584197929038,162.38478553728834,-23.642530838410213,83 days 02:00:00,23 days 11:17:38.823529411,0.6339499387464431,0.14005792588758328,1.205051787441976,3.3240953517718133,48 days 03:18:37.241379309,0
Least Worst Trade [%],MARA,false,16,39,29,41.37931034482759,1.3143727833537804,9.03145437558393,69.40658372668238,19.120270999086056,0.18966054188726253,1,13.163690280146238,1.170580702912655,0,0,3211,3212 days 00:00:00,1000.0,3012.7909280737904,201.27909280737904,-86.60535061693169,100.0,99.80379837798313,95.33032132971199,2113 days 00:00:00,29,0,0.0,1463.4723802365002,-71.41584197929038,162.38478553728834,-23.642530838410213,83 days 02:00:00,23 days 11:17:38.823529411,0.6339499387464431,0.14005792588758328,1.205051787441976,3.3240953517718133,48 days 03:18:37.241379309,0
Mean Worst Trade [%],MARA,false,16,39,29,41.37931034482759,1.3143727833537804,9.03145437558393,69.40658372668238,19.120270999086056,0.18966054188726253,1,13.163690280146238,1.170580702912655,0,0,3211,3212 days 00:00:00,1000.0,3012.7909280737904,201.27909280737904,-86.60535061693169,100.0,99.80379837798313,95.33032132971199,2113 days 00:00:00,29,0,0.0,1463.4723802365002,-71.41584197929038,162.38478553728834,-23.642530838410213,83 days 02:00:00,23 days 11:17:38.823529411,0.6339499387464431,0.14005792588758328,1.205051787441976,3.3240953517718133,48 days 03:18:37.241379309,0
Median Worst Trade [%],MARA,false,16,39,29,41.37931034482759,1.3143727833537804,9.03145437558393,69.40658372668238,19.120270999086056,0.18966054188726253,1,13.163690280146238,1.170580702912655,0,0,3211,3212 days 00:00:00,1000.0,3012.7909280737904,201.27909280737904,-86.60535061693169,100.0,99.80379837798313,95.33032132971199,2113 days 00:00:00,29,0,0.0,1463.4723802365002,-71.41584197929038,162.38478553728834,-23.642530838410213,83 days 02:00:00,23 days 11:17:38.823529411,0.6339499387464431,0.14005792588758328,1.205051787441976,3.3240953517718133,48 days 03:18:37.241379309,0
Most Expectancy,MARA,false,16,39,29,41.37931034482759,1.3143727833537804,9.03145437558393,69.40658372668238,19.120270999086056,0.18966054188726253,1,13.163690280146238,1.170580702912655,0,0,3211,3212 days 00:00:00,1000.0,3012.7909280737904,201.27909280737904,-86.60535061693169,100.0,99.80379837798313,95.33032132971199,2113 days 00:00:00,29,0,0.0,1463.4723802365002,-71.41584197929038,162.38478553728834,-23.642530838410213,83 days 02:00:00,23 days 11:17:38.823529411,0.6339499387464431,0.14005792588758328,1.205051787441976,3.3240953517718133,48 days 03:18:37.241379309,0
Most Total Return [%],MARA,false,15,40,31,38.70967741935484,1.2945018287535528,9.654313298037994,66.2960685725291,18.263379772046584,0.2027405792587979,1,13.440903344975535,1.1741214284819816,0,0,3211,3212 days 00:00:00,1000.0,3055.1781257483995,205.51781257483995,-86.60535061693169,100.0,111.3313181348175,95.33647888076645,2022 days 00:00:00,31,0,0.0,1362.813306826917,-71.41584197929038,159.4479099754721,-22.068371427372995,81 days 02:00:00,21 days 21:28:25.263157894,0.6352856207272327,0.14193800062206016,1.2061572600206487,3.373038283556818,44 days 19:21:17.419354837,0
Most Sharpe Ratio,MARA,false,15,40,31,38.70967741935484,1.2945018287535528,9.654313298037994,66.2960685725291,18.263379772046584,0.2027405792587979,1,13.440903344975535,1.1741214284819816,0,0,3211,3212 days 00:00:00,1000.0,3055.1781257483995,205.51781257483995,-86.60535061693169,100.0,111.3313181348175,95.33647888076645,2022 days 00:00:00,31,0,0.0,1362.813306826917,-71.41584197929038,159.4479099754721,-22.068371427372995,81 days 02:00:00,21 days 21:28:25.263157894,0.6352856207272327,0.14193800062206016,1.2061572600206487,3.373038283556818,44 days 19:21:17.419354837,0
Most Calmar Ratio,MARA,false,15,40,31,38.70967741935484,1.2945018287535528,9.654313298037994,66.2960685725291,18.263379772046584,0.2027405792587979,1,13.440903344975535,1.1741214284819816,0,0,3211,3212 days 00:00:00,1000.0,3055.1781257483995,205.51781257483995,-86.60535061693169,100.0,111.3313181348175,95.33647888076645,2022 days 00:00:00,31,0,0.0,1362.813306826917,-71.41584197929038,159.4479099754721,-22.068371427372995,81 days 02:00:00,21 days 21:28:25.263157894,0.6352856207272327,0.14193800062206016,1.2061572600206487,3.373038283556818,44 days 19:21:17.419354837,0
Most Omega Ratio,MARA,false,15,40,31,38.70967741935484,1.2945018287535528,9.654313298037994,66.2960685725291,18.263379772046584,0.2027405792587979,1,13.440903344975535,1.1741214284819816,0,0,3211,3212 days 00:00:00,1000.0,3055.1781257483995,205.51781257483995,-86.60535061693169,100.0,111.3313181348175,95.33647888076645,2022 days 00:00:00,31,0,0.0,1362.813306826917,-71.41584197929038,159.4479099754721,-22.068371427372995,81 days 02:00:00,21 days 21:28:25.263157894,0.6352856207272327,0.14193800062206016,1.2061572600206487,3.373038283556818,44 days 19:21:17.419354837,0
Most Sortino Ratio,MARA,false,15,40,31,38.70967741935484,1.2945018287535528,9.654313298037994,66.2960685725291,18.263379772046584,0.2027405792587979,1,13.440903344975535,1.1741214284819816,0,0,3211,3212 days 00:00:00,1000.0,3055.1781257483995,205.51781257483995,-86.60535061693169,100.0,111.3313181348175,95.33647888076645,2022 days 00:00:00,31,0,0.0,1362.813306826917,-71.41584197929038,159.4479099754721,-22.068371427372995,81 days 02:00:00,21 days 21:28:25.263157894,0.6352856207272327,0.14193800062206016,1.2061572600206487,3.373038283556818,44 days 19:21:17.419354837,0
