Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
Most Profit Factor,META,false,5,71,false,38,47.368421052631575,9.01390942398368,0.011757425742574257,12.715409231386833,4.215829179682501,0.2469059405940594,0.4938118811881188,3.1395100763139516,1.8856064238310084,0,0,3232,3233 days 00:00:00,1000.0,19223.734168717587,1822.3734168717588,1476.1967677350344,100.0,274.872872266767,27.862055887770726,790 days 00:00:00,38,0,0.0,240.49891092479743,-7.271811258429343,31.287488622701698,-3.9994622207965445,113 days 17:20:00,9 days 07:12:00,479.5719518083574,1.153297638473059,1.4219523687550246,1.2502552148138386,2.5404373927936903,46.787907499687776,1.1485395363205093,0.5747686312713103,-0.02369953516842515,None,None,0.0010672291857122466,0.2689417547994862,18.22373416871759,0.25912906357216214,0.2806486731667008,0.23450576285156877,58 days 18:18:56.842105262
Least Total Trades,META,false,8,64,false,34,47.05882352941176,8.372062626875884,0.01051980198019802,14.131487296956983,4.164741144802205,0.22091584158415842,0.44183168316831684,3.121869409043096,1.9046312607528093,0,0,3232,3233 days 00:00:00,1000.0,19633.523819041155,1863.3523819041154,1476.1967677350344,100.0,287.2534737334376,28.575337812658997,608 days 00:00:00,34,0,0.0,232.30067752682757,-8.661407782090109,34.75144154212255,-4.1973609209679585,123 days 03:00:00,13 days 13:20:00,548.0448182070928,1.1639306117821606,1.3981074344768103,1.2543679501263718,2.571173183096412,47.58637210720686,1.1420843740281024,0.5694174757281554,-0.0235380584956109,None,None,0.0010724163472459291,0.27024891950597413,18.63352381904114,0.2612009076986359,0.27943643863230494,0.2622655885929784,65 days 02:49:24.705882352
Most Best Trade [%],META,false,5,69,false,37,45.94594594594595,7.912540537423452,0.011448019801980198,13.292431528010347,4.162301270513463,0.24040841584158418,0.48081683168316836,3.1956124063316955,1.9086804433465203,0,0,3232,3233 days 00:00:00,1000.0,19817.705229888816,1881.7705229888816,1476.1967677350344,100.0,281.8083320182377,28.178101029600928,648 days 00:00:00,37,0,0.0,248.76301403750873,-7.271811258429341,33.49080524386196,-3.876186130463531,117 days 12:42:21.176470588,11 days 09:36:00,508.5866278348329,1.164910028640559,1.4230554719140318,1.2536096737578626,2.560104043678239,47.10696316523141,1.1533208998572355,0.5709426627793974,-0.02354432139649943,None,None,0.00107609195050387,0.27117517152697523,18.817705229888755,0.26211914634951206,0.2801584340656966,0.2747423406678563,60 days 03:53:30.810810810
Most Total Return [%],META,false,9,61,false,34,44.11764705882353,7.586844790487687,0.01051980198019802,14.652760825391402,4.048469559419249,0.22091584158415842,0.44183168316831684,3.2370269892727292,1.9500120888307477,0,0,3232,3233 days 00:00:00,1000.0,21125.99153310867,2012.599153310867,1476.1967677350344,100.0,336.72422140747454,26.760962630953678,607 days 00:00:00,34,0,0.0,240.36586325028787,-8.372692402728008,37.81564084955031,-3.633723404207739,128 days 04:48:00,14 days 11:22:06.315789473,591.9409274443726,1.1894775015172268,1.5363352087152466,1.2617062591982022,2.58075028071496,47.79553367350846,1.1500604304203546,0.5625906234896086,-0.02328173295821691,None,None,0.0010947553880630804,0.27587835779189623,20.125991533108685,0.2684239459891715,0.2791306725632672,0.36336780929201473,64 days 15:31:45.882352940
Most Expectancy,META,false,9,61,false,34,44.11764705882353,7.586844790487687,0.01051980198019802,14.652760825391402,4.048469559419249,0.22091584158415842,0.44183168316831684,3.2370269892727292,1.9500120888307477,0,0,3232,3233 days 00:00:00,1000.0,21125.99153310867,2012.599153310867,1476.1967677350344,100.0,336.72422140747454,26.760962630953678,607 days 00:00:00,34,0,0.0,240.36586325028787,-8.372692402728008,37.81564084955031,-3.633723404207739,128 days 04:48:00,14 days 11:22:06.315789473,591.9409274443726,1.1894775015172268,1.5363352087152466,1.2617062591982022,2.58075028071496,47.79553367350846,1.1500604304203546,0.5625906234896086,-0.02328173295821691,None,None,0.0010947553880630804,0.27587835779189623,20.125991533108685,0.2684239459891715,0.2791306725632672,0.36336780929201473,64 days 15:31:45.882352940
Most Sharpe Ratio,META,false,9,61,false,34,44.11764705882353,7.586844790487687,0.01051980198019802,14.652760825391402,4.048469559419249,0.22091584158415842,0.44183168316831684,3.2370269892727292,1.9500120888307477,0,0,3232,3233 days 00:00:00,1000.0,21125.99153310867,2012.599153310867,1476.1967677350344,100.0,336.72422140747454,26.760962630953678,607 days 00:00:00,34,0,0.0,240.36586325028787,-8.372692402728008,37.81564084955031,-3.633723404207739,128 days 04:48:00,14 days 11:22:06.315789473,591.9409274443726,1.1894775015172268,1.5363352087152466,1.2617062591982022,2.58075028071496,47.79553367350846,1.1500604304203546,0.5625906234896086,-0.02328173295821691,None,None,0.0010947553880630804,0.27587835779189623,20.125991533108685,0.2684239459891715,0.2791306725632672,0.36336780929201473,64 days 15:31:45.882352940
Most Omega Ratio,META,false,9,61,false,34,44.11764705882353,7.586844790487687,0.01051980198019802,14.652760825391402,4.048469559419249,0.22091584158415842,0.44183168316831684,3.2370269892727292,1.9500120888307477,0,0,3232,3233 days 00:00:00,1000.0,21125.99153310867,2012.599153310867,1476.1967677350344,100.0,336.72422140747454,26.760962630953678,607 days 00:00:00,34,0,0.0,240.36586325028787,-8.372692402728008,37.81564084955031,-3.633723404207739,128 days 04:48:00,14 days 11:22:06.315789473,591.9409274443726,1.1894775015172268,1.5363352087152466,1.2617062591982022,2.58075028071496,47.79553367350846,1.1500604304203546,0.5625906234896086,-0.02328173295821691,None,None,0.0010947553880630804,0.27587835779189623,20.125991533108685,0.2684239459891715,0.2791306725632672,0.36336780929201473,64 days 15:31:45.882352940
Most Sortino Ratio,META,false,9,61,false,34,44.11764705882353,7.586844790487687,0.01051980198019802,14.652760825391402,4.048469559419249,0.22091584158415842,0.44183168316831684,3.2370269892727292,1.9500120888307477,0,0,3232,3233 days 00:00:00,1000.0,21125.99153310867,2012.599153310867,1476.1967677350344,100.0,336.72422140747454,26.760962630953678,607 days 00:00:00,34,0,0.0,240.36586325028787,-8.372692402728008,37.81564084955031,-3.633723404207739,128 days 04:48:00,14 days 11:22:06.315789473,591.9409274443726,1.1894775015172268,1.5363352087152466,1.2617062591982022,2.58075028071496,47.79553367350846,1.1500604304203546,0.5625906234896086,-0.02328173295821691,None,None,0.0010947553880630804,0.27587835779189623,20.125991533108685,0.2684239459891715,0.2791306725632672,0.36336780929201473,64 days 15:31:45.882352940
Least Max Drawdown Duration,META,false,7,67,false,35,45.714285714285715,8.070981949596213,0.010829207920792078,13.63379277723336,4.018063813515082,0.22741336633663367,0.45482673267326734,3.1005067114067204,1.8798637558674516,0,0,3232,3233 days 00:00:00,1000.0,19094.702692923696,1809.4702692923697,1476.1967677350344,100.0,286.38619017673585,27.41649996827545,353 days 00:00:00,35,0,0.0,232.30067752682763,-8.661407782090103,34.71444207933197,-4.118332950849676,122 days 16:30:00,14 days 02:31:34.736842105,516.9915055121055,1.1502676712991826,1.4411905058025418,1.2495901197972885,2.5336905701999983,46.60241515625459,1.1466951778445413,0.57323600973236,-0.023775868664743904,None,None,0.001065441681796585,0.2684913038127394,18.09470269292367,0.2584682626863719,0.2809166442036248,0.22576495819638268,63 days 17:49:42.857142856
Median Total Trades,META,false,4,78,false,40,45.0,6.264422887621529,0.012376237623762377,11.99774009241627,3.977883987170619,0.2599009900990099,0.5198019801980198,3.1182245289695754,1.8811338282603252,0,0,3232,3233 days 00:00:00,1000.0,19520.427116063765,1852.0427116063765,1476.1967677350344,100.0,353.6590997137165,27.86159096847227,579 days 00:00:00,40,0,0.0,232.30067752682763,-8.631984448768668,31.42576873041535,-3.89791970231025,115 days 21:20:00,8 days 09:49:05.454545454,463.01067790159414,1.1526712000497272,1.4306484952891467,1.2470137129986407,2.483733734301969,45.45860228057709,1.1472526159587493,0.5902606984751598,-0.02391248654255199,None,None,0.0010741926453396728,0.27069654662559756,18.52042711606373,0.2606331188102604,0.2826333687172276,0.2546042316892564,56 days 18:35:59.999999999
