Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Profit Factor Adjusted,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
Median Win Rate [%],MGM,true,74,76,false,203,50.73891625615764,1.2118061877141961,0.021835000537807896,2.192242300334069,1.8234753850796184,0.4585350112939658,0.9170700225879316,1.0052198479427918,0.6913730892787613,0,0,9297,9298 days 00:00:00,1000.0,13012.71959618405,1201.271959618405,1004.0000221946082,100.0,3158.6724508643892,65.55192957455068,2939 days 00:00:00,203,0,0.0,80.08162860815769,-44.36795760746466,10.530033570887062,-6.395682708335516,30 days 05:35:32.038834951,19 days 20:38:24,59.17595860189192,0.45899628082999866,0.16166591093011415,1.0987804774817702,0.898132913186956,19.59337737109681,1.1649884633308616,0.35243636363636366,-0.027382620641317766,None,None,0.00044985039950624337,0.11336230067557333,12.012719596184104,0.07201848766399532,0.29723890079284726,1.2118061877141961,0.19648598910644147,13465.892857142857,1.9231211770786558,1.3401815630979603,25 days 02:57:20.394088669
Median Worst Trade [%],MGM,true,74,76,false,203,50.73891625615764,1.2118061877141961,0.021835000537807896,2.192242300334069,1.8234753850796184,0.4585350112939658,0.9170700225879316,1.0052198479427918,0.6913730892787613,0,0,9297,9298 days 00:00:00,1000.0,13012.71959618405,1201.271959618405,1004.0000221946082,100.0,3158.6724508643892,65.55192957455068,2939 days 00:00:00,203,0,0.0,80.08162860815769,-44.36795760746466,10.530033570887062,-6.395682708335516,30 days 05:35:32.038834951,19 days 20:38:24,59.17595860189192,0.45899628082999866,0.16166591093011415,1.0987804774817702,0.898132913186956,19.59337737109681,1.1649884633308616,0.35243636363636366,-0.027382620641317766,None,None,0.00044985039950624337,0.11336230067557333,12.012719596184104,0.07201848766399532,0.29723890079284726,1.2118061877141961,0.19648598910644147,13465.892857142857,1.9231211770786558,1.3401815630979603,25 days 02:57:20.394088669
Most Total Fees Paid,MGM,true,88,89,false,232,50.43103448275862,1.1472757105031302,0.024954286328923308,1.9485554597209798,1.6109453701763328,0.5240400129073894,1.0480800258147789,1.0211210282629464,0.6019973193826899,0,0,9297,9298 days 00:00:00,1000.0,8214.257871414631,721.4257871414632,1004.0000221946082,100.0,3227.1374108368077,82.01607575242693,2783 days 00:00:00,232,0,0.0,96.39205298013248,-68.26987695732993,9.491773996870617,-5.7258494867703895,26 days 10:27:41.538461538,17 days 17:31:49.565217391,31.09593910092505,0.41064011419911944,0.10507777715250365,1.0884076024566367,-0.076809513007688,23.919894068292166,1.1901490692421597,0.3492961834276592,-0.027282251777314376,None,None,0.0004054451700261724,0.10217218284659545,7.214257871414583,0.058734785001160805,0.2994452729731256,1.1472757105031302,-0.2814484350662423,13465.892857142857,2.0559030165365,1.1739051882203064,22 days 02:53:47.586206895
Most Total Trades,MGM,true,88,89,false,232,50.43103448275862,1.1472757105031302,0.024954286328923308,1.9485554597209798,1.6109453701763328,0.5240400129073894,1.0480800258147789,1.0211210282629464,0.6019973193826899,0,0,9297,9298 days 00:00:00,1000.0,8214.257871414631,721.4257871414632,1004.0000221946082,100.0,3227.1374108368077,82.01607575242693,2783 days 00:00:00,232,0,0.0,96.39205298013248,-68.26987695732993,9.491773996870617,-5.7258494867703895,26 days 10:27:41.538461538,17 days 17:31:49.565217391,31.09593910092505,0.41064011419911944,0.10507777715250365,1.0884076024566367,-0.076809513007688,23.919894068292166,1.1901490692421597,0.3492961834276592,-0.027282251777314376,None,None,0.0004054451700261724,0.10217218284659545,7.214257871414583,0.058734785001160805,0.2994452729731256,1.1472757105031302,-0.2814484350662423,13465.892857142857,2.0559030165365,1.1739051882203064,22 days 02:53:47.586206895
Median Best Trade [%],MGM,true,88,89,false,232,50.43103448275862,1.1472757105031302,0.024954286328923308,1.9485554597209798,1.6109453701763328,0.5240400129073894,1.0480800258147789,1.0211210282629464,0.6019973193826899,0,0,9297,9298 days 00:00:00,1000.0,8214.257871414631,721.4257871414632,1004.0000221946082,100.0,3227.1374108368077,82.01607575242693,2783 days 00:00:00,232,0,0.0,96.39205298013248,-68.26987695732993,9.491773996870617,-5.7258494867703895,26 days 10:27:41.538461538,17 days 17:31:49.565217391,31.09593910092505,0.41064011419911944,0.10507777715250365,1.0884076024566367,-0.076809513007688,23.919894068292166,1.1901490692421597,0.3492961834276592,-0.027282251777314376,None,None,0.0004054451700261724,0.10217218284659545,7.214257871414583,0.058734785001160805,0.2994452729731256,1.1472757105031302,-0.2814484350662423,13465.892857142857,2.0559030165365,1.1739051882203064,22 days 02:53:47.586206895
Least Worst Trade [%],MGM,true,88,89,false,232,50.43103448275862,1.1472757105031302,0.024954286328923308,1.9485554597209798,1.6109453701763328,0.5240400129073894,1.0480800258147789,1.0211210282629464,0.6019973193826899,0,0,9297,9298 days 00:00:00,1000.0,8214.257871414631,721.4257871414632,1004.0000221946082,100.0,3227.1374108368077,82.01607575242693,2783 days 00:00:00,232,0,0.0,96.39205298013248,-68.26987695732993,9.491773996870617,-5.7258494867703895,26 days 10:27:41.538461538,17 days 17:31:49.565217391,31.09593910092505,0.41064011419911944,0.10507777715250365,1.0884076024566367,-0.076809513007688,23.919894068292166,1.1901490692421597,0.3492961834276592,-0.027282251777314376,None,None,0.0004054451700261724,0.10217218284659545,7.214257871414583,0.058734785001160805,0.2994452729731256,1.1472757105031302,-0.2814484350662423,13465.892857142857,2.0559030165365,1.1739051882203064,22 days 02:53:47.586206895
Least Avg Winning Trade [%],MGM,true,88,89,false,232,50.43103448275862,1.1472757105031302,0.024954286328923308,1.9485554597209798,1.6109453701763328,0.5240400129073894,1.0480800258147789,1.0211210282629464,0.6019973193826899,0,0,9297,9298 days 00:00:00,1000.0,8214.257871414631,721.4257871414632,1004.0000221946082,100.0,3227.1374108368077,82.01607575242693,2783 days 00:00:00,232,0,0.0,96.39205298013248,-68.26987695732993,9.491773996870617,-5.7258494867703895,26 days 10:27:41.538461538,17 days 17:31:49.565217391,31.09593910092505,0.41064011419911944,0.10507777715250365,1.0884076024566367,-0.076809513007688,23.919894068292166,1.1901490692421597,0.3492961834276592,-0.027282251777314376,None,None,0.0004054451700261724,0.10217218284659545,7.214257871414583,0.058734785001160805,0.2994452729731256,1.1472757105031302,-0.2814484350662423,13465.892857142857,2.0559030165365,1.1739051882203064,22 days 02:53:47.586206895
Most Avg Losing Trade [%],MGM,true,88,89,false,232,50.43103448275862,1.1472757105031302,0.024954286328923308,1.9485554597209798,1.6109453701763328,0.5240400129073894,1.0480800258147789,1.0211210282629464,0.6019973193826899,0,0,9297,9298 days 00:00:00,1000.0,8214.257871414631,721.4257871414632,1004.0000221946082,100.0,3227.1374108368077,82.01607575242693,2783 days 00:00:00,232,0,0.0,96.39205298013248,-68.26987695732993,9.491773996870617,-5.7258494867703895,26 days 10:27:41.538461538,17 days 17:31:49.565217391,31.09593910092505,0.41064011419911944,0.10507777715250365,1.0884076024566367,-0.076809513007688,23.919894068292166,1.1901490692421597,0.3492961834276592,-0.027282251777314376,None,None,0.0004054451700261724,0.10217218284659545,7.214257871414583,0.058734785001160805,0.2994452729731256,1.1472757105031302,-0.2814484350662423,13465.892857142857,2.0559030165365,1.1739051882203064,22 days 02:53:47.586206895
Least Avg Losing Trade Duration,MGM,true,88,89,false,232,50.43103448275862,1.1472757105031302,0.024954286328923308,1.9485554597209798,1.6109453701763328,0.5240400129073894,1.0480800258147789,1.0211210282629464,0.6019973193826899,0,0,9297,9298 days 00:00:00,1000.0,8214.257871414631,721.4257871414632,1004.0000221946082,100.0,3227.1374108368077,82.01607575242693,2783 days 00:00:00,232,0,0.0,96.39205298013248,-68.26987695732993,9.491773996870617,-5.7258494867703895,26 days 10:27:41.538461538,17 days 17:31:49.565217391,31.09593910092505,0.41064011419911944,0.10507777715250365,1.0884076024566367,-0.076809513007688,23.919894068292166,1.1901490692421597,0.3492961834276592,-0.027282251777314376,None,None,0.0004054451700261724,0.10217218284659545,7.214257871414583,0.058734785001160805,0.2994452729731256,1.1472757105031302,-0.2814484350662423,13465.892857142857,2.0559030165365,1.1739051882203064,22 days 02:53:47.586206895
Mean Max Drawdown [%],MGM,true,44,47,false,206,50.24390243902439,1.2183513343566523,0.022050123695815854,1.887072258595762,1.5543258107586044,0.4653113907712165,0.9283639883833494,0.8780762171329748,0.5978740379494349,0,0,9297,9298 days 00:00:00,1000.0,7707.62601200196,670.762601200196,1004.0000221946082,100.0,1970.3250335177033,75.04188432076697,2372 days 00:00:00,205,1,-396.52352886822973,75.21197798468656,-49.540309845632514,10.114113041201875,-6.420625786584921,29 days 01:37:51.844660194,19 days 09:38:49.411764706,34.65438800424482,0.40067297349851333,0.11123070818163407,1.091116006477528,0.7423316777577719,33.89748002816028,1.1855889740336676,0.33496051687006456,-0.026917010288846407,None,None,0.00041140096307878797,0.10367304269585456,6.707626012001972,0.056909636307537426,0.311402401586525,1.2183513343566523,-0.33190977452968606,13465.892857142857,1.9372793155310566,1.162326149466004,24 days 06:12:17.560975609
