Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Profit Factor Adjusted,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
Most Total Return [%],MNST,false,14,76,false,72,38.028169014084504,3.218820136562078,0.0071688206785137315,83.73073080920256,41.64173387085041,0.15266558966074315,0.3032108239095315,12.78280139171186,1.1042666931823018,0,0,9904,9905 days 00:00:00,1000.0,458825.43987913954,45782.54398791395,72448.536887468,100.0,16595.90623232201,86.82947153910622,3487 days 00:00:00,71,1,54929.134922995814,5492.422974714168,-28.74129388900356,234.1728953812035,-8.586051996343471,163 days 12:26:39.999999998,32 days 02:43:38.181818182,5674.595844452728,0.6627270517151097,0.29181054028224124,1.1966469424223736,4.206895373542643,101.75254545759937,1.143577435164242,0.346336822074215,-0.031633235803552616,None,None,0.0010709094398730018,0.26986917884799644,457.82543987914295,0.1687370898646141,0.49007748541181895,3.218820136562078,-0.3680680665915101,14345.079365079364,1.1821124188177299,2.6194194205505723,82 days 02:01:41.408450703
Most Total Fees Paid,MNST,false,14,76,false,72,38.028169014084504,3.218820136562078,0.0071688206785137315,83.73073080920256,41.64173387085041,0.15266558966074315,0.3032108239095315,12.78280139171186,1.1042666931823018,0,0,9904,9905 days 00:00:00,1000.0,458825.43987913954,45782.54398791395,72448.536887468,100.0,16595.90623232201,86.82947153910622,3487 days 00:00:00,71,1,54929.134922995814,5492.422974714168,-28.74129388900356,234.1728953812035,-8.586051996343471,163 days 12:26:39.999999998,32 days 02:43:38.181818182,5674.595844452728,0.6627270517151097,0.29181054028224124,1.1966469424223736,4.206895373542643,101.75254545759937,1.143577435164242,0.346336822074215,-0.031633235803552616,None,None,0.0010709094398730018,0.26986917884799644,457.82543987914295,0.1687370898646141,0.49007748541181895,3.218820136562078,-0.3680680665915101,14345.079365079364,1.1821124188177299,2.6194194205505723,82 days 02:01:41.408450703
Least Win Rate [%],MNST,false,14,76,false,72,38.028169014084504,3.218820136562078,0.0071688206785137315,83.73073080920256,41.64173387085041,0.15266558966074315,0.3032108239095315,12.78280139171186,1.1042666931823018,0,0,9904,9905 days 00:00:00,1000.0,458825.43987913954,45782.54398791395,72448.536887468,100.0,16595.90623232201,86.82947153910622,3487 days 00:00:00,71,1,54929.134922995814,5492.422974714168,-28.74129388900356,234.1728953812035,-8.586051996343471,163 days 12:26:39.999999998,32 days 02:43:38.181818182,5674.595844452728,0.6627270517151097,0.29181054028224124,1.1966469424223736,4.206895373542643,101.75254545759937,1.143577435164242,0.346336822074215,-0.031633235803552616,None,None,0.0010709094398730018,0.26986917884799644,457.82543987914295,0.1687370898646141,0.49007748541181895,3.218820136562078,-0.3680680665915101,14345.079365079364,1.1821124188177299,2.6194194205505723,82 days 02:01:41.408450703
Most Profit Factor,MNST,false,14,76,false,72,38.028169014084504,3.218820136562078,0.0071688206785137315,83.73073080920256,41.64173387085041,0.15266558966074315,0.3032108239095315,12.78280139171186,1.1042666931823018,0,0,9904,9905 days 00:00:00,1000.0,458825.43987913954,45782.54398791395,72448.536887468,100.0,16595.90623232201,86.82947153910622,3487 days 00:00:00,71,1,54929.134922995814,5492.422974714168,-28.74129388900356,234.1728953812035,-8.586051996343471,163 days 12:26:39.999999998,32 days 02:43:38.181818182,5674.595844452728,0.6627270517151097,0.29181054028224124,1.1966469424223736,4.206895373542643,101.75254545759937,1.143577435164242,0.346336822074215,-0.031633235803552616,None,None,0.0010709094398730018,0.26986917884799644,457.82543987914295,0.1687370898646141,0.49007748541181895,3.218820136562078,-0.3680680665915101,14345.079365079364,1.1821124188177299,2.6194194205505723,82 days 02:01:41.408450703
Most Expectancy,MNST,false,14,76,false,72,38.028169014084504,3.218820136562078,0.0071688206785137315,83.73073080920256,41.64173387085041,0.15266558966074315,0.3032108239095315,12.78280139171186,1.1042666931823018,0,0,9904,9905 days 00:00:00,1000.0,458825.43987913954,45782.54398791395,72448.536887468,100.0,16595.90623232201,86.82947153910622,3487 days 00:00:00,71,1,54929.134922995814,5492.422974714168,-28.74129388900356,234.1728953812035,-8.586051996343471,163 days 12:26:39.999999998,32 days 02:43:38.181818182,5674.595844452728,0.6627270517151097,0.29181054028224124,1.1966469424223736,4.206895373542643,101.75254545759937,1.143577435164242,0.346336822074215,-0.031633235803552616,None,None,0.0010709094398730018,0.26986917884799644,457.82543987914295,0.1687370898646141,0.49007748541181895,3.218820136562078,-0.3680680665915101,14345.079365079364,1.1821124188177299,2.6194194205505723,82 days 02:01:41.408450703
Most Sharpe Ratio,MNST,false,14,76,false,72,38.028169014084504,3.218820136562078,0.0071688206785137315,83.73073080920256,41.64173387085041,0.15266558966074315,0.3032108239095315,12.78280139171186,1.1042666931823018,0,0,9904,9905 days 00:00:00,1000.0,458825.43987913954,45782.54398791395,72448.536887468,100.0,16595.90623232201,86.82947153910622,3487 days 00:00:00,71,1,54929.134922995814,5492.422974714168,-28.74129388900356,234.1728953812035,-8.586051996343471,163 days 12:26:39.999999998,32 days 02:43:38.181818182,5674.595844452728,0.6627270517151097,0.29181054028224124,1.1966469424223736,4.206895373542643,101.75254545759937,1.143577435164242,0.346336822074215,-0.031633235803552616,None,None,0.0010709094398730018,0.26986917884799644,457.82543987914295,0.1687370898646141,0.49007748541181895,3.218820136562078,-0.3680680665915101,14345.079365079364,1.1821124188177299,2.6194194205505723,82 days 02:01:41.408450703
Most Calmar Ratio,MNST,false,14,76,false,72,38.028169014084504,3.218820136562078,0.0071688206785137315,83.73073080920256,41.64173387085041,0.15266558966074315,0.3032108239095315,12.78280139171186,1.1042666931823018,0,0,9904,9905 days 00:00:00,1000.0,458825.43987913954,45782.54398791395,72448.536887468,100.0,16595.90623232201,86.82947153910622,3487 days 00:00:00,71,1,54929.134922995814,5492.422974714168,-28.74129388900356,234.1728953812035,-8.586051996343471,163 days 12:26:39.999999998,32 days 02:43:38.181818182,5674.595844452728,0.6627270517151097,0.29181054028224124,1.1966469424223736,4.206895373542643,101.75254545759937,1.143577435164242,0.346336822074215,-0.031633235803552616,None,None,0.0010709094398730018,0.26986917884799644,457.82543987914295,0.1687370898646141,0.49007748541181895,3.218820136562078,-0.3680680665915101,14345.079365079364,1.1821124188177299,2.6194194205505723,82 days 02:01:41.408450703
Most Omega Ratio,MNST,false,14,76,false,72,38.028169014084504,3.218820136562078,0.0071688206785137315,83.73073080920256,41.64173387085041,0.15266558966074315,0.3032108239095315,12.78280139171186,1.1042666931823018,0,0,9904,9905 days 00:00:00,1000.0,458825.43987913954,45782.54398791395,72448.536887468,100.0,16595.90623232201,86.82947153910622,3487 days 00:00:00,71,1,54929.134922995814,5492.422974714168,-28.74129388900356,234.1728953812035,-8.586051996343471,163 days 12:26:39.999999998,32 days 02:43:38.181818182,5674.595844452728,0.6627270517151097,0.29181054028224124,1.1966469424223736,4.206895373542643,101.75254545759937,1.143577435164242,0.346336822074215,-0.031633235803552616,None,None,0.0010709094398730018,0.26986917884799644,457.82543987914295,0.1687370898646141,0.49007748541181895,3.218820136562078,-0.3680680665915101,14345.079365079364,1.1821124188177299,2.6194194205505723,82 days 02:01:41.408450703
Most Sortino Ratio,MNST,false,14,76,false,72,38.028169014084504,3.218820136562078,0.0071688206785137315,83.73073080920256,41.64173387085041,0.15266558966074315,0.3032108239095315,12.78280139171186,1.1042666931823018,0,0,9904,9905 days 00:00:00,1000.0,458825.43987913954,45782.54398791395,72448.536887468,100.0,16595.90623232201,86.82947153910622,3487 days 00:00:00,71,1,54929.134922995814,5492.422974714168,-28.74129388900356,234.1728953812035,-8.586051996343471,163 days 12:26:39.999999998,32 days 02:43:38.181818182,5674.595844452728,0.6627270517151097,0.29181054028224124,1.1966469424223736,4.206895373542643,101.75254545759937,1.143577435164242,0.346336822074215,-0.031633235803552616,None,None,0.0010709094398730018,0.26986917884799644,457.82543987914295,0.1687370898646141,0.49007748541181895,3.218820136562078,-0.3680680665915101,14345.079365079364,1.1821124188177299,2.6194194205505723,82 days 02:01:41.408450703
Most Win Rate [%],MNST,false,29,46,false,68,46.26865671641791,2.9292139068725667,0.006764943457189015,17.630286184993622,10.067026556176133,0.14418416801292408,0.2862479806138934,2.5420081454130545,1.0205966404824502,0,0,9904,9905 days 00:00:00,1000.0,218958.04037993026,21795.804037993024,72448.536887468,100.0,8160.490418209178,84.52777834872481,3471 days 00:00:00,67,1,14147.83689053153,352.4278062200381,-28.741293889003543,51.19758124140652,-11.274884558028589,146 days 17:48:23.225806452,34 days 16:00:00,3041.9433356626682,0.6171334812687302,0.25987951215794347,1.1817813102889858,4.163768144665691,102.74650071821468,1.130745588093466,0.34195908413494114,-0.03187499901606863,None,None,0.0009927019316382344,0.25016088677283504,217.95804037992897,0.14694541801059713,0.4878501701381204,2.9292139068725667,-0.6991546693089503,14345.079365079364,1.1488067747375672,2.6050092269901337,86 days 12:32:14.328358208
