Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Profit Factor Adjusted,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
Least Max Drawdown [%],MNST,true,87,105,false,68,55.88235294117647,2.769997228453107,0.006865912762520194,22.988311736888672,16.09054790940817,0.14418416801292408,0.28836833602584816,3.314550601805031,1.0405463295829516,0,0,9904,9905 days 00:00:00,1000.0,315049.2244539502,31404.922445395016,72448.536887468,100.0,12020.317418186,66.87470762822889,2398 days 00:00:00,68,0,0.0,773.0495032335209,-31.203025501805275,49.60053547713372,-10.72050500075505,109 days 14:31:34.736842106,54 days 07:12:00,4618.370947852209,0.6578733215565243,0.3530986109738779,1.175530737579817,1.5919447648080765,30.836385600279126,1.1521231163615848,0.33959967541249664,-0.03266590390366868,None,None,0.0009710431817030413,0.2447028817891664,314.0492244539503,0.15761190484896348,0.4476545167137283,2.769997228453107,-0.5665209568803953,14345.079365079364,1.1488067747375672,3.0334203299869804,85 days 04:56:28.235294118
Least Win Rate [%],MNST,true,88,101,false,72,50.0,2.9218532309507843,0.007269789983844911,22.775691863745873,15.10268755009857,0.15266558966074315,0.3053311793214863,3.477064428310154,1.065027839947423,0,0,9904,9905 days 00:00:00,1000.0,373822.51264784695,37282.251264784696,72448.536887468,100.0,14995.146513633717,74.93588670776222,2408 days 00:00:00,72,0,0.0,779.0453741287919,-33.501176109393725,54.534236837732976,-8.98285311024123,112 days 01:20:00,48 days 16:00:00,5178.090453442318,0.6684306565443651,0.3255449272726184,1.1784156734161264,1.7135514036196031,30.255774899824313,1.156323317352885,0.3388753717220871,-0.032753239410212964,None,None,0.0009896467259330845,0.24939097493513732,372.82251264784645,0.16266064605491537,0.4490250138233423,2.9218532309507843,-0.48539676760216666,14345.079365079364,1.1821124188177299,3.0152151497326614,80 days 08:40:00
Most Win Rate [%],MNST,true,88,105,false,71,57.74647887323944,2.600750886330505,0.0071688206785137315,22.244243635311527,16.79893146155411,0.15054523424878838,0.30109046849757676,3.3487648687650937,1.0340946593309426,0,0,9904,9905 days 00:00:00,1000.0,296183.0301963009,29518.303019630086,72448.536887468,100.0,11627.228609654274,71.0845242276756,2398 days 00:00:00,71,0,0.0,786.8319487231797,-31.203025501805286,46.89844472353441,-11.449831185259743,101 days 15:48:17.560975610,54 days 04:00:00,4157.507467553536,0.6535997606712958,0.3282345815302479,1.1743727953389502,1.5948876897595907,30.819765260005436,1.1532931081469922,0.3388753717220871,-0.03269807019739166,None,None,0.0009649831800679494,0.24317576137712324,295.18303019630184,0.15579465790457125,0.4477695552080002,2.600750886330505,-0.5925617785010632,14345.079365079364,1.173874601251369,2.9886594379099773,81 days 14:11:49.859154929
Most Total Trades,MNST,true,98,100,false,183,50.81967213114754,1.9094966209940905,0.018477382875605818,7.054025726887415,5.876774994181938,0.3880250403877222,0.7760500807754444,2.7371386175715204,0.9772763160262861,0,0,9904,9905 days 00:00:00,1000.0,174066.31047627295,17306.631047627296,72448.536887468,100.0,21094.267852203167,86.13368001891058,4427 days 00:00:00,183,0,0.0,465.30408358830135,-50.149999999999984,20.070722181738592,-6.396560609792136,41 days 14:11:36.774193548,21 days 12:00:00,945.7175435861907,0.6162572116982109,0.24311223206774843,1.1634362433529224,1.7041838219950873,31.688034111764974,1.2028668975335515,0.3390563742057591,-0.0332531522535352,None,None,0.0009149783599901802,0.23057454671752542,173.066310476274,0.1402696972953712,0.450293326652998,1.9094966209940905,-0.7611182807665373,14345.079365079364,1.8845951821512992,2.9299240892002465,31 days 17:02:57.049180327
Least Worst Trade [%],MNST,true,98,100,false,183,50.81967213114754,1.9094966209940905,0.018477382875605818,7.054025726887415,5.876774994181938,0.3880250403877222,0.7760500807754444,2.7371386175715204,0.9772763160262861,0,0,9904,9905 days 00:00:00,1000.0,174066.31047627295,17306.631047627296,72448.536887468,100.0,21094.267852203167,86.13368001891058,4427 days 00:00:00,183,0,0.0,465.30408358830135,-50.149999999999984,20.070722181738592,-6.396560609792136,41 days 14:11:36.774193548,21 days 12:00:00,945.7175435861907,0.6162572116982109,0.24311223206774843,1.1634362433529224,1.7041838219950873,31.688034111764974,1.2028668975335515,0.3390563742057591,-0.0332531522535352,None,None,0.0009149783599901802,0.23057454671752542,173.066310476274,0.1402696972953712,0.450293326652998,1.9094966209940905,-0.7611182807665373,14345.079365079364,1.8845951821512992,2.9299240892002465,31 days 17:02:57.049180327
Least Avg Winning Trade [%],MNST,true,98,100,false,183,50.81967213114754,1.9094966209940905,0.018477382875605818,7.054025726887415,5.876774994181938,0.3880250403877222,0.7760500807754444,2.7371386175715204,0.9772763160262861,0,0,9904,9905 days 00:00:00,1000.0,174066.31047627295,17306.631047627296,72448.536887468,100.0,21094.267852203167,86.13368001891058,4427 days 00:00:00,183,0,0.0,465.30408358830135,-50.149999999999984,20.070722181738592,-6.396560609792136,41 days 14:11:36.774193548,21 days 12:00:00,945.7175435861907,0.6162572116982109,0.24311223206774843,1.1634362433529224,1.7041838219950873,31.688034111764974,1.2028668975335515,0.3390563742057591,-0.0332531522535352,None,None,0.0009149783599901802,0.23057454671752542,173.066310476274,0.1402696972953712,0.450293326652998,1.9094966209940905,-0.7611182807665373,14345.079365079364,1.8845951821512992,2.9299240892002465,31 days 17:02:57.049180327
Least Avg Losing Trade Duration,MNST,true,98,100,false,183,50.81967213114754,1.9094966209940905,0.018477382875605818,7.054025726887415,5.876774994181938,0.3880250403877222,0.7760500807754444,2.7371386175715204,0.9772763160262861,0,0,9904,9905 days 00:00:00,1000.0,174066.31047627295,17306.631047627296,72448.536887468,100.0,21094.267852203167,86.13368001891058,4427 days 00:00:00,183,0,0.0,465.30408358830135,-50.149999999999984,20.070722181738592,-6.396560609792136,41 days 14:11:36.774193548,21 days 12:00:00,945.7175435861907,0.6162572116982109,0.24311223206774843,1.1634362433529224,1.7041838219950873,31.688034111764974,1.2028668975335515,0.3390563742057591,-0.0332531522535352,None,None,0.0009149783599901802,0.23057454671752542,173.066310476274,0.1402696972953712,0.450293326652998,1.9094966209940905,-0.7611182807665373,14345.079365079364,1.8845951821512992,2.9299240892002465,31 days 17:02:57.049180327
Median Avg Winning Trade [%],MNST,true,90,100,false,79,51.89873417721519,2.5816816456181066,0.007976575121163166,20.99785349391269,15.857653218832569,0.1675080775444265,0.335016155088853,3.5173100713248338,1.0552534324545297,0,0,9904,9905 days 00:00:00,1000.0,362408.62956194417,36140.86295619442,72448.536887468,100.0,17683.85376501681,72.63551452593775,2436 days 00:00:00,79,0,0.0,783.545235855977,-34.257926008394186,49.3331377477066,-9.57442688518074,95 days 13:27:48.292682927,48 days 22:44:12.631578947,4574.792779265114,0.6664661450543196,0.333899142526027,1.178329366942374,1.6020032317144628,30.631066218480665,1.155786597068632,0.3392374256354786,-0.03270772486732871,None,None,0.0009902500560026839,0.24954301411267632,361.40862956194593,0.16174376760994846,0.45062313547647914,2.5816816456181066,-0.5011512377077971,14345.079365079364,1.2382435582482978,2.8700698626684775,73 days 03:20:30.379746834
Mean Total Fees Paid,MNST,true,109,117,false,91,57.14285714285714,2.3321202644770054,0.009188206785137319,15.446309591541858,14.46961085858722,0.1929523424878837,0.3859046849757674,2.9804016184810678,0.9733915039567931,0,0,9904,9905 days 00:00:00,1000.0,176235.13934912917,17523.513934912917,72448.536887468,100.0,10083.344413133953,79.29486972767543,4357 days 00:00:00,91,0,0.0,659.4874994692595,-39.44647742244261,34.13559734498903,-9.472740746387696,80 days 03:13:50.769230769,45 days 03:04:36.923076923,1925.660871968451,0.6141653980037827,0.26477563715147184,1.160852164978471,2.1673750933750533,47.03569031557278,1.1420565632324866,0.35480782382710985,-0.03407260618963844,None,None,0.0009287025899600782,0.2340330526699397,175.2351393491299,0.14062898383922162,0.4586041861085128,2.3321202644770054,-0.7581246676916108,14345.079365079364,1.3289640343756195,2.8260760077718445,65 days 03:09:53.406593406
Median Omega Ratio,MNST,true,109,117,false,91,57.14285714285714,2.3321202644770054,0.009188206785137319,15.446309591541858,14.46961085858722,0.1929523424878837,0.3859046849757674,2.9804016184810678,0.9733915039567931,0,0,9904,9905 days 00:00:00,1000.0,176235.13934912917,17523.513934912917,72448.536887468,100.0,10083.344413133953,79.29486972767543,4357 days 00:00:00,91,0,0.0,659.4874994692595,-39.44647742244261,34.13559734498903,-9.472740746387696,80 days 03:13:50.769230769,45 days 03:04:36.923076923,1925.660871968451,0.6141653980037827,0.26477563715147184,1.160852164978471,2.1673750933750533,47.03569031557278,1.1420565632324866,0.35480782382710985,-0.03407260618963844,None,None,0.0009287025899600782,0.2340330526699397,175.2351393491299,0.14062898383922162,0.4586041861085128,2.3321202644770054,-0.7581246676916108,14345.079365079364,1.3289640343756195,2.8260760077718445,65 days 03:09:53.406593406
