Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Entry,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
Most Total Return [%],MSTY_MSTR,EMA,87,89,false,5,-0.0,0.0,0.0,NaN,-3.412744128880332,0.600419094818835,1 days 04:48:00,0.04224850334956306,1.2850586435492095,2.570117287098419,NaN,0,0,1961,81 days 18:00:00,1000.0,697.2441865735096,-30.275581342649037,-75.7683386520246,100.0,8.486324004290644,31.099220967593038,81 days 10:00:00,5,0,0.0,-3.9860968510967836,-10.560077054921459,NaN,-6.931121474121508,NaT,1 days 04:48:00,-60.551162685298074,-3.2910758531600397,-2.572841090860492,0.5223579767586601,-17.895445044951646,379.2343534215978,0.5017385829392393,0.040296924708377514,0.0,None,None,-0.000171191982935396,-1.0353691127932751,-0.30275581342649116,-0.670979328847819,0.37861993333717364,118.34738756613756
Least Total Return [%],MSTY_MSTR,EMA,2,3,false,238,0.0,26.160337552742618,0.30164846849707244,0.0001,-9.449827286358534,-0.06807413881749533,0 days 04:29:37.215189871,2.002579058769289,61.16879143294238,122.08057113717491,0.006116879143294238,0,0,1961,81 days 18:00:00,1000.0,190.73796944606477,-80.92620305539351,-75.7683386520246,100.0,207.07339051151604,81.13262296023304,81 days 17:00:00,237,1,0.8190501159006374,7.912903390061382,-15.308447647117893,1.2824698406822908,-1.3637349470809548,0 days 10:08:42.580645161,0 days 02:29:29.142857142,-3.4180636315182937,-8.765483450211692,-1.2317945953223015,0.572666905490429,-8.227940789615769,112.48830084645506,0.7878067411283928,0.3905031892274982,-0.00802735303052094,None,None,-0.0008052252754858451,-4.870002466138391,-0.809262030553935,-0.9939480125488561,0.6686509544564058,118.34738756613756
Mean Total Return [%],MSTY_MSTR,EMA,37,40,false,15,-0.0,0.0,0.0,NaN,-5.228534409856993,0.32354431324990834,1 days 12:04:17.142857142,0.11829580937877657,3.8551759306476288,7.453340132585415,NaN,0,0,1961,81 days 18:00:00,1000.0,487.46076443231186,-51.25392355676881,-75.7683386520246,100.0,20.091966426590478,52.91207254386299,81 days 10:00:00,14,1,6.047857395677568,-2.198059509744019,-8.105087285517312,NaN,-5.081300696030513,NaT,1 days 12:04:17.142857142,-37.04193521166898,-4.9349799022421035,-1.8135181902348638,0.6218719267963716,-10.69875265484595,153.9319586405955,0.6081541637052755,0.16094674556213018,-0.003995065916896045,None,None,-0.00034384031821112714,-2.079546244540897,-0.5125392355676888,-0.8908427600478364,0.507141739640618,118.34738756613756
Median Total Return [%],MSTY_MSTR,EMA,39,44,false,14,-0.0,0.0,0.0,NaN,-5.13984701307974,0.34657420345964474,1 days 13:09:13.846153846,0.10984610870886395,3.598164201937787,6.939316675165732,NaN,0,0,1961,81 days 18:00:00,1000.0,504.91012963761443,-49.50898703623856,-75.7683386520246,100.0,18.79700527365428,51.22649187174506,81 days 10:00:00,13,1,4.775308870096865,-1.3924049777021104,-9.606126293039878,NaN,-5.177064613008937,NaT,1 days 13:09:13.846153846,-38.4511676332679,-4.843685233484197,-1.859771468640931,0.6220525489496495,-11.108900077430505,167.61317451202885,0.6100438124834402,0.15208455666470932,-0.003939535013857408,None,None,-0.0003272463875828421,-1.9791861521010292,-0.4950898703623854,-0.8783430310342076,0.49176418118589343,118.34738756613756
Most Total Fees Paid,MSTY_MSTR,EMA,2,3,false,238,0.0,26.160337552742618,0.30164846849707244,0.0001,-9.449827286358534,-0.06807413881749533,0 days 04:29:37.215189871,2.002579058769289,61.16879143294238,122.08057113717491,0.006116879143294238,0,0,1961,81 days 18:00:00,1000.0,190.73796944606477,-80.92620305539351,-75.7683386520246,100.0,207.07339051151604,81.13262296023304,81 days 17:00:00,237,1,0.8190501159006374,7.912903390061382,-15.308447647117893,1.2824698406822908,-1.3637349470809548,0 days 10:08:42.580645161,0 days 02:29:29.142857142,-3.4180636315182937,-8.765483450211692,-1.2317945953223015,0.572666905490429,-8.227940789615769,112.48830084645506,0.7878067411283928,0.3905031892274982,-0.00802735303052094,None,None,-0.0008052252754858451,-4.870002466138391,-0.809262030553935,-0.9939480125488561,0.6686509544564058,118.34738756613756
Least Total Fees Paid,MSTY_MSTR,EMA,87,89,false,5,-0.0,0.0,0.0,NaN,-3.412744128880332,0.600419094818835,1 days 04:48:00,0.04224850334956306,1.2850586435492095,2.570117287098419,NaN,0,0,1961,81 days 18:00:00,1000.0,697.2441865735096,-30.275581342649037,-75.7683386520246,100.0,8.486324004290644,31.099220967593038,81 days 10:00:00,5,0,0.0,-3.9860968510967836,-10.560077054921459,NaN,-6.931121474121508,NaT,1 days 04:48:00,-60.551162685298074,-3.2910758531600397,-2.572841090860492,0.5223579767586601,-17.895445044951646,379.2343534215978,0.5017385829392393,0.040296924708377514,0.0,None,None,-0.000171191982935396,-1.0353691127932751,-0.30275581342649116,-0.670979328847819,0.37861993333717364,118.34738756613756
Mean Total Fees Paid,MSTY_MSTR,EMA,13,75,false,20,-0.0,0.0,0.0,NaN,-5.9516855545654375,0.26312370824577946,1 days 00:47:22.105263157,0.16054431272833963,5.140234574196838,10.023457419683835,NaN,0,0,1961,81 days 18:00:00,1000.0,441.6810758171814,-55.83189241828186,-75.7683386520246,100.0,25.20157347904743,57.33431698641675,81 days 10:00:00,19,1,4.177304901007858,-1.4029530966730688,-8.072840037157324,NaN,-4.243050012083292,NaT,1 days 00:47:22.105263157,-29.60506468862244,-5.66112039561604,-1.698756127578229,0.5608383000547185,-10.836914288639996,154.7417287793421,0.5811095639121179,0.14535901926444833,-0.003855414184890402,None,None,-0.00039410983706908035,-2.383576294593798,-0.5583189241828188,-0.9194578103927492,0.5067255797658183,118.34738756613756
Median Total Fees Paid,MSTY_MSTR,EMA,15,88,false,14,-0.0,0.0,0.0,NaN,-5.0500757162744545,0.36444020494138296,1 days 06:18:27.692307692,0.10984610870886395,3.598164201937787,6.939316675165732,NaN,0,0,1961,81 days 18:00:00,1000.0,518.4469021438736,-48.155309785612644,-75.7683386520246,100.0,18.95616198426919,49.00985176881118,81 days 10:00:00,13,1,1.0318046334756446,-2.0432221264634665,-7.413758601056064,NaN,-4.931908629351087,NaT,1 days 06:18:27.692307692,-37.12191557612325,-4.815626804991935,-1.931783732269616,0.5764321289816603,-12.200678477770419,190.49561238545587,0.5681182040444248,0.11858608893956671,-0.0028632708715970166,None,None,-0.0003150188999580396,-1.9052343069462234,-0.481553097856127,-0.8680053513356011,0.47614774487279327,118.34738756613756
Most Max Drawdown [%],MSTY_MSTR,EMA,2,3,false,238,0.0,26.160337552742618,0.30164846849707244,0.0001,-9.449827286358534,-0.06807413881749533,0 days 04:29:37.215189871,2.002579058769289,61.16879143294238,122.08057113717491,0.006116879143294238,0,0,1961,81 days 18:00:00,1000.0,190.73796944606477,-80.92620305539351,-75.7683386520246,100.0,207.07339051151604,81.13262296023304,81 days 17:00:00,237,1,0.8190501159006374,7.912903390061382,-15.308447647117893,1.2824698406822908,-1.3637349470809548,0 days 10:08:42.580645161,0 days 02:29:29.142857142,-3.4180636315182937,-8.765483450211692,-1.2317945953223015,0.572666905490429,-8.227940789615769,112.48830084645506,0.7878067411283928,0.3905031892274982,-0.00802735303052094,None,None,-0.0008052252754858451,-4.870002466138391,-0.809262030553935,-0.9939480125488561,0.6686509544564058,118.34738756613756
Least Max Drawdown [%],MSTY_MSTR,EMA,87,89,false,5,-0.0,0.0,0.0,NaN,-3.412744128880332,0.600419094818835,1 days 04:48:00,0.04224850334956306,1.2850586435492095,2.570117287098419,NaN,0,0,1961,81 days 18:00:00,1000.0,697.2441865735096,-30.275581342649037,-75.7683386520246,100.0,8.486324004290644,31.099220967593038,81 days 10:00:00,5,0,0.0,-3.9860968510967836,-10.560077054921459,NaN,-6.931121474121508,NaT,1 days 04:48:00,-60.551162685298074,-3.2910758531600397,-2.572841090860492,0.5223579767586601,-17.895445044951646,379.2343534215978,0.5017385829392393,0.040296924708377514,0.0,None,None,-0.000171191982935396,-1.0353691127932751,-0.30275581342649116,-0.670979328847819,0.37861993333717364,118.34738756613756
