Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Total Return [%],NCLH,false,3,15,132,34.090909090909086,1.1118255780824708,43.50692155570204,3.4618307658461234,1.7881357261601876,0.9136453526697429,2,3.1628855909444473,0.46894574456135346,0,0,3034,3035 days 00:00:00,1000.0,1456.961661091686,45.696166109168594,5.647436735887057,100.0,286.6573515461781,58.79730372219032,1219 days 00:00:00,132,0,0.0,46.3342628090043,-17.88956411912318,9.896005545621739,-4.035453580926104,25 days 17:04:00,5 days 13:14:28.965517241,0.31577044107374974,0.07874770139233098,1.0747097256049296,7.0914879167727385,12 days 10:10:54.545454544,0
Most Profit Factor,NCLH,false,3,15,132,34.090909090909086,1.1118255780824708,43.50692155570204,3.4618307658461234,1.7881357261601876,0.9136453526697429,2,3.1628855909444473,0.46894574456135346,0,0,3034,3035 days 00:00:00,1000.0,1456.961661091686,45.696166109168594,5.647436735887057,100.0,286.6573515461781,58.79730372219032,1219 days 00:00:00,132,0,0.0,46.3342628090043,-17.88956411912318,9.896005545621739,-4.035453580926104,25 days 17:04:00,5 days 13:14:28.965517241,0.31577044107374974,0.07874770139233098,1.0747097256049296,7.0914879167727385,12 days 10:10:54.545454544,0
Most Expectancy,NCLH,false,3,15,132,34.090909090909086,1.1118255780824708,43.50692155570204,3.4618307658461234,1.7881357261601876,0.9136453526697429,2,3.1628855909444473,0.46894574456135346,0,0,3034,3035 days 00:00:00,1000.0,1456.961661091686,45.696166109168594,5.647436735887057,100.0,286.6573515461781,58.79730372219032,1219 days 00:00:00,132,0,0.0,46.3342628090043,-17.88956411912318,9.896005545621739,-4.035453580926104,25 days 17:04:00,5 days 13:14:28.965517241,0.31577044107374974,0.07874770139233098,1.0747097256049296,7.0914879167727385,12 days 10:10:54.545454544,0
Most Sharpe Ratio,NCLH,false,3,15,132,34.090909090909086,1.1118255780824708,43.50692155570204,3.4618307658461234,1.7881357261601876,0.9136453526697429,2,3.1628855909444473,0.46894574456135346,0,0,3034,3035 days 00:00:00,1000.0,1456.961661091686,45.696166109168594,5.647436735887057,100.0,286.6573515461781,58.79730372219032,1219 days 00:00:00,132,0,0.0,46.3342628090043,-17.88956411912318,9.896005545621739,-4.035453580926104,25 days 17:04:00,5 days 13:14:28.965517241,0.31577044107374974,0.07874770139233098,1.0747097256049296,7.0914879167727385,12 days 10:10:54.545454544,0
Most Calmar Ratio,NCLH,false,3,15,132,34.090909090909086,1.1118255780824708,43.50692155570204,3.4618307658461234,1.7881357261601876,0.9136453526697429,2,3.1628855909444473,0.46894574456135346,0,0,3034,3035 days 00:00:00,1000.0,1456.961661091686,45.696166109168594,5.647436735887057,100.0,286.6573515461781,58.79730372219032,1219 days 00:00:00,132,0,0.0,46.3342628090043,-17.88956411912318,9.896005545621739,-4.035453580926104,25 days 17:04:00,5 days 13:14:28.965517241,0.31577044107374974,0.07874770139233098,1.0747097256049296,7.0914879167727385,12 days 10:10:54.545454544,0
Most Omega Ratio,NCLH,false,3,15,132,34.090909090909086,1.1118255780824708,43.50692155570204,3.4618307658461234,1.7881357261601876,0.9136453526697429,2,3.1628855909444473,0.46894574456135346,0,0,3034,3035 days 00:00:00,1000.0,1456.961661091686,45.696166109168594,5.647436735887057,100.0,286.6573515461781,58.79730372219032,1219 days 00:00:00,132,0,0.0,46.3342628090043,-17.88956411912318,9.896005545621739,-4.035453580926104,25 days 17:04:00,5 days 13:14:28.965517241,0.31577044107374974,0.07874770139233098,1.0747097256049296,7.0914879167727385,12 days 10:10:54.545454544,0
Most Sortino Ratio,NCLH,false,3,15,132,34.090909090909086,1.1118255780824708,43.50692155570204,3.4618307658461234,1.7881357261601876,0.9136453526697429,2,3.1628855909444473,0.46894574456135346,0,0,3034,3035 days 00:00:00,1000.0,1456.961661091686,45.696166109168594,5.647436735887057,100.0,286.6573515461781,58.79730372219032,1219 days 00:00:00,132,0,0.0,46.3342628090043,-17.88956411912318,9.896005545621739,-4.035453580926104,25 days 17:04:00,5 days 13:14:28.965517241,0.31577044107374974,0.07874770139233098,1.0747097256049296,7.0914879167727385,12 days 10:10:54.545454544,0
Median Win Rate [%],NCLH,false,7,12,102,35.294117647058826,1.0769529221980347,33.618984838497035,2.557570837197062,1.3676849396775734,0.7059986816084377,2,1.8056416391813142,0.40576256481943407,0,0,3034,3035 days 00:00:00,1000.0,1260.8722253940991,26.087222539409915,5.647436735887057,100.0,203.4271137941126,66.27017476476527,1218 days 00:00:00,102,0,0.0,50.60628353663854,-17.253582107082234,11.231745107257545,-4.950275142290701,32 days 05:20:00,7 days 10:54:32.727272727,0.2724530653799799,0.04265835041276894,1.063567396495571,3.6193031917713605,16 days 04:42:21.176470587,0
Median Avg Winning Trade [%],NCLH,false,5,14,111,36.93693693693694,1.07237546184891,36.58536585365854,2.3537441817386977,1.3172742485843107,0.7682926829268292,2,1.8083644323114383,0.4053588088775231,0,0,3034,3035 days 00:00:00,1000.0,1261.265604172996,26.126560417299594,5.647436735887057,100.0,231.48538521888437,69.49624811465239,1193 days 00:00:00,111,0,0.0,50.60628353663854,-17.889564119123165,10.068417148713928,-4.767445818289209,29 days 03:30:43.902439024,6 days 13:22:17.142857142,0.2744032971992856,0.04073362306614426,1.0641706566171822,3.626268808161484,14 days 21:37:17.837837837,0
Most Win Rate [%],NCLH,false,5,13,114,38.59649122807017,1.039747465499256,37.57415952537904,1.2936848465320026,0.7565408459251477,0.7890573500329597,2,1.0207915367823381,0.364218385423014,0,0,3034,3035 days 00:00:00,1000.0,1147.4800725046491,14.748007250464912,5.647436735887057,100.0,235.40586838868722,66.74525052516924,1176 days 00:00:00,114,0,0.0,43.867385056993854,-17.88956411912318,9.354117301729094,-4.931194252621289,27 days 11:27:16.363636363,6 days 05:29:08.571428571,0.2469968062190575,0.024993650832210192,1.0578070421841066,1.6114515204300746,14 days 10:18:56.842105262,0
