Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Total Return [%],NVDA,true,45,73,44,65.9090909090909,35.77129437215118,6.712433257055682,224096.25992925273,149191.72492994327,0.14096109839816934,1,31588.854946549127,1.9739204269573327,0,0,6555,6556 days 00:00:00,1000.0,9861235.436887119,986023.5436887118,319628.87502249185,100.0,53538.3178634907,59.60017187115309,1187 days 00:00:00,44,0,0.0,259.6005531187526,-52.14122348162098,56.116016025423455,-11.580553542093872,128 days 11:35:10.344827586,38 days 20:48:00,1.2202177300524712,1.1218517704835007,1.2680904335628094,2.084901336336796,97 days 22:21:49.090909090,0
Most Expectancy,NVDA,true,45,73,44,65.9090909090909,35.77129437215118,6.712433257055682,224096.25992925273,149191.72492994327,0.14096109839816934,1,31588.854946549127,1.9739204269573327,0,0,6555,6556 days 00:00:00,1000.0,9861235.436887119,986023.5436887118,319628.87502249185,100.0,53538.3178634907,59.60017187115309,1187 days 00:00:00,44,0,0.0,259.6005531187526,-52.14122348162098,56.116016025423455,-11.580553542093872,128 days 11:35:10.344827586,38 days 20:48:00,1.2202177300524712,1.1218517704835007,1.2680904335628094,2.084901336336796,97 days 22:21:49.090909090,0
Most Sharpe Ratio,NVDA,true,45,73,44,65.9090909090909,35.77129437215118,6.712433257055682,224096.25992925273,149191.72492994327,0.14096109839816934,1,31588.854946549127,1.9739204269573327,0,0,6555,6556 days 00:00:00,1000.0,9861235.436887119,986023.5436887118,319628.87502249185,100.0,53538.3178634907,59.60017187115309,1187 days 00:00:00,44,0,0.0,259.6005531187526,-52.14122348162098,56.116016025423455,-11.580553542093872,128 days 11:35:10.344827586,38 days 20:48:00,1.2202177300524712,1.1218517704835007,1.2680904335628094,2.084901336336796,97 days 22:21:49.090909090,0
Most Calmar Ratio,NVDA,true,45,73,44,65.9090909090909,35.77129437215118,6.712433257055682,224096.25992925273,149191.72492994327,0.14096109839816934,1,31588.854946549127,1.9739204269573327,0,0,6555,6556 days 00:00:00,1000.0,9861235.436887119,986023.5436887118,319628.87502249185,100.0,53538.3178634907,59.60017187115309,1187 days 00:00:00,44,0,0.0,259.6005531187526,-52.14122348162098,56.116016025423455,-11.580553542093872,128 days 11:35:10.344827586,38 days 20:48:00,1.2202177300524712,1.1218517704835007,1.2680904335628094,2.084901336336796,97 days 22:21:49.090909090,0
Most Omega Ratio,NVDA,true,45,73,44,65.9090909090909,35.77129437215118,6.712433257055682,224096.25992925273,149191.72492994327,0.14096109839816934,1,31588.854946549127,1.9739204269573327,0,0,6555,6556 days 00:00:00,1000.0,9861235.436887119,986023.5436887118,319628.87502249185,100.0,53538.3178634907,59.60017187115309,1187 days 00:00:00,44,0,0.0,259.6005531187526,-52.14122348162098,56.116016025423455,-11.580553542093872,128 days 11:35:10.344827586,38 days 20:48:00,1.2202177300524712,1.1218517704835007,1.2680904335628094,2.084901336336796,97 days 22:21:49.090909090,0
Most Sortino Ratio,NVDA,true,45,73,44,65.9090909090909,35.77129437215118,6.712433257055682,224096.25992925273,149191.72492994327,0.14096109839816934,1,31588.854946549127,1.9739204269573327,0,0,6555,6556 days 00:00:00,1000.0,9861235.436887119,986023.5436887118,319628.87502249185,100.0,53538.3178634907,59.60017187115309,1187 days 00:00:00,44,0,0.0,259.6005531187526,-52.14122348162098,56.116016025423455,-11.580553542093872,128 days 11:35:10.344827586,38 days 20:48:00,1.2202177300524712,1.1218517704835007,1.2680904335628094,2.084901336336796,97 days 22:21:49.090909090,0
Least Total Trades,NVDA,true,52,89,33,60.60606060606061,6.801855801897124,5.034324942791762,173870.94759048198,79830.5544492571,0.105720823798627,1,18381.779813913658,1.8607087571368157,0,0,6555,6556 days 00:00:00,1000.0,5738741.270485905,573774.1270485906,319628.87502249185,100.0,29753.63353764491,63.524864940118164,1001 days 00:00:00,33,0,0.0,584.4653200136156,-47.97631494419143,94.88589320857146,-14.181902946906142,182 days 16:48:00,59 days 12:55:23.076923077,1.1548187979468216,0.9745520448535626,1.250343592969231,0.7951260724119962,134 days 04:21:49.090909091,0
Least Max Drawdown Duration,NVDA,true,52,89,33,60.60606060606061,6.801855801897124,5.034324942791762,173870.94759048198,79830.5544492571,0.105720823798627,1,18381.779813913658,1.8607087571368157,0,0,6555,6556 days 00:00:00,1000.0,5738741.270485905,573774.1270485906,319628.87502249185,100.0,29753.63353764491,63.524864940118164,1001 days 00:00:00,33,0,0.0,584.4653200136156,-47.97631494419143,94.88589320857146,-14.181902946906142,182 days 16:48:00,59 days 12:55:23.076923077,1.1548187979468216,0.9745520448535626,1.250343592969231,0.7951260724119962,134 days 04:21:49.090909091,0
Most Max Drawdown Duration,NVDA,true,56,85,35,65.71428571428571,7.914641849051652,5.339435545385203,139096.49565520306,73443.97153511639,0.11212814645308924,1,15596.632235938101,1.832262743601688,0,0,6555,6556 days 00:00:00,1000.0,4869377.347932107,486837.7347932107,319628.87502249185,100.0,25924.949910627653,61.17546339122302,999 days 00:00:00,35,0,0.0,469.5184784071854,-49.09677143392563,77.24970762199817,-16.137657473835905,164 days 04:10:26.086956520,50 days 06:00:00,1.137357586917254,0.987883896179228,1.247566859379086,0.5231344000411495,125 days 02:44:34.285714284,0
Most Win Rate [%],NVDA,true,45,84,37,72.97297297297297,8.272543934418353,5.644546147978643,128483.72710205906,72028.75610266946,0.1185354691075515,1,15229.878864729199,1.833708263032628,0,0,6555,6556 days 00:00:00,1000.0,4754897.902776185,475389.7902776185,319628.87502249185,100.0,26046.832586329867,65.9259730606228,1187 days 00:00:00,37,0,0.0,589.2736457138368,-53.44703143790891,69.16241569740606,-18.672026915388003,145 days 16:00:00,43 days 02:24:00,1.1405856839966526,0.9134775263583228,1.2478058471677775,0.48731803484327246,117 days 22:42:09.729729729,0
