Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Least Total Trades,PDD,false,6,39,21,45.0,1.7245839472495061,12.217470983506415,233.22268703642368,48.18650558603795,0.2693952351863165,1,62.82908062496204,1.4881221549763584,0,0,1637,1638 days 00:00:00,1000.0,5865.142508143987,486.5142508143987,332.2097311924359,100.0,182.07565678670505,43.71305783486195,453 days 00:00:00,20,1,200.68876741551685,120.45739742602235,-29.97997533232072,43.95923613361998,-10.003976653297482,72 days 08:00:00,13 days 17:27:16.363636363,0.9664153405000379,1.1053740302506363,1.2377037915729578,0.464479228432295,40 days 02:23:59.999999999,0
Most Expectancy,PDD,false,6,39,21,45.0,1.7245839472495061,12.217470983506415,233.22268703642368,48.18650558603795,0.2693952351863165,1,62.82908062496204,1.4881221549763584,0,0,1637,1638 days 00:00:00,1000.0,5865.142508143987,486.5142508143987,332.2097311924359,100.0,182.07565678670505,43.71305783486195,453 days 00:00:00,20,1,200.68876741551685,120.45739742602235,-29.97997533232072,43.95923613361998,-10.003976653297482,72 days 08:00:00,13 days 17:27:16.363636363,0.9664153405000379,1.1053740302506363,1.2377037915729578,0.464479228432295,40 days 02:23:59.999999999,0
Most Calmar Ratio,PDD,false,6,39,21,45.0,1.7245839472495061,12.217470983506415,233.22268703642368,48.18650558603795,0.2693952351863165,1,62.82908062496204,1.4881221549763584,0,0,1637,1638 days 00:00:00,1000.0,5865.142508143987,486.5142508143987,332.2097311924359,100.0,182.07565678670505,43.71305783486195,453 days 00:00:00,20,1,200.68876741551685,120.45739742602235,-29.97997533232072,43.95923613361998,-10.003976653297482,72 days 08:00:00,13 days 17:27:16.363636363,0.9664153405000379,1.1053740302506363,1.2377037915729578,0.464479228432295,40 days 02:23:59.999999999,0
Median Worst Trade [%],PDD,false,6,40,21,45.0,1.7203348035827002,12.217470983506415,229.56970106208627,47.43175641778642,0.2693952351863165,1,61.84498360927309,1.480479987453365,0,0,1637,1638 days 00:00:00,1000.0,5789.494319279145,478.9494319279145,332.2097311924359,100.0,180.63802199070517,44.43904279185495,453 days 00:00:00,20,1,198.10029803741963,120.45739742602235,-29.979975332320706,43.76320496386027,-10.003976653297478,72 days 10:40:00,13 days 17:27:16.363636363,0.9614481401954801,1.077674976558364,1.2361991347309929,0.4417080144183918,40 days 03:35:59.999999999,0
Median Avg Losing Trade [%],PDD,false,6,40,21,45.0,1.7203348035827002,12.217470983506415,229.56970106208627,47.43175641778642,0.2693952351863165,1,61.84498360927309,1.480479987453365,0,0,1637,1638 days 00:00:00,1000.0,5789.494319279145,478.9494319279145,332.2097311924359,100.0,180.63802199070517,44.43904279185495,453 days 00:00:00,20,1,198.10029803741963,120.45739742602235,-29.979975332320706,43.76320496386027,-10.003976653297478,72 days 10:40:00,13 days 17:27:16.363636363,0.9614481401954801,1.077674976558364,1.2361991347309929,0.4417080144183918,40 days 03:35:59.999999999,0
Most Total Return [%],PDD,false,11,27,22,42.857142857142854,1.819630864143194,12.828344532681736,210.48832835322838,43.48932403992321,0.28222357971899814,1,59.404769516916005,1.5061124140169921,0,0,1637,1638 days 00:00:00,1000.0,6007.812112461722,500.78121124617223,332.2097311924359,100.0,185.41326192266737,45.01291075980852,456 days 00:00:00,21,1,587.5572170439264,126.45645809317226,-29.979975332320713,41.84347310161114,-8.535964867097693,71 days 13:20:00,13 days 08:00:00,0.9787678782974985,1.0911477922302386,1.2392496672721824,0.5074248711760028,38 days 06:51:25.714285714,0
Most Profit Factor,PDD,false,11,27,22,42.857142857142854,1.819630864143194,12.828344532681736,210.48832835322838,43.48932403992321,0.28222357971899814,1,59.404769516916005,1.5061124140169921,0,0,1637,1638 days 00:00:00,1000.0,6007.812112461722,500.78121124617223,332.2097311924359,100.0,185.41326192266737,45.01291075980852,456 days 00:00:00,21,1,587.5572170439264,126.45645809317226,-29.979975332320713,41.84347310161114,-8.535964867097693,71 days 13:20:00,13 days 08:00:00,0.9787678782974985,1.0911477922302386,1.2392496672721824,0.5074248711760028,38 days 06:51:25.714285714,0
Most Sharpe Ratio,PDD,false,11,27,22,42.857142857142854,1.819630864143194,12.828344532681736,210.48832835322838,43.48932403992321,0.28222357971899814,1,59.404769516916005,1.5061124140169921,0,0,1637,1638 days 00:00:00,1000.0,6007.812112461722,500.78121124617223,332.2097311924359,100.0,185.41326192266737,45.01291075980852,456 days 00:00:00,21,1,587.5572170439264,126.45645809317226,-29.979975332320713,41.84347310161114,-8.535964867097693,71 days 13:20:00,13 days 08:00:00,0.9787678782974985,1.0911477922302386,1.2392496672721824,0.5074248711760028,38 days 06:51:25.714285714,0
Most Omega Ratio,PDD,false,11,27,22,42.857142857142854,1.819630864143194,12.828344532681736,210.48832835322838,43.48932403992321,0.28222357971899814,1,59.404769516916005,1.5061124140169921,0,0,1637,1638 days 00:00:00,1000.0,6007.812112461722,500.78121124617223,332.2097311924359,100.0,185.41326192266737,45.01291075980852,456 days 00:00:00,21,1,587.5572170439264,126.45645809317226,-29.979975332320713,41.84347310161114,-8.535964867097693,71 days 13:20:00,13 days 08:00:00,0.9787678782974985,1.0911477922302386,1.2392496672721824,0.5074248711760028,38 days 06:51:25.714285714,0
Most Sortino Ratio,PDD,false,11,27,22,42.857142857142854,1.819630864143194,12.828344532681736,210.48832835322838,43.48932403992321,0.28222357971899814,1,59.404769516916005,1.5061124140169921,0,0,1637,1638 days 00:00:00,1000.0,6007.812112461722,500.78121124617223,332.2097311924359,100.0,185.41326192266737,45.01291075980852,456 days 00:00:00,21,1,587.5572170439264,126.45645809317226,-29.979975332320713,41.84347310161114,-8.535964867097693,71 days 13:20:00,13 days 08:00:00,0.9787678782974985,1.0911477922302386,1.2392496672721824,0.5074248711760028,38 days 06:51:25.714285714,0
Most Win Rate [%],PDD,false,17,19,21,50.0,1.7431375554676585,12.217470983506415,184.07681407535296,42.258221780384055,0.2693952351863165,1,49.58941662017756,1.4027572002106428,0,0,1637,1638 days 00:00:00,1000.0,5189.016184597561,418.9016184597561,332.2097311924359,100.0,148.2940717866017,48.8479105315764,690 days 00:00:00,20,1,507.4799030905051,126.4564580931722,-32.31071246858541,39.66454664070309,-12.343797513957595,66 days 12:00:00,13 days 16:48:00,0.9358393893071065,0.9074272040893511,1.222616218661258,0.2609552915748365,40 days 02:24:00,0
Least Worst Trade [%],PDD,false,17,19,21,50.0,1.7431375554676585,12.217470983506415,184.07681407535296,42.258221780384055,0.2693952351863165,1,49.58941662017756,1.4027572002106428,0,0,1637,1638 days 00:00:00,1000.0,5189.016184597561,418.9016184597561,332.2097311924359,100.0,148.2940717866017,48.8479105315764,690 days 00:00:00,20,1,507.4799030905051,126.4564580931722,-32.31071246858541,39.66454664070309,-12.343797513957595,66 days 12:00:00,13 days 16:48:00,0.9358393893071065,0.9074272040893511,1.222616218661258,0.2609552915748365,40 days 02:24:00,0
