Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Profit Factor Adjusted,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
Most Total Return [%],QQQ,true,69,77,false,63,69.84126984126983,4.59549014037313,0.009610983981693364,4.633399928887489,3.279822421572043,0.20183066361556062,0.40366132723112125,0.9351621824436533,1.0952932612779749,0,0,6555,6556 days 00:00:00,1000.0,13557.970315330038,1255.797031533004,818.3256076920119,100.0,575.8144550660872,42.02105197495111,1894 days 00:00:00,63,0,0.0,33.5047768198498,-14.982007965681232,8.485044926292165,-4.286199012470706,79 days 12:32:43.636363636,47 days 12:37:53.684210526,199.3328621480958,0.767166764074244,0.3717251482544201,1.1530551863587781,-0.07813326224502376,12.331110869636461,0.9562848454055478,0.587409200968523,-0.018002638532284062,None,None,0.0004647753102549429,0.1171233781842456,12.557970315330042,0.10539979720939807,0.18373841785803474,4.59549014037313,0.5345933449092802,9494.345238095239,0.8995883832393897,5.184279229724997,69 days 20:57:08.571428571
Most Win Rate [%],QQQ,true,69,77,false,63,69.84126984126983,4.59549014037313,0.009610983981693364,4.633399928887489,3.279822421572043,0.20183066361556062,0.40366132723112125,0.9351621824436533,1.0952932612779749,0,0,6555,6556 days 00:00:00,1000.0,13557.970315330038,1255.797031533004,818.3256076920119,100.0,575.8144550660872,42.02105197495111,1894 days 00:00:00,63,0,0.0,33.5047768198498,-14.982007965681232,8.485044926292165,-4.286199012470706,79 days 12:32:43.636363636,47 days 12:37:53.684210526,199.3328621480958,0.767166764074244,0.3717251482544201,1.1530551863587781,-0.07813326224502376,12.331110869636461,0.9562848454055478,0.587409200968523,-0.018002638532284062,None,None,0.0004647753102549429,0.1171233781842456,12.557970315330042,0.10539979720939807,0.18373841785803474,4.59549014037313,0.5345933449092802,9494.345238095239,0.8995883832393897,5.184279229724997,69 days 20:57:08.571428571
Most Sharpe Ratio,QQQ,true,69,77,false,63,69.84126984126983,4.59549014037313,0.009610983981693364,4.633399928887489,3.279822421572043,0.20183066361556062,0.40366132723112125,0.9351621824436533,1.0952932612779749,0,0,6555,6556 days 00:00:00,1000.0,13557.970315330038,1255.797031533004,818.3256076920119,100.0,575.8144550660872,42.02105197495111,1894 days 00:00:00,63,0,0.0,33.5047768198498,-14.982007965681232,8.485044926292165,-4.286199012470706,79 days 12:32:43.636363636,47 days 12:37:53.684210526,199.3328621480958,0.767166764074244,0.3717251482544201,1.1530551863587781,-0.07813326224502376,12.331110869636461,0.9562848454055478,0.587409200968523,-0.018002638532284062,None,None,0.0004647753102549429,0.1171233781842456,12.557970315330042,0.10539979720939807,0.18373841785803474,4.59549014037313,0.5345933449092802,9494.345238095239,0.8995883832393897,5.184279229724997,69 days 20:57:08.571428571
Most Omega Ratio,QQQ,true,69,77,false,63,69.84126984126983,4.59549014037313,0.009610983981693364,4.633399928887489,3.279822421572043,0.20183066361556062,0.40366132723112125,0.9351621824436533,1.0952932612779749,0,0,6555,6556 days 00:00:00,1000.0,13557.970315330038,1255.797031533004,818.3256076920119,100.0,575.8144550660872,42.02105197495111,1894 days 00:00:00,63,0,0.0,33.5047768198498,-14.982007965681232,8.485044926292165,-4.286199012470706,79 days 12:32:43.636363636,47 days 12:37:53.684210526,199.3328621480958,0.767166764074244,0.3717251482544201,1.1530551863587781,-0.07813326224502376,12.331110869636461,0.9562848454055478,0.587409200968523,-0.018002638532284062,None,None,0.0004647753102549429,0.1171233781842456,12.557970315330042,0.10539979720939807,0.18373841785803474,4.59549014037313,0.5345933449092802,9494.345238095239,0.8995883832393897,5.184279229724997,69 days 20:57:08.571428571
Most Sortino Ratio,QQQ,true,69,77,false,63,69.84126984126983,4.59549014037313,0.009610983981693364,4.633399928887489,3.279822421572043,0.20183066361556062,0.40366132723112125,0.9351621824436533,1.0952932612779749,0,0,6555,6556 days 00:00:00,1000.0,13557.970315330038,1255.797031533004,818.3256076920119,100.0,575.8144550660872,42.02105197495111,1894 days 00:00:00,63,0,0.0,33.5047768198498,-14.982007965681232,8.485044926292165,-4.286199012470706,79 days 12:32:43.636363636,47 days 12:37:53.684210526,199.3328621480958,0.767166764074244,0.3717251482544201,1.1530551863587781,-0.07813326224502376,12.331110869636461,0.9562848454055478,0.587409200968523,-0.018002638532284062,None,None,0.0004647753102549429,0.1171233781842456,12.557970315330042,0.10539979720939807,0.18373841785803474,4.59549014037313,0.5345933449092802,9494.345238095239,0.8995883832393897,5.184279229724997,69 days 20:57:08.571428571
Least Total Trades,QQQ,true,68,80,false,54,62.96296296296296,5.36990606361092,0.008237986270022883,5.377863837463673,3.262973564303802,0.17299771167048053,0.34599542334096106,0.9303581375566445,1.0629431016848985,0,0,6555,6556 days 00:00:00,1000.0,12538.585287257783,1153.8585287257783,818.3256076920119,100.0,441.45471706160595,43.23728054151095,1900 days 00:00:00,54,0,0.0,39.15091666411875,-16.283240991338953,10.564208811513113,-3.4389226184203774,99 days 09:10:35.294117646,52 days 15:36:00,213.67750531958862,0.7437907783147221,0.3496572578399121,1.1477264357719634,-0.05005821091875025,12.096857878801865,0.9510271122161279,0.5924216662618412,-0.01815533189061435,None,None,0.00045377983520559004,0.11435251847180869,11.538585287257803,0.10208364223137445,0.18502955575219568,5.36990606361092,0.4100237336823619,9494.345238095239,0.8328570067249201,4.906846501295294,82 days 01:46:40
Most Profit Factor,QQQ,true,68,80,false,54,62.96296296296296,5.36990606361092,0.008237986270022883,5.377863837463673,3.262973564303802,0.17299771167048053,0.34599542334096106,0.9303581375566445,1.0629431016848985,0,0,6555,6556 days 00:00:00,1000.0,12538.585287257783,1153.8585287257783,818.3256076920119,100.0,441.45471706160595,43.23728054151095,1900 days 00:00:00,54,0,0.0,39.15091666411875,-16.283240991338953,10.564208811513113,-3.4389226184203774,99 days 09:10:35.294117646,52 days 15:36:00,213.67750531958862,0.7437907783147221,0.3496572578399121,1.1477264357719634,-0.05005821091875025,12.096857878801865,0.9510271122161279,0.5924216662618412,-0.01815533189061435,None,None,0.00045377983520559004,0.11435251847180869,11.538585287257803,0.10208364223137445,0.18502955575219568,5.36990606361092,0.4100237336823619,9494.345238095239,0.8328570067249201,4.906846501295294,82 days 01:46:40
Most Expectancy,QQQ,true,74,83,false,54,62.96296296296296,4.1740089909135545,0.008237986270022883,5.484279873884288,3.3275405976376584,0.17299771167048053,0.34599542334096106,0.9487678683424534,1.0690356227026978,0,0,6555,6556 days 00:00:00,1000.0,13074.60517745164,1207.460517745164,818.3256076920119,100.0,470.4816382676548,48.045513231147844,1909 days 00:00:00,54,0,0.0,45.90769230769231,-14.675609358218356,11.262305640456468,-4.338363929288418,103 days 18:21:10.588235294,46 days 15:36:00,223.60379958243783,0.7478115130264462,0.32025538647197094,1.148457077295604,-0.007644289659975396,12.261780478608745,0.9502699381937152,0.599414491339351,-0.018542029949155846,None,None,0.0004618222154982881,0.1163791983055686,12.074605177451554,0.1038583883595745,0.18729637669631385,4.1740089909135545,0.4755257643111767,9494.345238095239,0.8328570067249201,3.835935740855518,82 days 14:40:00
Mean Total Fees Paid,QQQ,true,66,78,false,54,62.96296296296296,4.2227249669200555,0.008237986270022883,4.946891218801126,3.0014845597220314,0.17299771167048053,0.34599542334096106,0.8558008607353892,0.9814966064636863,0,0,6555,6556 days 00:00:00,1000.0,10041.696608092037,904.1696608092037,818.3256076920119,100.0,378.96903828629047,49.14242842209838,2448 days 00:00:00,54,0,0.0,34.137851887154284,-11.963087740959912,10.235784516305065,-4.044227386955574,105 days 16:14:07.058823530,40 days 16:48:00,167.4388260757785,0.6920529050143499,0.27885787474594365,1.1369670158922105,-0.120928645115439,12.237004834658066,0.9393557800163804,0.5881782945736435,-0.01812956855020756,None,None,0.00041885639604954266,0.10555181180448475,9.041696608092138,0.09271658129062343,0.18355767926132896,4.2227249669200555,0.10490207358817057,9494.345238095239,0.8328570067249201,3.5629306103268767,81 days 14:40:00.000000001
Most Avg Losing Trade Duration,QQQ,true,75,82,false,62,64.51612903225806,3.643867674393879,0.009458428680396643,4.34181649123441,3.0246362073767803,0.1986270022883295,0.397254004576659,0.8624019941399239,0.9912410711224093,0,0,6555,6556 days 00:00:00,1000.0,10577.76744215164,957.7767442151642,818.3256076920119,100.0,456.74405104591165,49.376379289896285,2342 days 00:00:00,62,0,0.0,29.06438469054163,-13.358944834928932,9.317247335867043,-4.704421408097648,79 days 18:00:00,56 days 17:27:16.363636364,154.48012003470387,0.6954145068354718,0.28421407105592505,1.1377564644614724,-0.02067190690951126,12.267090965305199,0.948518805890656,0.5931956257594169,-0.018542029949155783,None,None,0.00042951049414781845,0.10823664452525025,9.577767442151618,0.09490321469970309,0.18731680252527844,3.643867674393879,0.17041032959540067,9494.345238095239,0.892420234077899,3.409178658471544,71 days 13:56:07.741935483
Mean Worst Trade [%],QQQ,true,73,79,false,70,62.857142857142854,3.4467592461201666,0.010678871090770405,3.56788708030526,2.806203321588407,0.22425629290617846,0.4485125858123569,0.8001211301371063,0.9334927642267496,0,0,6555,6556 days 00:00:00,1000.0,8959.484726837718,795.9484726837718,818.3256076920119,100.0,446.7931766003616,51.51084770003194,2338 days 00:00:00,70,0,0.0,29.370691696501755,-15.827351139114107,8.186207908540815,-4.2477327828626015,73 days 11:27:16.363636364,45 days 14:46:09.230769230,113.70692466911024,0.657939536146968,0.25206665359779334,1.1299345475463254,-0.08954552003647617,12.025500354360664,0.9428500682278478,0.5904900533721494,-0.018401660652625444,None,None,0.00040309498302049026,0.10157993572116354,7.959484726837781,0.08793744272696369,0.18580958408459577,3.4467592461201666,-0.027345025987090987,9494.345238095239,0.9482494158883042,3.1439041034314066,63 days 03:05:08.571428571
Most Total Fees Paid,QQQ,true,62,64,false,142,63.38028169014085,2.1737491639902804,0.02166285278413425,1.9362995363799993,1.9362995363799993,0.4549199084668192,0.9098398169336384,0.8808612078543336,1.0029983510116272,0,0,6555,6556 days 00:00:00,1000.0,10265.274521812154,926.5274521812154,818.3256076920119,100.0,1118.9588950780667,44.17676311701854,1883 days 00:00:00,142,0,0.0,41.226258675822244,-13.318179943485491,5.271926395157598,-3.836900796119691,35 days 14:56:00,20 days 21:41:32.307692307,65.24841212543774,0.7059004243188641,0.313360164305528,1.1414729996495103,-0.07483430162452792,12.478397566481009,0.9753183265831514,0.5687963627662119,-0.01814872256615515,None,None,0.00041991720240176523,0.10581913500524484,9.265274521812136,0.09364188485568548,0.18041262521594284,2.1737491639902804,0.13222346150742328,9494.345238095239,1.3505719823838473,3.0595088450641046,30 days 05:34:38.873239436
