Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Profit Factor Adjusted,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
Mean Total Trades,REG,true,79,89,false,75,49.333333333333336,1.6622295019202278,0.009485266219805236,2.1092520477714443,1.4375083029571456,0.19919059061590996,0.3983811812318199,0.4201431611534115,0.5191208494588743,0,0,7907,7908 days 00:00:00,1000.0,3275.9647277033787,227.59647277033787,283.1688422661371,100.0,288.63060265242893,54.796848607429126,2259 days 00:00:00,75,0,0.0,53.64680851063831,-19.399615916130873,8.87814478916862,-4.481511937273174,83 days 15:34:03.243243243,41 days 09:28:25.263157894,30.346196369378404,0.36254572074355934,0.10273696382904296,1.0746921849544706,0.04883452129517614,21.53384235990332,1.0558462018776715,0.40536698062910964,-0.01706577087481574,None,None,0.00021326336243186462,0.05374236733282989,2.275964727703386,0.03853715545894176,0.1784021859763117,1.6622295019202278,-0.19625170993766816,11452.599206349207,1.0780123019806567,0.7523047440094447,62 days 05:45:35.999999999
Median Total Trades,REG,true,79,89,false,75,49.333333333333336,1.6622295019202278,0.009485266219805236,2.1092520477714443,1.4375083029571456,0.19919059061590996,0.3983811812318199,0.4201431611534115,0.5191208494588743,0,0,7907,7908 days 00:00:00,1000.0,3275.9647277033787,227.59647277033787,283.1688422661371,100.0,288.63060265242893,54.796848607429126,2259 days 00:00:00,75,0,0.0,53.64680851063831,-19.399615916130873,8.87814478916862,-4.481511937273174,83 days 15:34:03.243243243,41 days 09:28:25.263157894,30.346196369378404,0.36254572074355934,0.10273696382904296,1.0746921849544706,0.04883452129517614,21.53384235990332,1.0558462018776715,0.40536698062910964,-0.01706577087481574,None,None,0.00021326336243186462,0.05374236733282989,2.275964727703386,0.03853715545894176,0.1784021859763117,1.6622295019202278,-0.19625170993766816,11452.599206349207,1.0780123019806567,0.7523047440094447,62 days 05:45:35.999999999
Median Best Trade [%],REG,true,79,89,false,75,49.333333333333336,1.6622295019202278,0.009485266219805236,2.1092520477714443,1.4375083029571456,0.19919059061590996,0.3983811812318199,0.4201431611534115,0.5191208494588743,0,0,7907,7908 days 00:00:00,1000.0,3275.9647277033787,227.59647277033787,283.1688422661371,100.0,288.63060265242893,54.796848607429126,2259 days 00:00:00,75,0,0.0,53.64680851063831,-19.399615916130873,8.87814478916862,-4.481511937273174,83 days 15:34:03.243243243,41 days 09:28:25.263157894,30.346196369378404,0.36254572074355934,0.10273696382904296,1.0746921849544706,0.04883452129517614,21.53384235990332,1.0558462018776715,0.40536698062910964,-0.01706577087481574,None,None,0.00021326336243186462,0.05374236733282989,2.275964727703386,0.03853715545894176,0.1784021859763117,1.6622295019202278,-0.19625170993766816,11452.599206349207,1.0780123019806567,0.7523047440094447,62 days 05:45:35.999999999
Median Avg Winning Trade [%],REG,true,79,89,false,75,49.333333333333336,1.6622295019202278,0.009485266219805236,2.1092520477714443,1.4375083029571456,0.19919059061590996,0.3983811812318199,0.4201431611534115,0.5191208494588743,0,0,7907,7908 days 00:00:00,1000.0,3275.9647277033787,227.59647277033787,283.1688422661371,100.0,288.63060265242893,54.796848607429126,2259 days 00:00:00,75,0,0.0,53.64680851063831,-19.399615916130873,8.87814478916862,-4.481511937273174,83 days 15:34:03.243243243,41 days 09:28:25.263157894,30.346196369378404,0.36254572074355934,0.10273696382904296,1.0746921849544706,0.04883452129517614,21.53384235990332,1.0558462018776715,0.40536698062910964,-0.01706577087481574,None,None,0.00021326336243186462,0.05374236733282989,2.275964727703386,0.03853715545894176,0.1784021859763117,1.6622295019202278,-0.19625170993766816,11452.599206349207,1.0780123019806567,0.7523047440094447,62 days 05:45:35.999999999
Most Profit Factor,REG,true,79,89,false,75,49.333333333333336,1.6622295019202278,0.009485266219805236,2.1092520477714443,1.4375083029571456,0.19919059061590996,0.3983811812318199,0.4201431611534115,0.5191208494588743,0,0,7907,7908 days 00:00:00,1000.0,3275.9647277033787,227.59647277033787,283.1688422661371,100.0,288.63060265242893,54.796848607429126,2259 days 00:00:00,75,0,0.0,53.64680851063831,-19.399615916130873,8.87814478916862,-4.481511937273174,83 days 15:34:03.243243243,41 days 09:28:25.263157894,30.346196369378404,0.36254572074355934,0.10273696382904296,1.0746921849544706,0.04883452129517614,21.53384235990332,1.0558462018776715,0.40536698062910964,-0.01706577087481574,None,None,0.00021326336243186462,0.05374236733282989,2.275964727703386,0.03853715545894176,0.1784021859763117,1.6622295019202278,-0.19625170993766816,11452.599206349207,1.0780123019806567,0.7523047440094447,62 days 05:45:35.999999999
Most Sharpe Ratio,REG,true,79,89,false,75,49.333333333333336,1.6622295019202278,0.009485266219805236,2.1092520477714443,1.4375083029571456,0.19919059061590996,0.3983811812318199,0.4201431611534115,0.5191208494588743,0,0,7907,7908 days 00:00:00,1000.0,3275.9647277033787,227.59647277033787,283.1688422661371,100.0,288.63060265242893,54.796848607429126,2259 days 00:00:00,75,0,0.0,53.64680851063831,-19.399615916130873,8.87814478916862,-4.481511937273174,83 days 15:34:03.243243243,41 days 09:28:25.263157894,30.346196369378404,0.36254572074355934,0.10273696382904296,1.0746921849544706,0.04883452129517614,21.53384235990332,1.0558462018776715,0.40536698062910964,-0.01706577087481574,None,None,0.00021326336243186462,0.05374236733282989,2.275964727703386,0.03853715545894176,0.1784021859763117,1.6622295019202278,-0.19625170993766816,11452.599206349207,1.0780123019806567,0.7523047440094447,62 days 05:45:35.999999999
Most Total Fees Paid,REG,true,81,86,false,109,50.45871559633027,1.470283777286856,0.01378525357278361,1.3836321905251685,1.1445295605186385,0.2894903250284558,0.5789806500569116,0.4005481325549653,0.4757466323384252,0,0,7907,7908 days 00:00:00,1000.0,2863.7192082762986,186.37192082762985,283.1688422661371,100.0,373.63645804277286,58.00038612921674,2005 days 00:00:00,109,0,0.0,53.64680851063831,-19.25449681467587,6.765075539474854,-4.097467516738399,53 days 23:07:38.181818182,31 days 14:40:00,17.09834136033301,0.3322846827501851,0.08579238813158072,1.068469571251565,0.05143787594001274,22.197662176044915,1.0708127062762407,0.40511727078891263,-0.017156520525199732,None,None,0.00019773992857499885,0.04983046200089971,1.8637192082762883,0.034095759755670585,0.1804806944602583,1.470283777286856,-0.34183464771004846,11452.599206349207,1.299589920096121,0.7519510651467473,42 days 21:21:28.073394495
Most Total Return [%],REG,true,73,86,false,58,53.44827586206896,1.6427458845685903,0.007335272543316049,2.7523263490910916,1.5715991309969395,0.15404072340963704,0.3080814468192741,0.42397034187339694,0.5340854112014598,0,0,7907,7908 days 00:00:00,1000.0,3325.6533000499353,232.5653300049935,283.1688422661371,100.0,241.6741164131857,47.12347553716652,1877 days 00:00:00,58,0,0.0,52.9841726618705,-19.660318561004104,10.229688851884774,-5.832793561523876,106 days 15:29:01.935483870,50 days 13:20:00,40.0974706905161,0.3624814332765053,0.12102419424554278,1.0764315932323683,1.075385824441661,36.1112803757565,1.055594378053213,0.4033717834960071,-0.017016858158220523,None,None,0.00021692221394087655,0.05466439791310089,2.3256533000499395,0.039035470979771336,0.1814951250812043,1.6427458845685903,-0.17870437953616286,11452.599206349207,0.9479972598192099,0.728772624173312,80 days 12:49:39.310344826
Median Total Fees Paid,REG,true,73,86,false,58,53.44827586206896,1.6427458845685903,0.007335272543316049,2.7523263490910916,1.5715991309969395,0.15404072340963704,0.3080814468192741,0.42397034187339694,0.5340854112014598,0,0,7907,7908 days 00:00:00,1000.0,3325.6533000499353,232.5653300049935,283.1688422661371,100.0,241.6741164131857,47.12347553716652,1877 days 00:00:00,58,0,0.0,52.9841726618705,-19.660318561004104,10.229688851884774,-5.832793561523876,106 days 15:29:01.935483870,50 days 13:20:00,40.0974706905161,0.3624814332765053,0.12102419424554278,1.0764315932323683,1.075385824441661,36.1112803757565,1.055594378053213,0.4033717834960071,-0.017016858158220523,None,None,0.00021692221394087655,0.05466439791310089,2.3256533000499395,0.039035470979771336,0.1814951250812043,1.6427458845685903,-0.17870437953616286,11452.599206349207,0.9479972598192099,0.728772624173312,80 days 12:49:39.310344826
Least Max Drawdown [%],REG,true,73,86,false,58,53.44827586206896,1.6427458845685903,0.007335272543316049,2.7523263490910916,1.5715991309969395,0.15404072340963704,0.3080814468192741,0.42397034187339694,0.5340854112014598,0,0,7907,7908 days 00:00:00,1000.0,3325.6533000499353,232.5653300049935,283.1688422661371,100.0,241.6741164131857,47.12347553716652,1877 days 00:00:00,58,0,0.0,52.9841726618705,-19.660318561004104,10.229688851884774,-5.832793561523876,106 days 15:29:01.935483870,50 days 13:20:00,40.0974706905161,0.3624814332765053,0.12102419424554278,1.0764315932323683,1.075385824441661,36.1112803757565,1.055594378053213,0.4033717834960071,-0.017016858158220523,None,None,0.00021692221394087655,0.05466439791310089,2.3256533000499395,0.039035470979771336,0.1814951250812043,1.6427458845685903,-0.17870437953616286,11452.599206349207,0.9479972598192099,0.728772624173312,80 days 12:49:39.310344826
