Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration
Least Total Trades,ROST,false,40,49,false,54,51.85185185185185,2.188708008501907,0.005407570598838373,14.589525584266573,7.5245296805942905,0.11355898257560584,0.2271179651512117,1.6567716816100835,1.0017507456245955,0,0,9986,9987 days 00:00:00,1000.0,110879.49194180971,10987.949194180972,22510.909809888763,100.0,4339.447177403706,52.343072552922266,1045 days 00:00:00,54,0,0.0,242.1100363897268,-30.45142538458563,37.79368492112473,-10.399569086196053,188 days 00:00:00,44 days 02:46:09.230769230,2034.8054063298084,0.6717723263982721,0.3587392020765498,1.1375371585494272,0.18421192463899852,12.535362954414987,1.108669366861214,0.45286587139947626,-0.025641050877968627,None,None,0.0006341125613891804,0.15979636547007348,109.8794919418096,0.1261528168064654,0.28627996131314115,-0.5118833806817482,118 days 17:19:59.999999999
Median Worst Trade [%],ROST,false,40,49,false,54,51.85185185185185,2.188708008501907,0.005407570598838373,14.589525584266573,7.5245296805942905,0.11355898257560584,0.2271179651512117,1.6567716816100835,1.0017507456245955,0,0,9986,9987 days 00:00:00,1000.0,110879.49194180971,10987.949194180972,22510.909809888763,100.0,4339.447177403706,52.343072552922266,1045 days 00:00:00,54,0,0.0,242.1100363897268,-30.45142538458563,37.79368492112473,-10.399569086196053,188 days 00:00:00,44 days 02:46:09.230769230,2034.8054063298084,0.6717723263982721,0.3587392020765498,1.1375371585494272,0.18421192463899852,12.535362954414987,1.108669366861214,0.45286587139947626,-0.025641050877968627,None,None,0.0006341125613891804,0.15979636547007348,109.8794919418096,0.1261528168064654,0.28627996131314115,-0.5118833806817482,118 days 17:19:59.999999999
Most Expectancy,ROST,false,40,49,false,54,51.85185185185185,2.188708008501907,0.005407570598838373,14.589525584266573,7.5245296805942905,0.11355898257560584,0.2271179651512117,1.6567716816100835,1.0017507456245955,0,0,9986,9987 days 00:00:00,1000.0,110879.49194180971,10987.949194180972,22510.909809888763,100.0,4339.447177403706,52.343072552922266,1045 days 00:00:00,54,0,0.0,242.1100363897268,-30.45142538458563,37.79368492112473,-10.399569086196053,188 days 00:00:00,44 days 02:46:09.230769230,2034.8054063298084,0.6717723263982721,0.3587392020765498,1.1375371585494272,0.18421192463899852,12.535362954414987,1.108669366861214,0.45286587139947626,-0.025641050877968627,None,None,0.0006341125613891804,0.15979636547007348,109.8794919418096,0.1261528168064654,0.28627996131314115,-0.5118833806817482,118 days 17:19:59.999999999
Most Calmar Ratio,ROST,false,42,47,false,54,51.85185185185185,2.1916916591160556,0.005407570598838373,14.536288877656482,7.497072915350552,0.11355898257560584,0.2271179651512117,1.6507261753717655,0.9968530238647544,0,0,9986,9987 days 00:00:00,1000.0,107570.06837301757,10657.006837301757,22510.909809888763,100.0,4191.07018242188,51.818546782386086,1045 days 00:00:00,54,0,0.0,242.11003638972684,-30.45142538458563,37.778933416742376,-10.494251395205248,187 days 23:08:34.285714286,44 days 00:55:23.076923077,1973.5197846855099,0.6685780193006311,0.3598334278258807,1.1368914770543725,0.18437668432193033,12.539744748181615,1.1083869655756684,0.4524432809773124,-0.025645484550153468,None,None,0.0006310560236908254,0.159026117970088,106.57006837301799,0.12529209817413012,0.28626122468552107,-0.5265848014450191,118 days 16:00:00
Most Avg Losing Trade Duration,ROST,false,38,51,false,54,51.85185185185185,2.159617435216266,0.005407570598838373,14.390700289406386,7.421985781974191,0.11355898257560584,0.2271179651512117,1.6341932834154658,0.9821705204588755,0,0,9986,9987 days 00:00:00,1000.0,98887.65364340488,9788.765364340488,22510.909809888763,100.0,3911.188515604351,52.343072552922266,1045 days 00:00:00,54,0,0.0,242.1100363897268,-30.45142538458563,37.73751304790072,-10.752021142818279,187 days 22:17:08.571428570,44 days 05:32:18.461538462,1812.7343267297192,0.6593561164492939,0.3492664354124028,1.1348350027062732,0.17873259811308637,12.506868154061266,1.1082059589269206,0.4524432809773124,-0.025722004840888074,None,None,0.000622949824350607,0.15698335573635297,97.88765364340365,0.1229050271965153,0.28653635442308717,-0.5651546096088749,118 days 17:46:39.999999999
Mean Total Fees Paid,ROST,false,45,49,false,54,51.85185185185185,2.1770603403456064,0.005407570598838373,14.174213804055185,7.310333146316912,0.11355898257560584,0.2271179651512117,1.6096092983976147,0.9830611336544398,0,0,9986,9987 days 00:00:00,1000.0,99174.95505694796,9817.495505694797,22510.909809888763,100.0,4002.6451346521726,56.93334909256033,1283 days 00:00:00,54,0,0.0,191.0973408187872,-27.445485555801692,37.443566077651994,-10.885088644433681,196 days 08:34:17.142857144,34 days 19:23:04.615384615,1818.0547232768142,0.6608715699617185,0.32132696524271087,1.1352387184955366,0.13164550845955794,12.876384248233702,1.1121751779391909,0.4503340110368865,-0.02560109880778422,None,None,0.0006222120447860974,0.15679743528609655,98.17495505694842,0.12298723063447015,0.28554071797698516,-0.5638783332789999,118 days 13:46:40
Mean Best Trade [%],ROST,false,41,52,false,55,50.90909090909091,2.0907541009105337,0.005507710795113158,14.046138685983587,7.244278563410211,0.11566192669737632,0.23132385339475264,1.6246034630794155,0.9723146153808999,0,0,9986,9987 days 00:00:00,1000.0,93273.91815351279,9227.391815351279,22510.909809888763,100.0,4007.3005803120172,55.760661500231244,1283 days 00:00:00,55,0,0.0,191.0973408187871,-26.93386571417518,37.887535458697194,-10.678272782015704,196 days 05:08:34.285714286,34 days 02:40:00,1677.7076027911403,0.6541078427467942,0.32333369862066275,1.133716107581739,0.12908938829829653,12.861972982447126,1.1110928701597653,0.45159883720930233,-0.025633302069116033,None,None,0.0006163262097661494,0.15531420486106964,92.27391815351228,0.1212502965103397,0.2857643071510183,-0.5900924532469229,116 days 15:16:21.818181818
Least Max Drawdown Duration,ROST,false,45,47,false,54,51.85185185185185,2.232842659592627,0.005407570598838373,13.999596350004168,7.220274411495979,0.11355898257560584,0.2271179651512117,1.5897799179756384,0.962758425148633,0,0,9986,9987 days 00:00:00,1000.0,88792.30749169602,8779.230749169603,22510.909809888763,100.0,3561.7414606812904,55.760661500231244,1040 days 00:00:00,54,0,0.0,191.0973408187871,-27.758559063154536,36.9597600500227,-10.726733788477326,196 days 07:42:51.428571430,35 days 06:27:41.538461538,1625.7834720684448,0.6483608359851825,0.3195278502829435,1.1325202817245326,0.1200353480157082,12.834524139098363,1.1081062344672772,0.4518098560837331,-0.02563330206911603,None,None,0.0006119796531120442,0.15421887258423514,87.79230749169528,0.11985803518752824,0.2862641164982674,-0.6100010695563715,118 days 18:39:59.999999999
Least Win Rate [%],ROST,false,38,52,false,54,50.0,2.094907283783774,0.005407570598838373,14.467840136103499,7.195278756212829,0.11355898257560584,0.2271179651512117,1.642953205922428,0.9822579064413336,0,0,9986,9987 days 00:00:00,1000.0,98442.52064516861,9744.25206451686,22510.909809888763,100.0,3955.197274621059,51.818546782386086,1045 days 00:00:00,54,0,0.0,242.11003638972684,-30.45142538458563,39.58912083072778,-10.653440558520781,194 days 07:06:40,43 days 00:53:20,1804.4911230586788,0.6593964789914029,0.352425493779007,1.1348606342410053,0.17994064851617156,12.563408992812512,1.1071277055585869,0.45223207794096265,-0.025722004840888085,None,None,0.0006219589595773278,0.1567336578134866,97.44252064516914,0.12277720366253497,0.28606307796150854,-0.5671320196824594,118 days 16:00:00
Most Avg Winning Trade [%],ROST,false,38,52,false,54,50.0,2.094907283783774,0.005407570598838373,14.467840136103499,7.195278756212829,0.11355898257560584,0.2271179651512117,1.642953205922428,0.9822579064413336,0,0,9986,9987 days 00:00:00,1000.0,98442.52064516861,9744.25206451686,22510.909809888763,100.0,3955.197274621059,51.818546782386086,1045 days 00:00:00,54,0,0.0,242.11003638972684,-30.45142538458563,39.58912083072778,-10.653440558520781,194 days 07:06:40,43 days 00:53:20,1804.4911230586788,0.6593964789914029,0.352425493779007,1.1348606342410053,0.17994064851617156,12.563408992812512,1.1071277055585869,0.45223207794096265,-0.025722004840888085,None,None,0.0006219589595773278,0.1567336578134866,97.44252064516914,0.12277720366253497,0.28606307796150854,-0.5671320196824594,118 days 16:00:00
