Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Total Return [%],SIRI,true,27,56,82,50.0,1.2568495957598658,10.714752384685744,676.712469536772,512.6609617702818,0.22500980007840063,1,152.26693748102986,1.0259333559954569,0,0,7653,7654 days 00:00:00,1000.0,56490.42250201534,5549.042250201534,-44.99459343987582,100.0,11067.930620912348,81.22226509535408,1670 days 00:00:00,82,0,0.0,161.17693998912443,-55.190823242321294,27.7584314073589,-9.893765773114103,68 days 15:48:17.560975610,26 days 01:10:14.634146341,0.6098603329825867,0.2611655990802583,1.1664377497500147,124.32686720720037,47 days 08:29:16.097560975,0
Most Total Fees Paid,SIRI,true,27,56,82,50.0,1.2568495957598658,10.714752384685744,676.712469536772,512.6609617702818,0.22500980007840063,1,152.26693748102986,1.0259333559954569,0,0,7653,7654 days 00:00:00,1000.0,56490.42250201534,5549.042250201534,-44.99459343987582,100.0,11067.930620912348,81.22226509535408,1670 days 00:00:00,82,0,0.0,161.17693998912443,-55.190823242321294,27.7584314073589,-9.893765773114103,68 days 15:48:17.560975610,26 days 01:10:14.634146341,0.6098603329825867,0.2611655990802583,1.1664377497500147,124.32686720720037,47 days 08:29:16.097560975,0
Least Win Rate [%],SIRI,true,27,56,82,50.0,1.2568495957598658,10.714752384685744,676.712469536772,512.6609617702818,0.22500980007840063,1,152.26693748102986,1.0259333559954569,0,0,7653,7654 days 00:00:00,1000.0,56490.42250201534,5549.042250201534,-44.99459343987582,100.0,11067.930620912348,81.22226509535408,1670 days 00:00:00,82,0,0.0,161.17693998912443,-55.190823242321294,27.7584314073589,-9.893765773114103,68 days 15:48:17.560975610,26 days 01:10:14.634146341,0.6098603329825867,0.2611655990802583,1.1664377497500147,124.32686720720037,47 days 08:29:16.097560975,0
Most Expectancy,SIRI,true,27,56,82,50.0,1.2568495957598658,10.714752384685744,676.712469536772,512.6609617702818,0.22500980007840063,1,152.26693748102986,1.0259333559954569,0,0,7653,7654 days 00:00:00,1000.0,56490.42250201534,5549.042250201534,-44.99459343987582,100.0,11067.930620912348,81.22226509535408,1670 days 00:00:00,82,0,0.0,161.17693998912443,-55.190823242321294,27.7584314073589,-9.893765773114103,68 days 15:48:17.560975610,26 days 01:10:14.634146341,0.6098603329825867,0.2611655990802583,1.1664377497500147,124.32686720720037,47 days 08:29:16.097560975,0
Most Sharpe Ratio,SIRI,true,27,56,82,50.0,1.2568495957598658,10.714752384685744,676.712469536772,512.6609617702818,0.22500980007840063,1,152.26693748102986,1.0259333559954569,0,0,7653,7654 days 00:00:00,1000.0,56490.42250201534,5549.042250201534,-44.99459343987582,100.0,11067.930620912348,81.22226509535408,1670 days 00:00:00,82,0,0.0,161.17693998912443,-55.190823242321294,27.7584314073589,-9.893765773114103,68 days 15:48:17.560975610,26 days 01:10:14.634146341,0.6098603329825867,0.2611655990802583,1.1664377497500147,124.32686720720037,47 days 08:29:16.097560975,0
Most Calmar Ratio,SIRI,true,27,56,82,50.0,1.2568495957598658,10.714752384685744,676.712469536772,512.6609617702818,0.22500980007840063,1,152.26693748102986,1.0259333559954569,0,0,7653,7654 days 00:00:00,1000.0,56490.42250201534,5549.042250201534,-44.99459343987582,100.0,11067.930620912348,81.22226509535408,1670 days 00:00:00,82,0,0.0,161.17693998912443,-55.190823242321294,27.7584314073589,-9.893765773114103,68 days 15:48:17.560975610,26 days 01:10:14.634146341,0.6098603329825867,0.2611655990802583,1.1664377497500147,124.32686720720037,47 days 08:29:16.097560975,0
Most Omega Ratio,SIRI,true,27,56,82,50.0,1.2568495957598658,10.714752384685744,676.712469536772,512.6609617702818,0.22500980007840063,1,152.26693748102986,1.0259333559954569,0,0,7653,7654 days 00:00:00,1000.0,56490.42250201534,5549.042250201534,-44.99459343987582,100.0,11067.930620912348,81.22226509535408,1670 days 00:00:00,82,0,0.0,161.17693998912443,-55.190823242321294,27.7584314073589,-9.893765773114103,68 days 15:48:17.560975610,26 days 01:10:14.634146341,0.6098603329825867,0.2611655990802583,1.1664377497500147,124.32686720720037,47 days 08:29:16.097560975,0
Most Sortino Ratio,SIRI,true,27,56,82,50.0,1.2568495957598658,10.714752384685744,676.712469536772,512.6609617702818,0.22500980007840063,1,152.26693748102986,1.0259333559954569,0,0,7653,7654 days 00:00:00,1000.0,56490.42250201534,5549.042250201534,-44.99459343987582,100.0,11067.930620912348,81.22226509535408,1670 days 00:00:00,82,0,0.0,161.17693998912443,-55.190823242321294,27.7584314073589,-9.893765773114103,68 days 15:48:17.560975610,26 days 01:10:14.634146341,0.6098603329825867,0.2611655990802583,1.1664377497500147,124.32686720720037,47 days 08:29:16.097560975,0
Median Worst Trade [%],SIRI,true,28,56,84,50.0,1.2693870735634634,10.97608780870247,634.5475965007095,480.7178761369011,0.2304978439827519,1,146.26185289785073,1.0185601582649422,0,0,7653,7654 days 00:00:00,1000.0,54301.99810605954,5330.199810605954,-44.99459343987582,100.0,10991.730147244272,82.90313820331228,1892 days 00:00:00,84,0,0.0,168.86154832698926,-53.919812083880856,26.88362503295777,-9.566331777288628,66 days 01:08:34.285714286,26 days 04:00:00,0.6066425544708884,0.25311823116962634,1.1658838743062214,119.46311752385209,46 days 02:34:17.142857143,0
Mean Best Trade [%],SIRI,true,29,53,88,50.0,1.3648965484562248,11.498758656735921,532.700108774734,403.5606884657075,0.24147393179145432,1,128.6331897315704,1.0013607158895386,0,0,7653,7654 days 00:00:00,1000.0,47877.609572176574,4687.760957217657,-44.99459343987582,100.0,7604.539128019242,86.25563829004803,1204 days 00:00:00,88,0,0.0,162.65068850711432,-55.190823242321294,26.519269964862435,-9.575432713744032,60 days 11:27:16.363636364,27 days 10:21:49.090909091,0.5957807009401053,0.23488348397816836,1.1625704151772074,105.184983102063,43 days 22:54:32.727272727,0
