Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
Most Total Return [%],SJM,true,77,83,false,102,53.92156862745098,1.5751119081929301,0.013328106624852998,1.681781560988664,1.4866278665119979,0.27989023912191296,0.5597804782438259,0.4707142432559412,0.6240510104825722,0,0,7653,7654 days 00:00:00,1000.0,4023.5694664320367,302.3569466432037,389.7684197676837,100.0,569.7207052918513,45.13944514604313,2162 days 00:00:00,102,0,0.0,41.98000211715699,-19.68049999999999,6.386897077772974,-3.8242046820568047,50 days 22:41:27.272727272,27 days 16:51:03.829787234,29.64283790619647,0.4089047981177362,0.15206744151079113,1.0934879301035971,1.7007362761927034,32.447761875312864,1.0886660822981413,0.363620167468377,-0.01621486622959434,None,None,0.0002485859038446627,0.062643647768855,3.0235694664320345,0.04690242495477914,0.1843745588388091,-0.22426515000004485,11084.70238095238,1.2368104852267559,1.074650751504764,40 days 05:38:49.411764705
Most Sharpe Ratio,SJM,true,77,83,false,102,53.92156862745098,1.5751119081929301,0.013328106624852998,1.681781560988664,1.4866278665119979,0.27989023912191296,0.5597804782438259,0.4707142432559412,0.6240510104825722,0,0,7653,7654 days 00:00:00,1000.0,4023.5694664320367,302.3569466432037,389.7684197676837,100.0,569.7207052918513,45.13944514604313,2162 days 00:00:00,102,0,0.0,41.98000211715699,-19.68049999999999,6.386897077772974,-3.8242046820568047,50 days 22:41:27.272727272,27 days 16:51:03.829787234,29.64283790619647,0.4089047981177362,0.15206744151079113,1.0934879301035971,1.7007362761927034,32.447761875312864,1.0886660822981413,0.363620167468377,-0.01621486622959434,None,None,0.0002485859038446627,0.062643647768855,3.0235694664320345,0.04690242495477914,0.1843745588388091,-0.22426515000004485,11084.70238095238,1.2368104852267559,1.074650751504764,40 days 05:38:49.411764705
Most Calmar Ratio,SJM,true,77,83,false,102,53.92156862745098,1.5751119081929301,0.013328106624852998,1.681781560988664,1.4866278665119979,0.27989023912191296,0.5597804782438259,0.4707142432559412,0.6240510104825722,0,0,7653,7654 days 00:00:00,1000.0,4023.5694664320367,302.3569466432037,389.7684197676837,100.0,569.7207052918513,45.13944514604313,2162 days 00:00:00,102,0,0.0,41.98000211715699,-19.68049999999999,6.386897077772974,-3.8242046820568047,50 days 22:41:27.272727272,27 days 16:51:03.829787234,29.64283790619647,0.4089047981177362,0.15206744151079113,1.0934879301035971,1.7007362761927034,32.447761875312864,1.0886660822981413,0.363620167468377,-0.01621486622959434,None,None,0.0002485859038446627,0.062643647768855,3.0235694664320345,0.04690242495477914,0.1843745588388091,-0.22426515000004485,11084.70238095238,1.2368104852267559,1.074650751504764,40 days 05:38:49.411764705
Most Omega Ratio,SJM,true,77,83,false,102,53.92156862745098,1.5751119081929301,0.013328106624852998,1.681781560988664,1.4866278665119979,0.27989023912191296,0.5597804782438259,0.4707142432559412,0.6240510104825722,0,0,7653,7654 days 00:00:00,1000.0,4023.5694664320367,302.3569466432037,389.7684197676837,100.0,569.7207052918513,45.13944514604313,2162 days 00:00:00,102,0,0.0,41.98000211715699,-19.68049999999999,6.386897077772974,-3.8242046820568047,50 days 22:41:27.272727272,27 days 16:51:03.829787234,29.64283790619647,0.4089047981177362,0.15206744151079113,1.0934879301035971,1.7007362761927034,32.447761875312864,1.0886660822981413,0.363620167468377,-0.01621486622959434,None,None,0.0002485859038446627,0.062643647768855,3.0235694664320345,0.04690242495477914,0.1843745588388091,-0.22426515000004485,11084.70238095238,1.2368104852267559,1.074650751504764,40 days 05:38:49.411764705
Most Sortino Ratio,SJM,true,77,83,false,102,53.92156862745098,1.5751119081929301,0.013328106624852998,1.681781560988664,1.4866278665119979,0.27989023912191296,0.5597804782438259,0.4707142432559412,0.6240510104825722,0,0,7653,7654 days 00:00:00,1000.0,4023.5694664320367,302.3569466432037,389.7684197676837,100.0,569.7207052918513,45.13944514604313,2162 days 00:00:00,102,0,0.0,41.98000211715699,-19.68049999999999,6.386897077772974,-3.8242046820568047,50 days 22:41:27.272727272,27 days 16:51:03.829787234,29.64283790619647,0.4089047981177362,0.15206744151079113,1.0934879301035971,1.7007362761927034,32.447761875312864,1.0886660822981413,0.363620167468377,-0.01621486622959434,None,None,0.0002485859038446627,0.062643647768855,3.0235694664320345,0.04690242495477914,0.1843745588388091,-0.22426515000004485,11084.70238095238,1.2368104852267559,1.074650751504764,40 days 05:38:49.411764705
Most Avg Losing Trade [%],SJM,true,77,82,false,112,54.46428571428571,1.4970511398983632,0.014634783744936626,1.4982723228808652,1.3377431454293438,0.30733045864366915,0.6146609172873383,0.46046472016409185,0.6169812515266079,0,0,7653,7654 days 00:00:00,1000.0,3872.706485624682,287.27064856246824,389.7684197676837,100.0,624.1695222569372,44.89809198323624,2162 days 00:00:00,112,0,0.0,40.70350465774538,-20.179999999999986,5.899743683881122,-3.76623263831552,45 days 08:39:20.655737705,26 days 03:45:52.941176470,25.649165050220383,0.403154083461505,0.14855121554708353,1.0915434425567838,1.7646850719606464,32.92189340723138,1.1001382728131348,0.36143721095695486,-0.016155954795367675,None,None,0.00024178200343760413,0.06092906486627624,2.8727064856246782,0.045586023623435556,0.18188614211161064,-0.26297094891963774,11084.70238095238,1.2960211348172546,1.0688153062008,36 days 14:47:08.571428571
Most Total Fees Paid,SJM,true,78,82,false,124,54.03225806451613,1.4531212420648738,0.01620279628903698,1.3548915394981895,1.200128677239274,0.34025872206977653,0.6805174441395531,0.4610136637728061,0.6085767673339453,0,0,7653,7654 days 00:00:00,1000.0,3776.064353228797,277.6064353228797,389.7684197676837,100.0,651.8536892796265,45.69798173920761,2162 days 00:00:00,124,0,0.0,40.70350465774536,-19.680499999999995,5.8078675008213,-3.879308274688624,42 days 16:28:39.402985074,21 days 10:31:34.736842105,22.38761575184511,0.3977436833290001,0.1431396520631072,1.0905791015608688,1.7706865956627051,33.16441637337325,1.101872080423185,0.360469249911127,-0.01608785848760945,None,None,0.00023840783000028933,0.060078773160072915,2.7760643532287923,0.04471642437867973,0.18178746192866585,-0.28776570588160194,11084.70238095238,1.3636845340929835,1.068204536489378,32 days 22:03:52.258064515
Most Total Trades,SJM,true,78,82,false,124,54.03225806451613,1.4531212420648738,0.01620279628903698,1.3548915394981895,1.200128677239274,0.34025872206977653,0.6805174441395531,0.4610136637728061,0.6085767673339453,0,0,7653,7654 days 00:00:00,1000.0,3776.064353228797,277.6064353228797,389.7684197676837,100.0,651.8536892796265,45.69798173920761,2162 days 00:00:00,124,0,0.0,40.70350465774536,-19.680499999999995,5.8078675008213,-3.879308274688624,42 days 16:28:39.402985074,21 days 10:31:34.736842105,22.38761575184511,0.3977436833290001,0.1431396520631072,1.0905791015608688,1.7706865956627051,33.16441637337325,1.101872080423185,0.360469249911127,-0.01608785848760945,None,None,0.00023840783000028933,0.060078773160072915,2.7760643532287923,0.04471642437867973,0.18178746192866585,-0.28776570588160194,11084.70238095238,1.3636845340929835,1.068204536489378,32 days 22:03:52.258064515
Least Avg Losing Trade Duration,SJM,true,78,82,false,124,54.03225806451613,1.4531212420648738,0.01620279628903698,1.3548915394981895,1.200128677239274,0.34025872206977653,0.6805174441395531,0.4610136637728061,0.6085767673339453,0,0,7653,7654 days 00:00:00,1000.0,3776.064353228797,277.6064353228797,389.7684197676837,100.0,651.8536892796265,45.69798173920761,2162 days 00:00:00,124,0,0.0,40.70350465774536,-19.680499999999995,5.8078675008213,-3.879308274688624,42 days 16:28:39.402985074,21 days 10:31:34.736842105,22.38761575184511,0.3977436833290001,0.1431396520631072,1.0905791015608688,1.7706865956627051,33.16441637337325,1.101872080423185,0.360469249911127,-0.01608785848760945,None,None,0.00023840783000028933,0.060078773160072915,2.7760643532287923,0.04471642437867973,0.18178746192866585,-0.28776570588160194,11084.70238095238,1.3636845340929835,1.068204536489378,32 days 22:03:52.258064515
Least Win Rate [%],SJM,true,59,65,false,104,50.0,1.6827800137548128,0.013589442048869724,1.6858365154164896,1.3818332093577783,0.2853782830262642,0.5707565660525284,0.48110113023253803,0.59025230093788,0,0,7653,7654 days 00:00:00,1000.0,3699.8517631791137,269.9851763179114,389.7684197676837,100.0,416.6363019068116,47.57286151944957,1427 days 00:00:00,104,0,0.0,51.080328382182074,-17.020370675020423,7.675000112259266,-4.3033270814262865,55 days 01:50:46.153846154,24 days 02:18:27.692307692,25.960113107491445,0.3931932751038012,0.1353219169634518,1.0881235158596874,1.3558565525974486,30.332026095380826,1.0670256289792275,0.36898587014845285,-0.01612694390898403,None,None,0.0002362604569381454,0.05953763514841264,2.699851763179128,0.044015337104171826,0.18223494533006973,-0.30731900629909303,11084.70238095238,1.2488772147301253,1.0167752014797227,39 days 14:04:36.923076923
