Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Sharpe Ratio,Calmar Ratio,Omega Ratio,Beats BNH [%],Avg Trade Duration,Current
Most Total Return [%],SOL-USD_BTC-USD,true,20,22,68,54.41176470588235,2.3506981092512502,38.05260212646895,4564.0799675196995,3762.721898356258,1.1415780637940682,3,5210.253572322433,3.3622463115902375,0,0,1787,1788 days 00:00:00,1000.0,311357.4377913396,31035.743779133958,1249.1946009691947,100.0,19296.25850894133,52.11415849344233,574 days 00:00:00,68,0,0.0,240.80909726911906,-23.461317570956894,31.635221138383823,-5.86672591270264,17 days 09:43:47.027027027,6 days 22:27:05.806451612,1.7686486914730999,4.2757600499063075,1.5138197972005079,23.844602878570484,12 days 15:10:35.294117645,0
Most Expectancy,SOL-USD_BTC-USD,true,20,22,68,54.41176470588235,2.3506981092512502,38.05260212646895,4564.0799675196995,3762.721898356258,1.1415780637940682,3,5210.253572322433,3.3622463115902375,0,0,1787,1788 days 00:00:00,1000.0,311357.4377913396,31035.743779133958,1249.1946009691947,100.0,19296.25850894133,52.11415849344233,574 days 00:00:00,68,0,0.0,240.80909726911906,-23.461317570956894,31.635221138383823,-5.86672591270264,17 days 09:43:47.027027027,6 days 22:27:05.806451612,1.7686486914730999,4.2757600499063075,1.5138197972005079,23.844602878570484,12 days 15:10:35.294117645,0
Most Sharpe Ratio,SOL-USD_BTC-USD,true,20,22,68,54.41176470588235,2.3506981092512502,38.05260212646895,4564.0799675196995,3762.721898356258,1.1415780637940682,3,5210.253572322433,3.3622463115902375,0,0,1787,1788 days 00:00:00,1000.0,311357.4377913396,31035.743779133958,1249.1946009691947,100.0,19296.25850894133,52.11415849344233,574 days 00:00:00,68,0,0.0,240.80909726911906,-23.461317570956894,31.635221138383823,-5.86672591270264,17 days 09:43:47.027027027,6 days 22:27:05.806451612,1.7686486914730999,4.2757600499063075,1.5138197972005079,23.844602878570484,12 days 15:10:35.294117645,0
Most Calmar Ratio,SOL-USD_BTC-USD,true,20,22,68,54.41176470588235,2.3506981092512502,38.05260212646895,4564.0799675196995,3762.721898356258,1.1415780637940682,3,5210.253572322433,3.3622463115902375,0,0,1787,1788 days 00:00:00,1000.0,311357.4377913396,31035.743779133958,1249.1946009691947,100.0,19296.25850894133,52.11415849344233,574 days 00:00:00,68,0,0.0,240.80909726911906,-23.461317570956894,31.635221138383823,-5.86672591270264,17 days 09:43:47.027027027,6 days 22:27:05.806451612,1.7686486914730999,4.2757600499063075,1.5138197972005079,23.844602878570484,12 days 15:10:35.294117645,0
Most Omega Ratio,SOL-USD_BTC-USD,true,20,22,68,54.41176470588235,2.3506981092512502,38.05260212646895,4564.0799675196995,3762.721898356258,1.1415780637940682,3,5210.253572322433,3.3622463115902375,0,0,1787,1788 days 00:00:00,1000.0,311357.4377913396,31035.743779133958,1249.1946009691947,100.0,19296.25850894133,52.11415849344233,574 days 00:00:00,68,0,0.0,240.80909726911906,-23.461317570956894,31.635221138383823,-5.86672591270264,17 days 09:43:47.027027027,6 days 22:27:05.806451612,1.7686486914730999,4.2757600499063075,1.5138197972005079,23.844602878570484,12 days 15:10:35.294117645,0
Most Sortino Ratio,SOL-USD_BTC-USD,true,20,22,68,54.41176470588235,2.3506981092512502,38.05260212646895,4564.0799675196995,3762.721898356258,1.1415780637940682,3,5210.253572322433,3.3622463115902375,0,0,1787,1788 days 00:00:00,1000.0,311357.4377913396,31035.743779133958,1249.1946009691947,100.0,19296.25850894133,52.11415849344233,574 days 00:00:00,68,0,0.0,240.80909726911906,-23.461317570956894,31.635221138383823,-5.86672591270264,17 days 09:43:47.027027027,6 days 22:27:05.806451612,1.7686486914730999,4.2757600499063075,1.5138197972005079,23.844602878570484,12 days 15:10:35.294117645,0
Mean Total Trades,SOL-USD_BTC-USD,true,20,23,57,47.368421052631575,2.319479737805286,31.897034135422498,3024.8441334970057,1874.9033885312017,0.9569110240626749,2,2894.5066974145943,3.0875399544822515,0,0,1787,1788 days 00:00:00,1000.0,173416.1156093294,17241.611560932943,1249.1946009691947,100.0,9269.842913290946,51.68224237823519,698 days 00:00:00,57,0,0.0,240.80909726911906,-21.876914655008033,40.96892561269711,-6.517220957703882,21 days 19:33:19.999999999,8 days 23:12:00,1.6398316878419992,3.608081423052827,1.472530210126512,12.802182260118594,15 days 01:15:47.368421051,0
Median Total Trades,SOL-USD_BTC-USD,true,11,20,46,43.47826086956522,1.688694760252301,25.74146614437605,3338.9780858582026,1533.0477896502307,0.7722439843312815,2,2578.505740617974,2.9155954467198764,0,0,1787,1788 days 00:00:00,1000.0,154592.9919494773,15359.29919494773,1249.1946009691947,100.0,9077.066009513135,74.08390039179613,920 days 00:00:00,46,0,0.0,434.7654753669139,-42.677723419562724,72.81947339647155,-8.433119920287968,30 days 16:48:00,8 days 14:46:09.230769230,1.5881306738227303,2.427418595300571,1.4618567909791969,11.295361493742552,18 days 05:13:02.608695651,0
Median Avg Losing Trade [%],SOL-USD_BTC-USD,true,11,20,46,43.47826086956522,1.688694760252301,25.74146614437605,3338.9780858582026,1533.0477896502307,0.7722439843312815,2,2578.505740617974,2.9155954467198764,0,0,1787,1788 days 00:00:00,1000.0,154592.9919494773,15359.29919494773,1249.1946009691947,100.0,9077.066009513135,74.08390039179613,920 days 00:00:00,46,0,0.0,434.7654753669139,-42.677723419562724,72.81947339647155,-8.433119920287968,30 days 16:48:00,8 days 14:46:09.230769230,1.5881306738227303,2.427418595300571,1.4618567909791969,11.295361493742552,18 days 05:13:02.608695651,0
Most Total Fees Paid,SOL-USD_BTC-USD,true,25,26,79,43.037974683544306,1.4879990619626133,44.208170117515394,2202.963245175216,1436.5314602216597,1.3262451035254617,3,2921.6692171601912,3.1365370222208666,0,0,1787,1788 days 00:00:00,1000.0,175034.09636884194,17403.409636884193,1249.1946009691947,100.0,21883.960844997004,58.945093751533165,733 days 00:00:00,79,0,0.0,297.9938586068886,-13.709063555854314,37.52599021161088,-4.685675014785535,15 days 12:42:21.176470588,7 days 16:32:00,1.6446796887715314,3.172738169884589,1.4789225552760488,12.931704174338938,11 days 01:31:08.354430379,0
