Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
Most Win Rate [%],SOL-USD,true,15,19,58,60.3448275862069,2.1516753554264185,0.032061912658927584,29.91393491189803,24.780774483229134,0.9618573797678276,1.9237147595356552,28.772939052903578,3.1956116199722415,0,0,1809,1810 days 00:00:00,1000.0,690966.3419178631,68996.63419178632,14843.393240853497,100.0,20310.10331847458,79.51132637619209,773 days 00:00:00,58,0,0.0,640.4971018644513,-45.9351297868189,59.539522742147035,-15.16848135152437,21 days 01:22:17.142857142,8 days 09:23:28.695652174,11895.971412376943,1.8261681335056077,3.443083866389052,1.4796924977409254,1.2001311223603734,14.395397943651876,1.5916020143767917,0.3568215892053973,-0.0607947436213111,None,None,0.004901226060442279,1.2351089672314541,689.9663419178614,1.4850074780490559,0.8139742693376762,3.648306022229928,16 days 00:49:39.310344827,false
Mean Best Trade [%],SOL-USD,true,16,20,58,56.896551724137936,2.3628359270247326,0.032061912658927584,31.138194914245297,24.320956974440115,0.9618573797678276,1.9237147595356552,29.950502570915877,3.4006345978923735,0,0,1809,1810 days 00:00:00,1000.0,1072237.6499592033,107123.76499592033,14843.393240853497,100.0,30942.92796853947,79.8766536634762,820 days 00:00:00,58,0,0.0,653.4487270108434,-50.084973992804585,64.91606162614856,-13.448589145467013,21 days 02:10:54.545454545,9 days 07:40:48,18469.61465446902,1.9193079985610546,3.8608947605264388,1.5127393498757158,1.233573992815591,14.555638041706363,1.6572685871249861,0.35175504107542943,-0.059442113818502916,None,None,0.005135683180371286,1.294192161453564,1071.2376499592017,1.641781386221814,0.811521917575988,6.216932358908568,16 days 00:24:49.655172412,false
Most Expectancy,SOL-USD,true,19,22,55,52.72727272727272,2.322862065205031,0.030403537866224434,34.585298656989856,23.73902156337765,0.9121061359867331,1.8242122719734661,31.545463119974166,3.355822268251508,0,0,1809,1810 days 00:00:00,1000.0,1298131.1545000335,129713.11545000336,14843.393240853497,100.0,40907.10496004321,75.44656708116312,773 days 00:00:00,55,0,0.0,630.7297785469879,-53.00974220886724,75.48430572709806,-11.03282461351543,25 days 04:08:16.551724138,7 days 23:04:36.923076923,23584.20280909151,1.927624258712721,4.300360444408422,1.5158459558165283,1.0136344676021527,14.163625545202464,1.6366051724224557,0.3578394598649663,-0.0625324276624518,None,None,0.005348546960373649,1.3478338340141596,1297.131154500036,1.7130419466593714,0.8415116498971267,7.73877780809537,17 days 00:52:21.818181817,false
Median Max Drawdown [%],SOL-USD,true,16,21,54,50.0,2.1504334583489837,0.029850746268656716,35.247805900154766,22.52522507228825,0.8955223880597015,1.791044776119403,31.565199313571433,3.2897829910548446,0,0,1809,1810 days 00:00:00,1000.0,829461.902726955,82846.1902726955,14843.393240853497,100.0,23261.237333136076,79.99419520544132,826 days 00:00:00,54,0,0.0,692.6306235229891,-49.52258582039101,82.50887344742488,-12.013261647115343,26 days 00:53:20,8 days 16:00:00,15341.887087536214,1.8654391647190969,3.5976412594494627,1.4927650320908636,1.2244800485741494,14.51680661295773,1.6281846447066985,0.3547904191616766,-0.05932510901745805,None,None,0.004996184350159168,1.2590384562401102,828.461902726954,1.5490236770004793,0.8122768328743935,4.581351172768082,17 days 08:26:40,false
Least Win Rate [%],SOL-USD,true,16,21,54,50.0,2.1504334583489837,0.029850746268656716,35.247805900154766,22.52522507228825,0.8955223880597015,1.791044776119403,31.565199313571433,3.2897829910548446,0,0,1809,1810 days 00:00:00,1000.0,829461.902726955,82846.1902726955,14843.393240853497,100.0,23261.237333136076,79.99419520544132,826 days 00:00:00,54,0,0.0,692.6306235229891,-49.52258582039101,82.50887344742488,-12.013261647115343,26 days 00:53:20,8 days 16:00:00,15341.887087536214,1.8654391647190969,3.5976412594494627,1.4927650320908636,1.2244800485741494,14.51680661295773,1.6281846447066985,0.3547904191616766,-0.05932510901745805,None,None,0.004996184350159168,1.2590384562401102,828.461902726954,1.5490236770004793,0.8122768328743935,4.581351172768082,17 days 08:26:40,false
Least Total Trades,SOL-USD,true,15,21,50,50.0,2.0306051041312734,0.027639579878385848,37.379311428794395,22.11793575668307,0.8291873963515755,1.658374792703151,30.994453921056714,3.245778241286373,0,0,1809,1810 days 00:00:00,1000.0,773889.6684673824,77288.96684673824,14843.393240853497,100.0,22669.3598987792,82.38408276516813,774 days 00:00:00,50,0,0.0,692.6306235229891,-47.12358462203051,88.25834174387556,-13.499718886286766,26 days 16:19:12,10 days 23:02:24,15457.793369347657,1.8484093725100994,3.4279085285271673,1.4846356098428812,1.2044612123368263,14.313474754311507,1.5933432381786556,0.3588588588588589,-0.06052432971232495,None,None,0.004966601470993562,1.2515835706903777,772.8896684673812,1.5245311247471736,0.8149066342616805,4.206960806914129,18 days 19:40:48,false
Most Avg Winning Trade [%],SOL-USD,true,15,21,50,50.0,2.0306051041312734,0.027639579878385848,37.379311428794395,22.11793575668307,0.8291873963515755,1.658374792703151,30.994453921056714,3.245778241286373,0,0,1809,1810 days 00:00:00,1000.0,773889.6684673824,77288.96684673824,14843.393240853497,100.0,22669.3598987792,82.38408276516813,774 days 00:00:00,50,0,0.0,692.6306235229891,-47.12358462203051,88.25834174387556,-13.499718886286766,26 days 16:19:12,10 days 23:02:24,15457.793369347657,1.8484093725100994,3.4279085285271673,1.4846356098428812,1.2044612123368263,14.313474754311507,1.5933432381786556,0.3588588588588589,-0.06052432971232495,None,None,0.004966601470993562,1.2515835706903777,772.8896684673812,1.5245311247471736,0.8149066342616805,4.206960806914129,18 days 19:40:48,false
Median Total Trades,SOL-USD,true,52,53,57,50.877192982456144,1.4417779983634367,0.03150912106135987,31.791210142968172,21.82118566026218,0.945273631840796,1.890547263681592,30.051392672457478,2.6335296845296585,0,0,1809,1810 days 00:00:00,1000.0,201735.7434343248,20073.57434343248,14843.393240853497,100.0,13638.589223355104,71.16815020122435,738 days 00:00:00,57,0,0.0,976.667867991105,-47.52154427003943,73.14312295983156,-11.037556703068915,23 days 04:08:16.551724138,10 days 21:25:42.857142857,3521.6797093741206,1.5488558485340067,2.6921130184324604,1.378976447687068,1.0670859841081828,11.360202331554044,1.5015521319259164,0.37642585551330804,-0.06649969211938374,None,None,0.004326048870342441,1.0901643153262952,200.73574343432492,1.0935671464362309,0.8470852583405013,0.35235751136633275,17 days 03:22:06.315789473,false
Most Best Trade [%],SOL-USD,true,52,53,57,50.877192982456144,1.4417779983634367,0.03150912106135987,31.791210142968172,21.82118566026218,0.945273631840796,1.890547263681592,30.051392672457478,2.6335296845296585,0,0,1809,1810 days 00:00:00,1000.0,201735.7434343248,20073.57434343248,14843.393240853497,100.0,13638.589223355104,71.16815020122435,738 days 00:00:00,57,0,0.0,976.667867991105,-47.52154427003943,73.14312295983156,-11.037556703068915,23 days 04:08:16.551724138,10 days 21:25:42.857142857,3521.6797093741206,1.5488558485340067,2.6921130184324604,1.378976447687068,1.0670859841081828,11.360202331554044,1.5015521319259164,0.37642585551330804,-0.06649969211938374,None,None,0.004326048870342441,1.0901643153262952,200.73574343432492,1.0935671464362309,0.8470852583405013,0.35235751136633275,17 days 03:22:06.315789473,false
Mean Calmar Ratio,SOL-USD,true,52,53,57,50.877192982456144,1.4417779983634367,0.03150912106135987,31.791210142968172,21.82118566026218,0.945273631840796,1.890547263681592,30.051392672457478,2.6335296845296585,0,0,1809,1810 days 00:00:00,1000.0,201735.7434343248,20073.57434343248,14843.393240853497,100.0,13638.589223355104,71.16815020122435,738 days 00:00:00,57,0,0.0,976.667867991105,-47.52154427003943,73.14312295983156,-11.037556703068915,23 days 04:08:16.551724138,10 days 21:25:42.857142857,3521.6797093741206,1.5488558485340067,2.6921130184324604,1.378976447687068,1.0670859841081828,11.360202331554044,1.5015521319259164,0.37642585551330804,-0.06649969211938374,None,None,0.004326048870342441,1.0901643153262952,200.73574343432492,1.0935671464362309,0.8470852583405013,0.35235751136633275,17 days 03:22:06.315789473,false
