Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
Least Total Trades,SOL-USD,false,44,53,107,39.62264150943396,1.3363789029063275,0.14600550964187328,1.827978446589897,1.1142974565569765,4.421487603305785,8.801652892561984,8.082384040707396,2.1333662069997104,0,0,17424,726 days 01:00:00,1000.0,4514.682620161029,351.4682620161029,563.3050842097421,100.0,745.2279105755811,52.13834385290077,219 days 08:00:00,106,1,275.4419517101751,45.23923431221788,-9.684418770896697,10.738698150295122,-4.019681358966656,6 days 11:52:51.428571428,1 days 14:45:56.250000,30.558874230668508,1.4349936728379766,2.174075222853647,1.066652311881191,0.6380966912159532,31.411311077215807,1.0801867319400649,0.3556091489030652,-0.010080749868817159,None,None,0.00011416385835434658,0.6904630153270881,3.514682620161066,0.6873801611312638,0.5790773738623188,-0.37606055427464136,3 days 13:10:11.320754716,false
Most Avg Winning Trade [%],SOL-USD,false,47,50,107,39.62264150943396,1.3347248556244926,0.14600550964187328,1.8278720158986799,1.1142325786319967,4.421487603305785,8.801652892561984,8.081913458725568,2.1299810409715034,0,0,17424,726 days 01:00:00,1000.0,4499.458075519197,349.94580755191976,563.3050842097421,100.0,741.3706451187601,52.39084499421036,219 days 08:00:00,106,1,274.5130983127474,45.23923431221789,-9.6844187708967,10.77665001504087,-4.044763546038381,6 days 11:51:25.714285714,1 days 14:45:00,30.424009218928816,1.4326148989326624,2.1566874789906025,1.0665508668628092,0.6386405719028643,31.421791806288113,1.0810268199594584,0.3552928365870732,-0.010080749868817195,None,None,0.0001139655134333439,0.689263425244864,3.4994580755192244,0.6854029740865821,0.5790311557605378,-0.37876327169520047,3 days 13:09:03.396226414,false
Least Avg Losing Trade [%],SOL-USD,false,47,50,107,39.62264150943396,1.3347248556244926,0.14600550964187328,1.8278720158986799,1.1142325786319967,4.421487603305785,8.801652892561984,8.081913458725568,2.1299810409715034,0,0,17424,726 days 01:00:00,1000.0,4499.458075519197,349.94580755191976,563.3050842097421,100.0,741.3706451187601,52.39084499421036,219 days 08:00:00,106,1,274.5130983127474,45.23923431221789,-9.6844187708967,10.77665001504087,-4.044763546038381,6 days 11:51:25.714285714,1 days 14:45:00,30.424009218928816,1.4326148989326624,2.1566874789906025,1.0665508668628092,0.6386405719028643,31.421791806288113,1.0810268199594584,0.3552928365870732,-0.010080749868817195,None,None,0.0001139655134333439,0.689263425244864,3.4994580755192244,0.6854029740865821,0.5790311557605378,-0.37876327169520047,3 days 13:09:03.396226414,false
Mean Calmar Ratio,SOL-USD,false,45,52,107,39.62264150943396,1.3341392087971486,0.14600550964187328,1.8249184851785318,1.1124321680333578,4.421487603305785,8.801652892561984,8.06885445926045,2.1268049428792626,0,0,17424,726 days 01:00:00,1000.0,4487.330080720777,348.7330080720777,563.3050842097421,100.0,740.8296835700924,52.39084499421035,219 days 08:00:00,106,1,273.7731662203587,45.239234312217874,-9.684418770896704,10.762057723023807,-4.040079139657428,6 days 11:52:51.428571428,1 days 14:45:00,30.316574665098273,1.4306018332683688,2.1511748767194687,1.0664462416306133,0.6381973497839915,31.41010752966926,1.0802143659755183,0.3555036950602878,-0.010083111864514636,None,None,0.00011381565150583975,0.6883570603073188,3.4873300807208265,0.6838248029440965,0.5790834535873799,-0.3809162781455922,3 days 13:09:37.358490565,false
Most Win Rate [%],SOL-USD,false,43,46,114,40.707964601769916,1.3720803803372708,0.15564738292011018,1.7493933551301906,1.0956037350032508,4.710743801652892,9.3801652892562,8.240943904332303,2.226535111565461,0,0,17424,726 days 01:00:00,1000.0,4865.364925108032,386.5364925108032,563.3050842097421,100.0,831.6661928008419,50.6784718476609,219 days 15:00:00,113,1,296.8371696316917,45.26108548151066,-9.304359367893575,9.64650544172505,-3.6725044953677735,5 days 20:35:13.043478260,1 days 13:03:34.925373134,31.579891641383597,1.4950802610847396,2.398041738259684,1.069854399352421,0.6569759087564255,31.988478889822083,1.0856743606758874,0.35140375368388393,-0.010012513311017457,None,None,0.0001180335167802582,0.7138667094870016,3.8653649251080333,0.7317659075450549,0.5746438771349148,-0.3138061357051777,3 days 07:12:12.743362830,false
Median Best Trade [%],SOL-USD,false,47,49,108,39.25233644859813,1.347677840872822,0.14738292011019283,1.7706250658279301,1.069248781664602,4.462809917355372,8.884297520661157,7.901963103694895,2.1082253943375733,0,0,17424,726 days 01:00:00,1000.0,4406.5005992269125,340.65005992269124,563.3050842097421,100.0,722.1246397363533,52.54030576455053,220 days 01:00:00,107,1,268.8417386956489,43.68425311924183,-9.684418770896713,10.510591061820108,-3.876737577736247,6 days 09:22:51.428571428,1 days 15:33:13.846153846,29.32391458440435,1.4187652223027862,2.108229830750219,1.0659707794121946,0.637206019592617,31.622255109126485,1.0795172967666862,0.3548713163828629,-0.01006282352430255,None,None,0.0001126757532994593,0.6814629559551298,3.4065005992269137,0.6732349599531373,0.578066604363276,-0.39526542637088474,3 days 12:14:01.121495326,false
Mean Omega Ratio,SOL-USD,false,46,50,108,39.25233644859813,1.3439254892477248,0.14738292011019283,1.7516861859844766,1.0578119311480663,4.462809917355372,8.884297520661157,7.817442482905929,2.0872302786882835,0,0,17424,726 days 01:00:00,1000.0,4321.919692085124,332.1919692085124,563.3050842097421,100.0,711.1073124028893,52.540305764550524,220 days 01:00:00,107,1,263.68143572407007,43.68425311924183,-9.684418770896713,10.46234201079036,-3.8767375777362485,6 days 09:21:25.714285714,1 days 15:33:13.846153846,28.581665947299555,1.4048848718710716,2.069333587426096,1.0653118527772272,0.6371189618907235,31.644855045189345,1.0795564873715735,0.3546606545906864,-0.010062823524302525,None,None,0.00011155376007512164,0.6746771409343356,3.321919692085105,0.6620169381267402,0.5779648432843911,-0.41028054153897286,3 days 12:13:27.476635513,false
Median Sortino Ratio,SOL-USD,false,46,50,108,39.25233644859813,1.3439254892477248,0.14738292011019283,1.7516861859844766,1.0578119311480663,4.462809917355372,8.884297520661157,7.817442482905929,2.0872302786882835,0,0,17424,726 days 01:00:00,1000.0,4321.919692085124,332.1919692085124,563.3050842097421,100.0,711.1073124028893,52.540305764550524,220 days 01:00:00,107,1,263.68143572407007,43.68425311924183,-9.684418770896713,10.46234201079036,-3.8767375777362485,6 days 09:21:25.714285714,1 days 15:33:13.846153846,28.581665947299555,1.4048848718710716,2.069333587426096,1.0653118527772272,0.6371189618907235,31.644855045189345,1.0795564873715735,0.3546606545906864,-0.010062823524302525,None,None,0.00011155376007512164,0.6746771409343356,3.321919692085105,0.6620169381267402,0.5779648432843911,-0.41028054153897286,3 days 12:13:27.476635513,false
Most Avg Winning Trade Duration,SOL-USD,false,43,55,109,38.88888888888889,1.3215090053098013,0.1487603305785124,1.762823981203499,1.0546810143952559,4.5041322314049586,8.966942148760332,7.939992312032288,2.101160120274019,0,0,17424,726 days 01:00:00,1000.0,4383.613931731844,338.36139317318435,563.3050842097421,100.0,759.1127765373415,53.87427220255467,219 days 08:00:00,108,1,267.44541720566576,43.71653080023191,-9.684418770896686,10.771499621095458,-3.9699696078186584,6 days 11:55:42.857142857,1 days 13:37:16.363636363,28.85341217153872,1.4133719100252875,2.045800220683222,1.0655858044469941,0.6384865836089386,31.34822130788052,1.0809750086250045,0.3555036950602878,-0.01009875137215532,None,None,0.00011250115702362323,0.6804069976788732,3.383613931731894,0.6702134605490992,0.5793733005833895,-0.3993283521524222,3 days 11:37:46.666666665,false
Median Avg Winning Trade [%],SOL-USD,false,41,50,111,40.0,1.3611214494954353,0.15151515151515152,1.6727816127826856,1.0294040694047297,4.586776859504132,9.132231404958677,7.672675992515624,2.1053377673463705,0,0,17424,726 days 01:00:00,1000.0,4372.024519919701,337.20245199197007,563.3050842097421,100.0,744.1230752856785,49.47005795684644,220 days 05:00:00,110,1,266.7383442002556,43.368349771261435,-9.340983487791341,9.699138128335877,-3.678122730919442,5 days 23:36:49.090909090,1 days 16:00:00,28.229874324722218,1.4146467072659312,2.222281896138393,1.0660729712940342,0.6579538604775345,31.960757495493596,1.0837231860505587,0.3512989530825901,-0.010052143408123344,None,None,0.00011210118575797103,0.6779879714642089,3.37202451991974,0.6686794961159372,0.5767932345031769,-0.4013857473609887,3 days 09:26:43.636363636,false
