Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Profit Factor Adjusted,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
Most Total Return [%],SO,true,81,86,false,151,54.966887417218544,1.6937373256613262,0.013854482062574548,1.115329225988173,1.0050192786561543,0.2909441233140655,0.581888246628131,0.32449848386168423,0.4948483999791367,0,0,10899,10900 days 00:00:00,1000.0,4048.036188940417,304.80361889404173,2408.593775306843,100.0,618.5869138806992,38.98376785706402,2635 days 00:00:00,151,0,0.0,33.35544074516946,-16.88507481585189,4.7176274347594624,-3.2815935876591364,57 days 08:23:07.951807229,30 days 01:24:42.352941176,20.185670125433223,0.3385422212473669,0.12296133971670571,1.0679579161935222,0.7802875956139138,27.44451435988242,1.0545371443909008,0.41246598419074776,-0.01464307842230989,None,None,0.00017922805954950527,0.045165471006475326,3.048036188940432,0.03285425864659963,0.16056092669956548,1.6937373256613262,-0.8734516289052473,15786.25,1.7958456861309275,1.356308722067365,45 days 01:25:49.668874171
Most Total Fees Paid,SO,true,81,86,false,151,54.966887417218544,1.6937373256613262,0.013854482062574548,1.115329225988173,1.0050192786561543,0.2909441233140655,0.581888246628131,0.32449848386168423,0.4948483999791367,0,0,10899,10900 days 00:00:00,1000.0,4048.036188940417,304.80361889404173,2408.593775306843,100.0,618.5869138806992,38.98376785706402,2635 days 00:00:00,151,0,0.0,33.35544074516946,-16.88507481585189,4.7176274347594624,-3.2815935876591364,57 days 08:23:07.951807229,30 days 01:24:42.352941176,20.185670125433223,0.3385422212473669,0.12296133971670571,1.0679579161935222,0.7802875956139138,27.44451435988242,1.0545371443909008,0.41246598419074776,-0.01464307842230989,None,None,0.00017922805954950527,0.045165471006475326,3.048036188940432,0.03285425864659963,0.16056092669956548,1.6937373256613262,-0.8734516289052473,15786.25,1.7958456861309275,1.356308722067365,45 days 01:25:49.668874171
Median Max Drawdown [%],SO,true,81,86,false,151,54.966887417218544,1.6937373256613262,0.013854482062574548,1.115329225988173,1.0050192786561543,0.2909441233140655,0.581888246628131,0.32449848386168423,0.4948483999791367,0,0,10899,10900 days 00:00:00,1000.0,4048.036188940417,304.80361889404173,2408.593775306843,100.0,618.5869138806992,38.98376785706402,2635 days 00:00:00,151,0,0.0,33.35544074516946,-16.88507481585189,4.7176274347594624,-3.2815935876591364,57 days 08:23:07.951807229,30 days 01:24:42.352941176,20.185670125433223,0.3385422212473669,0.12296133971670571,1.0679579161935222,0.7802875956139138,27.44451435988242,1.0545371443909008,0.41246598419074776,-0.01464307842230989,None,None,0.00017922805954950527,0.045165471006475326,3.048036188940432,0.03285425864659963,0.16056092669956548,1.6937373256613262,-0.8734516289052473,15786.25,1.7958456861309275,1.356308722067365,45 days 01:25:49.668874171
Most Total Trades,SO,true,81,86,false,151,54.966887417218544,1.6937373256613262,0.013854482062574548,1.115329225988173,1.0050192786561543,0.2909441233140655,0.581888246628131,0.32449848386168423,0.4948483999791367,0,0,10899,10900 days 00:00:00,1000.0,4048.036188940417,304.80361889404173,2408.593775306843,100.0,618.5869138806992,38.98376785706402,2635 days 00:00:00,151,0,0.0,33.35544074516946,-16.88507481585189,4.7176274347594624,-3.2815935876591364,57 days 08:23:07.951807229,30 days 01:24:42.352941176,20.185670125433223,0.3385422212473669,0.12296133971670571,1.0679579161935222,0.7802875956139138,27.44451435988242,1.0545371443909008,0.41246598419074776,-0.01464307842230989,None,None,0.00017922805954950527,0.045165471006475326,3.048036188940432,0.03285425864659963,0.16056092669956548,1.6937373256613262,-0.8734516289052473,15786.25,1.7958456861309275,1.356308722067365,45 days 01:25:49.668874171
Least Avg Winning Trade [%],SO,true,81,86,false,151,54.966887417218544,1.6937373256613262,0.013854482062574548,1.115329225988173,1.0050192786561543,0.2909441233140655,0.581888246628131,0.32449848386168423,0.4948483999791367,0,0,10899,10900 days 00:00:00,1000.0,4048.036188940417,304.80361889404173,2408.593775306843,100.0,618.5869138806992,38.98376785706402,2635 days 00:00:00,151,0,0.0,33.35544074516946,-16.88507481585189,4.7176274347594624,-3.2815935876591364,57 days 08:23:07.951807229,30 days 01:24:42.352941176,20.185670125433223,0.3385422212473669,0.12296133971670571,1.0679579161935222,0.7802875956139138,27.44451435988242,1.0545371443909008,0.41246598419074776,-0.01464307842230989,None,None,0.00017922805954950527,0.045165471006475326,3.048036188940432,0.03285425864659963,0.16056092669956548,1.6937373256613262,-0.8734516289052473,15786.25,1.7958456861309275,1.356308722067365,45 days 01:25:49.668874171
Most Sharpe Ratio,SO,true,81,86,false,151,54.966887417218544,1.6937373256613262,0.013854482062574548,1.115329225988173,1.0050192786561543,0.2909441233140655,0.581888246628131,0.32449848386168423,0.4948483999791367,0,0,10899,10900 days 00:00:00,1000.0,4048.036188940417,304.80361889404173,2408.593775306843,100.0,618.5869138806992,38.98376785706402,2635 days 00:00:00,151,0,0.0,33.35544074516946,-16.88507481585189,4.7176274347594624,-3.2815935876591364,57 days 08:23:07.951807229,30 days 01:24:42.352941176,20.185670125433223,0.3385422212473669,0.12296133971670571,1.0679579161935222,0.7802875956139138,27.44451435988242,1.0545371443909008,0.41246598419074776,-0.01464307842230989,None,None,0.00017922805954950527,0.045165471006475326,3.048036188940432,0.03285425864659963,0.16056092669956548,1.6937373256613262,-0.8734516289052473,15786.25,1.7958456861309275,1.356308722067365,45 days 01:25:49.668874171
Most Calmar Ratio,SO,true,81,86,false,151,54.966887417218544,1.6937373256613262,0.013854482062574548,1.115329225988173,1.0050192786561543,0.2909441233140655,0.581888246628131,0.32449848386168423,0.4948483999791367,0,0,10899,10900 days 00:00:00,1000.0,4048.036188940417,304.80361889404173,2408.593775306843,100.0,618.5869138806992,38.98376785706402,2635 days 00:00:00,151,0,0.0,33.35544074516946,-16.88507481585189,4.7176274347594624,-3.2815935876591364,57 days 08:23:07.951807229,30 days 01:24:42.352941176,20.185670125433223,0.3385422212473669,0.12296133971670571,1.0679579161935222,0.7802875956139138,27.44451435988242,1.0545371443909008,0.41246598419074776,-0.01464307842230989,None,None,0.00017922805954950527,0.045165471006475326,3.048036188940432,0.03285425864659963,0.16056092669956548,1.6937373256613262,-0.8734516289052473,15786.25,1.7958456861309275,1.356308722067365,45 days 01:25:49.668874171
Most Omega Ratio,SO,true,81,86,false,151,54.966887417218544,1.6937373256613262,0.013854482062574548,1.115329225988173,1.0050192786561543,0.2909441233140655,0.581888246628131,0.32449848386168423,0.4948483999791367,0,0,10899,10900 days 00:00:00,1000.0,4048.036188940417,304.80361889404173,2408.593775306843,100.0,618.5869138806992,38.98376785706402,2635 days 00:00:00,151,0,0.0,33.35544074516946,-16.88507481585189,4.7176274347594624,-3.2815935876591364,57 days 08:23:07.951807229,30 days 01:24:42.352941176,20.185670125433223,0.3385422212473669,0.12296133971670571,1.0679579161935222,0.7802875956139138,27.44451435988242,1.0545371443909008,0.41246598419074776,-0.01464307842230989,None,None,0.00017922805954950527,0.045165471006475326,3.048036188940432,0.03285425864659963,0.16056092669956548,1.6937373256613262,-0.8734516289052473,15786.25,1.7958456861309275,1.356308722067365,45 days 01:25:49.668874171
Most Sortino Ratio,SO,true,81,86,false,151,54.966887417218544,1.6937373256613262,0.013854482062574548,1.115329225988173,1.0050192786561543,0.2909441233140655,0.581888246628131,0.32449848386168423,0.4948483999791367,0,0,10899,10900 days 00:00:00,1000.0,4048.036188940417,304.80361889404173,2408.593775306843,100.0,618.5869138806992,38.98376785706402,2635 days 00:00:00,151,0,0.0,33.35544074516946,-16.88507481585189,4.7176274347594624,-3.2815935876591364,57 days 08:23:07.951807229,30 days 01:24:42.352941176,20.185670125433223,0.3385422212473669,0.12296133971670571,1.0679579161935222,0.7802875956139138,27.44451435988242,1.0545371443909008,0.41246598419074776,-0.01464307842230989,None,None,0.00017922805954950527,0.045165471006475326,3.048036188940432,0.03285425864659963,0.16056092669956548,1.6937373256613262,-0.8734516289052473,15786.25,1.7958456861309275,1.356308722067365,45 days 01:25:49.668874171
Least Max Drawdown Duration,SO,true,81,86,false,151,54.966887417218544,1.6937373256613262,0.013854482062574548,1.115329225988173,1.0050192786561543,0.2909441233140655,0.581888246628131,0.32449848386168423,0.4948483999791367,0,0,10899,10900 days 00:00:00,1000.0,4048.036188940417,304.80361889404173,2408.593775306843,100.0,618.5869138806992,38.98376785706402,2635 days 00:00:00,151,0,0.0,33.35544074516946,-16.88507481585189,4.7176274347594624,-3.2815935876591364,57 days 08:23:07.951807229,30 days 01:24:42.352941176,20.185670125433223,0.3385422212473669,0.12296133971670571,1.0679579161935222,0.7802875956139138,27.44451435988242,1.0545371443909008,0.41246598419074776,-0.01464307842230989,None,None,0.00017922805954950527,0.045165471006475326,3.048036188940432,0.03285425864659963,0.16056092669956548,1.6937373256613262,-0.8734516289052473,15786.25,1.7958456861309275,1.356308722067365,45 days 01:25:49.668874171
