Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Profit Factor Adjusted,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
Median Total Trades,SPY,false,35,48,false,51,49.01960784313725,4.01016854647126,0.006298629121896999,4.581620703656343,2.1097903406043206,0.13227121155983698,0.26454242311967396,0.6060165213802573,0.9673222455962915,0,0,8097,8098 days 00:00:00,1000.0,7312.1139682911435,631.2113968291144,1173.1493932254648,100.0,253.20202759363355,38.44431112637551,2633 days 00:00:00,51,0,0.0,46.81156499890818,-6.23933301662112,12.824814858134978,-3.344527521803882,199 days 04:48:00,34 days 16:36:55.384615384,123.76694055472831,0.694136090118541,0.24403492018470532,1.1259053886922206,-0.46397966429609594,6.390843240702825,0.9606023291047685,0.6445978878960195,-0.012406721564804478,None,None,0.000274266267715326,0.06911509946426216,6.312113968291172,0.06386856171954669,0.1198324597513005,3.7873814050006347,-0.46195139299892785,11727.797619047618,0.8995687777433433,2.648406158235868,115 days 07:59:59.999999999
Most Omega Ratio,SPY,false,30,45,false,56,46.42857142857143,3.6604982430425683,0.0069161417809065085,4.235369485068428,2.0283589355641762,0.14523897739903668,0.29047795479807337,0.615140732918423,0.977163479905518,0,0,8097,8098 days 00:00:00,1000.0,7360.508588812033,636.0508588812033,1173.1493932254648,100.0,305.5141186140605,34.49408161948301,2526 days 00:00:00,56,0,0.0,48.704703252431514,-6.319926236298547,12.716798886239761,-3.1152026626133944,185 days 03:41:32.307692308,34 days 08:48:00,113.58051051450069,0.7009821191629567,0.27292454425818463,1.1278527412981434,-0.4800679310367937,6.555238005305672,0.9673960794684926,0.6362901596282077,-0.012123143055556364,None,None,0.0002745948710356293,0.06919790750097858,6.360508588812088,0.06408697358772653,0.11880430654652475,3.6604982430425683,-0.4578262047833134,11727.797619047618,0.9426344311459735,2.5662928569499854,104 days 09:00:00
Most Sharpe Ratio,SPY,false,34,52,false,49,48.97959183673469,3.8733218869944643,0.006051624058293195,4.908537517832316,2.169918961649946,0.1270841052241571,0.2541682104483142,0.623797098412925,0.9847791063420157,0,0,8097,8098 days 00:00:00,1000.0,7603.105649470761,660.310564947076,1173.1493932254648,100.0,265.2852205393297,40.67939947059841,2600 days 00:00:00,49,0,0.0,45.02356249374379,-7.9545042541492625,13.640510237774992,-3.474156293312652,208 days 08:00:00,36 days 08:38:24,134.75725815246452,0.7054359506194782,0.23536039893736896,1.127731742181153,-0.4459747451958799,6.30885509338558,0.9611711744272088,0.6496231411692808,-0.012430514419076657,None,None,0.00027917479318273285,0.07035204788204868,6.603105649470742,0.06516129967386952,0.12002323195740844,3.514680971532014,-0.43714707712407047,11727.797619047618,0.881753770581196,2.4505151287214666,120 days 14:12:14.693877551
Most Sortino Ratio,SPY,false,34,52,false,49,48.97959183673469,3.8733218869944643,0.006051624058293195,4.908537517832316,2.169918961649946,0.1270841052241571,0.2541682104483142,0.623797098412925,0.9847791063420157,0,0,8097,8098 days 00:00:00,1000.0,7603.105649470761,660.310564947076,1173.1493932254648,100.0,265.2852205393297,40.67939947059841,2600 days 00:00:00,49,0,0.0,45.02356249374379,-7.9545042541492625,13.640510237774992,-3.474156293312652,208 days 08:00:00,36 days 08:38:24,134.75725815246452,0.7054359506194782,0.23536039893736896,1.127731742181153,-0.4459747451958799,6.30885509338558,0.9611711744272088,0.6496231411692808,-0.012430514419076657,None,None,0.00027917479318273285,0.07035204788204868,6.603105649470742,0.06516129967386952,0.12002323195740844,3.514680971532014,-0.43714707712407047,11727.797619047618,0.881753770581196,2.4505151287214666,120 days 14:12:14.693877551
Mean Total Trades,SPY,false,32,47,false,55,45.45454545454545,3.495597903580863,0.006792639249104606,3.9905266088678752,1.8375974437593825,0.14264542423119675,0.2852908484623935,0.569230361027837,0.90538907799009,0,0,8097,8098 days 00:00:00,1000.0,6344.63506816388,534.463506816388,1173.1493932254648,100.0,270.59006655488383,38.42257657004419,2577 days 00:00:00,55,0,0.0,46.80259358013163,-6.288918988076435,12.556916515382099,-3.148131646560644,193 days 10:33:36,34 days 05:36:00,97.17518305752512,0.6514909367475055,0.22602042175590992,1.1180774929823665,-0.48468764410612053,6.434411610433365,0.9584532608408508,0.6396031585341162,-0.012328398337369163,None,None,0.000256547145437885,0.06464988065034702,5.344635068163837,0.05918038090418021,0.11942782165949264,3.495597903580863,-0.5444199094312018,11727.797619047618,0.9341801399107375,2.203103171909199,106 days 14:23:59.999999999
Median Best Trade [%],SPY,false,37,43,false,52,46.15384615384615,3.5876020264634225,0.006422131653698901,4.262424242785939,1.884291431697597,0.13486476472767692,0.26972952945535383,0.5748508426728721,0.9157410339451258,0,0,8097,8098 days 00:00:00,1000.0,6494.269796069438,549.4269796069437,1173.1493932254648,100.0,247.80864679064314,39.541092125753316,2640 days 00:00:00,52,0,0.0,46.802593580131635,-6.97659132347536,13.13147276138141,-3.339617344581606,200 days 12:00:00,37 days 11:08:34.285714286,105.65903453979692,0.6577949238239789,0.22251633844420177,1.1193368764513947,-0.461643159451852,6.459275165735587,0.9590770512515101,0.6389394859340214,-0.01236180341092341,None,None,0.0002595336980578805,0.06540249191058588,5.494269796069426,0.059948987845567014,0.1196602593723028,3.4547278773351473,-0.5316649501080629,11727.797619047618,0.9083452663326324,2.1742803451737447,112 days 17:04:36.923076922
Mean Avg Losing Trade [%],SPY,false,30,55,false,54,46.2962962962963,3.3052788118569487,0.006669136717302705,4.0939529666072145,1.88522424323412,0.14005187106335681,0.28010374212671363,0.5733657730187207,0.9075838739275872,0,0,8097,8098 days 00:00:00,1000.0,6402.500663084291,540.250066308429,1173.1493932254648,100.0,244.23137696858606,41.285974407925494,2708 days 00:00:00,54,0,0.0,46.81156499890818,-6.84187608345108,13.013918250134134,-3.595672277812545,198 days 16:19:12,31 days 19:51:43.448275862,100.04630857563498,0.6538674722932276,0.21142220506293136,1.1180419530738077,-0.49691603154668157,6.3500178501850595,0.9577681381246623,0.6445978878960195,-0.01243051441907675,None,None,0.00025772321916310125,0.06494625122910151,5.4025006630842585,0.059479672718656396,0.1195392472717296,3.3052788118569487,-0.5394874093374742,11727.797619047618,0.9256486357281561,2.107450824461011,109 days 01:46:39.999999999
Mean Total Fees Paid,SPY,false,34,44,false,55,45.45454545454545,3.248003510695191,0.006792639249104606,3.899000933267149,1.795450788942323,0.14264542423119675,0.2852908484623935,0.5561746422037245,0.8853230203947641,0,0,8097,8098 days 00:00:00,1000.0,6060.558151350772,506.05581513507724,1173.1493932254648,100.0,265.61295331810356,38.938510817502994,2577 days 00:00:00,55,0,0.0,46.14838283451197,-6.288918988076427,12.50488765122008,-3.2725713316936287,193 days 05:45:36,34 days 06:24:00,92.01014820637769,0.637284662270384,0.21726870531304082,1.1153812709383983,-0.4836622615078845,6.440931670071437,0.9593269750996165,0.637282652648605,-0.012325599825781594,None,None,0.0002508705864253901,0.0632193877791983,5.060558151350787,0.05767161613466154,0.11938863348551143,3.248003510695191,-0.5686348063960346,11727.797619047618,0.9341801399107375,2.0016878883002014,106 days 12:39:16.363636363
Median Total Fees Paid,SPY,false,31,59,false,50,48.0,3.3222949487529934,0.006175126590095097,4.492826118303647,1.9861452724127378,0.12967765839199705,0.2593553167839941,0.5826191705840225,0.9157921432535949,0,0,8097,8098 days 00:00:00,1000.0,6542.030701162374,554.2030701162374,1173.1493932254648,100.0,248.81990568713874,41.646935476738065,2637 days 00:00:00,50,0,0.0,45.02356249374379,-6.639148746553371,13.349801455029045,-3.682843423289027,208 days 13:00:00,35 days 14:46:09.230769230,110.8406140232475,0.6587017344457866,0.2121279138807798,1.1184514961105596,-0.4777289304051101,6.242640740748088,0.9593734950973409,0.6506318793314309,-0.012477303326855583,None,None,0.00026059555105598645,0.06567007886610858,5.542030701162353,0.06019070494382084,0.11998443000287672,3.076199026623142,-0.5275937801983532,11727.797619047618,0.8907058150211015,1.9744995255901392,118 days 14:52:47.999999999
Most Worst Trade [%],SPY,false,9,75,false,78,42.30769230769231,2.796227607574822,0.00963319748054835,2.7836570880209055,1.6920369111197253,0.2022971470915154,0.4045942941830308,0.5631258873877045,0.9150398972874851,0,0,8097,8098 days 00:00:00,1000.0,6237.794505380212,523.7794505380213,1173.1493932254648,100.0,406.1311496260672,37.90616752202883,2553 days 00:00:00,78,0,0.0,46.952796692929034,-4.530835892165633,10.062008871478882,-2.553800886514944,148 days 14:32:43.636363636,21 days 09:04:00,67.15121160743863,0.6579983869216309,0.2269056722246939,1.118776078825471,-0.5023970105051225,6.51393073036424,0.9762183388798042,0.6356291658250858,-0.011972095203802652,None,None,0.00025316318548470885,0.06379712274214663,5.237794505380201,0.058620765018725374,0.11668698682451469,2.796227607574822,-0.5535270669169094,11727.797619047618,1.1124912063937185,1.9742340531863762,75 days 04:55:23.076923076
