Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
Most Total Return [%],SPY,true,61,76,63,61.904761904761905,3.17125413241694,0.007784505127888299,3.86486970284046,2.7358066435836963,0.16347460768565425,0.3269492153713085,0.6318080584280154,0.9671704944196297,0,0,8093,8094 days 00:00:00,1000.0,8149.375083883509,714.9375083883509,1209.7240898381963,100.0,401.3034047511495,30.674066240579585,1332 days 00:00:00,63,0,0.0,38.47096774193549,-21.843971120866698,8.739875399229149,-4.057014553791161,111 days 17:13:50.769230770,49 days 11:00:00,113.48214418862713,0.6990755166027999,0.3234872907339176,1.134978522279695,-0.8117829393192779,16.002299827117575,0.9501884260168516,0.5977102250296091,-0.012597302881866092,None,None,0.000290994314241992,0.07333056718898198,7.14937508388355,0.06749807913303685,0.12624294396970112,-0.4090077940962756,88 days 00:00:00,false
Most Omega Ratio,SPY,true,61,76,63,61.904761904761905,3.17125413241694,0.007784505127888299,3.86486970284046,2.7358066435836963,0.16347460768565425,0.3269492153713085,0.6318080584280154,0.9671704944196297,0,0,8093,8094 days 00:00:00,1000.0,8149.375083883509,714.9375083883509,1209.7240898381963,100.0,401.3034047511495,30.674066240579585,1332 days 00:00:00,63,0,0.0,38.47096774193549,-21.843971120866698,8.739875399229149,-4.057014553791161,111 days 17:13:50.769230770,49 days 11:00:00,113.48214418862713,0.6990755166027999,0.3234872907339176,1.134978522279695,-0.8117829393192779,16.002299827117575,0.9501884260168516,0.5977102250296091,-0.012597302881866092,None,None,0.000290994314241992,0.07333056718898198,7.14937508388355,0.06749807913303685,0.12624294396970112,-0.4090077940962756,88 days 00:00:00,false
Median Total Trades,SPY,true,60,75,64,65.625,2.9188313915211905,0.007908068701346842,3.563042801288809,2.5621880818256604,0.1660694427282837,0.3321388854565674,0.5917125324270553,0.9035097693840506,0,0,8093,8094 days 00:00:00,1000.0,7018.96846779858,601.8968467798579,1209.7240898381963,100.0,349.4888651669748,31.314853270915645,1950 days 00:00:00,64,0,0.0,37.68532731376976,-21.93053377714234,8.113526957583822,-5.124245133456215,104 days 21:08:34.285714286,51 days 05:27:16.363636363,94.04638230935282,0.6547132333321438,0.2933099049240789,1.1261001378733864,-0.8160990552199987,15.984534452180744,0.946192856980124,0.5942485719913335,-0.012645545945805256,None,None,0.0002725463843186972,0.06868168884831169,6.01896846779853,0.06254668196184343,0.12625134351314382,-0.5024511358946624,86 days 10:29:59.999999999,false
Least Total Trades,SPY,true,50,88,38,60.526315789473685,3.0096173595700955,0.004695415791424688,5.97690800620418,2.532121645656588,0.09860373161991844,0.19720746323983687,0.5893454329606987,0.8614457859162352,0,0,8093,8094 days 00:00:00,1000.0,6570.07218826808,557.007218826808,1209.7240898381963,100.0,203.52461988044692,30.175239984258596,2007 days 00:00:00,38,0,0.0,46.55968200564327,-20.603980388611387,13.761632575245642,-5.959669666326061,206 days 07:18:15.652173914,62 days 19:12:00,146.58084705968633,0.6242200116319703,0.29361907242430413,1.1184152328553987,-0.7985845539526952,15.031983411008222,0.9438669762027555,0.614924181963288,-0.012919162359058637,None,None,0.00026586681084041404,0.06699843633178433,5.570072188268037,0.060362524916515836,0.12917341498870744,-0.5395584633672054,149 days 15:47:22.105263157,false
Most Expectancy,SPY,true,51,83,38,57.89473684210527,3.2051343651554958,0.004695415791424688,6.155017831267299,2.4942050522726213,0.09860373161991844,0.19720746323983687,0.6069077263500932,0.8925481837684957,0,0,8093,8094 days 00:00:00,1000.0,6914.894629393893,591.4894629393893,1209.7240898381963,100.0,205.69011546474175,29.339041672551797,1950 days 00:00:00,38,0,0.0,51.95165856410936,-21.026088599715052,14.51000430071003,-5.333088564216453,214 days 22:54:32.727272728,56 days 21:00:00,155.65512182615515,0.6455212547348071,0.3105564413174437,1.123077867794073,-0.7884615475276647,15.493924513618177,0.9471032853036051,0.6069088743299583,-0.01274558442206353,None,None,0.00027131282048408774,0.06837083076199012,5.914894629393936,0.062052607422702355,0.12746955573603802,-0.5110542412869512,148 days 09:28:25.263157895,false
Most Win Rate [%],SPY,true,61,73,73,67.12328767123287,2.4577310199395916,0.009020140862473743,2.9573581549038948,2.4256982618874643,0.1894229581119486,0.3788459162238972,0.56019152989839,0.8525999582912516,0,0,8093,8094 days 00:00:00,1000.0,6306.966096666319,530.6966096666318,1209.7240898381963,100.0,402.2334456600868,33.781629923484715,1415 days 00:00:00,73,0,0.0,36.76300000000003,-21.930533777142337,7.017061750209019,-5.331203352177402,88 days 03:25:42.857142857,49 days 19:00:00,72.69816570775781,0.6201159573117472,0.25633982922109194,1.1195272868884079,-0.8447235052277338,15.833173333251592,0.9455441777446851,0.5904892906268422,-0.012706434527522058,None,None,0.00025972486877748883,0.06545066693192718,5.306966096666307,0.05901411856691463,0.12702445230920384,-0.5613077278327044,75 days 12:49:18.904109588,false
Mean Total Trades,SPY,true,58,73,68,58.82352941176471,2.343888214686225,0.008402322995181021,3.133481234861528,2.30869864421553,0.17644878289880142,0.35289756579760284,0.55289895012755,0.8381283042803164,0,0,8093,8094 days 00:00:00,1000.0,6122.776585575146,512.2776585575145,1209.7240898381963,100.0,374.4380585459958,33.41257163717376,1338 days 00:00:00,68,0,0.0,36.191455187921626,-21.782893928343988,8.471931737787944,-4.492876626461924,108 days 00:00:00,42 days 16:17:08.571428571,75.33494978786976,0.6093351743752053,0.2548275057810599,1.1175184451918354,-0.8492229086937066,15.905502282777897,0.9454779514635357,0.5892401335165914,-0.012650403263681421,None,None,0.00025635281730477166,0.06460090996080246,5.122776585575155,0.05803732392317351,0.12759349934523226,-0.5765334733261094,81 days 02:28:14.117647058,false
Most Max Drawdown Duration,SPY,true,53,67,73,54.794520547945204,2.123595284392943,0.009020140862473743,2.9448996021968856,2.169754726245633,0.1894229581119486,0.3788459162238972,0.5578315939908347,0.8473020225394853,0,0,8093,8094 days 00:00:00,1000.0,6072.4411581620925,507.2441158162093,1209.7240898381963,100.0,419.1275727326853,31.82131513964733,903 days 00:00:00,73,0,0.0,32.7557027463651,-20.65366337918019,9.152619137053515,-4.579608924902058,103 days 07:12:00,39 days 14:32:43.636363636,69.48549531728891,0.6126065629167621,0.26630119436101257,1.1186083936269233,-0.7848986149389796,15.684868280969065,0.9566945685155003,0.5734836702954897,-0.012547814900231604,None,None,0.0002545151221907457,0.06413781079206791,5.072441158162124,0.05776543019835301,0.1260023511163553,-0.5806943747941281,74 days 12:09:51.780821917,false
Most Sharpe Ratio,SPY,true,12,73,69,50.72463768115942,2.893916171207014,0.008525886568639566,3.3572377747284863,2.1643640102320325,0.17904361794143087,0.35808723588286173,0.6010919974770267,1.0097833947775534,0,0,8093,8094 days 00:00:00,1000.0,7632.208005744036,663.2208005744036,1209.7240898381963,100.0,494.5790964907484,24.92797040083224,1122 days 00:00:00,69,0,0.0,34.27865251533145,-6.679999817462414,9.215080959468821,-2.672894915445389,127 days 07:32:34.285714286,35 days 15:31:45.882352941,96.11895660498611,0.7196040779376568,0.3850353979452577,1.1338745013214306,-0.41842429250277025,6.987070459626505,0.982195551636466,0.6046788263283108,-0.011805865691210832,None,None,0.00027852021131203084,0.07018709325063177,6.63220800574407,0.06532123620241892,0.11738424279743224,-0.45175862318893634,82 days 03:28:41.739130435,false
Most Calmar Ratio,SPY,true,12,73,69,50.72463768115942,2.893916171207014,0.008525886568639566,3.3572377747284863,2.1643640102320325,0.17904361794143087,0.35808723588286173,0.6010919974770267,1.0097833947775534,0,0,8093,8094 days 00:00:00,1000.0,7632.208005744036,663.2208005744036,1209.7240898381963,100.0,494.5790964907484,24.92797040083224,1122 days 00:00:00,69,0,0.0,34.27865251533145,-6.679999817462414,9.215080959468821,-2.672894915445389,127 days 07:32:34.285714286,35 days 15:31:45.882352941,96.11895660498611,0.7196040779376568,0.3850353979452577,1.1338745013214306,-0.41842429250277025,6.987070459626505,0.982195551636466,0.6046788263283108,-0.011805865691210832,None,None,0.00027852021131203084,0.07018709325063177,6.63220800574407,0.06532123620241892,0.11738424279743224,-0.45175862318893634,82 days 03:28:41.739130435,false
