Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
Most Total Return [%],SPY,false,6,71,38,39.473684210526315,2.1364685114682156,0.2621442943374533,0.6532010144150452,0.2319056855911403,5.505030181086519,11.010060362173038,3.595891298671154,4.225046793748903,0,0,3479,145 days 00:00:00,1000.0,1265.6787981732364,26.567879817323647,46.05146544623822,100.0,89.19597503328684,6.9996914729666795,27 days 11:00:00,38,0,0.0,11.159633563866182,-2.2837613412762474,2.9626611955338262,-0.8529686689232904,5 days 10:00:00,0 days 21:15:39.130434782,6.991547320348318,2.9749080691691656,11.565651041537983,1.1229381326290755,-0.09075594017348537,13.32601139988455,0.9621576353785853,0.6216216216216216,-0.0030716395624649476,None,None,0.00007014024438650272,0.42420819804956844,0.2656787981732396,0.5060215805887405,0.17161358721354225,-0.4230828582786417,2 days 16:11:03.157894736,false
Least Total Trades,SPY,false,6,71,38,39.473684210526315,2.1364685114682156,0.2621442943374533,0.6532010144150452,0.2319056855911403,5.505030181086519,11.010060362173038,3.595891298671154,4.225046793748903,0,0,3479,145 days 00:00:00,1000.0,1265.6787981732364,26.567879817323647,46.05146544623822,100.0,89.19597503328684,6.9996914729666795,27 days 11:00:00,38,0,0.0,11.159633563866182,-2.2837613412762474,2.9626611955338262,-0.8529686689232904,5 days 10:00:00,0 days 21:15:39.130434782,6.991547320348318,2.9749080691691656,11.565651041537983,1.1229381326290755,-0.09075594017348537,13.32601139988455,0.9621576353785853,0.6216216216216216,-0.0030716395624649476,None,None,0.00007014024438650272,0.42420819804956844,0.2656787981732396,0.5060215805887405,0.17161358721354225,-0.4230828582786417,2 days 16:11:03.157894736,false
Most Profit Factor,SPY,false,6,71,38,39.473684210526315,2.1364685114682156,0.2621442943374533,0.6532010144150452,0.2319056855911403,5.505030181086519,11.010060362173038,3.595891298671154,4.225046793748903,0,0,3479,145 days 00:00:00,1000.0,1265.6787981732364,26.567879817323647,46.05146544623822,100.0,89.19597503328684,6.9996914729666795,27 days 11:00:00,38,0,0.0,11.159633563866182,-2.2837613412762474,2.9626611955338262,-0.8529686689232904,5 days 10:00:00,0 days 21:15:39.130434782,6.991547320348318,2.9749080691691656,11.565651041537983,1.1229381326290755,-0.09075594017348537,13.32601139988455,0.9621576353785853,0.6216216216216216,-0.0030716395624649476,None,None,0.00007014024438650272,0.42420819804956844,0.2656787981732396,0.5060215805887405,0.17161358721354225,-0.4230828582786417,2 days 16:11:03.157894736,false
Most Expectancy,SPY,false,6,71,38,39.473684210526315,2.1364685114682156,0.2621442943374533,0.6532010144150452,0.2319056855911403,5.505030181086519,11.010060362173038,3.595891298671154,4.225046793748903,0,0,3479,145 days 00:00:00,1000.0,1265.6787981732364,26.567879817323647,46.05146544623822,100.0,89.19597503328684,6.9996914729666795,27 days 11:00:00,38,0,0.0,11.159633563866182,-2.2837613412762474,2.9626611955338262,-0.8529686689232904,5 days 10:00:00,0 days 21:15:39.130434782,6.991547320348318,2.9749080691691656,11.565651041537983,1.1229381326290755,-0.09075594017348537,13.32601139988455,0.9621576353785853,0.6216216216216216,-0.0030716395624649476,None,None,0.00007014024438650272,0.42420819804956844,0.2656787981732396,0.5060215805887405,0.17161358721354225,-0.4230828582786417,2 days 16:11:03.157894736,false
Most Sharpe Ratio,SPY,false,6,71,38,39.473684210526315,2.1364685114682156,0.2621442943374533,0.6532010144150452,0.2319056855911403,5.505030181086519,11.010060362173038,3.595891298671154,4.225046793748903,0,0,3479,145 days 00:00:00,1000.0,1265.6787981732364,26.567879817323647,46.05146544623822,100.0,89.19597503328684,6.9996914729666795,27 days 11:00:00,38,0,0.0,11.159633563866182,-2.2837613412762474,2.9626611955338262,-0.8529686689232904,5 days 10:00:00,0 days 21:15:39.130434782,6.991547320348318,2.9749080691691656,11.565651041537983,1.1229381326290755,-0.09075594017348537,13.32601139988455,0.9621576353785853,0.6216216216216216,-0.0030716395624649476,None,None,0.00007014024438650272,0.42420819804956844,0.2656787981732396,0.5060215805887405,0.17161358721354225,-0.4230828582786417,2 days 16:11:03.157894736,false
Most Calmar Ratio,SPY,false,6,71,38,39.473684210526315,2.1364685114682156,0.2621442943374533,0.6532010144150452,0.2319056855911403,5.505030181086519,11.010060362173038,3.595891298671154,4.225046793748903,0,0,3479,145 days 00:00:00,1000.0,1265.6787981732364,26.567879817323647,46.05146544623822,100.0,89.19597503328684,6.9996914729666795,27 days 11:00:00,38,0,0.0,11.159633563866182,-2.2837613412762474,2.9626611955338262,-0.8529686689232904,5 days 10:00:00,0 days 21:15:39.130434782,6.991547320348318,2.9749080691691656,11.565651041537983,1.1229381326290755,-0.09075594017348537,13.32601139988455,0.9621576353785853,0.6216216216216216,-0.0030716395624649476,None,None,0.00007014024438650272,0.42420819804956844,0.2656787981732396,0.5060215805887405,0.17161358721354225,-0.4230828582786417,2 days 16:11:03.157894736,false
Most Omega Ratio,SPY,false,6,71,38,39.473684210526315,2.1364685114682156,0.2621442943374533,0.6532010144150452,0.2319056855911403,5.505030181086519,11.010060362173038,3.595891298671154,4.225046793748903,0,0,3479,145 days 00:00:00,1000.0,1265.6787981732364,26.567879817323647,46.05146544623822,100.0,89.19597503328684,6.9996914729666795,27 days 11:00:00,38,0,0.0,11.159633563866182,-2.2837613412762474,2.9626611955338262,-0.8529686689232904,5 days 10:00:00,0 days 21:15:39.130434782,6.991547320348318,2.9749080691691656,11.565651041537983,1.1229381326290755,-0.09075594017348537,13.32601139988455,0.9621576353785853,0.6216216216216216,-0.0030716395624649476,None,None,0.00007014024438650272,0.42420819804956844,0.2656787981732396,0.5060215805887405,0.17161358721354225,-0.4230828582786417,2 days 16:11:03.157894736,false
Most Sortino Ratio,SPY,false,6,71,38,39.473684210526315,2.1364685114682156,0.2621442943374533,0.6532010144150452,0.2319056855911403,5.505030181086519,11.010060362173038,3.595891298671154,4.225046793748903,0,0,3479,145 days 00:00:00,1000.0,1265.6787981732364,26.567879817323647,46.05146544623822,100.0,89.19597503328684,6.9996914729666795,27 days 11:00:00,38,0,0.0,11.159633563866182,-2.2837613412762474,2.9626611955338262,-0.8529686689232904,5 days 10:00:00,0 days 21:15:39.130434782,6.991547320348318,2.9749080691691656,11.565651041537983,1.1229381326290755,-0.09075594017348537,13.32601139988455,0.9621576353785853,0.6216216216216216,-0.0030716395624649476,None,None,0.00007014024438650272,0.42420819804956844,0.2656787981732396,0.5060215805887405,0.17161358721354225,-0.4230828582786417,2 days 16:11:03.157894736,false
Least Max Drawdown Duration,SPY,false,6,71,38,39.473684210526315,2.1364685114682156,0.2621442943374533,0.6532010144150452,0.2319056855911403,5.505030181086519,11.010060362173038,3.595891298671154,4.225046793748903,0,0,3479,145 days 00:00:00,1000.0,1265.6787981732364,26.567879817323647,46.05146544623822,100.0,89.19597503328684,6.9996914729666795,27 days 11:00:00,38,0,0.0,11.159633563866182,-2.2837613412762474,2.9626611955338262,-0.8529686689232904,5 days 10:00:00,0 days 21:15:39.130434782,6.991547320348318,2.9749080691691656,11.565651041537983,1.1229381326290755,-0.09075594017348537,13.32601139988455,0.9621576353785853,0.6216216216216216,-0.0030716395624649476,None,None,0.00007014024438650272,0.42420819804956844,0.2656787981732396,0.5060215805887405,0.17161358721354225,-0.4230828582786417,2 days 16:11:03.157894736,false
Most Avg Losing Trade Duration,SPY,false,6,71,38,39.473684210526315,2.1364685114682156,0.2621442943374533,0.6532010144150452,0.2319056855911403,5.505030181086519,11.010060362173038,3.595891298671154,4.225046793748903,0,0,3479,145 days 00:00:00,1000.0,1265.6787981732364,26.567879817323647,46.05146544623822,100.0,89.19597503328684,6.9996914729666795,27 days 11:00:00,38,0,0.0,11.159633563866182,-2.2837613412762474,2.9626611955338262,-0.8529686689232904,5 days 10:00:00,0 days 21:15:39.130434782,6.991547320348318,2.9749080691691656,11.565651041537983,1.1229381326290755,-0.09075594017348537,13.32601139988455,0.9621576353785853,0.6216216216216216,-0.0030716395624649476,None,None,0.00007014024438650272,0.42420819804956844,0.2656787981732396,0.5060215805887405,0.17161358721354225,-0.4230828582786417,2 days 16:11:03.157894736,false
Most Avg Winning Trade Duration,SPY,false,5,87,38,39.473684210526315,1.9920564736211481,0.2621442943374533,0.6070016189730372,0.21550353336320846,5.505030181086519,11.010060362173038,3.3415622324149488,3.81456100423299,0,0,3479,145 days 00:00:00,1000.0,1243.9424160115113,24.394241601151144,46.05146544623822,100.0,89.61467222704226,7.496683806602284,27 days 11:00:00,38,0,0.0,10.86060715755952,-2.2837613412762603,2.8940248494707954,-0.8845352704820225,5 days 16:00:00,0 days 19:33:54.782608695,6.419537263460826,2.7090339840417412,9.768961572879716,1.110320181211442,-0.19512199900687943,12.862933464116882,0.9520526461967334,0.6422840962718264,-0.003114821418643877,None,None,0.00006527028093101668,0.3947546590707889,0.243942416011516,0.46135706288268086,0.1753714824292471,-0.4702830547351491,2 days 17:31:34.736842104,false
