Metric Type,Ticker,Use SMA,Short Window,Long Window,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Beats BNH [%],Avg Trade Duration,Signal Entry
Most Total Return [%],SPY,true,32,44,44,60.46511627906976,2.020421850604887,0.29604130808950085,0.5837341466368831,0.35922101331500494,6.36144578313253,12.578313253012048,3.7133931255936656,4.749643722999622,0,0,3486,145 days 07:00:00,1000.0,1284.7775118724135,28.477751187241335,43.03156421239469,100.0,103.96620247579635,7.3201595046320564,29 days 12:00:00,43,1,14.705490245630926,10.731836318500939,-3.697591663173631,1.7759061660910938,-1.2395877654695566,2 days 16:50:46.153846153,0 days 23:03:31.764705882,6.280744688994958,3.347821816636625,11.97659588451516,1.1515876247803165,-0.3748801511785529,18.677143705295926,0.9984456134359516,0.4876279863481228,-0.002745838470230834,None,None,0.0000740061579876406,0.44758924350925033,0.28477751187241074,0.544385620967857,0.1609027503406069,-0.33821250264849345,2 days 00:19:32.093023254,false
Most Sharpe Ratio,SPY,true,32,44,44,60.46511627906976,2.020421850604887,0.29604130808950085,0.5837341466368831,0.35922101331500494,6.36144578313253,12.578313253012048,3.7133931255936656,4.749643722999622,0,0,3486,145 days 07:00:00,1000.0,1284.7775118724135,28.477751187241335,43.03156421239469,100.0,103.96620247579635,7.3201595046320564,29 days 12:00:00,43,1,14.705490245630926,10.731836318500939,-3.697591663173631,1.7759061660910938,-1.2395877654695566,2 days 16:50:46.153846153,0 days 23:03:31.764705882,6.280744688994958,3.347821816636625,11.97659588451516,1.1515876247803165,-0.3748801511785529,18.677143705295926,0.9984456134359516,0.4876279863481228,-0.002745838470230834,None,None,0.0000740061579876406,0.44758924350925033,0.28477751187241074,0.544385620967857,0.1609027503406069,-0.33821250264849345,2 days 00:19:32.093023254,false
Most Omega Ratio,SPY,true,32,44,44,60.46511627906976,2.020421850604887,0.29604130808950085,0.5837341466368831,0.35922101331500494,6.36144578313253,12.578313253012048,3.7133931255936656,4.749643722999622,0,0,3486,145 days 07:00:00,1000.0,1284.7775118724135,28.477751187241335,43.03156421239469,100.0,103.96620247579635,7.3201595046320564,29 days 12:00:00,43,1,14.705490245630926,10.731836318500939,-3.697591663173631,1.7759061660910938,-1.2395877654695566,2 days 16:50:46.153846153,0 days 23:03:31.764705882,6.280744688994958,3.347821816636625,11.97659588451516,1.1515876247803165,-0.3748801511785529,18.677143705295926,0.9984456134359516,0.4876279863481228,-0.002745838470230834,None,None,0.0000740061579876406,0.44758924350925033,0.28477751187241074,0.544385620967857,0.1609027503406069,-0.33821250264849345,2 days 00:19:32.093023254,false
Least Total Trades,SPY,true,27,46,38,64.86486486486487,1.8979620888346551,0.2547332185886403,0.5758218462527817,0.32709406651045586,5.493975903614458,10.843373493975903,3.1635513480875717,3.9516621733351047,0,0,3486,145 days 07:00:00,1000.0,1235.7207412086127,23.57207412086126,43.03156421239469,100.0,87.40899952031319,8.387601637215534,29 days 12:00:00,37,1,12.856843274469384,10.787623605480741,-3.412512761861417,1.7434311911522078,-1.5797646366384668,3 days 01:19:59.999999999,1 days 03:04:36.923076923,6.023348592814695,2.821044654639761,8.367703094813493,1.12572730963102,-0.5064936073485204,18.24886081415734,0.9740749259501564,0.4972091026191498,-0.0027652157224099085,None,None,0.00006287672075652223,0.3802784071354464,0.23572074120861353,0.4435456139094891,0.16223250244509918,-0.4522143326114177,2 days 09:04:51.891891890,false
Most Win Rate [%],SPY,true,27,46,38,64.86486486486487,1.8979620888346551,0.2547332185886403,0.5758218462527817,0.32709406651045586,5.493975903614458,10.843373493975903,3.1635513480875717,3.9516621733351047,0,0,3486,145 days 07:00:00,1000.0,1235.7207412086127,23.57207412086126,43.03156421239469,100.0,87.40899952031319,8.387601637215534,29 days 12:00:00,37,1,12.856843274469384,10.787623605480741,-3.412512761861417,1.7434311911522078,-1.5797646366384668,3 days 01:19:59.999999999,1 days 03:04:36.923076923,6.023348592814695,2.821044654639761,8.367703094813493,1.12572730963102,-0.5064936073485204,18.24886081415734,0.9740749259501564,0.4972091026191498,-0.0027652157224099085,None,None,0.00006287672075652223,0.3802784071354464,0.23572074120861353,0.4435456139094891,0.16223250244509918,-0.4522143326114177,2 days 09:04:51.891891890,false
Most Calmar Ratio,SPY,true,49,56,47,55.319148936170215,2.5856467928701496,0.32358003442340794,0.5040033534829356,0.31015590983565267,6.795180722891566,13.590361445783133,3.424793871859948,4.83645848972088,0,0,3486,145 days 07:00:00,1000.0,1258.081592140934,25.808159214093408,43.03156421239469,100.0,105.76444224518023,4.3242143370414095,16 days 16:00:00,47,0,0.0,8.255949953610807,-1.8849217737087576,1.4684400235788109,-0.690061095207196,2 days 13:23:04.615384615,0 days 22:17:08.571428571,5.491097705126251,3.2549391697939876,18.044336364376488,1.1445801725012537,0.5764994071512245,15.820547725982602,0.9974488560006493,0.47816871555743956,-0.002739951874133261,None,None,0.00006773822053465695,0.40968075779360524,0.2580815921409474,0.48915246795772305,0.15147775199663194,-0.400250497827367,1 days 19:54:53.617021276,false
Most Sortino Ratio,SPY,true,49,56,47,55.319148936170215,2.5856467928701496,0.32358003442340794,0.5040033534829356,0.31015590983565267,6.795180722891566,13.590361445783133,3.424793871859948,4.83645848972088,0,0,3486,145 days 07:00:00,1000.0,1258.081592140934,25.808159214093408,43.03156421239469,100.0,105.76444224518023,4.3242143370414095,16 days 16:00:00,47,0,0.0,8.255949953610807,-1.8849217737087576,1.4684400235788109,-0.690061095207196,2 days 13:23:04.615384615,0 days 22:17:08.571428571,5.491097705126251,3.2549391697939876,18.044336364376488,1.1445801725012537,0.5764994071512245,15.820547725982602,0.9974488560006493,0.47816871555743956,-0.002739951874133261,None,None,0.00006773822053465695,0.40968075779360524,0.2580815921409474,0.48915246795772305,0.15147775199663194,-0.400250497827367,1 days 19:54:53.617021276,false
Most Profit Factor,SPY,true,51,61,38,57.89473684210527,2.6664948663392254,0.26161790017211706,0.5819616337912821,0.3030332767670581,5.493975903614458,10.987951807228916,3.1972831928774053,4.385580931453512,0,0,3486,145 days 07:00:00,1000.0,1238.615072259912,23.861507225991204,43.03156421239469,100.0,85.7955722077626,5.188504321920993,25 days 18:00:00,38,0,0.0,8.157711131945966,-2.964679601534711,1.5879206635680876,-0.8012320321518255,3 days 03:49:05.454545454,1 days 01:30:00,6.2793440068397794,2.9841902657445036,13.720354681047056,1.1317587668000435,0.447113877273057,15.216341420896997,0.989285588709969,0.47816871555743956,-0.002808194349917053,None,None,0.00006334252890711489,0.38309561483023086,0.23861507225990963,0.44941498432545046,0.15449941282549343,-0.4454882674444309,2 days 06:37:53.684210525,false
Most Expectancy,SPY,true,30,48,38,51.35135135135135,2.191681011994287,0.2547332185886403,0.6382619737730423,0.2870290532943858,5.493975903614458,10.843373493975903,3.506595904102497,4.4720021123050975,0,0,3486,145 days 07:00:00,1000.0,1264.532214677458,26.45322146774579,43.03156421239469,100.0,87.49784735549139,5.916440218914434,29 days 12:00:00,37,1,11.928832712462736,10.731836318500932,-3.0515620304702997,2.1728468742552196,-0.9815776434025894,3 days 13:15:47.368421052,1 days 03:13:20,6.827118431486354,3.1456119802783706,13.57735762405023,1.1411354654815922,-0.2798453793609612,18.151598040558532,0.9926789868846826,0.49400171379605823,-0.0027498027125355882,None,None,0.00006944495173331619,0.4200030680830963,0.2645322146774609,0.5024205578085514,0.1606917108186517,-0.38526005382518075,2 days 09:01:37.297297296,false
Median Total Trades,SPY,true,49,55,49,53.06122448979592,2.249451462736196,0.3373493975903614,0.42857138800399797,0.26373623877169106,7.08433734939759,14.16867469879518,3.036144290919889,4.265437956480483,0,0,3486,145 days 07:00:00,1000.0,1226.1820472074357,22.618204720743574,43.03156421239469,100.0,109.37699064897407,5.108641442084288,17 days 20:00:00,49,0,0.0,6.379399867451388,-1.84401007839156,1.4264087362324116,-0.6994186578194262,2 days 12:55:23.076923076,0 days 20:28:41.739130434,4.615960147090542,2.8929781562977737,13.096237868640909,1.1281482624738801,0.5253458070317747,15.837021926011387,0.9911588306020523,0.47317279256442757,-0.0027428603264885456,None,None,0.00006038387508765106,0.3652016765301136,0.22618204720744006,0.42427368123177733,0.15192658291682362,-0.4743810703904487,1 days 17:56:19.591836733,false
