Metric Type,Ticker,Use SMA,Short Window,Long Window,Signal Entry,Total Trades,Win Rate [%],Profit Factor,Trades Per Day,Expectancy per Trade,Expectancy Adjusted,Trades per Month,Signals per Month,Expectancy per Month,Sortino Ratio,Signal Window,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Total Open Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Profit Factor Adjusted,Beats BNH [%],Total Period,Maturity,Score,Avg Trade Duration
Most Total Return [%],TGT,false,20,31,false,155,38.70967741935484,1.366470971035818,0.011797838331557314,4.3446022960481585,2.7570189081215184,0.24775460496270363,0.49550920992540726,1.0763952255774667,0.8025079350610683,0,0,13138,13139 days 00:00:00,1000.0,49269.91511375781,4826.991511375782,24335.53223129868,100.0,7480.838682214713,48.01855225100568,5309 days 00:00:00,155,0,0.0,315.6137600813197,-20.86739411462335,19.55695393308421,-5.263198737869347,93 days 19:36:00,20 days 09:05:41.052631579,311.4188071855342,0.5475110070002012,0.23812709277151398,1.1129505263758575,-0.058647018034746916,14.590238610982889,1.1135573696290648,0.38728750923872873,-0.020202020202020162,None,None,0.0003889055160310203,0.09800419003981711,48.26991511375776,0.07761330208461015,0.21542591740187259,1.366470971035818,-0.8016484100081592,19029.24603174603,1.9976421531534754,1.3901355710851664,48 days 19:21:17.419354838
Most Total Fees Paid,TGT,false,20,31,false,155,38.70967741935484,1.366470971035818,0.011797838331557314,4.3446022960481585,2.7570189081215184,0.24775460496270363,0.49550920992540726,1.0763952255774667,0.8025079350610683,0,0,13138,13139 days 00:00:00,1000.0,49269.91511375781,4826.991511375782,24335.53223129868,100.0,7480.838682214713,48.01855225100568,5309 days 00:00:00,155,0,0.0,315.6137600813197,-20.86739411462335,19.55695393308421,-5.263198737869347,93 days 19:36:00,20 days 09:05:41.052631579,311.4188071855342,0.5475110070002012,0.23812709277151398,1.1129505263758575,-0.058647018034746916,14.590238610982889,1.1135573696290648,0.38728750923872873,-0.020202020202020162,None,None,0.0003889055160310203,0.09800419003981711,48.26991511375776,0.07761330208461015,0.21542591740187259,1.366470971035818,-0.8016484100081592,19029.24603174603,1.9976421531534754,1.3901355710851664,48 days 19:21:17.419354838
Most Best Trade [%],TGT,false,20,31,false,155,38.70967741935484,1.366470971035818,0.011797838331557314,4.3446022960481585,2.7570189081215184,0.24775460496270363,0.49550920992540726,1.0763952255774667,0.8025079350610683,0,0,13138,13139 days 00:00:00,1000.0,49269.91511375781,4826.991511375782,24335.53223129868,100.0,7480.838682214713,48.01855225100568,5309 days 00:00:00,155,0,0.0,315.6137600813197,-20.86739411462335,19.55695393308421,-5.263198737869347,93 days 19:36:00,20 days 09:05:41.052631579,311.4188071855342,0.5475110070002012,0.23812709277151398,1.1129505263758575,-0.058647018034746916,14.590238610982889,1.1135573696290648,0.38728750923872873,-0.020202020202020162,None,None,0.0003889055160310203,0.09800419003981711,48.26991511375776,0.07761330208461015,0.21542591740187259,1.366470971035818,-0.8016484100081592,19029.24603174603,1.9976421531534754,1.3901355710851664,48 days 19:21:17.419354838
Most Sharpe Ratio,TGT,false,20,31,false,155,38.70967741935484,1.366470971035818,0.011797838331557314,4.3446022960481585,2.7570189081215184,0.24775460496270363,0.49550920992540726,1.0763952255774667,0.8025079350610683,0,0,13138,13139 days 00:00:00,1000.0,49269.91511375781,4826.991511375782,24335.53223129868,100.0,7480.838682214713,48.01855225100568,5309 days 00:00:00,155,0,0.0,315.6137600813197,-20.86739411462335,19.55695393308421,-5.263198737869347,93 days 19:36:00,20 days 09:05:41.052631579,311.4188071855342,0.5475110070002012,0.23812709277151398,1.1129505263758575,-0.058647018034746916,14.590238610982889,1.1135573696290648,0.38728750923872873,-0.020202020202020162,None,None,0.0003889055160310203,0.09800419003981711,48.26991511375776,0.07761330208461015,0.21542591740187259,1.366470971035818,-0.8016484100081592,19029.24603174603,1.9976421531534754,1.3901355710851664,48 days 19:21:17.419354838
Most Omega Ratio,TGT,false,20,31,false,155,38.70967741935484,1.366470971035818,0.011797838331557314,4.3446022960481585,2.7570189081215184,0.24775460496270363,0.49550920992540726,1.0763952255774667,0.8025079350610683,0,0,13138,13139 days 00:00:00,1000.0,49269.91511375781,4826.991511375782,24335.53223129868,100.0,7480.838682214713,48.01855225100568,5309 days 00:00:00,155,0,0.0,315.6137600813197,-20.86739411462335,19.55695393308421,-5.263198737869347,93 days 19:36:00,20 days 09:05:41.052631579,311.4188071855342,0.5475110070002012,0.23812709277151398,1.1129505263758575,-0.058647018034746916,14.590238610982889,1.1135573696290648,0.38728750923872873,-0.020202020202020162,None,None,0.0003889055160310203,0.09800419003981711,48.26991511375776,0.07761330208461015,0.21542591740187259,1.366470971035818,-0.8016484100081592,19029.24603174603,1.9976421531534754,1.3901355710851664,48 days 19:21:17.419354838
Most Sortino Ratio,TGT,false,20,31,false,155,38.70967741935484,1.366470971035818,0.011797838331557314,4.3446022960481585,2.7570189081215184,0.24775460496270363,0.49550920992540726,1.0763952255774667,0.8025079350610683,0,0,13138,13139 days 00:00:00,1000.0,49269.91511375781,4826.991511375782,24335.53223129868,100.0,7480.838682214713,48.01855225100568,5309 days 00:00:00,155,0,0.0,315.6137600813197,-20.86739411462335,19.55695393308421,-5.263198737869347,93 days 19:36:00,20 days 09:05:41.052631579,311.4188071855342,0.5475110070002012,0.23812709277151398,1.1129505263758575,-0.058647018034746916,14.590238610982889,1.1135573696290648,0.38728750923872873,-0.020202020202020162,None,None,0.0003889055160310203,0.09800419003981711,48.26991511375776,0.07761330208461015,0.21542591740187259,1.366470971035818,-0.8016484100081592,19029.24603174603,1.9976421531534754,1.3901355710851664,48 days 19:21:17.419354838
Least Max Drawdown [%],TGT,false,23,28,false,150,38.666666666666664,1.3755770099261369,0.011417262901507078,4.398157369282816,2.7879030318951186,0.23976252093164865,0.4795250418632973,1.054513298313356,0.7955982849703264,0,0,13138,13139 days 00:00:00,1000.0,47360.26678424688,4636.026678424688,24335.53223129868,100.0,6840.236015308673,47.48768844233414,5187 days 00:00:00,150,0,0.0,302.6210708644465,-20.867394114623355,19.95527029054352,-5.409587733251107,95 days 13:39:18.620689655,22 days 03:07:49.565217391,309.0684452283126,0.5432571281887395,0.23821363148272226,1.1118375149629338,-0.06470553693342938,14.561924111983549,1.1115348917960994,0.3881669307976756,-0.020203199984968126,None,None,0.00038591691742294657,0.09725106319058253,46.360266784246804,0.07679659994729948,0.21544433859064702,1.3755770099261369,-0.8094955707415287,19029.24603174603,1.9651580020337,1.363273901685816,50 days 12:38:23.999999999
Most Calmar Ratio,TGT,false,23,28,false,150,38.666666666666664,1.3755770099261369,0.011417262901507078,4.398157369282816,2.7879030318951186,0.23976252093164865,0.4795250418632973,1.054513298313356,0.7955982849703264,0,0,13138,13139 days 00:00:00,1000.0,47360.26678424688,4636.026678424688,24335.53223129868,100.0,6840.236015308673,47.48768844233414,5187 days 00:00:00,150,0,0.0,302.6210708644465,-20.867394114623355,19.95527029054352,-5.409587733251107,95 days 13:39:18.620689655,22 days 03:07:49.565217391,309.0684452283126,0.5432571281887395,0.23821363148272226,1.1118375149629338,-0.06470553693342938,14.561924111983549,1.1115348917960994,0.3881669307976756,-0.020203199984968126,None,None,0.00038591691742294657,0.09725106319058253,46.360266784246804,0.07679659994729948,0.21544433859064702,1.3755770099261369,-0.8094955707415287,19029.24603174603,1.9651580020337,1.363273901685816,50 days 12:38:23.999999999
Most Total Trades,TGT,false,19,32,false,157,38.21656050955414,1.348402773813284,0.011950068503577408,4.259787864359923,2.6687613225602527,0.2509514385751256,0.5019028771502512,1.0689998925859847,0.794543727067705,0,0,13138,13139 days 00:00:00,1000.0,46846.70109871576,4584.670109871577,24335.53223129868,100.0,7446.993024271775,49.38734901167842,5363 days 00:00:00,157,0,0.0,315.6137600813197,-20.86739411462335,19.542094355913555,-5.193185223199024,93 days 18:24:00,20 days 01:29:04.329896907,292.0172044504187,0.5420812521384513,0.22836830162200303,1.1117622915254999,-0.05752669202064184,14.585514776636584,1.116007974035422,0.3869946162778423,-0.020202020202020183,None,None,0.00038508071652113544,0.09704034056332612,45.84670109871539,0.07657144900658985,0.2154438425704639,1.348402773813284,-0.811605923951189,19029.24603174603,2.0104888588836003,1.3494626669670944,48 days 05:30:11.464968152
Least Avg Winning Trade [%],TGT,false,19,32,false,157,38.21656050955414,1.348402773813284,0.011950068503577408,4.259787864359923,2.6687613225602527,0.2509514385751256,0.5019028771502512,1.0689998925859847,0.794543727067705,0,0,13138,13139 days 00:00:00,1000.0,46846.70109871576,4584.670109871577,24335.53223129868,100.0,7446.993024271775,49.38734901167842,5363 days 00:00:00,157,0,0.0,315.6137600813197,-20.86739411462335,19.542094355913555,-5.193185223199024,93 days 18:24:00,20 days 01:29:04.329896907,292.0172044504187,0.5420812521384513,0.22836830162200303,1.1117622915254999,-0.05752669202064184,14.585514776636584,1.116007974035422,0.3869946162778423,-0.020202020202020183,None,None,0.00038508071652113544,0.09704034056332612,45.84670109871539,0.07657144900658985,0.2154438425704639,1.348402773813284,-0.811605923951189,19029.24603174603,2.0104888588836003,1.3494626669670944,48 days 05:30:11.464968152
